,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
252,59,66,70,66,35,49,44,55,44,55,90,69,41,39,38,27,50,47,43,42,0,1,0,1,[]
253,59,66,3,94,19,45,40,56,41,53,88,67,42,37,42,36,47,38,41,39,0,1,0,1,[]
254,7,95,11,77,11,33,43,56,53,58,82,60,45,39,40,36,48,35,44,39,0,1,0,1,[]
255,21,88,17,65,10,22,45,57,56,57,75,60,39,40,33,37,42,40,35,39,0,1,0,1,[]
256,28,75,18,53,11,26,44,57,56,57,75,67,38,40,28,33,45,43,30,36,0,1,0,1,[]
257,35,64,28,52,11,24,41,61,12,90,78,71,34,38,25,28,47,50,28,34,0,1,0,1,[]
258,41,57,30,51,12,12,42,57,25,78,79,84,33,33,26,16,43,46,34,37,0,1,0,1,[]
259,37,60,23,48,12,12,41,56,31,66,78,87,34,38,20,14,43,39,35,38,0,1,0,1,[]
260,33,60,24,41,12,12,37,49,31,51,78,87,34,38,20,15,37,36,34,39,0,1,0,1,[]
261,40,69,23,33,10,17,35,47,31,46,77,85,34,40,18,18,35,40,33,40,0,1,0,1,[]
262,41,84,24,41,7,30,31,52,36,48,72,76,36,39,26,24,47,42,38,40,0,1,0,1,[]
263,50,90,31,49,9,32,37,58,40,56,67,66,41,45,38,27,48,50,46,49,0,1,0,1,[]
264,52,88,34,49,11,46,39,60,40,59,55,64,40,51,41,38,45,54,43,52,0,1,0,1,[]
265,47,77,36,49,25,52,37,60,40,60,44,58,40,51,44,49,42,54,43,59,0,1,0,1,[]
266,41,67,33,49,31,51,37,61,41,60,41,54,37,50,43,52,44,56,44,56,0,1,0,2,[]
267,34,59,28,50,32,53,31,59,35,59,36,50,32,49,37,43,38,50,36,50,0,1,0,2,[]
268,30,55,27,51,30,58,25,57,30,56,25,52,27,51,30,47,31,48,32,51,0,1,0,2,[]
269,39,56,27,51,39,53,36,58,42,56,28,50,33,43,37,43,35,42,31,49,0,1,0,2,[]
270,48,54,27,51,47,56,45,56,51,52,31,48,43,47,43,43,35,39,36,49,0,1,0,2,[]
271,53,49,27,51,50,53,49,55,50,53,41,44,44,44,44,42,95,4,44,49,0,1,0,2,[]
272,50,44,27,51,45,48,45,52,43,51,42,41,38,39,38,37,95,4,39,44,0,1,0,2,[]
273,41,39,27,51,40,44,43,41,39,44,32,38,34,33,30,34,33,38,32,35,0,1,0,2,[]
274,40,38,27,51,37,43,42,39,38,41,28,37,33,33,29,33,31,33,33,32,0,1,0,2,[]
275,40,43,27,51,41,45,43,42,42,43,29,39,36,40,32,37,34,37,35,37,0,1,0,2,[]
276,51,47,4,93,51,50,50,50,42,44,43,39,46,35,41,33,46,34,44,39,0,1,0,2,[]
277,52,42,15,80,52,44,51,43,48,41,55,41,48,35,41,32,57,34,49,40,0,1,0,2,[]
278,47,38,24,70,47,39,46,35,46,37,60,41,55,32,95,4,58,39,57,33,0,1,0,2,[]
279,47,48,33,62,40,39,38,39,46,44,62,41,61,39,90,6,69,39,65,34,0,1,0,2,[]
280,53,48,46,55,50,46,46,48,54,54,95,4,59,40,75,17,62,41,65,34,0,1,0,2,[]
281,51,47,55,57,53,50,55,57,67,56,88,15,57,42,68,29,55,43,92,9,0,1,0,2,[]
282,49,54,66,63,48,55,65,63,56,54,76,26,52,44,59,40,51,49,83,17,0,1,0,2,[]
283,55,63,67,69,43,58,68,67,57,60,68,36,55,50,59,49,54,52,74,27,0,1,0,2,[]
284,62,70,72,69,43,59,71,69,58,62,68,48,56,54,55,51,54,52,66,38,0,1,0,2,[]
285,64,68,68,71,53,65,71,70,57,64,63,61,67,66,64,58,67,64,66,53,0,1,0,2,[]
286,65,60,66,64,57,68,69,61,67,62,61,63,65,56,66,56,66,58,66,59,0,1,0,2,[]
287,69,65,70,64,63,60,71,64,67,64,64,58,66,54,66,47,66,55,66,59,0,1,0,2,[]
288,73,75,72,68,67,67,70,62,67,64,71,66,68,64,66,47,68,64,66,59,0,1,0,2,[]
289,67,82,71,64,67,67,66,58,67,64,71,66,69,62,95,4,66,63,66,59,0,1,0,2,[]
290,60,90,58,63,67,67,66,58,67,64,71,66,69,62,87,14,65,63,66,59,0,1,0,2,[]
291,63,92,46,65,67,67,66,58,67,64,71,66,69,62,75,26,65,63,66,59,0,1,0,2,[]
292,67,89,38,64,67,67,66,58,67,64,71,66,69,62,67,30,65,63,66,59,0,1,0,2,[]
293,57,84,26,58,67,67,66,58,67,64,71,66,69,62,56,21,65,63,66,59,0,1,0,2,[]
294,60,82,22,54,67,67,66,58,3,94,71,66,69,62,45,12,65,63,89,6,0,1,0,2,[]
295,60,84,21,52,67,67,66,58,20,84,71,66,69,62,40,15,65,63,77,18,0,1,0,2,[]
296,61,84,2,96,67,67,66,58,29,72,71,66,69,62,28,15,65,63,68,28,0,1,0,2,[]
297,2,96,8,83,2,95,7,94,31,58,91,13,90,6,28,8,65,63,60,38,0,1,0,2,[]
298,12,90,16,69,2,96,22,85,32,46,83,28,75,15,26,9,92,5,50,46,0,1,0,2,[]
299,24,78,18,55,11,81,32,79,34,41,80,40,64,22,32,12,77,15,51,45,0,1,0,2,[]
300,34,66,15,43,17,66,44,79,39,52,76,52,54,31,42,15,64,22,52,46,0,1,0,2,[]
301,43,57,16,44,19,52,46,72,44,55,76,56,50,34,46,16,52,21,52,46,0,1,0,2,[]
302,49,58,27,37,22,41,38,64,49,58,76,58,42,36,48,20,53,30,52,44,0,1,0,2,[]
303,48,57,32,35,31,35,31,55,42,46,78,65,39,32,51,30,56,39,53,42,0,1,0,2,[]
304,43,48,40,36,32,46,33,43,41,44,67,64,47,40,48,35,51,47,49,47,0,1,0,2,[]
305,45,48,43,44,41,51,34,38,42,46,54,63,51,51,59,36,50,52,48,52,0,1,0,2,[]
306,34,49,38,43,32,46,33,43,37,43,44,57,39,51,49,46,43,54,39,53,0,1,0,2,[]
307,28,52,32,46,31,50,37,42,41,44,33,61,37,57,41,56,35,63,36,58,0,1,0,2,[]
308,31,57,39,53,31,58,35,48,42,56,38,65,39,61,38,66,36,66,37,63,0,1,0,2,[]
309,38,65,38,63,35,64,39,63,39,67,43,68,43,67,40,68,39,67,39,67,0,1,0,3,[]
310,39,64,41,65,37,66,39,62,37,67,40,72,42,67,41,69,46,67,40,67,0,1,0,3,[]
311,40,66,39,62,41,67,39,66,47,69,44,71,43,68,45,70,48,67,40,67,0,1,0,3,[]
312,31,65,33,59,37,63,32,69,47,69,41,67,43,68,43,67,42,67,40,67,0,1,0,3,[]
313,28,66,31,55,37,63,30,59,47,69,48,73,43,68,51,63,49,60,40,67,0,1,0,3,[]
314,2,96,34,41,37,63,24,52,47,69,59,77,43,68,51,63,50,50,40,67,0,1,0,3,[]
315,16,91,33,38,37,63,23,43,47,69,66,89,43,68,95,4,62,42,40,67,0,1,0,3,[]
316,32,90,32,35,37,63,28,35,47,69,68,85,43,68,85,8,67,40,40,67,0,1,0,3,[]
317,45,91,31,33,37,63,32,31,47,69,68,85,43,68,74,20,56,44,94,5,0,1,0,3,[]
318,56,92,31,33,37,63,32,31,47,69,90,13,43,68,66,32,45,53,89,6,0,1,0,3,[]
319,54,88,34,32,37,63,32,31,8,87,78,24,90,6,56,42,39,58,81,13,0,1,0,3,[]
320,31,35,34,32,37,63,31,31,21,75,69,33,80,18,50,42,47,50,73,23,0,1,0,3,[]
321,22,26,5,95,9,92,2,96,25,72,66,45,79,32,49,39,50,40,66,34,0,1,0,3,[]
322,19,16,18,85,22,79,2,96,27,70,65,56,67,36,51,33,53,46,58,43,0,1,0,3,[]
323,2,96,28,74,30,69,15,88,34,66,57,64,58,44,42,32,56,59,55,56,0,1,0,3,[]
324,22,93,39,67,39,61,26,77,43,67,53,63,55,56,45,32,52,64,51,64,0,1,0,3,[]
325,37,92,50,67,40,56,35,68,52,67,64,62,64,62,51,28,55,57,55,55,0,1,0,3,[]
326,51,91,55,62,49,58,46,67,58,59,72,68,71,64,57,27,51,49,50,47,0,1,0,3,[]
327,65,91,62,62,59,60,55,65,56,56,71,78,80,56,57,15,56,46,57,48,0,1,0,3,[]
328,71,89,56,57,50,53,55,57,54,52,83,79,82,56,47,6,58,41,51,44,0,1,0,3,[]
329,80,85,56,49,53,44,55,48,62,51,89,72,80,45,47,7,58,41,62,39,0,1,0,3,[]
330,86,81,61,43,57,41,58,46,70,48,87,67,72,34,61,12,84,13,64,31,0,1,0,3,[]
331,88,79,63,39,65,41,61,43,80,53,87,58,67,32,66,26,74,26,69,32,0,2,0,3,[]
332,91,71,64,41,68,42,67,45,72,48,89,52,69,35,64,31,63,33,62,34,0,2,0,3,[]
333,91,68,58,46,67,52,68,50,62,50,87,48,63,34,66,28,57,33,62,35,0,2,0,3,[]
334,90,57,58,46,58,48,61,50,55,46,91,40,62,36,66,28,63,36,73,34,0,3,0,3,[]
335,91,54,61,43,59,45,58,46,55,44,92,48,63,37,94,10,61,36,66,34,0,3,0,3,[]
336,89,53,60,44,61,43,59,48,54,40,91,45,64,36,81,23,61,36,63,34,0,3,0,3,[]
337,91,51,53,42,56,47,57,46,54,42,91,47,64,37,69,33,60,37,63,35,0,3,0,3,[]
338,91,50,57,48,51,42,56,44,56,41,92,45,64,36,71,34,69,34,66,35,0,3,0,3,[]
339,86,51,71,50,62,42,62,39,68,40,91,46,72,34,75,34,68,35,69,34,0,3,0,3,[]
340,90,46,83,50,58,45,58,45,66,43,86,37,66,35,71,34,61,36,64,34,0,3,0,3,[]
341,92,45,82,49,58,45,59,45,67,45,76,35,67,34,64,33,62,35,67,33,0,4,0,3,[]
342,87,39,87,45,61,42,60,42,67,41,83,31,70,34,70,33,64,35,68,33,0,4,0,3,[]
343,88,33,89,34,65,40,64,41,66,39,88,27,81,31,69,33,63,32,66,34,0,4,0,3,[]
344,92,35,91,37,62,38,58,38,65,40,91,26,84,30,69,32,65,30,63,33,0,4,0,3,[]
345,90,37,88,39,62,42,62,40,66,41,92,31,87,31,79,33,65,33,67,32,0,4,0,3,[]
346,92,39,88,40,72,40,67,39,64,39,92,31,88,32,84,34,75,26,77,27,0,4,0,3,[]
347,92,39,88,39,73,42,66,40,68,40,93,31,89,32,83,34,84,16,86,18,0,4,0,3,[]
348,93,36,88,38,68,40,64,39,66,38,92,26,88,30,82,31,93,7,93,7,0,4,0,3,[]
349,92,36,88,39,67,32,58,33,61,33,90,19,92,30,83,31,91,13,87,17,0,5,0,3,[]
350,92,37,86,50,54,30,51,24,52,26,94,7,87,30,77,28,79,23,82,19,0,5,0,3,[]
351,93,43,85,51,48,18,45,13,47,14,85,17,92,41,81,38,90,47,90,48,0,5,0,3,[]
352,93,38,73,43,46,11,48,9,48,5,71,17,90,41,90,40,91,42,89,42,0,5,0,3,[]
353,93,38,65,37,50,11,48,7,52,9,63,14,78,34,76,33,84,36,78,35,0,6,0,3,[]
354,93,38,55,42,39,16,47,6,48,10,61,9,80,44,65,39,72,34,67,36,0,6,0,3,[]
355,93,38,54,46,31,18,2,96,2,95,67,6,77,53,76,46,62,39,63,40,0,6,0,3,[]
356,93,38,5,90,25,28,19,90,16,87,66,7,70,64,83,58,60,49,54,47,0,6,0,3,[]
357,93,38,13,75,33,40,31,80,31,80,60,7,66,70,87,70,67,58,55,57,0,6,0,3,[]
358,93,38,18,63,34,42,40,71,42,70,57,9,66,70,86,78,67,66,55,63,0,6,0,3,[]
359,93,38,24,55,34,42,47,68,49,67,56,8,70,65,79,81,66,54,58,66,0,6,0,3,[]
360,93,38,15,44,2,96,49,73,49,68,60,8,75,72,80,88,54,50,65,57,0,6,0,3,[]
361,93,38,22,43,10,84,47,74,48,74,60,8,79,75,80,88,56,42,61,51,0,6,0,3,[]
362,93,38,26,37,23,73,50,77,60,77,90,15,87,72,89,79,55,31,61,51,0,6,0,3,[]
363,10,95,33,47,31,67,53,85,47,78,76,25,84,61,88,65,51,23,85,9,0,6,0,3,[]
364,28,91,43,60,35,63,52,89,34,74,68,32,82,57,84,52,44,12,69,12,0,6,0,3,[]
365,41,89,54,63,39,59,52,89,38,62,56,32,73,53,78,52,33,9,56,10,0,6,0,3,[]
366,55,89,55,58,48,52,53,84,38,49,55,30,76,52,79,49,42,9,46,13,0,6,0,3,[]
367,68,89,53,57,48,57,48,77,47,54,48,25,95,4,95,4,52,19,48,22,0,6,0,3,[]
368,74,89,63,51,57,57,50,67,62,57,55,21,84,10,90,12,65,25,57,22,0,6,0,3,[]
369,77,87,75,49,66,61,61,61,72,49,44,24,73,23,78,24,66,30,63,25,0,6,0,3,[]
370,86,76,74,49,68,61,59,58,72,48,30,22,63,32,66,30,62,33,60,33,0,6,0,3,[]
371,89,65,65,52,57,56,54,56,63,57,18,18,59,37,57,34,54,42,57,43,0,6,0,3,[]
372,91,63,62,52,55,54,54,57,53,57,12,21,52,47,55,42,48,48,48,46,0,6,0,3,[]
373,82,66,55,48,52,52,57,63,50,53,11,19,43,41,46,38,42,44,41,40,0,6,0,3,[]
374,68,61,56,47,49,51,57,63,48,51,8,25,43,41,56,30,42,44,39,41,0,6,0,3,[]
375,56,54,43,36,43,44,9,85,43,44,6,27,41,31,54,21,93,12,41,29,0,6,0,3,[]
376,55,44,33,37,30,39,23,72,34,38,7,19,50,21,54,19,91,29,52,21,0,6,0,3,[]
377,56,45,37,49,23,43,31,63,34,38,7,19,62,25,65,25,88,33,60,23,0,6,0,3,[]
378,48,46,37,49,19,36,28,52,2,96,89,14,66,34,62,35,76,33,60,23,0,6,0,3,[]
379,36,40,5,90,11,30,18,46,19,84,82,29,67,40,62,34,64,35,85,10,0,6,0,3,[]
380,35,43,18,76,12,23,21,51,30,72,81,42,72,43,62,34,64,36,77,24,0,6,0,3,[]
381,34,43,27,67,11,20,30,59,39,62,81,43,61,35,49,34,64,36,67,33,0,6,0,3,[]
382,45,47,31,53,10,20,42,56,47,52,80,47,52,34,54,32,95,4,57,41,0,6,0,3,[]
383,51,47,34,41,21,27,49,48,47,47,88,55,59,36,59,35,43,9,61,38,0,6,0,3,[]
384,48,48,41,35,28,32,44,44,45,37,91,64,58,41,57,41,49,17,59,39,0,6,0,3,[]
385,45,44,36,36,37,41,38,39,41,28,90,73,58,41,59,37,57,27,56,47,0,6,0,3,[]
386,45,44,25,30,39,43,40,43,40,40,90,74,57,42,60,35,58,39,55,46,0,6,0,3,[]
387,12,90,32,35,30,35,37,41,38,43,88,76,51,51,56,46,52,51,51,51,0,6,0,3,[]
388,20,77,40,44,30,34,44,46,45,45,82,78,48,53,52,56,43,58,43,55,0,6,0,3,[]
389,30,68,45,50,42,45,47,47,48,49,82,78,52,55,53,54,47,56,51,60,0,6,0,3,[]
390,41,60,48,50,48,48,49,47,53,47,95,5,55,53,57,57,55,55,54,57,0,6,0,3,[]
391,46,50,47,47,44,43,43,44,50,44,90,12,53,52,55,55,55,54,52,55,0,6,0,3,[]
392,41,44,40,42,42,41,42,40,47,40,75,21,46,46,49,47,46,49,44,48,0,6,0,3,[]
393,42,44,46,47,42,44,48,41,50,45,41,52,46,52,46,53,45,52,50,49,0,6,0,3,[]
394,42,43,42,41,42,40,49,41,50,44,40,50,47,51,48,48,47,52,49,49,0,6,0,3,[]
395,51,45,47,45,48,42,49,40,50,42,46,49,51,47,55,46,53,49,55,48,0,6,0,3,[]
396,50,45,47,38,47,44,55,44,48,48,45,44,51,47,52,45,48,48,51,46,0,6,0,3,[]
397,50,51,43,38,47,48,49,51,48,50,47,47,51,47,47,54,47,50,50,52,0,6,0,3,[]
398,49,49,47,49,47,48,49,51,47,51,48,47,51,47,52,54,48,50,50,52,0,6,0,3,[]
399,52,52,45,50,47,48,49,51,48,41,50,49,51,47,51,52,48,50,50,52,0,6,0,3,[]
400,49,50,45,50,47,48,49,51,43,44,47,50,51,47,45,53,48,50,50,52,0,6,0,3,[]
401,40,44,45,50,47,48,49,51,41,44,37,42,51,47,45,53,48,50,50,52,0,6,0,3,[]
402,38,41,45,50,47,48,49,51,42,46,40,40,51,47,45,53,48,50,50,52,0,6,0,3,[]
403,44,46,45,50,47,48,49,51,45,50,42,44,51,47,45,53,48,50,50,52,0,6,0,3,[]
404,53,45,45,50,47,48,49,51,50,44,42,44,51,47,45,53,48,50,50,52,0,6,0,3,[]
405,63,37,45,50,47,48,49,51,60,37,42,44,89,6,45,53,48,50,50,52,0,6,0,3,[]
406,65,36,45,50,47,48,49,51,55,40,42,44,93,5,45,53,48,50,50,52,0,6,0,3,[]
407,58,40,45,50,47,48,49,51,55,40,42,44,84,13,45,53,48,50,85,10,0,6,0,3,[]
408,56,41,45,50,2,96,2,96,8,87,42,44,72,25,45,53,48,50,74,23,0,6,0,3,[]
409,2,96,7,86,12,76,2,96,22,73,42,44,63,32,45,53,48,50,68,30,0,6,0,3,[]
410,13,81,16,70,17,60,38,38,31,62,42,44,50,33,45,53,85,9,60,35,0,6,0,3,[]
411,33,31,18,55,25,51,31,33,31,48,42,44,39,30,95,4,73,22,50,40,0,6,0,3,[]
412,31,33,24,39,35,48,31,34,34,43,42,44,39,30,43,37,64,31,40,32,0,6,0,3,[]
413,34,31,31,32,33,37,35,32,35,36,42,44,42,36,42,40,53,32,40,37,0,6,0,3,[]
414,33,33,33,32,33,31,30,32,36,36,87,8,38,40,39,39,40,36,36,39,0,6,0,3,[]
415,37,40,34,38,34,39,41,37,34,35,70,16,41,41,40,41,41,41,41,42,0,6,0,3,[]
416,41,38,40,34,41,39,43,36,34,35,61,25,41,42,42,43,39,42,42,41,0,6,0,3,[]
417,41,38,37,27,41,39,40,31,34,35,51,21,41,36,42,33,40,34,41,33,0,6,0,3,[]
418,41,38,34,26,41,39,40,31,34,35,35,23,50,42,50,40,51,42,41,33,0,6,0,3,[]
419,41,38,33,29,41,39,40,31,34,35,31,31,45,52,45,51,47,53,41,33,0,6,0,3,[]
420,41,38,33,17,41,39,40,31,34,35,32,28,35,61,35,59,35,62,41,33,0,6,0,3,[]
421,41,38,34,17,41,39,40,31,34,35,25,38,26,70,26,70,25,70,41,33,0,6,0,3,[]
422,41,38,12,91,41,39,40,31,34,35,20,50,21,76,19,76,21,74,41,33,0,6,0,4,[]
423,41,38,13,89,41,39,40,31,34,35,19,62,16,84,16,86,19,81,41,33,0,6,0,4,[]
424,41,38,12,93,41,39,40,31,2,96,16,75,12,92,18,85,16,87,41,33,0,6,0,4,[]
425,41,38,12,93,41,39,40,31,7,90,10,84,10,85,15,86,13,84,41,33,0,6,0,6,[]
426,41,38,12,93,41,39,40,31,6,92,12,88,10,86,9,92,12,85,41,33,0,6,0,6,[]
427,41,38,12,93,41,39,40,31,6,92,12,88,10,86,9,92,12,85,41,33,0,6,0,6,[]
