,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
238,65,59,63,57,65,60,62,60,58,67,57,64,73,62,54,65,68,57,64,61,0,1,0,2,"['19:47 BLGADD(铁铠冥魂) 击杀了 WEMissing(河流之王)', '19:49 BLGMeteor(狂战士) 击杀了 WEMystic(寒冰射手)']"
239,57,55,53,51,55,54,53,53,58,67,57,64,74,58,54,65,68,57,64,61,0,1,0,2,[]
240,57,55,44,43,49,46,46,47,58,67,57,64,74,58,54,65,68,57,64,61,0,1,0,2,[]
241,2,96,33,37,39,39,38,40,58,67,57,64,86,9,54,65,68,57,64,61,0,1,0,2,[]
242,2,96,31,34,33,32,32,33,58,67,57,64,74,16,54,65,68,57,64,61,0,1,0,2,[]
243,34,30,31,30,32,31,34,32,58,67,57,64,63,23,54,65,68,57,64,61,0,1,0,2,[]
244,34,30,31,29,32,30,34,32,3,94,79,13,51,21,54,65,68,57,64,61,0,1,0,2,[]
245,27,31,25,35,26,35,32,32,13,80,67,11,46,23,95,5,68,57,93,6,0,1,0,2,['20:22 BLG 击杀了大龙']
246,27,20,2,96,2,96,2,96,18,76,54,9,42,18,85,22,83,12,83,20,0,1,0,2,[]
247,22,10,10,82,9,86,12,92,8,86,38,9,43,18,81,38,73,23,73,29,0,1,0,2,[]
248,17,12,16,68,21,76,25,83,20,75,27,10,44,17,77,52,63,32,63,38,0,1,0,2,[]
249,13,15,18,53,31,68,36,77,29,67,23,11,49,24,75,66,54,41,53,46,0,1,0,2,[]
250,14,10,24,57,42,59,47,79,39,59,26,12,52,35,80,80,47,50,48,53,0,1,0,2,[]
251,22,13,30,49,47,58,44,70,46,53,30,19,51,33,80,81,50,42,52,49,0,1,0,2,[]
252,24,12,37,41,50,51,42,60,47,52,37,14,42,32,77,68,50,32,52,44,0,1,0,2,[]
253,23,13,43,36,54,46,50,52,51,47,50,21,55,40,74,60,53,29,58,43,0,1,0,2,[]
254,27,9,40,37,48,52,44,46,48,42,55,31,54,45,76,58,59,37,56,45,0,1,0,2,[]
255,26,7,40,32,53,65,39,55,42,43,59,36,55,53,68,65,58,44,56,48,0,1,0,2,[]
256,30,8,42,44,49,65,40,60,32,44,61,34,57,55,70,63,55,48,54,48,0,1,0,2,[]
257,37,9,45,44,50,65,42,56,41,51,65,20,62,60,77,75,55,45,52,42,0,2,0,2,['21:21 BLG 击破了防御塔']
258,34,9,49,48,49,55,48,51,46,49,62,15,64,52,71,91,55,47,52,43,0,2,0,3,['21:30 WExiye(元素女皇) 击破了防御塔']
259,41,11,51,45,55,47,52,46,54,44,65,30,57,43,75,90,58,40,56,41,0,2,0,3,[]
260,50,11,51,45,53,48,47,47,50,49,58,39,57,43,77,86,58,42,55,41,0,2,0,3,[]
261,46,10,47,49,44,57,44,54,43,56,59,38,54,42,72,77,57,45,57,45,0,2,0,3,[]
262,47,8,42,41,40,68,44,50,39,65,57,25,56,33,70,79,67,39,61,39,0,2,0,3,[]
263,39,9,32,38,42,81,45,52,46,52,56,12,59,40,74,65,68,40,63,41,0,2,0,3,[]
264,41,10,23,43,46,88,48,49,49,49,47,7,55,44,75,53,58,44,57,45,0,2,0,3,[]
265,45,11,21,45,52,88,43,52,44,53,54,9,50,41,74,56,54,46,56,41,0,2,0,3,[]
266,39,15,19,45,61,91,39,55,43,51,44,13,41,31,75,49,58,39,58,39,0,2,0,3,[]
267,27,15,22,50,67,92,4,95,42,44,37,11,33,22,66,41,39,11,36,12,0,2,0,3,[]
268,21,14,24,40,71,89,4,97,34,37,24,11,24,14,57,39,29,12,25,13,0,2,0,3,[]
269,26,11,36,40,81,82,4,96,38,39,28,10,26,11,51,47,25,10,27,13,0,2,0,3,[]
270,24,9,46,49,88,75,49,52,47,51,23,8,25,9,58,40,23,8,26,10,0,2,0,3,['22:29 BLGADD(铁铠冥魂) 击杀了 WEPoss(狂暴之心)']
271,24,9,56,47,89,74,56,45,57,47,23,8,30,19,64,36,17,13,18,15,0,2,0,3,['22:31 WEbeishang(凛冬之怒) 击杀了 BLGADD(铁铠冥魂)']
272,24,9,66,40,88,67,61,41,61,39,23,8,41,25,66,33,14,11,21,14,0,3,0,3,['22:38 BLGJinjiao(惩戒之箭) 击破了防御塔']
273,24,9,64,34,87,53,64,36,64,36,23,8,54,30,70,30,14,11,21,14,0,3,0,3,[]
274,24,9,63,38,89,45,65,37,65,36,23,8,58,30,70,30,90,7,92,10,0,4,0,3,['22:50 BLGJinjiao(惩戒之箭) 击破了防御塔']
275,24,9,73,43,89,46,72,42,72,42,23,8,67,28,84,37,84,21,89,26,0,4,0,3,[]
276,24,9,84,50,92,49,82,49,84,50,23,8,76,34,90,44,88,34,88,40,0,4,0,3,[]
277,24,9,87,50,92,50,88,50,87,48,23,8,82,44,93,40,92,42,87,42,0,5,0,3,['23:5 BLGJinjiao(惩戒之箭) 击破了防御塔']
278,24,9,86,64,88,63,88,63,89,60,23,8,79,40,92,47,87,39,90,48,0,5,0,3,[]
279,24,9,87,69,80,67,87,68,87,75,89,17,80,39,89,44,77,33,87,38,0,5,0,3,[]
280,5,82,2,96,2,96,82,80,2,96,79,27,95,4,90,46,71,29,76,34,0,5,0,3,[]
281,6,67,14,86,13,82,72,87,15,88,66,34,84,14,93,52,61,37,63,37,0,5,0,3,[]
282,7,54,23,73,25,73,61,86,24,73,53,34,75,26,93,52,53,44,55,45,0,5,0,3,[]
283,7,41,32,61,35,64,54,84,32,64,48,33,68,36,91,10,57,42,50,47,0,5,0,3,[]
284,8,30,24,57,44,56,53,85,42,56,43,25,67,43,83,28,68,41,47,40,0,5,0,3,[]
285,8,29,35,59,46,58,2,96,44,54,46,16,66,55,81,41,78,49,57,38,0,5,0,3,[]
286,11,33,48,55,56,67,14,85,44,54,45,12,65,56,87,53,77,49,57,38,0,5,0,3,[]
287,25,36,60,59,60,63,26,75,48,53,48,16,66,62,87,66,67,44,92,9,0,5,0,3,[]
288,37,42,63,61,64,62,36,66,57,55,53,21,76,55,87,70,57,42,81,22,0,5,0,3,[]
289,48,46,58,60,59,58,45,56,51,54,39,14,74,48,87,57,61,36,71,31,0,5,0,3,[]
290,54,49,47,65,57,66,54,54,56,46,27,11,66,40,80,47,61,37,62,38,0,5,0,3,[]
291,44,45,55,64,64,77,54,52,61,50,23,13,66,41,80,40,61,36,62,40,0,5,0,3,[]
292,35,38,66,67,76,76,54,53,57,54,29,21,66,45,73,49,62,35,64,41,0,5,0,3,[]
293,40,36,67,69,87,74,50,52,54,53,31,22,67,42,70,48,95,4,61,39,0,5,0,3,[]
294,30,37,66,71,89,70,50,51,51,50,36,24,62,37,82,51,80,14,60,38,0,5,0,3,[]
295,19,36,65,71,88,72,55,57,54,56,41,29,68,40,90,58,70,25,63,36,0,5,0,3,[]
296,11,30,67,65,88,72,51,53,55,56,44,24,73,42,92,56,64,31,66,37,0,5,0,3,['24:37 BLG 击杀了水龙']
297,11,22,58,56,81,77,50,46,53,47,44,24,74,44,93,53,59,35,60,36,0,5,0,3,[]
298,15,21,48,51,78,72,51,46,53,43,89,6,65,37,91,54,58,35,58,34,0,5,0,3,[]
299,27,22,50,47,68,64,50,49,51,47,71,11,56,33,89,54,59,37,56,41,0,5,0,3,[]
300,38,27,41,39,56,55,48,46,45,44,55,11,52,34,88,60,56,40,58,41,0,5,0,3,[]
301,41,33,41,35,45,48,41,39,43,36,56,12,54,32,79,70,59,35,59,36,0,5,0,3,[]
302,34,23,41,37,43,44,40,42,40,43,57,26,54,32,83,83,58,35,58,39,0,5,0,3,[]
303,28,15,32,38,44,49,44,48,43,46,52,35,48,35,75,74,55,41,56,44,0,5,0,3,[]
304,26,23,22,44,46,53,44,53,47,51,45,35,45,40,67,63,55,44,55,47,0,5,0,3,[]
305,25,27,15,42,39,64,39,61,40,58,48,41,49,49,55,57,50,50,49,53,0,5,0,3,[]
306,25,27,15,42,44,67,39,60,39,59,55,30,55,44,55,57,52,53,53,52,0,5,0,3,[]
307,16,87,4,96,39,61,40,59,41,57,50,17,55,44,65,56,60,44,58,50,0,5,0,3,[]
308,25,75,15,82,41,53,39,59,42,57,44,9,88,7,68,50,56,34,58,50,0,5,0,3,[]
309,33,66,26,73,32,46,37,64,42,67,45,7,72,15,68,50,62,34,83,11,0,5,0,3,[]
310,45,67,38,67,40,39,47,73,45,72,44,7,63,23,83,13,62,35,72,22,0,5,0,3,[]
311,56,65,52,67,46,48,47,73,49,67,45,7,54,32,72,25,60,35,63,32,0,5,0,3,[]
312,63,76,61,61,49,50,49,67,48,58,47,11,47,37,66,31,55,44,56,42,0,5,0,3,[]
313,61,74,57,55,45,52,48,55,48,54,54,20,48,40,57,41,53,46,54,46,0,5,0,3,[]
314,57,62,54,50,45,51,50,52,52,49,55,30,54,42,58,42,56,41,57,43,0,5,0,3,[]
315,52,50,52,43,49,46,51,47,54,45,53,37,58,38,60,38,55,34,60,39,0,5,0,3,[]
316,48,39,47,36,42,40,44,42,49,41,55,30,53,31,54,30,51,26,56,33,0,5,0,3,[]
317,45,38,47,37,43,44,44,46,44,38,58,33,57,34,55,32,56,32,51,32,0,5,0,3,[]
318,45,37,39,33,47,46,46,49,43,35,60,38,52,33,57,41,57,42,47,24,0,5,0,3,[]
319,52,42,44,32,49,47,49,46,49,42,60,37,53,31,60,40,59,41,46,27,0,5,0,3,[]
320,48,38,50,34,46,44,55,44,58,41,62,34,54,30,58,33,64,31,52,29,0,5,0,3,[]
321,55,31,55,30,47,36,58,37,59,36,64,26,59,25,59,26,66,28,58,26,0,5,0,3,[]
322,56,31,58,34,55,31,59,36,58,31,65,26,66,26,66,29,66,28,63,21,0,5,0,3,[]
323,65,39,70,40,60,40,58,42,65,37,69,30,70,30,71,32,83,15,68,26,0,5,0,3,[]
324,76,45,58,41,49,46,52,51,61,41,70,31,66,34,66,31,72,25,67,32,0,5,0,3,[]
325,79,54,43,39,37,40,51,62,48,47,60,39,58,41,59,35,62,33,61,38,0,5,0,3,[]
326,79,55,30,37,28,36,44,67,39,49,51,41,49,41,53,46,54,43,54,43,0,5,0,3,[]
327,75,55,24,42,22,44,34,61,29,45,45,40,37,39,46,46,48,46,46,41,0,5,0,3,[]
328,75,59,23,46,27,50,27,59,31,51,39,38,33,35,40,38,40,38,36,37,0,5,0,3,[]
329,64,59,27,50,31,52,34,59,32,52,44,41,43,42,41,30,48,43,45,38,0,5,0,3,[]
330,53,56,39,50,39,49,44,56,40,52,44,42,43,39,35,20,48,48,50,47,0,5,0,3,[]
331,48,50,43,46,45,50,43,54,45,49,95,6,41,28,32,9,58,42,57,39,0,5,0,3,[]
332,39,41,36,40,42,45,43,49,43,46,92,27,43,18,28,9,70,40,55,32,0,5,0,3,[]
333,29,34,31,34,42,45,38,50,41,45,91,37,47,17,31,9,64,39,55,32,0,5,0,3,[]
334,19,24,31,37,2,96,38,50,2,96,91,40,42,25,40,16,56,32,87,7,0,5,0,3,[]
335,15,21,33,40,13,82,7,88,11,83,89,44,38,28,41,28,52,32,73,17,0,5,0,3,[]
336,15,17,24,39,24,71,22,79,22,72,90,50,46,35,46,24,59,37,68,27,0,5,0,3,[]
337,15,16,21,44,35,61,31,68,33,65,93,60,47,40,50,34,54,46,66,39,0,5,0,3,[]
338,16,17,21,44,39,52,41,59,41,59,90,73,42,33,42,33,54,46,65,52,0,5,0,3,[]
339,26,22,30,33,32,46,45,53,46,51,90,69,43,35,50,42,51,47,56,47,0,5,0,3,[]
340,38,24,41,39,39,40,44,50,46,49,82,59,47,39,47,35,53,43,52,45,0,5,0,3,[]
341,44,24,47,44,45,37,48,50,50,49,74,61,54,45,54,32,58,45,56,43,0,5,0,3,[]
342,47,25,49,43,42,39,46,46,47,47,63,59,55,45,58,41,58,45,57,46,0,5,0,3,[]
343,41,28,43,42,37,41,41,44,42,43,53,58,46,46,50,46,50,50,51,44,0,5,0,3,[]
344,46,39,43,43,42,43,42,43,44,46,47,52,49,49,43,44,44,52,49,46,0,5,0,3,['28:40 WExiye(元素女皇) 击杀了 BLGJinjiao(惩戒之箭)']
345,50,45,37,41,41,39,42,43,42,36,45,47,44,48,40,42,42,45,48,46,0,5,0,3,['28:43 BLGKuro(机械公敌) 击杀了 WExiye(元素女皇)']
346,51,47,43,47,47,42,42,43,42,45,45,50,48,51,40,42,47,53,51,48,0,5,0,3,[]
347,46,49,44,46,49,43,42,43,44,44,47,46,47,51,40,42,46,53,48,48,0,5,0,3,[]
348,41,41,42,45,47,40,42,43,42,42,48,46,46,48,40,42,44,48,45,45,0,5,0,3,['28:56 BLGKuro(机械公敌) 击杀了 WEPoss(狂暴之心)']
349,42,45,42,46,44,45,42,43,42,45,48,46,47,51,40,42,43,51,45,46,0,5,0,3,"['29:3 BLGKuro(机械公敌) 击杀了 WEMissing(河流之王)', '29:4 BLGMeteor(狂战士) 击杀了 WEbeishang(凛冬之怒)']"
350,43,53,44,51,45,51,42,43,43,51,48,46,47,51,40,42,42,58,45,46,0,5,0,3,[]
351,42,57,42,57,41,57,42,43,44,56,48,46,47,51,40,42,39,61,45,46,0,5,0,3,"['29:15 WEMystic(寒冰射手) 击杀了 BLGKuro(机械公敌)', '29:15 BLGADD(铁铠冥魂) 击杀了 WEMystic(寒冰射手)']"
352,38,59,42,47,41,57,42,43,42,46,48,46,47,51,40,42,39,61,45,46,0,5,0,3,[]
353,43,48,32,36,41,57,42,43,34,37,48,46,47,51,40,42,39,61,45,46,0,5,0,3,[]
354,36,39,31,31,41,57,2,96,33,32,48,46,47,51,40,42,39,61,45,46,0,5,0,3,[]
355,34,31,32,31,41,57,34,31,33,32,48,46,47,51,84,5,39,61,45,46,0,5,0,3,[]
356,33,31,32,31,41,57,34,32,32,32,48,46,47,51,66,7,39,61,45,46,0,5,0,3,['29:40 BLG 击杀了大龙']
357,32,32,28,32,41,57,37,41,31,32,48,46,47,51,51,7,39,61,45,46,0,5,0,3,[]
358,4,96,9,93,41,57,44,47,11,91,89,15,47,51,39,7,39,61,89,13,0,5,0,3,[]
359,11,95,26,85,41,57,46,51,23,79,75,26,85,12,41,10,39,61,77,25,0,5,0,3,[]
360,28,93,37,76,41,57,48,53,32,70,66,34,75,26,33,17,39,61,68,35,0,5,0,3,[]
361,41,92,48,66,41,57,45,56,41,61,58,41,63,25,22,14,39,61,60,39,0,5,0,3,[]
362,54,90,53,66,17,86,9,92,47,58,63,39,53,34,16,16,86,17,58,38,0,5,0,3,[]
363,63,90,63,59,28,75,23,80,50,55,74,52,55,32,26,12,74,28,65,36,0,5,0,3,[]
364,68,88,69,62,37,65,33,70,57,55,79,55,66,39,39,15,66,39,63,41,0,5,0,3,[]
365,79,83,69,66,47,55,42,60,51,53,80,51,66,47,45,15,67,39,64,40,0,5,0,3,[]
366,87,79,68,67,50,51,50,52,52,51,80,42,71,50,46,15,60,38,64,37,0,5,0,3,[]
367,85,80,67,69,60,60,55,50,56,48,80,42,79,49,56,23,62,37,65,37,0,5,0,3,[]
368,87,68,67,60,66,56,52,45,49,41,93,9,78,37,60,35,63,35,64,37,0,5,0,3,['30:38 BLG 击杀了风龙']
369,87,55,66,46,59,47,56,47,56,44,88,25,69,32,68,32,71,32,65,36,0,5,0,3,[]
370,89,49,69,47,60,43,61,43,60,42,87,36,79,37,79,21,74,34,74,35,0,5,0,3,[]
371,90,47,76,52,61,43,62,42,64,40,91,37,80,34,87,9,76,29,74,35,0,5,0,3,[]
372,87,43,80,43,64,41,62,39,59,36,91,31,83,31,90,12,73,26,92,10,0,5,0,3,[]
373,90,35,80,36,71,39,67,31,66,35,92,30,90,31,79,26,72,25,79,23,0,5,0,3,[]
374,89,37,81,38,68,33,67,32,69,31,92,32,80,31,77,28,73,26,75,28,0,5,0,3,[]
375,89,36,80,39,67,37,65,36,67,35,90,31,83,30,82,29,71,28,71,28,0,5,0,3,[]
376,88,39,79,39,73,41,66,34,68,35,92,33,83,31,88,32,84,30,80,30,0,5,0,3,[]
377,88,41,82,37,67,39,64,34,68,34,91,36,87,38,87,32,90,36,87,36,0,5,0,3,[]
378,87,46,81,36,70,41,74,35,79,35,91,37,84,34,89,35,91,37,90,36,0,5,0,3,[]
379,87,40,74,32,72,30,73,31,74,32,85,30,83,30,81,27,84,29,83,31,0,5,0,3,[]
380,81,33,73,30,76,32,72,30,72,29,83,30,81,25,70,24,82,22,81,31,0,5,0,3,[]
381,83,35,73,29,75,32,71,29,73,28,80,25,84,20,77,20,79,24,80,25,0,6,0,3,['31:45 BLGJinjiao(惩戒之箭) 击破了防御塔']
382,89,43,71,23,75,27,72,25,74,24,85,25,93,8,84,20,79,19,82,24,0,6,0,3,[]
383,88,42,69,27,73,28,73,25,72,25,86,29,94,5,81,21,81,21,81,26,0,6,0,3,[]
384,87,43,64,39,65,38,64,31,66,38,90,33,87,24,88,31,78,26,79,28,0,6,0,3,[]
385,81,51,67,53,57,42,53,28,66,40,88,30,80,32,89,34,81,31,79,31,0,6,0,3,[]
386,76,58,57,65,57,42,50,32,3,96,90,32,75,27,78,29,74,26,79,31,0,6,0,3,[]
387,3,95,57,81,8,86,7,88,19,83,91,32,74,22,85,25,79,17,91,6,0,6,0,3,[]
388,3,95,57,83,9,67,17,72,30,69,90,46,66,32,91,10,88,8,77,14,0,6,0,3,[]
389,7,88,51,83,11,53,18,58,39,59,90,37,62,33,84,11,90,12,73,24,0,6,0,3,[]
390,21,80,52,73,11,38,21,54,45,49,75,32,55,31,71,24,75,26,65,33,0,6,0,3,[]
391,34,78,52,73,11,23,20,47,47,51,64,36,55,31,64,32,64,25,61,40,0,6,0,3,[]
392,39,72,11,81,13,20,15,39,45,47,55,43,57,41,56,41,56,22,59,42,0,6,0,3,[]
393,50,67,26,70,13,22,11,28,41,35,64,36,61,33,64,35,66,29,57,33,0,6,0,3,[]
394,59,72,35,58,25,22,20,24,30,33,70,33,52,34,58,33,56,34,52,33,0,6,0,3,[]
395,71,78,46,52,36,15,31,17,28,21,70,33,55,30,57,30,60,35,63,37,0,6,0,3,[]
396,84,78,44,53,38,16,37,16,39,15,85,18,56,30,50,19,70,39,69,41,0,6,0,3,[]
397,88,73,44,45,40,10,39,14,46,16,73,26,92,5,58,22,63,37,64,37,0,6,0,3,[]
398,87,68,32,37,45,13,44,12,47,9,69,29,74,11,65,17,65,34,66,34,0,6,0,3,[]
399,89,59,35,37,51,9,48,8,50,9,79,30,60,11,62,11,67,28,67,28,0,6,0,3,[]
400,88,48,47,45,43,14,46,8,45,9,88,39,59,11,54,6,63,15,63,17,0,7,0,3,['33:16 BLG 击破了防御塔']
401,89,48,56,44,51,9,50,8,51,9,92,40,62,22,63,11,69,22,63,13,0,7,0,3,[]
402,79,53,56,44,49,11,54,8,53,9,91,40,62,24,62,11,67,31,63,9,0,7,0,3,[]
403,76,51,56,32,53,11,51,8,53,9,86,31,66,20,69,17,71,23,66,11,0,7,0,3,[]
404,81,50,60,24,56,14,54,10,57,15,76,25,70,26,73,24,71,18,67,13,0,7,0,3,[]
405,90,43,58,30,59,17,55,11,58,11,69,18,73,26,70,21,67,10,62,19,0,7,0,3,[]
406,90,41,66,33,54,20,55,10,54,11,72,22,67,15,71,20,63,8,64,12,0,7,0,3,[]
407,88,38,71,31,59,16,56,9,56,10,83,28,68,15,80,25,67,10,66,9,0,7,0,3,[]
408,89,36,83,35,58,23,57,22,58,22,93,31,77,25,89,30,72,15,72,17,0,7,0,3,[]
409,89,40,82,35,70,30,67,30,68,29,91,28,86,31,83,26,79,24,80,27,0,7,0,3,[]
410,89,41,73,31,69,35,66,43,62,39,90,33,82,29,75,25,75,20,76,25,0,7,0,3,[]
411,90,39,67,31,70,39,76,48,76,44,87,30,74,32,77,29,75,26,77,29,0,7,0,3,[]
412,91,45,70,29,78,46,89,48,88,47,89,36,84,36,88,33,87,31,88,33,0,7,0,3,[]
413,91,37,74,27,81,40,92,41,87,38,92,31,81,32,86,30,87,31,89,30,0,7,0,3,[]
414,89,35,83,25,84,34,93,35,92,34,93,27,87,31,88,27,92,27,92,29,0,7,0,3,[]
415,88,34,79,28,86,34,93,37,92,37,92,28,89,31,85,24,88,27,91,30,0,7,0,3,[]
416,86,36,77,26,83,35,92,37,88,37,87,26,89,28,87,26,83,24,90,28,0,7,0,3,[]
417,87,36,74,26,85,34,91,37,90,37,90,27,86,26,82,26,84,23,92,28,0,7,0,3,[]
418,87,35,82,29,84,35,91,38,91,36,92,29,90,30,88,26,89,27,92,28,0,7,0,3,[]
419,90,32,91,25,91,30,91,37,92,36,92,30,89,28,92,37,92,24,93,27,0,7,0,3,[]
420,92,37,91,21,92,23,88,30,91,29,92,31,90,18,93,35,91,23,93,22,0,8,0,3,"['34:59 BLGJinjiao(惩戒之箭) 击破了防御塔', '34:56 BLGKuro(机械公敌) 击杀了 WEPoss(狂暴之心)', '34:56 BLGMeteor(狂战士) 击杀了 WEMystic(寒冰射手)']"
421,89,27,89,22,89,22,87,24,88,23,92,31,84,11,90,30,91,23,94,22,0,8,0,3,"['35:1 BLGKuro(机械公敌) 击杀了 WEMissing(河流之王)', '35:3 BLGADD(铁铠冥魂) 击杀了 WExiye(元素女皇)']"
422,87,17,91,16,89,16,87,18,90,19,92,31,94,3,90,30,91,23,94,22,0,8,0,3,[]
423,84,15,84,13,87,14,84,16,85,13,92,31,94,3,90,30,91,23,94,22,0,9,0,3,['35:13 BLGADD(铁铠冥魂) 击破了防御塔']
424,85,12,85,14,87,14,85,16,87,14,92,31,91,11,90,30,91,23,94,22,0,10,0,3,['35:18 BLGADD(铁铠冥魂) 击破了防御塔']
425,87,9,85,14,89,14,86,16,89,14,92,31,93,8,90,30,91,23,94,22,0,10,0,3,[]
426,87,9,85,14,89,14,86,16,89,14,92,31,93,8,90,30,91,23,94,22,0,10,0,3,['35:30 BLG 获胜']
