,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,9,25,18,46,44,52,85,82,85,81,13,21,49,21,54,65,90,77,86,76,0,0,0,0,[]
59,9,24,23,55,41,56,82,82,82,82,15,22,52,32,59,61,88,77,88,80,0,0,0,0,[]
60,9,28,24,57,46,55,79,85,80,84,12,22,53,33,52,53,84,78,84,82,0,0,0,0,[]
61,8,26,32,61,45,55,81,84,80,84,9,23,54,32,47,50,79,76,80,77,0,0,0,0,[]
62,7,28,43,67,43,53,82,87,83,86,11,24,63,39,46,51,83,80,82,79,0,0,0,0,[]
63,10,24,46,65,46,55,81,85,82,87,13,20,66,48,47,50,86,79,87,81,0,0,0,0,[]
64,9,26,52,65,47,54,80,87,80,86,9,20,64,58,55,50,84,82,86,84,0,0,0,0,[]
65,7,24,57,61,49,52,83,85,82,85,12,19,73,62,54,44,85,80,89,79,0,0,0,0,[]
66,10,23,57,54,50,51,83,86,82,84,13,19,79,56,53,44,86,80,87,81,0,0,0,0,[]
67,9,22,55,54,50,50,82,84,83,84,14,16,82,56,55,45,86,80,87,83,0,0,0,0,[]
68,10,21,65,56,50,50,82,83,81,84,15,16,82,56,57,42,87,77,87,80,0,0,0,0,[]
69,9,19,73,49,57,50,81,83,82,82,15,17,79,49,60,43,87,79,88,80,0,0,0,0,[]
70,10,19,77,47,70,50,83,83,79,74,16,18,81,48,57,43,88,77,85,78,0,0,0,0,[]
71,8,18,77,50,76,49,80,80,75,64,15,19,85,51,57,46,89,73,87,72,0,0,0,0,[]
72,7,29,75,62,64,50,80,76,79,65,12,23,85,51,50,48,91,72,91,71,0,0,0,0,[]
73,6,27,73,74,52,51,86,77,81,77,23,29,76,45,51,46,90,71,91,76,0,0,0,0,[]
74,10,23,64,82,49,53,80,81,82,82,25,30,70,41,51,47,88,78,87,79,0,0,0,0,[]
75,9,22,55,82,46,53,85,83,90,82,17,23,66,47,47,42,87,77,86,77,0,0,0,0,[]
76,9,23,57,83,46,53,85,82,86,81,14,19,65,58,54,50,89,75,90,76,0,0,0,0,[]
77,10,29,59,83,43,55,86,81,85,81,12,19,65,58,48,46,88,75,90,77,0,0,0,0,[]
78,17,34,66,82,47,52,88,76,89,75,13,20,57,47,48,42,91,69,92,72,0,0,0,0,[]
79,26,33,73,73,46,54,87,79,86,78,11,21,48,39,50,49,91,68,90,75,0,0,0,0,[]
80,22,37,73,70,48,51,85,78,85,78,9,21,41,31,52,47,91,68,89,73,0,0,0,0,[]
81,14,34,70,68,51,51,85,78,82,77,12,20,35,37,54,46,95,4,87,73,0,0,0,0,[]
82,7,28,68,68,58,57,80,77,74,69,12,24,30,35,57,44,88,75,85,77,0,0,0,0,[]
83,6,29,70,68,66,65,73,71,69,68,15,15,39,41,59,48,84,79,83,78,0,0,0,0,[]
84,7,27,68,68,67,67,72,69,71,68,19,10,47,49,66,57,77,76,76,73,0,0,0,0,[]
85,9,31,71,68,73,66,75,67,75,69,72,68,56,55,70,69,75,73,77,71,0,0,0,0,['7:4 WE 击杀了土龙']
86,76,73,74,68,75,65,78,64,76,68,76,72,65,59,69,66,74,70,76,72,0,0,0,0,"['7:7 WEMystic(寒冰射手) 击杀了 BLGMeteor(狂战士),获得一血', '7:8 WEPoss(狂暴之心) 击杀了 BLGXinMo(弗雷尔卓德之心)']"
87,78,78,74,68,81,66,77,62,76,68,79,78,75,61,75,64,71,66,75,75,0,0,0,0,"['7:14 WExiye(元素女皇) 击杀了 BLGKuro(机械公敌)', '7:15 BLGADD(铁铠冥魂) 击杀了 WEPoss(狂暴之心)']"
88,74,73,74,68,81,66,77,60,76,68,79,78,75,66,75,64,73,69,74,70,0,0,0,0,"['7:17 WEbeishang(凛冬之怒) 击杀了 BLGJinjiao(惩戒之箭)', '7:19 BLGADD(铁铠冥魂) 击杀了 WEMissing(河流之王)']"
89,70,80,3,94,81,66,77,60,7,96,79,78,74,71,69,67,76,75,74,70,0,0,0,0,[]
90,69,79,11,83,81,66,77,60,20,94,79,78,73,68,58,58,85,78,74,70,0,0,0,0,[]
91,69,79,20,75,5,91,10,95,32,93,79,78,95,4,48,53,88,73,95,4,0,0,0,0,[]
92,3,94,29,65,10,84,21,94,44,91,84,5,82,6,51,48,88,73,93,16,0,0,0,0,[]
93,4,82,39,58,20,75,32,93,55,89,72,6,70,7,51,46,88,74,91,28,0,0,0,0,[]
94,6,70,42,55,30,66,43,92,67,88,57,7,58,9,52,45,87,74,91,40,0,0,0,0,[]
95,7,57,37,50,39,58,54,91,77,84,44,9,46,11,95,4,88,73,89,52,0,0,0,0,[]
96,9,45,35,41,45,52,64,89,79,75,34,17,42,16,89,7,89,73,88,64,0,0,0,0,[]
97,11,32,36,38,47,51,75,87,78,74,23,23,45,15,80,17,89,73,90,74,0,0,0,0,[]
98,13,20,29,37,47,51,84,81,80,76,17,16,45,15,74,27,89,73,90,74,0,0,0,0,[]
99,14,16,24,45,43,46,85,79,86,77,20,13,46,15,65,35,89,71,92,74,0,0,0,0,[]
100,16,15,22,45,42,36,88,77,87,77,22,12,46,16,58,43,89,70,92,71,0,0,0,0,[]
101,19,21,19,45,46,36,89,75,89,74,26,11,48,25,56,44,91,68,93,70,0,0,0,0,[]
102,28,22,17,44,41,39,89,78,88,77,27,8,53,29,53,46,89,69,92,72,0,0,0,0,[]
103,38,26,19,45,45,52,83,83,84,82,24,12,53,30,52,49,88,76,88,75,0,0,0,0,[]
104,28,32,23,55,44,54,80,86,82,85,18,12,54,32,51,49,86,80,87,79,0,0,0,0,[]
105,18,23,26,56,43,54,82,86,85,88,14,17,53,34,50,50,85,80,86,79,0,0,0,0,[]
106,13,19,34,63,43,55,83,85,82,83,16,13,60,35,40,44,86,77,89,78,0,0,0,0,[]
107,9,25,44,68,39,55,82,85,83,84,25,8,73,43,44,54,86,79,87,78,0,0,0,0,[]
108,7,28,45,67,42,55,88,84,81,78,25,8,74,44,47,51,89,75,91,76,0,0,0,0,[]
109,7,26,47,72,42,58,87,77,88,77,92,5,77,46,45,53,90,72,91,74,0,0,0,0,[]
110,12,19,54,76,39,55,85,82,85,81,77,6,74,53,52,54,87,75,88,76,0,0,0,0,[]
111,11,18,53,77,43,58,83,85,83,83,63,7,73,53,64,57,87,76,89,78,0,0,0,0,[]
112,11,19,46,70,39,64,82,84,82,84,50,8,74,59,65,58,88,77,88,80,0,0,0,0,[]
113,10,19,57,66,50,66,81,86,82,84,35,8,65,62,56,55,85,78,88,78,0,0,0,0,[]
114,14,15,53,62,50,60,83,83,84,82,26,8,64,57,56,55,87,77,89,77,0,0,0,0,[]
115,17,9,56,61,46,51,82,83,84,84,26,11,63,57,51,51,88,80,89,84,0,0,0,0,[]
116,18,11,56,57,47,53,82,85,81,85,21,11,60,50,54,51,87,82,88,82,0,0,0,0,[]
117,17,12,60,61,50,51,83,85,81,84,24,11,72,52,55,48,86,81,85,80,0,0,0,0,[]
118,16,18,57,67,51,61,82,85,80,83,20,11,82,57,49,50,85,83,85,81,0,0,0,0,[]
119,15,12,58,79,47,57,80,87,81,84,27,9,83,59,51,49,88,81,87,79,0,0,0,0,[]
120,15,10,57,83,48,53,85,86,85,81,19,15,79,53,53,48,90,78,87,70,0,0,0,0,[]
121,17,17,59,84,45,53,82,81,85,79,22,11,69,50,49,49,94,69,87,66,0,0,0,0,[]
122,22,22,61,84,44,55,81,83,83,84,18,13,59,51,47,49,93,70,87,66,0,0,0,0,[]
123,12,18,61,84,48,52,82,83,88,85,18,16,59,51,51,45,87,69,80,66,0,0,0,0,[]
124,13,16,4,93,45,55,78,85,88,85,19,13,91,6,49,43,89,68,88,68,0,0,0,0,[]
125,12,15,10,84,39,50,78,85,4,91,19,13,78,12,48,51,92,68,93,71,0,0,0,0,[]
126,14,20,20,75,45,55,4,96,11,83,15,11,68,18,48,49,88,74,91,72,0,0,0,0,[]
127,15,17,28,67,45,54,15,95,20,75,19,12,59,27,49,48,83,81,88,76,0,0,0,0,[]
128,17,13,31,55,39,55,27,94,30,72,22,11,49,33,44,42,81,82,85,83,0,0,0,0,[]
129,15,14,34,43,39,52,39,92,33,63,22,12,38,37,35,38,85,82,88,81,0,0,0,0,[]
130,18,20,32,37,32,42,51,91,31,51,19,13,33,32,32,33,89,82,89,79,0,0,0,0,[]
131,30,22,35,30,33,31,63,91,32,39,20,14,40,26,39,26,89,82,95,4,0,0,0,0,[]
132,39,23,44,22,31,34,74,89,37,36,29,17,43,18,41,25,92,6,89,8,0,0,0,0,['10:57 BLGKuro(机械公敌) 击杀了 WExiye(元素女皇)']
133,29,22,41,32,39,41,81,84,35,37,30,18,44,15,41,25,85,11,81,16,0,0,0,0,[]
134,20,21,37,37,49,48,81,83,34,36,22,14,43,16,41,25,82,21,81,29,0,0,0,0,[]
135,14,17,36,38,44,51,78,85,37,37,19,13,44,15,41,25,81,33,80,41,0,0,0,0,[]
136,16,21,32,32,43,51,79,88,32,32,19,13,46,16,41,25,82,44,80,53,0,0,0,0,[]
137,25,29,31,33,3,96,84,86,33,33,18,12,51,27,41,25,86,53,83,64,0,0,0,0,[]
138,28,33,31,35,8,86,76,86,32,33,16,10,51,36,88,8,88,65,82,69,0,0,0,0,[]
139,28,32,30,33,18,77,73,87,31,37,15,16,52,37,79,16,88,74,78,63,0,0,0,0,[]
140,19,23,30,33,29,68,73,88,33,47,15,14,66,40,71,26,88,81,77,71,0,0,0,0,[]
141,14,17,30,34,39,60,76,89,42,54,19,12,71,41,62,36,82,81,83,80,0,0,0,0,[]
142,12,18,30,37,47,52,67,90,50,61,19,12,68,44,54,45,80,87,75,78,0,0,0,0,[]
143,10,17,35,40,48,53,64,93,58,68,19,13,67,54,55,47,74,91,65,83,0,0,0,0,[]
144,12,16,43,45,48,52,68,91,54,76,18,13,57,56,56,48,74,92,72,86,0,0,0,0,[]
145,14,15,51,54,55,56,69,90,61,75,18,14,57,56,55,49,75,91,74,88,0,0,0,0,[]
146,14,13,50,61,50,53,72,93,65,78,19,15,64,53,52,47,75,88,77,88,0,0,0,0,[]
147,14,16,45,64,51,51,66,92,70,87,19,12,64,53,58,44,75,88,75,89,0,0,0,0,[]
148,15,9,53,66,59,61,66,93,67,91,30,8,94,9,55,45,71,87,70,88,0,0,0,0,[]
149,17,9,62,75,51,53,66,93,64,93,27,8,89,16,52,46,72,89,75,88,0,0,0,0,[]
150,17,9,66,77,50,51,64,93,60,93,29,8,81,25,51,46,80,84,78,83,0,0,0,0,[]
151,19,11,70,83,49,52,64,93,60,93,23,10,80,38,56,46,83,86,80,85,0,0,0,0,[]
152,13,12,72,78,55,58,2,96,2,96,18,11,79,50,59,47,83,84,85,85,0,0,0,0,[]
153,11,13,78,75,61,63,79,86,2,96,25,8,83,57,57,45,89,76,87,74,0,0,0,0,[]
154,11,13,78,80,71,69,81,84,82,89,26,9,83,57,56,53,93,69,83,66,0,0,0,0,[]
155,4,86,80,75,79,75,84,82,87,83,29,8,86,65,66,59,93,69,85,66,0,0,0,0,[]
156,5,73,86,77,81,76,90,78,89,77,29,8,92,72,74,65,95,4,88,71,0,0,0,0,[]
157,7,61,82,80,77,77,86,81,88,79,95,4,91,71,75,71,90,69,88,75,0,0,0,0,[]
158,8,48,79,84,71,78,81,87,80,86,64,83,87,81,79,76,83,78,83,82,0,0,0,0,[]
159,9,44,73,89,74,87,81,90,81,90,79,89,82,89,79,87,80,82,80,83,0,0,0,0,['13:14 WExiye(元素女皇) 击杀了 BLGJinjiao(惩戒之箭)']
160,82,86,75,87,77,89,81,90,78,90,84,86,85,85,85,87,83,82,83,85,0,0,0,0,[]
161,79,87,71,89,75,88,81,90,75,89,78,84,82,86,81,88,79,84,82,82,0,0,0,0,[]
162,71,92,66,89,71,91,81,90,72,91,78,87,80,86,78,88,75,87,76,87,0,0,0,0,[]
163,72,91,57,83,66,91,81,90,65,91,75,88,75,88,76,77,74,88,76,88,0,0,0,0,['13:32 WEMystic(寒冰射手) 击杀了 BLGADD(铁铠冥魂)']
164,72,91,55,84,65,88,81,90,61,86,72,83,70,76,67,67,75,87,71,83,0,0,0,0,[]
165,72,91,56,84,67,93,10,94,67,90,72,71,67,70,62,61,74,92,71,88,0,0,0,0,[]
166,72,91,65,83,69,91,20,90,69,90,72,66,69,65,58,58,75,91,74,88,0,0,0,0,[]
167,72,91,68,80,68,91,32,90,69,81,69,68,67,66,53,50,75,89,74,87,0,0,0,0,[]
168,72,91,68,80,69,88,45,91,70,80,70,67,67,66,54,54,78,78,76,79,0,0,0,0,[]
169,3,94,56,76,69,88,56,89,68,82,74,59,66,56,49,48,81,78,79,76,0,0,0,0,['14:1 WE 击杀了土龙']
170,4,81,47,79,4,94,68,88,68,82,74,59,66,56,53,46,82,82,84,84,0,0,0,0,[]
171,6,69,48,77,10,86,74,89,4,97,93,4,91,6,53,46,88,85,88,83,0,0,0,0,[]
172,7,56,48,77,19,78,70,90,11,94,82,5,82,9,90,6,88,85,88,83,0,0,0,0,[]
173,9,44,48,77,29,68,69,90,24,93,69,7,71,16,85,14,93,6,94,5,0,0,0,0,[]
174,11,32,47,78,39,59,72,89,37,92,53,8,61,23,80,23,93,9,89,17,0,0,0,0,[]
175,14,21,2,96,48,51,72,88,49,91,40,9,49,24,70,33,94,9,89,30,0,0,0,0,[]
176,19,18,8,86,48,51,74,86,62,89,25,12,50,25,60,41,93,19,89,43,0,0,0,0,[]
177,19,12,14,74,42,52,76,87,74,87,26,10,52,30,57,45,92,32,89,56,0,0,0,0,[]
178,19,12,18,60,30,46,81,84,83,84,27,11,51,33,56,44,91,44,87,68,0,0,0,0,[]
179,19,16,20,49,37,49,79,85,83,83,25,9,45,33,49,51,90,57,88,76,0,0,0,0,[]
180,11,11,24,46,45,55,81,82,81,78,21,11,49,43,49,49,87,69,90,78,0,0,0,0,[]
181,14,15,22,47,43,53,77,85,74,76,21,12,54,52,52,51,83,78,85,78,0,0,0,0,[]
182,13,15,15,42,41,60,72,86,70,82,16,12,63,60,57,59,85,78,84,79,0,0,0,0,[]
183,17,14,19,48,39,58,70,88,61,83,18,13,64,63,55,57,82,80,71,78,0,0,0,0,[]
184,26,10,25,57,40,61,62,88,62,86,30,8,52,65,50,53,78,83,71,78,0,0,0,0,[]
185,21,12,31,60,44,53,68,92,69,91,27,8,49,65,50,52,74,87,71,86,0,0,0,0,[]
186,18,12,43,59,46,51,68,91,66,89,30,8,53,63,48,51,76,88,76,87,0,0,0,0,[]
187,18,13,51,51,54,49,62,84,65,82,39,15,56,57,56,49,81,89,78,86,0,0,0,0,[]
188,19,13,54,51,51,49,68,90,64,83,36,15,58,55,57,49,77,89,76,87,0,0,0,0,['15:37 BLGMeteor(狂战士) 击杀了 WExiye(元素女皇)']
189,24,13,62,62,51,52,70,94,69,91,31,10,58,47,57,49,75,92,74,89,0,0,0,0,[]
190,32,21,57,64,40,57,77,91,76,91,26,6,59,50,57,49,81,88,81,88,0,0,0,0,[]
191,42,25,56,68,40,57,80,90,80,90,24,9,67,53,57,49,83,85,81,87,0,0,0,0,"['15:52 BLGJinjiao(惩戒之箭) 击杀了 WEMystic(寒冰射手)', '15:53 BLGJinjiao(惩戒之箭) 击杀了 WEMissing(河流之王)']"
192,28,22,50,65,3,95,81,87,85,85,22,13,73,44,57,49,83,85,81,87,0,0,0,0,[]
193,18,21,62,58,5,91,86,82,85,81,18,15,75,44,57,49,83,85,81,87,0,0,0,0,[]
194,10,18,71,49,11,84,87,78,80,76,16,16,82,55,57,49,83,85,81,87,0,0,0,0,[]
195,14,15,80,56,20,75,90,73,82,77,19,14,84,63,92,10,83,85,81,87,0,0,0,0,[]
196,18,13,87,66,31,66,91,74,91,72,21,13,90,73,92,22,83,85,81,87,0,0,0,0,[]
197,24,12,91,69,41,57,89,71,91,70,26,8,89,56,89,35,83,85,94,5,0,1,0,0,"['16:25 BLGMeteor(狂战士) 击破了防御塔,获得一塔']"
198,17,14,88,71,51,49,91,70,89,78,26,8,78,52,89,47,86,10,87,16,0,1,0,0,[]
199,14,16,80,78,52,48,88,77,90,81,29,8,77,52,89,59,79,21,78,25,0,1,0,0,[]
200,14,18,68,82,51,50,81,83,90,81,95,4,77,54,84,63,64,39,64,39,0,1,0,0,[]
201,16,15,57,82,48,58,81,83,2,96,88,5,82,56,83,60,55,43,58,45,0,1,0,0,[]
202,15,15,56,82,56,68,5,95,5,96,73,6,81,55,91,57,48,46,53,50,0,1,0,0,[]
