,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
58,20,13,36,90,40,56,75,90,75,89,24,7,55,31,46,55,82,87,80,84,0,0,0,0,[]
59,18,13,47,88,43,55,76,88,75,87,23,8,65,38,53,50,83,86,81,84,0,0,0,0,[]
60,21,13,58,85,49,61,76,88,77,89,22,7,70,41,50,50,82,84,82,83,0,0,0,0,[]
61,11,14,68,81,45,55,79,88,80,89,20,10,69,42,49,48,81,83,81,83,0,0,0,0,[]
62,10,14,75,75,43,55,78,85,80,83,23,11,68,44,49,48,86,82,86,82,0,0,0,0,[]
63,2,96,75,73,44,56,81,83,81,80,21,10,66,54,50,48,89,78,89,78,0,0,0,0,[]
64,17,14,69,64,46,57,81,83,81,79,23,10,64,57,48,48,89,78,89,78,0,0,0,0,[]
65,17,11,66,64,48,56,79,75,78,72,22,11,67,52,55,44,90,74,91,74,0,0,0,0,[]
66,16,12,59,56,52,52,79,75,76,62,23,10,77,50,52,46,93,72,92,73,0,0,0,0,[]
67,19,11,55,51,53,49,80,76,76,71,23,13,78,52,52,43,91,72,91,74,0,0,0,0,[]
68,12,12,52,50,51,48,82,81,81,81,17,11,79,55,55,42,92,73,92,73,0,0,0,0,[]
69,16,16,47,62,44,54,83,84,87,84,17,9,83,58,51,46,92,73,92,73,0,0,0,0,[]
70,18,14,46,64,36,59,84,82,87,83,18,9,83,58,46,48,95,4,95,4,0,0,0,0,[]
71,16,16,47,70,39,60,80,85,88,84,19,12,83,58,43,44,89,77,87,77,0,0,0,0,[]
72,17,15,48,55,45,57,74,87,84,88,16,10,83,59,43,44,91,77,89,77,0,0,0,0,[]
73,16,18,54,46,52,48,74,87,88,85,17,13,94,4,45,42,90,77,90,77,0,0,0,0,[]
74,18,15,52,53,48,53,2,96,90,82,18,10,85,12,45,42,91,77,89,75,0,0,0,0,[]
75,18,16,46,66,49,60,87,81,88,84,20,13,83,23,54,47,91,81,91,81,0,0,0,0,[]
76,16,14,50,76,49,60,90,78,84,87,20,11,81,34,58,42,90,75,88,74,0,0,0,0,[]
77,15,17,55,82,2,96,88,81,86,84,19,11,78,49,48,49,88,74,88,74,0,0,0,0,[]
78,15,16,57,83,4,94,86,82,83,83,20,10,75,60,49,49,88,75,88,75,0,0,0,0,[]
79,18,12,56,82,11,83,79,87,75,89,18,10,74,63,49,48,83,78,83,78,0,0,0,0,[]
80,11,15,57,82,22,75,74,86,71,86,17,12,66,56,51,45,86,78,86,77,0,0,0,0,[]
81,14,13,50,74,30,64,74,86,71,86,18,10,66,44,51,45,81,77,86,76,0,0,0,0,[]
