,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
229,4,96,32,44,5,45,31,65,21,82,89,61,35,38,32,65,32,65,48,66,0,1,0,3,[]
230,13,87,32,55,5,45,29,67,28,72,89,74,43,47,46,66,46,66,51,63,0,1,0,3,['19:6 TESKnight9(¹îÊõÑý¼§) »÷É±ÁË JDGimp(Æ¤³ÇÅ®¾¯)']
231,20,77,31,65,5,92,29,67,30,64,89,77,38,50,41,51,39,50,44,52,0,1,0,3,[]
232,28,68,35,67,8,86,29,67,28,66,77,86,27,50,32,42,32,45,40,58,0,1,0,3,[]
233,37,61,35,66,19,77,29,67,37,67,71,78,21,50,21,38,32,49,43,55,0,1,0,3,[]
234,35,62,44,68,28,66,29,67,36,63,71,85,25,57,16,33,28,52,44,50,0,1,0,3,[]
235,37,61,46,73,35,63,29,67,31,64,70,89,26,59,9,24,31,56,47,36,0,1,0,3,[]
236,40,67,43,68,34,65,2,96,30,67,65,78,20,48,10,25,32,44,47,36,0,1,0,3,[]
237,41,80,32,60,24,65,10,84,20,64,75,69,24,35,14,35,41,35,57,42,0,1,0,3,[]
238,45,88,21,64,11,62,20,77,18,55,75,56,24,34,14,35,41,35,60,42,0,1,0,3,[]
239,47,89,19,51,8,50,29,68,19,51,82,57,94,4,93,8,91,6,60,42,0,1,0,3,[]
240,54,85,26,56,6,50,33,62,23,52,82,56,78,12,86,24,78,12,84,11,0,1,0,3,[]
241,54,84,32,52,16,50,31,58,32,48,76,45,63,22,79,37,63,22,74,20,0,1,0,3,[]
242,48,82,32,52,19,46,37,57,31,58,77,48,52,32,77,51,52,32,65,31,0,1,0,3,[]
243,43,69,34,47,14,35,33,59,31,58,75,49,41,34,76,52,42,35,55,41,0,1,0,3,[]
244,34,61,28,50,16,41,34,60,5,96,61,50,37,40,69,63,37,42,47,50,0,1,0,3,[]
245,37,59,21,48,19,49,35,59,15,88,49,53,33,41,54,63,33,43,45,52,0,1,0,3,[]
246,41,64,25,57,20,53,33,63,24,80,37,50,23,40,42,55,23,40,39,50,0,1,0,3,[]
247,35,63,23,58,17,55,32,65,30,70,25,52,18,56,38,56,18,56,30,50,0,1,0,3,[]
248,24,65,17,58,16,58,25,66,20,64,21,56,18,55,31,52,18,55,22,53,0,1,0,3,"['20:39 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË JDGFlawless(Ðé¿Õ¶ÝµØÊÞ)', '20:40 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË JDGYagao(ÑÒÈ¸)']"
249,32,62,17,58,16,58,29,64,28,66,16,49,22,44,42,53,22,44,24,42,0,1,0,3,[]
250,39,56,17,58,16,58,40,59,39,60,10,37,30,33,47,50,30,33,30,33,0,1,0,3,[]
251,37,49,17,58,16,58,47,54,46,54,9,40,29,32,51,45,30,29,33,31,0,1,0,3,[]
252,41,51,17,58,16,58,49,53,47,52,20,36,32,31,50,45,32,32,33,31,0,1,0,3,[]
253,36,57,17,58,16,58,43,58,41,58,30,32,31,29,45,50,31,29,31,33,0,1,0,3,[]
254,27,66,17,58,16,58,34,63,34,61,32,31,34,31,55,56,35,31,30,29,0,1,0,3,[]
255,15,63,4,91,16,58,34,63,31,51,34,31,34,30,48,66,34,31,33,30,0,1,0,3,['21:15 TES »÷É±ÁË´óÁú']
256,8,56,15,78,16,58,29,66,32,61,35,28,36,29,38,60,36,29,34,29,0,1,0,3,[]
257,7,53,19,65,14,96,34,63,38,67,95,4,89,14,43,55,92,8,82,12,0,1,0,3,[]
258,5,44,25,56,30,89,34,63,33,64,85,21,77,26,43,54,82,22,72,25,0,1,0,3,[]
259,5,44,29,62,36,77,36,65,35,64,89,35,69,33,39,54,69,33,64,36,0,1,0,3,[]
260,3,96,33,65,39,64,35,66,33,66,89,50,66,51,38,56,66,51,56,48,0,1,0,3,[]
261,18,86,32,71,42,69,34,68,29,69,88,65,59,63,35,65,59,63,53,63,0,1,0,3,[]
262,27,75,41,70,40,66,30,69,31,68,85,79,52,67,40,57,52,67,50,61,0,1,0,3,[]
263,38,76,31,69,28,65,30,69,31,68,80,86,45,67,35,59,47,68,43,57,0,1,0,3,[]
264,42,69,34,74,32,71,5,95,12,91,74,89,50,65,27,51,50,65,42,56,0,1,0,3,[]
265,42,70,41,76,31,67,17,86,23,80,72,90,43,58,15,40,43,58,38,58,0,1,0,3,[]
266,41,81,43,69,31,69,26,76,30,71,65,93,31,59,10,37,31,59,28,60,0,1,0,3,[]
267,46,89,43,68,25,66,30,67,31,66,55,94,44,57,9,46,44,57,40,57,0,1,0,3,[]
268,46,92,42,69,32,73,31,66,37,74,56,92,48,66,8,51,48,66,39,59,0,1,0,3,[]
269,48,90,42,69,41,71,34,67,41,71,59,90,46,66,9,51,46,66,38,58,0,1,0,3,[]
270,41,82,38,73,38,74,33,74,34,75,54,87,38,73,9,56,38,73,40,69,0,1,0,3,['22:30 TESQiuQiu(Ä§·¨Ã¨ßä) »÷É±ÁË JDGYagao(ÑÒÈ¸)']
271,39,86,27,75,38,74,30,71,32,79,42,84,42,69,15,64,40,68,40,68,0,1,0,4,['22:31 TESKnight9(¹îÊõÑý¼§) »÷ÆÆÁË·ÀÓùËþ']
272,34,89,18,85,38,74,25,81,26,83,39,76,34,68,22,68,28,74,28,74,0,1,0,4,[]
273,29,87,7,94,38,74,14,89,15,88,29,69,28,68,26,67,29,68,27,68,0,1,0,5,['22:44 TES »÷ÆÆÁË·ÀÓùËþ']
274,29,87,11,92,38,74,5,95,6,94,22,67,25,74,21,72,26,75,21,73,0,1,0,5,[]
275,14,89,24,84,38,74,16,84,14,85,11,61,21,76,21,74,24,76,18,75,0,1,0,6,['22:52 TESAKi(µÂÂêÎ÷ÑÇ»Ê×Ó) »÷ÆÆÁË·ÀÓùËþ']
276,18,77,23,79,38,74,19,80,15,80,9,71,20,71,18,70,20,70,15,70,0,1,0,6,[]
277,15,76,20,74,38,74,13,79,9,82,8,74,9,68,7,73,7,73,12,72,0,1,0,7,['23:4 TES »÷ÆÆÁË·ÀÓùËþ']
278,17,86,19,82,38,74,16,82,12,83,10,75,8,74,10,73,11,74,11,74,0,1,0,7,[]
279,8,93,20,79,9,95,16,80,14,80,10,63,11,66,20,72,20,72,10,70,0,1,0,7,[]
280,13,93,21,82,12,81,18,80,15,77,13,49,17,59,28,69,28,69,15,63,0,1,0,7,['23:18 TESKnight9(¹îÊõÑý¼§) »÷É±ÁË JDGFlawless(Ðé¿Õ¶ÝµØÊÞ)']
281,31,92,21,82,8,79,18,78,8,86,17,44,93,6,95,4,95,4,28,59,0,1,0,7,[]
282,44,91,21,82,7,81,12,79,8,93,24,38,88,15,89,18,89,18,41,55,0,1,0,7,[]
283,53,89,21,82,14,76,21,80,22,85,26,24,81,31,75,27,75,27,50,44,0,1,0,7,[]
284,54,85,21,82,24,71,26,73,33,79,36,17,75,43,62,39,62,39,50,34,0,1,0,7,[]
285,53,85,21,82,22,72,25,77,43,78,42,17,72,48,53,50,53,50,50,25,0,1,0,7,[]
286,51,84,21,82,14,65,18,85,49,77,44,15,64,57,51,63,51,63,53,27,0,1,0,7,[]
287,49,81,2,96,9,56,9,92,46,80,44,15,63,62,50,74,50,74,95,4,0,1,0,7,[]
288,47,79,11,94,6,57,10,92,43,83,62,90,58,71,50,74,50,74,64,90,0,1,0,7,[]
289,44,81,28,88,6,57,27,92,41,86,55,89,55,82,48,77,48,77,54,88,0,1,0,7,[]
290,39,84,35,84,4,94,31,89,35,87,47,89,50,85,45,81,45,81,42,81,0,1,0,7,['24:10 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË JDGZoom(ÌúîøÚ¤»ê)']
291,39,84,31,85,22,95,25,89,24,90,43,90,44,89,39,83,39,83,40,89,0,1,0,8,['24:14 TESAKi(µÂÂêÎ÷ÑÇ»Ê×Ó) »÷ÆÆÁË·ÀÓùËþ']
292,39,84,21,88,26,92,23,90,25,93,38,89,37,89,35,87,35,88,38,93,0,1,0,8,[]
293,39,84,19,93,24,92,20,90,20,94,30,87,30,88,31,91,31,91,26,95,0,1,0,8,[]
294,39,84,8,94,10,96,8,94,9,96,25,90,27,90,25,93,24,89,25,89,0,1,0,9,['24:30 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
295,39,84,11,92,4,94,7,91,11,91,16,87,17,88,19,88,21,84,18,86,0,1,0,9,[]
296,39,84,13,91,11,91,6,86,6,89,19,85,13,84,10,84,13,83,18,85,0,1,0,9,[]
297,39,84,9,93,7,91,4,86,2,93,12,92,7,89,4,88,6,88,8,87,0,1,0,10,"['24:42 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ', '24:42 TESQiuQiu(Ä§·¨Ã¨ßä) »÷É±ÁË JDGimp(Æ¤³ÇÅ®¾¯)', '24:45 TES369(º£ÑóÖ®ÔÖ) »÷É±ÁË JDGYagao(ÑÒÈ¸)']"
298,39,84,2,98,7,91,4,86,1,95,6,88,9,85,7,90,9,85,4,90,0,1,0,11,"['24:46 TES »÷ÆÆÁË·ÀÓùËþ', '24:50 TES369(º£ÑóÖ®ÔÖ) »÷É±ÁË JDGLvMao(¹â»ÔÅ®ÀÉ)']"
299,2,96,3,96,7,91,4,86,1,95,8,86,9,85,8,90,9,85,5,87,0,1,0,11,[]
300,2,96,3,96,7,91,4,86,1,95,8,86,9,85,8,90,9,85,5,87,0,1,0,11,['25:0 TES »ñÊ¤']
