,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
252,4,94,42,56,80,85,48,54,33,49,90,48,49,46,29,12,44,39,45,46,0,2,0,2,[]
253,12,85,50,50,80,85,52,49,44,51,88,62,56,45,33,21,53,42,54,46,0,2,0,2,[]
254,22,76,46,58,81,82,44,55,44,54,86,76,54,43,41,33,49,42,51,42,0,2,0,2,[]
255,29,66,58,61,76,86,46,55,43,53,85,80,49,43,44,43,51,44,42,45,0,2,0,2,[]
256,31,54,65,58,71,78,53,60,52,60,78,73,42,45,44,43,50,46,43,44,0,2,0,2,[]
257,36,49,73,57,78,73,47,53,54,57,84,63,43,48,44,45,47,47,43,44,0,2,0,2,[]
258,38,51,74,59,75,60,43,57,53,61,77,56,44,49,47,50,47,48,48,49,0,2,0,2,[]
259,37,56,73,70,73,71,39,59,47,65,74,65,53,57,48,56,46,53,48,55,0,2,0,2,[]
260,42,68,69,79,66,82,44,69,49,76,70,79,59,73,56,67,57,58,55,66,0,2,0,2,[]
261,49,79,59,88,54,88,50,81,56,88,62,86,61,82,62,76,59,70,57,72,0,2,0,2,[]
262,59,82,62,83,62,84,48,77,59,84,73,86,69,80,62,76,57,62,62,74,0,2,0,2,[]
263,69,80,55,81,70,89,43,68,48,77,79,84,70,69,55,65,51,50,57,64,0,2,0,2,[]
264,58,74,55,83,78,85,40,58,40,66,86,77,59,59,46,51,46,51,53,57,0,2,0,2,[]
265,52,64,54,83,82,84,39,63,37,58,90,76,47,56,42,53,43,56,42,57,0,2,0,2,[]
266,48,55,48,78,81,82,44,58,42,57,91,72,49,49,46,48,42,51,44,51,0,2,0,3,[]
267,46,47,49,67,43,45,50,54,43,48,91,68,54,45,52,43,51,42,52,44,0,2,0,3,[]
268,39,58,48,54,45,55,48,53,49,53,54,46,52,43,52,44,54,45,56,42,0,2,0,3,[]
269,26,59,52,56,53,53,49,52,48,54,52,43,52,43,52,45,51,44,56,42,0,2,0,3,[]
270,24,58,61,61,59,57,56,56,62,60,56,47,58,45,53,43,52,44,93,5,0,2,0,3,[]
271,22,54,61,62,70,63,57,61,66,64,49,43,55,46,58,38,56,40,85,18,0,2,0,3,[]
272,15,49,60,57,79,75,56,60,55,61,42,39,57,48,58,38,56,40,74,28,0,2,0,3,[]
273,11,51,65,70,83,80,58,62,59,61,33,43,50,53,95,4,95,4,66,39,0,2,0,3,[]
274,11,51,67,70,81,79,59,67,68,66,40,45,60,58,56,56,55,50,66,53,0,2,0,3,[]
275,6,94,73,68,72,70,65,77,74,69,44,48,65,63,65,63,65,63,65,59,0,2,0,3,[]
276,21,85,73,75,75,71,74,73,77,70,48,52,66,66,71,63,73,66,71,68,0,3,0,3,[]
277,28,73,69,81,67,78,69,80,78,83,56,60,67,64,69,64,70,66,66,65,0,3,0,3,[]
278,35,63,65,82,52,75,66,82,78,83,47,58,57,56,55,55,57,56,57,63,0,3,0,3,[]
279,30,53,65,82,47,79,66,82,2,96,41,45,49,42,49,43,46,48,50,51,0,3,0,3,[]
280,24,42,5,87,47,79,12,90,13,76,34,39,34,43,37,39,45,52,43,48,0,3,0,3,[]
281,18,35,13,75,3,95,23,79,23,66,36,42,36,39,34,43,44,52,44,54,0,3,0,3,[]
282,8,37,17,64,12,83,31,67,31,63,39,40,46,35,44,36,42,46,40,42,0,3,0,3,[]
283,14,41,19,52,22,73,38,64,30,53,35,36,46,35,48,34,33,43,30,43,0,3,0,3,[]
284,12,34,24,50,33,64,45,68,37,58,35,36,95,4,39,37,35,39,36,40,0,3,0,3,[]
285,11,21,28,51,41,53,46,72,41,53,87,7,94,5,48,41,45,33,42,38,0,3,0,3,[]
286,11,24,23,48,42,54,45,71,33,43,80,20,84,10,51,48,48,22,49,46,0,3,0,3,[]
287,14,34,24,45,32,49,40,62,34,39,69,28,73,22,50,50,41,15,49,48,0,3,0,3,[]
288,22,42,27,51,27,51,42,56,32,43,57,28,63,32,49,48,37,15,48,42,0,3,0,3,[]
289,23,55,33,43,34,59,40,58,36,49,45,32,53,41,49,49,34,12,48,42,0,3,0,3,[]
290,32,58,27,37,40,55,40,58,32,43,40,36,41,38,44,44,27,11,92,5,0,3,0,3,[]
291,36,62,25,46,37,58,16,87,31,52,42,44,35,40,46,53,28,16,73,13,0,3,0,3,[]
292,45,72,26,51,26,58,26,75,31,52,34,40,28,37,45,50,25,28,62,23,0,3,0,3,[]
293,51,83,31,52,22,55,36,66,31,51,21,38,35,41,48,51,31,34,51,32,0,3,0,3,[]
294,64,91,31,51,29,53,42,56,32,51,16,35,33,31,48,50,29,32,38,37,0,3,0,3,[]
295,55,84,31,48,32,50,38,51,32,50,16,37,31,31,42,42,29,32,33,41,0,3,0,3,[]
296,47,75,34,47,38,51,32,47,32,47,16,41,29,36,40,33,26,36,31,35,0,3,0,3,[]
297,40,66,31,44,32,48,33,48,33,47,16,40,35,38,40,31,29,38,24,43,0,3,0,3,[]
298,42,55,33,46,40,53,32,47,32,45,21,47,31,37,37,39,33,35,24,45,0,3,0,3,[]
299,51,51,39,51,51,51,42,51,40,51,19,51,33,39,48,43,46,41,30,39,0,3,0,3,[]
300,52,52,50,50,54,51,52,50,46,51,22,51,45,44,54,42,51,42,33,43,0,3,0,3,[]
301,43,57,42,52,43,54,45,54,40,51,23,48,43,44,50,45,51,45,32,44,0,3,0,3,[]
302,37,62,39,52,37,57,39,53,40,54,26,48,40,42,43,41,48,42,32,48,0,3,0,3,[]
303,45,57,43,54,46,56,49,50,49,53,27,48,32,33,33,35,39,37,32,50,0,3,0,3,[]
304,50,46,48,42,45,45,46,40,42,42,23,43,34,31,30,30,34,33,33,43,0,3,0,3,[]
305,43,38,41,31,42,37,42,36,39,37,31,40,32,37,32,35,30,33,33,43,0,3,0,3,[]
306,42,43,41,40,41,43,41,39,42,41,29,38,32,41,30,38,29,36,31,44,0,3,0,3,[]
307,49,50,46,50,51,47,50,48,52,46,45,47,42,45,42,45,32,38,39,44,0,3,0,3,[]
308,49,52,53,49,50,51,48,51,55,46,45,45,43,43,44,42,46,40,44,44,0,3,0,3,[]
309,59,45,58,44,57,47,58,46,58,47,52,37,49,35,48,35,51,41,48,35,0,3,0,3,[]
310,61,40,57,47,59,46,62,43,57,45,55,34,51,36,56,34,47,37,48,39,0,4,0,3,[]
311,57,48,52,49,54,49,52,47,54,48,59,39,53,37,60,40,49,35,55,41,0,4,0,3,[]
312,52,56,44,50,45,49,43,46,42,44,56,44,53,37,57,40,95,4,55,42,0,4,0,3,[]
313,48,58,34,40,35,42,32,39,32,44,64,41,95,4,61,37,84,10,54,41,0,4,0,3,[]
314,56,68,23,37,29,33,28,33,31,50,72,42,78,12,61,37,72,19,55,40,0,4,0,3,[]
315,61,83,21,46,20,37,23,41,27,51,73,42,65,20,95,6,68,32,93,5,0,4,0,3,[]
316,74,89,17,45,10,30,21,54,19,48,72,42,56,30,84,17,68,46,78,16,0,4,0,3,[]
317,66,90,18,50,8,22,30,59,19,48,69,48,50,34,80,30,68,49,68,27,0,4,0,3,[]
318,57,84,17,51,11,13,42,55,2,96,80,56,47,36,80,44,51,49,58,38,0,4,0,3,[]
319,53,85,4,95,15,13,43,54,16,77,78,63,49,43,77,50,51,50,48,48,0,4,0,3,[]
320,53,85,18,85,12,16,41,60,31,67,87,67,42,42,71,48,45,47,45,50,0,4,0,3,[]
321,54,87,26,74,8,19,45,67,31,58,85,80,34,37,58,39,40,36,38,43,0,4,0,3,[]
322,54,87,34,65,8,19,44,69,46,55,86,82,41,44,51,46,42,23,32,44,0,4,0,3,[]
323,8,95,39,58,13,90,44,69,41,66,80,82,42,45,50,48,44,11,44,46,0,4,0,3,[]
324,25,94,42,57,25,78,7,93,51,64,77,89,42,45,49,49,43,8,48,49,0,4,0,3,[]
325,38,93,40,59,35,67,20,81,48,65,77,87,42,45,45,50,38,15,46,52,0,4,0,3,[]
326,52,92,35,61,38,63,30,71,2,96,75,88,44,53,40,53,31,11,40,54,0,4,0,3,[]
327,56,92,36,61,38,63,37,61,18,85,66,79,44,50,46,51,27,11,43,52,0,4,0,3,[]
328,54,92,38,61,38,65,38,62,29,71,53,77,46,52,44,51,20,15,42,52,0,4,0,3,[]
329,58,91,37,61,39,65,40,60,37,62,47,76,47,55,46,51,9,26,44,52,0,4,0,3,[]
330,55,91,38,59,2,96,40,58,38,60,48,80,51,55,44,49,9,27,45,49,0,4,0,3,[]
331,3,96,40,61,7,79,40,60,31,58,54,86,55,59,44,52,11,33,41,52,0,4,0,3,[]
332,7,96,34,60,7,63,34,62,32,56,68,88,44,55,41,54,11,44,39,55,0,4,0,3,[]
333,23,93,35,65,6,55,37,65,34,65,77,88,33,49,41,56,9,52,38,55,0,4,0,3,[]
334,30,86,39,62,9,57,38,63,34,63,68,89,35,49,41,54,11,50,42,55,0,4,0,3,[]
335,36,75,34,63,7,58,35,65,32,63,62,90,39,53,40,57,10,50,38,55,0,4,0,3,[]
336,42,86,24,65,6,71,33,65,30,66,61,91,36,58,36,58,11,51,32,59,0,4,0,3,[]
337,52,92,19,59,5,71,39,63,34,62,60,85,37,57,40,56,6,45,42,55,0,4,0,4,[]
338,54,92,27,66,4,95,36,64,33,62,63,78,48,55,52,55,5,44,54,58,0,4,0,4,[]
339,53,91,39,57,18,82,39,56,32,45,58,68,46,54,64,64,95,4,62,64,0,4,0,4,[]
340,55,93,42,47,28,71,43,48,38,38,44,67,51,45,65,63,95,4,59,60,0,4,0,4,[]
341,53,90,33,35,31,56,35,38,32,37,44,67,47,38,54,55,65,64,59,60,0,4,0,4,[]
342,32,33,36,40,32,46,33,43,32,45,44,73,47,40,50,50,57,57,48,52,0,4,0,4,[]
343,32,46,32,50,32,57,31,54,32,52,41,67,46,49,44,56,44,54,40,57,0,4,0,4,[]
344,29,60,31,57,32,65,33,64,28,61,31,58,38,58,37,61,40,57,36,59,0,4,0,4,[]
345,31,59,30,59,32,65,33,69,28,60,39,62,36,66,38,62,36,58,35,63,0,4,0,4,[]
346,40,62,38,59,38,60,40,62,36,61,46,56,39,63,45,58,42,56,43,58,0,4,0,4,[]
347,44,55,46,57,46,52,49,54,46,58,54,49,39,63,55,50,51,47,52,48,0,4,0,4,[]
348,48,47,50,49,53,42,53,47,51,47,67,48,39,63,65,36,57,40,66,36,0,4,0,4,[]
349,34,39,35,40,42,37,41,41,45,40,67,48,39,63,70,34,54,41,66,36,0,4,0,4,[]
350,31,32,32,29,32,34,32,34,32,34,95,4,39,63,70,34,48,39,66,36,0,4,0,4,[]
351,31,31,31,28,29,32,35,31,30,33,94,5,39,63,95,4,51,30,66,36,0,4,0,4,[]
352,32,32,31,32,31,32,35,31,29,37,94,5,39,63,35,42,45,33,66,36,0,4,0,4,[]
353,20,36,23,42,21,44,26,37,20,45,26,50,39,63,30,47,34,40,66,36,0,4,0,4,[]
354,7,40,15,37,14,36,17,34,13,36,19,47,94,4,21,50,25,46,66,36,0,4,0,4,[]
355,5,43,10,35,7,38,11,35,7,40,10,43,79,16,11,46,17,44,66,36,0,4,0,4,[]
356,7,48,5,43,5,29,6,43,6,40,8,44,66,20,10,46,12,47,95,4,0,4,0,4,[]
357,7,48,6,45,8,28,9,53,5,40,7,46,57,30,7,42,12,47,94,4,0,4,0,4,[]
358,2,96,5,52,8,21,2,96,5,46,7,46,52,34,7,42,12,47,86,9,0,4,0,4,[]
359,10,95,2,96,12,12,5,95,2,96,7,46,52,32,7,42,12,47,73,22,0,4,0,4,[]
360,28,92,2,96,23,10,23,87,3,96,7,46,45,23,7,42,12,47,63,32,0,4,0,4,[]
361,42,91,13,83,22,9,34,78,3,96,7,46,42,16,7,42,12,47,57,39,0,4,0,4,[]
362,55,90,17,70,29,9,46,79,17,87,7,46,44,16,7,42,12,47,58,40,0,4,0,4,[]
363,68,88,24,57,2,96,44,70,34,78,7,46,48,17,7,42,12,47,56,42,0,4,0,4,[]
364,79,84,23,56,2,96,39,63,39,64,7,46,53,19,7,42,12,47,58,40,0,4,0,4,[]
365,87,73,22,48,2,96,49,52,47,53,7,46,54,10,7,42,12,47,65,36,0,4,0,4,[]
366,90,62,19,52,59,41,56,45,57,46,7,46,55,8,7,42,12,47,69,34,0,4,0,4,[]
367,84,63,33,50,64,36,66,33,62,36,92,11,53,7,93,7,86,15,71,28,0,4,0,4,[]
368,81,54,45,49,68,32,68,30,68,36,83,27,64,16,82,20,77,23,76,29,0,5,0,4,[]
369,86,50,55,43,66,39,67,36,68,40,81,33,68,27,80,28,75,28,73,29,0,5,0,4,[]
370,88,48,51,50,66,38,66,34,73,40,87,43,79,35,77,29,74,29,73,29,0,5,0,4,[]
371,87,53,49,51,70,48,68,46,69,47,89,45,81,45,82,37,77,36,80,37,0,6,0,4,[]
372,88,48,58,42,67,43,63,36,70,41,91,45,80,35,73,35,73,34,71,34,0,6,0,4,[]
373,87,44,65,33,67,33,69,28,66,33,90,36,79,30,77,33,75,34,79,33,0,6,0,4,[]
374,81,44,71,26,70,24,75,21,68,26,91,34,80,28,81,26,78,32,80,24,0,7,0,4,[]
375,80,41,72,29,73,21,75,19,73,22,87,34,80,23,81,25,81,31,82,20,0,7,0,4,[]
376,77,34,69,29,68,29,71,30,69,30,79,35,76,33,77,35,79,33,78,25,0,7,0,4,[]
377,77,34,73,33,73,34,79,38,69,35,79,40,79,37,81,36,80,34,79,36,0,7,0,4,[]
378,77,34,81,38,76,34,79,38,73,31,70,39,80,37,85,37,80,40,79,35,0,7,0,4,[]
379,77,34,80,38,79,38,79,38,79,37,77,42,80,39,85,37,81,42,81,43,0,7,0,4,[]
380,77,34,80,38,69,29,79,38,75,33,67,36,80,39,85,37,75,34,75,35,0,7,0,4,[]
381,77,34,80,38,56,23,79,38,75,33,55,32,80,39,85,37,64,26,66,26,0,7,0,4,[]
382,77,34,80,38,40,25,79,38,75,33,43,36,80,39,85,37,62,15,62,17,0,7,0,4,[]
383,77,34,80,38,26,35,79,38,75,33,45,42,80,39,85,37,58,7,58,9,0,7,0,4,[]
384,77,34,80,38,22,42,79,38,75,33,45,42,80,39,85,37,62,13,59,9,0,7,0,4,[]
385,77,34,80,38,30,39,79,38,75,33,92,18,80,39,85,37,71,22,59,9,0,7,0,4,[]
386,77,34,80,38,35,39,79,38,75,33,84,24,80,39,85,37,79,23,93,6,0,7,0,4,[]
387,8,93,80,38,36,40,79,38,75,33,79,27,80,39,85,37,81,22,86,18,0,7,0,4,[]
388,25,88,80,38,32,38,79,38,75,33,81,39,95,4,95,3,91,10,73,29,0,7,0,4,[]
389,39,89,8,93,26,37,14,89,14,90,77,52,86,9,83,21,96,4,64,36,0,7,0,4,[]
390,52,88,25,85,12,90,27,76,27,77,78,54,73,22,77,33,93,5,62,37,0,7,0,4,[]
391,54,83,35,77,26,78,34,65,36,65,80,56,64,31,65,38,82,12,60,39,0,7,0,4,[]
392,55,84,44,68,36,65,23,55,49,59,88,67,53,34,71,49,70,27,57,32,0,7,0,4,[]
393,64,83,59,62,48,55,19,46,58,63,89,72,54,32,78,51,65,33,65,34,0,7,0,4,[]
394,74,87,67,55,54,52,20,47,66,54,87,65,63,38,73,43,65,34,64,35,0,7,0,4,[]
395,85,82,54,47,53,47,2,96,62,50,86,53,66,47,64,35,59,41,59,39,0,7,0,4,[]
396,81,81,53,51,52,46,49,53,51,47,76,58,65,51,59,38,59,41,60,40,0,7,0,4,[]
397,84,82,63,57,56,57,59,60,57,55,78,65,66,47,56,40,57,42,55,43,0,7,0,4,[]
398,86,79,52,53,51,53,52,53,55,56,81,56,68,49,60,43,60,44,56,44,0,7,0,4,[]
399,80,76,53,48,50,49,52,46,51,49,85,57,65,40,57,26,58,33,58,32,0,7,0,4,[]
400,70,67,59,49,55,45,57,42,54,47,90,53,58,34,49,16,62,25,61,24,0,7,0,4,[]
401,74,60,64,51,60,51,55,53,62,50,84,50,67,33,46,11,73,31,61,24,0,7,0,4,[]
402,79,54,64,63,66,58,66,63,67,61,91,53,67,33,45,14,65,34,89,6,0,7,0,4,[]
403,86,65,64,69,68,66,67,66,68,68,93,52,68,32,46,15,68,31,76,20,0,7,0,4,[]
404,90,66,58,62,57,60,62,62,68,68,93,52,80,23,41,15,69,30,68,31,0,7,0,4,[]
405,91,74,46,64,46,67,62,62,3,96,94,19,89,13,40,15,83,34,78,29,0,7,0,4,[]
406,91,74,42,67,34,62,16,88,14,89,93,36,91,11,94,4,91,43,86,36,0,7,0,4,[]
407,5,92,31,59,22,56,27,74,26,74,84,31,78,24,75,16,89,46,92,44,0,7,0,4,[]
408,15,80,22,53,21,47,36,63,35,62,70,32,71,33,69,26,86,38,86,37,0,7,0,4,[]
409,25,71,31,50,21,47,47,53,46,52,57,33,59,34,60,24,73,34,72,34,0,7,0,4,[]
410,35,62,41,51,7,92,44,49,45,46,54,29,55,32,56,22,62,34,59,33,0,7,0,4,[]
411,44,53,41,38,19,75,41,38,47,38,46,23,55,32,52,21,60,35,55,31,0,7,0,4,[]
412,55,45,42,35,31,63,46,38,51,44,51,21,52,27,52,21,54,31,54,31,0,7,0,4,[]
413,59,42,53,42,31,50,54,43,59,46,46,14,55,32,58,26,58,34,54,31,0,7,0,4,[]
414,58,42,60,44,46,49,61,42,60,44,38,11,56,32,66,31,63,35,92,5,0,7,0,4,[]
415,56,32,62,38,56,40,62,37,62,37,43,7,61,25,70,30,67,29,77,18,0,7,0,4,[]
416,51,32,57,38,47,40,54,31,53,29,47,6,66,29,70,29,69,27,69,26,0,7,0,4,[]
417,40,38,46,39,34,42,48,33,52,31,95,4,65,25,68,29,78,17,66,26,0,7,0,4,[]
418,46,45,33,37,21,50,53,42,42,32,88,8,63,35,64,39,90,7,66,28,0,7,0,4,[]
419,52,46,28,36,23,41,50,46,42,32,72,17,59,37,61,41,85,15,58,33,0,7,0,4,[]
420,48,50,28,36,28,38,48,56,11,85,59,24,56,46,59,42,73,23,56,45,0,7,0,4,[]
421,42,56,8,86,36,49,48,67,30,70,50,34,49,43,55,43,61,35,51,48,0,7,0,4,[]
422,42,56,21,76,43,59,45,73,43,69,42,32,47,45,47,41,49,41,44,44,0,7,0,4,[]
423,7,89,30,66,46,56,46,72,43,69,41,31,41,37,41,34,36,37,36,38,0,7,0,4,[]
424,18,75,37,57,55,51,40,61,42,59,42,43,45,45,42,38,44,43,30,36,0,7,0,4,[]
425,29,67,47,52,52,54,46,52,44,54,47,47,47,47,45,45,49,46,32,32,0,7,0,4,[]
426,39,58,51,50,55,49,53,49,54,50,41,39,49,42,44,38,49,43,41,39,0,7,0,4,[]
427,50,50,56,48,56,50,57,46,56,48,51,34,46,40,48,41,50,41,44,39,0,7,0,4,[]
428,54,42,50,41,55,45,53,44,55,42,41,33,34,35,40,30,37,36,33,35,0,7,0,4,[]
429,42,33,40,33,43,42,45,40,43,37,41,28,33,31,37,26,30,33,33,31,0,7,0,4,[]
430,34,32,35,30,34,37,32,37,33,39,31,36,32,30,30,29,27,30,30,32,0,7,0,4,[]
431,34,31,29,25,27,32,24,30,28,32,30,36,28,24,25,29,23,27,20,28,0,7,0,4,[]
432,25,25,28,21,27,21,28,24,28,22,30,36,35,22,25,29,34,23,20,27,0,7,0,4,[]
433,35,24,28,21,36,23,42,23,36,23,30,36,48,22,25,29,48,23,20,27,0,7,0,4,[]
434,44,34,28,21,50,23,54,21,48,22,30,36,62,24,25,29,60,24,20,27,0,7,0,4,[]
435,50,45,28,21,58,34,48,19,51,23,30,36,75,19,25,29,70,19,20,27,0,7,0,4,[]
436,54,45,28,21,58,39,38,13,50,18,30,36,88,8,25,29,93,5,20,27,0,7,0,4,[]
437,58,40,28,21,58,38,34,8,37,13,30,36,88,8,25,29,80,15,20,27,0,7,0,4,[]
438,55,53,28,21,64,31,45,8,43,10,30,36,75,22,25,29,71,28,20,27,0,7,0,4,[]
439,65,61,28,21,65,30,60,9,59,10,30,36,71,21,25,29,74,27,20,27,0,7,0,4,[]
440,72,63,28,21,62,15,65,8,65,10,30,36,71,13,25,29,76,23,20,27,0,7,0,4,[]
441,82,56,28,21,61,11,61,9,56,9,30,36,71,13,25,29,74,19,95,4,0,8,0,4,[]
442,84,58,2,96,47,10,44,9,42,9,95,9,69,26,95,4,67,31,80,17,0,8,0,4,[]
443,84,58,17,86,44,10,42,9,29,6,80,13,61,24,91,26,57,41,69,16,0,8,0,4,[]
444,4,95,28,75,44,10,2,96,29,6,66,10,55,31,89,34,51,49,64,17,0,8,0,4,[]
445,21,83,37,66,8,92,14,89,2,96,59,7,65,38,88,39,56,49,64,13,0,8,0,4,[]
446,29,73,45,65,25,78,25,76,19,86,46,8,67,48,86,51,66,48,66,26,0,8,0,4,[]
447,35,63,43,67,34,68,32,66,29,71,44,8,64,60,86,50,94,6,63,39,0,8,0,4,[]
448,41,57,40,57,44,58,42,56,40,59,44,10,64,52,89,48,81,22,61,34,0,8,0,4,[]
449,52,46,50,47,54,49,53,50,52,52,43,15,60,43,79,48,69,32,67,42,0,8,0,4,[]
450,56,46,59,45,58,49,55,50,64,60,30,18,64,36,76,41,67,34,72,30,0,8,0,4,[]
451,68,50,68,50,69,50,66,56,77,62,27,18,63,36,69,34,64,35,77,29,0,8,0,4,[]
452,69,50,66,49,75,54,68,52,66,54,18,14,72,34,69,30,73,33,77,29,0,8,0,4,[]
453,75,63,63,51,74,60,67,60,60,49,12,16,68,32,74,28,75,35,86,14,0,8,0,4,[]
454,73,53,74,58,66,58,74,60,68,56,11,14,63,38,74,29,71,32,74,27,0,8,0,4,[]
455,69,63,61,59,55,57,60,59,57,59,9,17,59,39,94,7,65,33,65,31,0,8,0,4,[]
456,56,54,52,50,47,52,51,49,50,53,9,30,57,43,85,18,64,34,59,38,0,8,0,4,[]
457,57,55,54,47,53,53,56,54,59,60,7,40,60,39,74,27,63,37,62,37,0,8,0,4,[]
458,57,55,64,52,59,57,66,55,64,57,8,36,62,35,63,32,61,38,59,38,0,8,0,4,[]
459,4,83,61,57,65,58,64,57,66,55,19,33,59,34,59,35,61,33,59,35,0,8,0,4,[]
460,6,65,55,53,62,58,55,51,53,54,20,28,59,38,57,33,61,35,60,35,0,8,0,4,[]
461,8,51,52,52,72,67,53,49,49,53,23,39,63,41,60,35,59,37,62,36,0,8,0,4,[]
462,9,56,58,56,84,78,53,49,56,54,22,28,61,41,59,39,57,40,59,39,0,8,0,4,[]
463,20,65,63,64,87,73,62,58,66,63,15,22,62,38,62,35,64,36,57,38,0,8,0,4,[]
464,33,66,64,71,87,76,68,67,69,68,13,22,72,34,71,32,74,35,68,34,0,8,0,4,[]
465,32,60,66,71,74,71,67,67,68,67,9,31,78,31,84,36,75,35,82,34,0,8,0,4,[]
466,25,57,60,59,64,62,58,60,61,61,7,43,86,19,90,47,82,36,82,31,0,8,0,4,[]
467,17,51,50,48,54,52,50,49,49,52,9,40,93,8,93,51,87,40,82,31,0,8,0,4,[]
468,8,41,50,41,55,41,53,41,50,42,7,26,91,11,92,41,78,30,86,9,0,8,0,4,[]
469,8,31,46,38,52,41,47,35,48,39,9,13,77,24,92,41,71,30,73,23,0,8,0,4,[]
470,10,23,41,31,51,33,40,29,55,30,9,13,71,29,82,11,69,30,70,32,0,8,0,4,[]
471,16,19,34,30,49,34,46,24,50,24,92,8,63,24,70,12,70,27,63,25,0,8,0,4,[]
472,27,12,27,36,56,42,42,26,51,27,81,26,66,28,70,12,95,4,65,22,0,8,0,4,[]
473,32,10,31,37,51,44,44,23,43,24,79,40,67,26,73,20,79,16,70,25,0,8,0,4,[]
474,32,10,33,37,50,43,44,23,43,24,83,49,65,27,68,13,68,28,68,29,0,8,0,4,[]
475,27,16,33,37,50,44,2,96,2,96,90,56,66,29,68,8,67,34,67,32,0,8,0,4,[]
476,24,28,19,84,2,96,6,94,16,83,94,52,65,24,68,9,70,29,70,27,0,8,0,4,[]
477,22,41,28,69,10,91,20,83,24,78,94,52,68,18,66,10,67,26,69,20,0,8,0,4,[]
478,14,44,36,59,26,76,30,71,30,67,94,52,64,22,64,9,60,25,69,20,0,8,0,4,[]
479,24,40,49,50,36,64,41,61,41,56,94,52,66,25,65,7,71,26,92,6,0,8,0,4,[]
480,38,37,54,48,46,54,50,51,49,49,93,54,71,28,59,8,76,26,81,14,0,8,0,4,[]
481,42,32,62,39,58,43,59,41,57,43,91,52,68,30,61,8,72,28,68,26,0,8,0,4,[]
482,55,32,68,33,67,35,68,32,68,40,87,47,76,27,69,17,75,26,72,25,0,8,0,4,[]
483,66,31,60,25,70,30,71,28,69,31,84,35,80,29,75,21,78,28,77,26,0,8,0,4,[]
484,71,28,64,25,72,26,72,23,72,28,83,25,81,30,79,19,78,24,80,22,0,8,0,4,[]
485,67,27,70,26,65,24,70,20,65,24,77,27,70,28,77,19,76,25,74,27,0,8,0,4,[]
486,77,24,80,27,72,25,77,27,71,26,74,29,80,27,82,23,80,22,81,20,0,8,0,4,[]
487,78,27,79,29,78,25,81,23,78,24,84,35,83,25,88,16,88,18,87,18,0,8,0,4,[]
488,82,21,79,17,81,19,85,19,82,20,91,25,83,25,94,5,94,7,93,6,0,8,0,4,[]
489,80,15,77,9,81,17,79,16,80,17,86,23,83,25,91,10,86,10,85,9,0,9,0,4,[]
490,83,10,80,13,78,13,81,10,79,15,83,16,83,25,85,15,86,14,86,14,0,10,0,4,[]
491,91,13,87,14,82,13,85,13,85,13,84,10,83,25,91,13,88,9,85,12,0,10,0,4,[]
492,87,9,84,16,84,14,87,9,88,8,84,17,83,25,91,13,92,9,85,12,0,10,0,4,[]
493,87,9,84,16,84,14,87,9,88,8,84,17,83,25,91,13,92,9,85,12,0,10,0,4,[]
