,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,24,12,55,82,50,59,86,79,85,81,26,9,79,10,53,45,89,74,90,74,0,0,0,0,[]
59,20,19,55,82,50,59,80,76,78,73,28,8,67,11,47,50,91,70,90,72,0,0,0,0,[]
60,25,28,6,88,51,62,74,72,78,73,26,9,55,11,49,49,90,70,91,72,0,0,0,0,[]
61,31,22,12,76,46,59,79,78,4,95,26,10,45,14,49,49,91,69,92,71,0,0,0,0,[]
62,41,26,17,66,48,53,83,85,16,87,23,11,42,16,53,47,91,69,88,74,0,0,0,0,[]
63,31,22,17,55,45,52,82,85,23,78,19,11,42,14,52,48,95,4,91,81,0,0,0,0,[]
64,21,20,16,44,46,53,81,85,32,74,21,11,43,16,55,44,91,72,88,83,0,0,0,0,[]
65,19,15,16,43,46,54,80,83,42,77,17,9,44,16,53,44,87,78,88,83,0,0,0,0,[]
66,20,14,18,46,4,96,81,86,56,76,22,8,50,24,54,46,85,80,88,84,0,0,0,0,[]
67,19,15,21,46,13,88,82,86,59,72,21,10,52,35,54,48,85,80,87,84,0,0,0,0,[]
68,19,16,23,35,21,80,81,85,67,78,18,10,51,35,54,47,87,82,88,84,0,0,0,0,[]
69,18,15,31,38,28,72,80,84,76,75,19,11,47,34,53,46,87,79,90,80,0,0,0,0,[]
70,14,17,30,49,36,63,82,84,79,82,19,11,42,32,53,46,87,83,87,79,0,0,0,0,[]
71,15,17,25,59,42,57,83,84,86,87,19,13,41,31,94,7,86,80,87,79,0,0,0,0,[]
72,15,18,29,59,41,54,84,81,87,83,18,14,41,35,94,6,89,76,89,75,0,0,0,0,[]
73,12,22,30,59,41,55,87,79,89,79,16,17,31,38,82,19,88,73,87,75,0,0,0,0,[]
74,10,23,38,64,44,55,88,77,88,76,12,22,23,29,74,27,90,73,90,72,0,0,0,0,[]
75,9,32,46,65,44,55,85,79,84,78,17,14,23,36,66,34,90,73,90,70,0,0,0,0,[]
76,6,36,47,64,49,53,82,82,76,71,18,15,24,37,58,42,92,71,93,70,0,0,0,0,[]
77,7,30,48,65,52,51,82,82,72,66,11,23,18,35,52,43,90,69,93,68,0,0,0,0,[]
78,7,28,57,67,53,47,2,96,65,60,7,27,8,30,55,41,90,70,93,68,0,0,0,0,[]
79,7,24,65,71,48,48,73,67,69,67,8,22,10,23,55,44,89,72,94,7,0,0,0,0,[]
80,7,24,64,70,49,48,69,68,73,69,9,26,20,25,56,44,88,77,94,10,0,0,0,0,[]
81,7,24,65,70,52,51,75,73,80,77,8,27,24,34,58,41,89,79,93,22,0,0,0,0,[]
82,3,92,64,69,60,57,82,80,86,84,7,28,30,37,54,46,89,75,92,33,0,0,0,0,[]
83,5,80,66,69,60,58,83,82,89,81,7,19,27,35,46,51,90,73,91,44,0,0,0,0,[]
84,6,69,64,60,50,55,86,83,83,81,7,19,24,45,48,48,89,75,90,55,0,0,0,0,[]
85,8,57,68,50,47,54,85,81,83,79,90,5,24,43,47,47,90,76,86,65,0,0,0,0,[]
86,9,45,75,44,46,55,85,81,83,80,82,5,24,42,46,47,91,78,87,66,0,0,0,0,[]
87,10,33,76,47,42,56,85,80,86,81,70,6,24,41,44,48,90,76,89,75,0,0,0,0,[]
88,13,19,78,51,40,58,90,76,90,77,58,8,24,40,35,42,90,70,90,71,0,0,0,0,[]
89,15,21,80,54,43,57,91,74,91,74,46,9,25,38,29,44,89,71,91,69,0,0,0,0,[]
90,14,19,81,55,49,53,90,73,91,74,33,11,38,36,40,44,90,67,91,69,0,0,0,0,[]
91,15,15,82,57,52,54,89,74,89,73,21,13,47,30,48,48,89,66,93,69,0,0,0,0,[]
92,12,17,84,65,48,52,89,74,88,71,18,14,49,26,51,45,90,66,93,66,0,0,0,0,[]
93,11,20,92,53,58,57,89,73,88,72,16,16,47,23,51,45,90,66,92,56,0,0,0,0,[]
94,13,19,92,52,63,57,90,67,89,61,18,13,43,22,57,46,95,4,91,51,0,0,0,0,[]
95,13,18,92,61,54,55,89,71,86,65,21,13,41,16,50,49,94,17,90,44,0,0,0,0,[]
96,16,18,82,66,49,53,90,73,89,71,23,13,44,16,49,48,93,27,90,44,0,0,0,0,[]
97,17,17,77,74,47,55,89,74,88,74,24,14,44,16,52,50,92,37,93,7,0,0,0,0,[]
98,18,17,67,78,44,54,88,82,89,81,24,12,44,15,51,52,91,47,93,8,0,0,0,0,[]
99,18,22,53,74,42,58,89,83,89,81,22,14,49,22,48,51,90,56,93,19,0,0,0,0,[]
100,18,20,52,75,41,60,2,96,3,94,17,19,53,32,46,52,91,65,93,30,0,0,0,0,[]
101,11,26,52,75,39,64,4,91,10,80,11,27,49,35,47,52,91,71,92,41,0,0,0,0,[]
102,11,26,54,84,39,64,6,81,17,67,19,16,52,33,49,50,92,64,91,52,0,0,0,0,[]
103,11,26,57,82,10,93,9,71,19,51,20,11,52,33,45,50,92,66,90,63,0,0,0,0,[]
104,11,26,57,82,18,82,9,60,28,51,15,15,93,8,47,49,87,75,87,73,0,0,0,0,[]
105,13,96,55,82,27,73,9,49,22,47,15,16,87,20,49,48,85,81,84,82,0,0,0,0,[]
106,25,94,53,84,37,62,10,38,19,33,15,16,81,31,94,5,84,83,84,84,0,0,0,0,[]
107,40,93,53,84,43,54,12,24,19,24,19,24,80,44,93,9,84,85,81,82,0,0,0,0,[]
108,53,92,2,95,43,46,23,24,24,23,27,23,76,46,81,20,76,89,73,89,0,0,0,0,[]
109,65,91,7,85,43,48,17,22,15,22,27,23,76,56,72,29,72,90,72,93,0,0,0,0,[]
110,72,89,12,75,46,50,11,24,16,22,27,23,74,69,64,37,76,90,73,92,0,0,0,0,[]
111,74,90,17,65,45,47,10,22,12,23,27,23,72,83,56,46,75,89,75,90,0,0,0,0,[]
112,74,90,23,55,41,36,11,22,15,21,27,23,70,90,53,50,73,91,80,91,0,0,0,0,[]
113,74,90,21,46,40,40,19,14,12,15,27,23,71,91,51,51,78,91,80,91,0,0,0,0,[]
114,74,90,23,35,34,43,25,10,25,9,94,5,70,80,51,51,78,91,93,4,0,0,0,0,[]
115,74,90,26,24,37,50,26,10,24,9,93,13,73,69,50,51,92,5,90,5,0,0,0,0,[]
116,9,95,37,23,45,52,26,10,24,9,89,25,72,65,54,54,86,6,82,7,0,0,0,0,[]
117,22,94,38,23,44,54,25,11,29,17,89,37,74,58,57,57,73,7,71,8,0,0,0,0,[]
118,34,92,28,24,44,50,20,16,31,16,89,49,74,52,68,54,64,8,58,9,0,0,0,0,[]
119,46,91,23,33,43,51,19,17,2,96,88,62,77,51,67,54,53,9,47,10,0,0,0,0,[]
120,59,89,15,43,47,49,2,96,9,85,87,73,74,43,56,49,41,9,36,10,0,0,0,0,[]
121,67,83,16,43,44,54,5,92,20,76,84,83,69,40,51,49,31,9,28,12,0,0,0,0,[]
122,70,90,20,50,46,53,7,81,31,68,82,83,62,40,53,49,21,13,28,19,0,0,0,0,[]
123,72,89,23,55,42,54,9,70,31,54,82,85,50,41,50,47,20,13,23,22,0,0,0,0,[]
124,71,90,27,51,38,51,8,59,34,43,81,85,41,36,45,38,17,14,15,16,0,0,0,0,[]
125,71,91,34,42,34,43,8,48,34,39,78,80,45,36,47,40,17,18,19,19,0,0,0,0,[]
126,69,90,34,40,40,41,8,37,32,40,70,78,46,40,48,47,11,24,19,24,0,0,0,0,[]
127,72,89,32,41,32,46,7,29,31,40,68,80,42,34,51,47,13,23,19,24,0,0,0,0,[]
128,69,92,32,49,38,55,8,24,18,35,79,79,41,31,44,42,15,19,87,6,0,0,0,0,[]
129,79,88,32,61,42,57,8,27,19,35,90,83,42,19,48,42,14,21,76,7,0,0,0,0,[]
130,80,88,45,66,39,59,8,30,28,33,86,85,42,16,48,51,16,17,66,8,0,0,0,0,[]
131,70,89,46,64,39,59,8,30,31,35,83,84,41,16,47,52,21,14,54,9,0,0,0,0,[]
132,70,89,47,65,43,53,12,95,31,40,84,80,42,16,50,49,15,11,43,10,0,0,0,0,[]
133,74,88,57,64,45,57,19,87,38,49,85,78,42,16,48,51,16,16,32,11,0,0,0,0,[]
