,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,44,55,54,84,16,11,85,82,86,82,23,11,95,4,94,4,89,75,88,75,0,0,0,0,[]
59,48,51,50,81,17,10,85,78,88,77,24,10,93,9,90,7,90,69,87,69,0,0,0,0,[]
60,50,49,46,70,17,10,79,73,79,74,29,8,87,17,84,13,91,70,91,72,0,0,0,0,[]
61,52,47,46,63,3,96,80,77,75,64,28,9,81,27,77,20,90,71,91,73,0,0,0,0,[]
62,49,50,44,68,5,80,84,83,76,57,23,11,79,40,68,30,88,76,89,78,0,0,0,0,[]
63,49,50,38,64,6,69,83,85,79,67,22,11,78,47,62,39,88,79,88,78,0,0,0,0,[]
64,4,95,25,57,8,56,83,83,80,80,22,13,73,42,55,44,88,77,88,77,0,0,0,0,[]
65,13,90,21,53,9,43,83,85,83,85,20,13,69,40,51,43,87,77,88,77,0,0,0,0,[]
66,19,80,20,52,9,32,84,86,82,86,20,14,59,34,48,43,84,79,87,79,0,0,0,0,[]
67,25,72,19,48,7,25,84,86,82,86,16,21,48,34,50,46,86,78,88,79,0,0,0,0,[]
68,34,64,15,42,8,23,83,86,82,87,13,20,37,38,49,47,83,79,86,82,0,0,0,0,[]
69,42,57,15,40,6,26,82,87,81,86,12,21,31,47,50,47,85,80,87,82,0,0,0,0,[]
70,44,53,15,36,8,24,81,87,81,87,12,22,29,49,50,50,85,80,86,81,0,0,0,0,[]
71,45,53,14,34,10,24,83,86,82,87,14,21,32,44,47,52,86,79,86,81,0,0,0,0,[]
72,42,55,14,34,6,26,82,85,81,85,9,24,31,53,48,51,85,80,87,80,0,0,0,0,[]
73,39,62,4,96,6,29,81,86,80,87,9,24,32,52,45,53,86,82,83,81,0,0,0,0,[]
74,39,59,7,94,7,27,80,85,81,87,9,24,31,56,40,55,86,83,85,81,0,0,0,0,[]
75,38,60,16,88,7,26,83,87,82,86,12,22,40,54,40,55,87,79,85,81,0,0,0,0,[]
76,43,55,28,81,6,26,82,88,80,87,12,23,37,43,43,48,83,83,87,82,0,0,0,0,[]
77,42,56,39,76,9,25,79,87,80,86,13,22,32,37,45,50,86,82,86,82,0,0,0,0,[]
78,46,53,53,77,8,24,85,82,86,81,16,18,31,37,51,47,86,77,88,79,0,0,0,0,[]
79,46,53,64,70,13,22,82,87,86,87,25,14,43,39,51,47,86,82,89,81,0,0,0,0,[]
80,46,54,75,68,16,13,80,88,81,86,29,15,49,43,50,48,87,81,87,80,0,0,0,0,[]
81,44,56,79,75,12,13,82,88,84,88,29,15,49,43,48,48,86,81,88,81,0,0,0,0,[]
82,45,57,82,77,15,13,84,87,86,83,95,4,58,47,48,49,85,80,89,76,0,0,0,0,[]
83,43,56,88,75,12,13,88,78,88,76,25,10,67,53,49,50,90,71,89,74,0,0,0,0,[]
84,44,56,80,78,12,13,85,84,83,80,24,14,76,53,49,50,89,65,89,74,0,0,0,0,[]
85,43,56,68,78,4,88,88,78,82,78,24,12,79,54,48,50,88,69,89,74,0,0,0,0,[]
86,43,55,59,70,5,76,86,80,80,77,25,11,77,50,48,50,90,75,95,8,0,0,0,0,[]
87,48,49,52,62,6,65,86,81,72,70,25,11,63,50,49,47,90,75,93,20,0,0,0,0,[]
88,49,51,50,51,8,54,87,79,63,63,24,10,54,50,50,47,90,72,92,32,0,0,0,0,[]
89,52,51,54,53,8,49,80,77,57,57,25,13,57,47,54,53,90,69,91,44,0,0,0,0,[]
90,50,47,53,53,47,45,71,77,52,49,25,12,60,37,60,44,90,70,89,56,0,0,0,0,[]
91,54,45,53,53,42,43,70,79,52,48,25,10,53,34,60,44,91,70,89,67,0,0,0,0,[]
92,46,52,1,96,31,35,2,96,44,56,24,10,56,30,57,45,90,71,89,74,0,0,0,0,[]
