,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, , , ,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
229,65,57,72,63,59,57,62,59,63,59,59,47,67,62,65,58,59,63,67,55,0,3,0,0,"['19:1 V5Mole(符文法师) 击杀了 RWKillua(河流之王)', '19:3 V5Ben4(暗裔剑魔) 击杀了 RWHolder(荒漠屠夫)']"
230,67,61,82,66,56,48,55,53,55,50,59,47,67,62,65,58,59,63,67,55,0,3,0,0,[]
231,67,68,88,59,57,40,58,43,59,40,59,47,67,62,65,58,59,63,67,55,0,4,0,0,['19:15 V5 击破了防御塔']
232,67,69,91,47,62,40,61,39,53,29,59,47,67,62,65,58,59,63,67,55,0,4,0,0,[]
233,67,70,90,42,62,36,60,37,48,18,59,47,67,62,65,58,59,63,67,55,0,4,0,0,[]
234,68,68,82,37,55,41,57,39,46,7,91,6,67,62,65,58,59,63,67,55,0,4,0,0,[]
235,67,69,78,48,47,36,49,46,46,7,90,16,67,62,87,8,59,63,91,9,0,4,0,0,[]
236,68,67,77,48,43,36,49,46,38,15,89,27,94,4,75,15,92,6,88,22,0,4,0,0,['19:37 V5 击杀了火龙']
237,68,67,78,55,40,38,2,96,37,15,80,32,81,6,63,22,81,15,80,28,0,4,0,0,[]
238,4,93,76,56,3,96,6,90,4,93,68,34,66,7,52,20,71,24,68,33,0,4,0,0,[]
239,4,91,76,56,14,89,18,77,11,78,59,34,53,7,47,26,82,34,56,33,0,4,0,0,[]
240,4,94,12,94,23,79,28,68,17,67,57,39,48,9,49,26,90,44,52,36,0,4,0,0,[]
241,10,83,25,93,31,69,38,62,18,54,56,43,35,11,56,32,89,43,55,32,0,4,0,0,[]
242,16,69,38,91,40,60,43,55,14,42,61,36,23,10,67,39,79,40,65,41,0,4,0,0,[]
243,22,58,51,91,42,59,44,52,17,34,61,36,27,10,76,47,76,35,57,44,0,4,0,0,[]
244,24,52,63,89,51,51,48,49,18,24,89,7,35,17,77,52,61,33,59,41,0,4,0,0,[]
245,33,43,76,87,50,48,38,41,10,23,77,18,32,21,68,51,51,37,58,40,0,4,0,0,[]
246,33,36,85,78,48,53,41,32,20,15,68,29,37,26,62,61,51,36,59,38,0,4,0,0,[]
247,38,37,87,66,47,55,37,37,23,12,60,37,41,36,54,65,44,34,57,38,0,4,0,0,[]
248,28,32,87,56,40,62,31,39,26,14,50,33,41,31,43,68,52,33,46,34,0,4,0,0,[]
249,39,41,79,53,43,68,38,50,32,17,53,31,43,24,43,69,60,38,51,31,0,4,0,0,[]
250,45,52,73,62,43,68,39,63,42,18,48,40,43,24,42,69,45,62,47,37,0,4,0,0,['20:50 V5y4(寒冰射手) 击杀了 RWHaro(德邦总管)']
251,46,59,61,62,42,69,43,68,48,9,51,49,92,13,42,69,45,68,52,46,0,4,0,0,[]
252,47,62,55,52,44,70,41,67,54,9,49,47,80,19,42,69,46,72,52,45,0,4,0,0,['20:59 V5y4(寒冰射手) 击杀了 RWHuaTian(岩雀)']
253,46,51,52,45,39,64,41,58,52,11,59,38,69,13,42,69,46,72,59,37,0,4,0,0,[]
254,40,41,41,38,38,52,44,49,47,14,55,32,76,18,42,69,46,72,61,33,0,5,0,0,['21:10 V5Windy(影流之主) 击破了防御塔']
255,34,32,32,34,32,42,41,37,39,17,66,31,85,27,42,69,46,72,61,40,0,5,0,0,[]
256,34,31,34,31,30,33,37,36,50,18,56,32,90,39,42,69,46,72,56,44,0,5,0,0,[]
257,34,31,34,29,30,33,33,34,47,24,54,32,90,42,42,69,46,72,57,33,0,5,0,0,[]
258,34,31,34,29,30,33,36,36,47,22,46,38,89,42,90,13,46,72,45,33,0,5,0,0,[]
259,41,32,34,29,36,36,43,38,50,27,51,41,85,51,79,25,46,72,47,38,0,5,0,0,['21:33 V5 击杀了大龙']
260,53,35,2,96,48,40,51,41,55,32,60,38,74,44,68,32,90,7,57,40,0,5,0,0,[]
261,59,40,10,92,50,47,55,42,56,41,66,33,66,46,64,26,76,18,62,39,0,5,0,0,[]
262,51,48,26,89,5,96,48,49,48,46,60,38,67,50,57,29,67,28,60,41,0,5,0,0,[]
263,47,59,39,88,15,88,44,55,45,51,55,42,80,50,49,23,55,21,53,46,0,5,0,0,[]
264,49,65,52,88,28,81,41,56,49,51,55,43,89,58,42,19,46,12,56,43,0,5,0,0,[]
265,48,65,59,84,38,75,2,96,49,59,59,38,89,61,43,19,46,11,59,37,0,5,0,0,[]
266,15,90,65,82,46,73,4,96,8,93,57,33,88,68,40,17,35,12,55,31,0,5,0,0,[]
267,29,82,74,76,41,67,17,89,13,76,55,32,89,72,38,15,36,8,55,31,0,5,0,0,[]
268,38,73,84,78,44,57,26,76,17,62,95,4,92,59,31,20,37,11,84,7,0,5,0,0,[]
269,50,65,87,72,50,53,34,65,15,49,80,15,93,54,44,25,39,14,74,20,0,5,0,0,[]
270,61,58,88,66,53,50,45,56,11,37,71,26,93,54,53,34,95,4,67,31,0,5,0,0,[]
271,65,56,84,64,59,46,57,50,12,23,63,35,92,12,52,33,92,8,63,34,0,5,0,0,[]
272,73,49,80,56,60,44,67,47,16,14,63,34,86,26,55,32,87,16,60,36,0,5,0,0,[]
273,76,45,79,52,57,45,60,49,28,10,62,36,88,34,55,32,77,26,62,35,0,5,0,0,[]
274,73,48,88,48,58,44,54,44,38,12,58,34,92,38,93,7,78,36,63,38,0,5,0,0,[]
275,68,43,83,49,59,45,58,45,44,11,57,35,90,33,82,21,76,35,64,39,0,5,0,0,[]
276,66,38,81,38,58,42,62,42,55,11,62,35,89,30,69,26,69,35,65,37,0,5,0,0,[]
277,67,40,71,34,62,41,64,40,64,17,65,34,79,33,70,34,66,34,65,37,0,5,0,0,['23:3 RWZWuJi(惩戒之箭) 击杀了 V5Max(光辉女郎)']
278,72,32,68,35,69,34,64,40,69,31,73,27,70,33,71,31,69,32,69,31,0,5,0,0,"['23:7 V5Ben4(暗裔剑魔) 击杀了 RWKillua(河流之王)', '23:10 V5Ben4(暗裔剑魔) 击杀了 RWHuaTian(岩雀)']"
279,75,28,73,31,71,34,64,40,75,26,75,25,72,33,77,29,69,32,69,31,0,5,0,0,"['23:11 RWHolder(荒漠屠夫) 击杀了 V5y4(寒冰射手)', '23:11 V5Windy(影流之主) 击杀了 RWZWuJi(惩戒之箭)', '23:12 V5Mole(符文法师) 击杀了 RWHolder(荒漠屠夫)', '23:14 V5Ben4(暗裔剑魔) 击杀了 RWHaro(德邦总管)']"
280,78,19,68,30,71,34,64,40,66,26,75,25,72,33,77,29,69,32,69,31,0,6,0,0,['23:17 V5Windy(影流之主) 击破了防御塔']
281,69,10,69,19,71,34,64,40,73,19,75,25,72,33,77,29,69,32,69,31,0,6,0,0,[]
282,71,10,70,13,71,34,64,40,71,9,75,25,72,33,77,29,69,32,69,31,0,6,0,0,[]
283,73,11,69,31,71,34,64,40,69,29,75,25,72,33,77,29,69,32,69,31,0,7,0,0,['23:31 V5Mole(符文法师) 击破了防御塔']
284,73,10,73,24,71,34,64,40,75,24,75,25,72,33,77,29,69,32,69,31,0,7,0,0,[]
285,71,10,73,22,71,34,10,92,75,22,75,25,72,33,77,29,69,32,84,9,0,8,0,0,['23:44 V5 击破了防御塔']
286,60,12,72,23,71,34,8,95,74,23,90,6,72,33,77,29,69,32,80,24,0,8,0,0,[]
287,59,13,64,31,71,34,21,82,68,34,77,10,94,5,92,6,91,12,78,14,0,8,0,0,[]
288,16,90,63,32,10,84,31,71,68,41,79,14,76,11,82,17,83,18,81,18,0,8,0,0,[]
289,30,81,4,95,23,74,42,68,5,95,78,16,87,9,75,25,75,26,74,26,0,8,0,0,[]
290,40,71,22,87,35,68,39,63,12,77,75,23,91,11,70,32,72,30,69,29,0,8,0,0,[]
291,53,66,33,78,48,66,50,60,17,63,70,33,89,23,69,41,80,36,58,33,0,8,0,0,[]
292,66,63,44,69,60,62,62,63,20,49,58,34,83,29,67,39,90,42,62,41,0,8,0,0,[]
293,74,64,55,64,72,63,71,64,24,42,55,40,72,22,73,34,88,46,62,41,0,8,0,0,[]
294,77,57,62,61,82,66,66,57,32,39,53,43,63,14,74,34,84,36,56,42,0,8,0,0,[]
295,74,44,61,58,88,61,69,50,45,46,58,38,51,8,67,28,70,32,67,37,0,8,0,0,[]
296,74,43,66,65,91,54,77,48,58,44,63,34,50,18,67,28,59,23,73,33,0,8,0,0,[]
297,79,39,76,56,92,43,88,48,66,39,68,29,44,14,75,29,52,20,68,28,0,8,0,0,[]
298,80,35,80,43,93,38,87,37,66,34,70,29,49,10,76,28,62,24,71,27,0,8,0,0,[]
299,82,34,83,35,92,35,92,38,70,30,75,27,49,9,89,26,79,31,79,28,0,8,0,0,[]
300,86,35,86,35,89,36,91,37,72,27,86,25,50,8,92,29,84,27,87,28,0,8,0,0,[]
301,88,28,87,30,90,31,92,30,79,22,89,21,49,7,90,22,88,19,84,23,0,9,0,0,['25:5 V5y4(寒冰射手) 击破了防御塔']
302,88,24,82,22,85,25,89,27,79,20,91,12,48,6,91,10,92,5,85,15,0,9,0,0,[]
303,87,20,83,21,85,22,86,23,84,20,89,14,94,5,85,12,91,9,85,14,0,9,0,0,[]
304,91,22,84,20,85,20,87,23,89,25,89,14,95,18,85,13,92,17,88,15,0,9,0,0,[]
305,86,24,86,17,82,21,84,23,87,23,89,14,86,17,86,17,91,18,89,16,0,9,0,0,['25:25 RWZWuJi(惩戒之箭) 击杀了 V5Mole(符文法师)']
306,84,24,86,17,84,24,86,26,82,24,86,14,89,16,89,19,93,22,87,16,0,9,0,0,[]
307,86,22,86,17,88,23,88,24,88,24,89,16,93,8,88,22,93,16,87,15,0,9,0,0,['25:35 V5Windy(影流之主) 击杀了 RWHaro(德邦总管)']
308,89,17,86,17,89,18,92,20,93,18,91,10,90,12,88,22,91,13,89,15,0,9,0,0,[]
309,92,21,86,17,89,17,93,25,89,23,93,17,91,21,88,22,88,17,89,14,0,9,0,0,['25:42 RWHolder(荒漠屠夫) 击杀了 V5y4(寒冰射手)']
310,90,22,86,17,89,17,91,26,88,25,94,19,93,22,88,22,91,16,92,14,0,9,0,0,[]
311,89,22,86,17,89,17,87,28,81,21,87,17,85,16,88,22,92,5,85,12,0,9,0,0,['25:51 RWZWuJi(惩戒之箭) 击杀了 V5Ben4(暗裔剑魔)']
312,89,22,86,17,89,17,86,24,82,20,88,14,86,17,88,22,85,11,93,5,0,9,0,0,[]
313,89,22,86,17,89,17,84,20,84,18,90,10,88,8,88,22,84,9,90,10,0,10,0,0,"['26:3 V5 击破了防御塔', '26:4 V5Windy(影流之主) 击杀了 RWHolder(荒漠屠夫)', '26:5 V5Windy(影流之主) 击杀了 RWZWuJi(惩戒之箭)']"
314,89,22,86,17,89,17,86,17,84,17,92,8,88,8,88,22,86,9,91,9,0,11,0,0,['26:7 V5 击破了防御塔']
315,89,22,86,17,89,17,87,17,85,11,92,8,88,8,88,22,93,15,92,7,0,11,0,0,[]
316,89,22,2,96,89,17,88,17,94,19,92,8,88,8,93,14,92,13,93,14,0,11,0,0,[]
317,89,22,91,12,89,17,91,15,94,14,92,8,88,8,92,9,94,9,91,12,0,11,0,0,[]
318,89,22,91,10,89,17,91,13,92,10,92,8,88,8,93,6,95,7,93,8,0,11,0,0,"['26:27 V5Mole(符文法师) 击杀了 RWHaro(德邦总管)', '26:30 V5Windy(影流之主) 击杀了 RWKillua(河流之王)']"
319,89,22,93,10,9,95,92,13,90,13,92,8,88,8,93,6,96,7,93,8,0,11,0,0,['26:32 V5Mole(符文法师) 击杀了 RWHuaTian(岩雀)']
320,89,22,93,10,9,95,92,13,90,13,92,8,88,8,93,6,96,7,93,8,0,11,0,0,['26:40 V5 获胜']
