,LNGFlandre, ,LNGSofM, ,LNGFenfen, ,LNGAsura, ,LNGDuan, ,VGChelizi, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
251,89,63,25,57,30,66,36,63,31,52,28,9,46,24,67,6,58,40,40,32,0,3,0,1,[]
252,86,63,24,52,40,58,25,57,31,51,93,19,55,32,58,14,52,44,47,38,0,3,0,1,[]
253,77,65,32,44,44,56,28,50,33,46,92,33,60,40,48,21,50,46,50,46,0,3,0,1,[]
254,64,58,35,37,39,50,32,39,32,34,90,46,66,46,37,23,55,41,55,41,0,3,0,1,[]
255,66,46,40,34,32,37,29,32,32,28,87,52,67,42,33,17,55,41,55,41,0,3,0,1,[]
256,62,40,34,30,32,34,29,32,31,33,90,56,62,35,46,16,59,39,59,39,0,3,0,1,[]
257,60,43,34,28,32,34,31,33,41,37,79,48,62,42,47,23,62,41,60,40,0,3,0,1,[]
258,61,43,33,35,36,37,40,38,42,41,81,56,59,35,50,22,57,44,64,37,0,3,0,1,[]
259,61,43,35,30,43,42,42,46,40,37,87,67,54,33,41,15,57,43,64,37,0,3,0,1,[]
260,61,43,32,28,47,47,2,96,38,39,85,80,55,31,37,15,62,36,94,4,0,3,0,1,[]
261,61,43,25,27,45,53,20,94,2,96,81,85,56,33,31,18,62,36,83,15,0,3,0,1,[]
262,61,43,28,21,52,47,34,92,12,90,78,79,56,33,37,14,93,6,76,25,0,3,0,1,[]
263,61,43,25,27,49,50,48,92,25,81,73,68,65,41,44,10,83,20,68,32,0,3,0,1,[]
264,61,43,3,96,46,52,60,89,38,75,77,56,58,42,44,6,73,28,58,33,0,3,0,1,[]
265,61,43,19,88,51,62,62,82,45,68,82,56,59,40,47,6,63,36,60,41,0,3,0,1,[]
266,5,92,32,80,46,67,64,82,54,67,82,56,60,38,41,9,64,35,60,38,0,3,0,1,[]
267,14,78,41,71,39,64,73,86,55,65,82,55,68,39,33,8,69,40,66,46,0,3,0,1,[]
268,17,65,52,65,47,54,78,83,56,61,95,4,71,41,43,7,62,40,66,50,0,3,0,1,[]
269,19,51,60,57,50,51,79,82,58,55,92,10,71,41,46,6,60,40,59,45,0,3,0,1,[]
270,23,46,67,58,54,50,78,83,63,57,92,27,96,5,46,6,58,40,60,41,0,3,0,1,[]
271,23,43,67,48,59,47,87,75,59,48,83,34,94,5,87,7,61,35,61,35,0,3,0,1,[]
272,23,33,68,51,57,46,88,73,66,50,80,39,94,5,75,28,63,34,63,34,0,3,0,1,[]
273,18,20,68,51,57,46,87,71,74,48,88,41,93,9,69,34,76,33,76,33,0,3,0,1,[]
274,20,14,68,52,57,48,92,65,66,49,77,34,81,21,58,42,87,39,87,40,0,3,0,1,[]
275,32,10,70,49,56,47,90,62,67,50,66,27,73,31,59,38,91,47,91,47,0,3,0,1,[]
276,33,10,77,52,59,47,89,55,75,42,60,23,76,35,59,38,92,48,92,48,0,3,0,1,[]
277,41,15,78,48,64,40,90,55,80,48,57,14,75,35,64,32,91,47,91,47,0,3,0,1,[]
278,45,11,74,41,62,36,89,56,85,51,49,9,80,35,67,33,92,47,92,47,0,3,0,1,[]
279,44,10,66,40,60,35,88,60,74,43,50,9,70,33,69,28,90,48,87,44,0,3,0,1,[]
280,44,11,74,44,60,39,89,60,76,43,52,11,72,30,70,30,90,46,90,46,0,3,0,1,[]
281,43,9,82,48,64,40,90,65,75,43,53,9,72,28,70,29,85,37,86,37,0,3,0,1,[]
282,45,10,81,48,61,42,87,72,82,47,54,19,68,34,62,33,76,33,76,33,0,3,0,1,[]
283,46,15,77,45,62,37,90,68,82,48,54,19,68,35,68,33,77,34,77,34,0,3,0,1,[]
284,43,11,84,50,64,38,89,59,83,48,52,9,73,30,69,29,86,37,86,37,0,4,0,1,[]
285,45,11,79,48,54,30,88,53,82,48,53,8,78,33,68,31,90,44,90,44,0,4,0,1,[]
286,51,9,64,40,49,21,74,49,70,41,62,9,75,32,72,33,91,45,91,45,0,4,0,1,[]
287,54,10,61,38,48,9,66,40,62,36,62,10,65,25,65,19,88,40,88,40,0,4,0,1,[]
288,58,12,67,44,48,18,67,47,66,38,63,8,68,26,69,24,79,33,79,33,0,5,0,1,[]
289,57,16,77,50,52,29,78,52,77,46,64,8,69,23,69,30,78,30,78,30,0,5,0,1,[]
290,51,20,76,45,53,28,84,63,80,47,59,10,69,23,76,25,78,30,78,30,0,5,0,1,[]
291,56,12,65,40,54,31,87,74,13,91,63,10,87,9,83,15,92,14,92,13,0,5,0,1,[]
292,49,10,62,38,58,39,86,77,28,82,51,9,72,11,91,7,91,30,91,30,0,5,0,1,[]
293,46,11,67,42,63,40,91,68,39,72,57,10,68,18,83,14,88,36,89,39,0,5,0,1,[]
294,49,9,64,39,62,50,93,67,51,65,55,21,78,28,71,26,90,44,87,50,0,5,0,1,[]
295,44,14,66,37,69,50,88,64,65,62,62,18,80,34,68,28,90,47,87,49,0,5,0,1,[]
296,51,20,68,33,78,51,88,58,76,57,63,9,83,36,69,27,91,50,91,50,0,5,0,1,[]
297,60,23,65,35,81,51,87,56,80,46,57,9,73,33,67,27,91,50,91,50,0,5,0,1,[]
298,63,24,64,35,80,54,88,59,80,49,54,9,83,36,71,28,91,47,91,47,0,5,0,1,[]
299,67,34,70,40,83,51,91,57,82,47,52,9,88,39,78,27,91,50,91,50,0,5,0,1,[]
300,73,42,77,46,87,51,93,57,82,43,63,15,89,40,72,27,93,44,92,44,0,5,0,1,[]
301,81,47,82,47,87,54,88,60,83,49,70,26,91,41,70,29,92,45,89,43,0,5,0,1,[]
302,81,43,82,45,84,51,89,53,82,48,79,33,89,42,74,32,93,47,93,47,0,5,0,1,[]
303,81,55,80,52,87,56,87,61,79,52,87,40,90,47,84,36,91,49,91,49,0,5,0,1,[]
304,84,63,78,62,75,59,87,73,79,63,90,45,83,36,72,33,92,47,92,47,0,5,0,1,[]
305,90,64,79,66,65,61,86,76,72,62,90,45,67,34,61,33,92,44,92,43,0,5,0,1,[]
306,89,64,78,64,54,54,2,96,72,62,94,16,65,37,54,31,93,50,93,50,0,5,0,1,[]
307,80,65,67,65,48,50,18,86,8,93,91,32,71,40,59,37,93,52,93,47,0,5,0,1,[]
308,70,67,67,66,50,65,32,80,21,80,90,45,64,38,57,41,92,58,93,47,0,5,0,1,[]
309,67,69,64,69,46,67,43,78,32,70,81,51,54,30,60,37,91,53,85,12,0,5,0,1,[]
310,67,69,64,71,45,66,53,84,42,60,80,46,45,23,63,33,81,48,75,22,0,5,0,1,[]
311,75,72,64,71,48,54,49,81,45,54,83,52,44,15,94,4,73,42,67,30,0,5,0,1,[]
312,85,78,64,71,50,52,45,71,46,49,71,50,43,16,84,9,62,40,60,38,0,5,0,1,[]
313,85,81,3,92,48,56,34,62,41,51,74,50,50,19,70,16,58,41,58,41,0,5,0,1,[]
314,89,82,9,84,48,56,24,57,29,46,86,53,52,21,61,24,54,45,54,45,0,5,0,1,[]
315,89,82,19,76,14,85,18,46,32,37,91,63,95,4,56,23,59,40,59,35,0,5,0,1,[]
316,3,97,30,65,22,73,24,39,32,35,90,64,85,18,54,19,58,40,58,38,0,5,0,1,[]
317,16,89,39,55,30,63,30,35,35,38,84,52,74,28,52,11,52,48,51,41,0,5,0,1,[]
318,29,81,44,53,41,57,40,36,39,37,72,49,65,36,49,10,53,48,53,48,0,5,0,1,[]
319,41,77,45,43,45,50,39,25,48,39,57,46,58,34,45,13,56,42,56,42,0,5,0,1,[]
320,52,84,53,50,47,45,40,33,51,41,59,36,56,33,51,23,60,40,60,40,0,5,0,1,[]
321,66,88,47,46,52,48,45,45,45,42,59,44,60,40,57,33,58,41,58,41,0,5,0,1,[]
322,78,86,49,47,52,50,47,50,46,45,56,42,57,47,59,42,58,45,58,45,0,5,0,1,[]
323,86,77,45,48,41,56,45,51,43,52,54,46,55,50,54,49,52,49,55,49,0,5,0,1,[]
324,88,73,39,50,38,59,37,57,41,56,48,46,48,51,49,48,49,50,49,51,0,5,0,1,[]
325,88,69,42,52,46,57,41,53,44,54,42,39,37,42,41,41,42,40,42,40,0,5,0,1,[]
326,87,60,43,44,51,52,45,48,51,48,49,35,44,38,46,38,49,35,49,35,0,5,0,1,[]
327,87,47,36,39,53,53,44,51,41,51,58,33,51,34,52,31,59,36,59,36,0,5,0,1,[]
328,89,46,35,36,47,56,43,54,41,51,71,34,55,32,48,19,57,41,57,41,0,5,0,1,[]
329,90,45,41,39,52,49,48,50,8,86,84,37,54,32,45,12,58,42,58,42,0,5,0,1,[]
330,80,50,36,37,41,41,47,48,21,73,90,43,51,29,47,22,56,42,56,42,0,6,0,1,[]
331,67,50,36,28,31,33,38,38,31,62,81,36,42,30,42,26,57,33,57,33,0,6,0,1,[]
332,61,50,40,23,39,29,42,33,32,48,68,34,42,26,46,24,48,25,46,24,0,6,0,1,[]
333,42,35,35,23,41,35,40,36,40,37,55,32,42,26,50,26,51,29,51,29,0,6,0,1,[]
334,41,31,25,29,31,34,31,34,38,36,46,39,42,26,48,35,45,38,46,36,0,6,0,1,[]
335,35,29,31,32,30,34,32,34,32,32,44,34,42,26,43,35,44,33,43,36,0,6,0,1,[]
336,33,28,32,34,34,38,33,37,33,27,54,32,42,26,49,48,57,33,51,33,0,6,0,1,[]
337,24,26,3,96,39,51,2,96,31,30,66,34,42,26,56,49,68,39,51,33,0,6,0,1,[]
338,27,15,17,86,43,52,18,89,9,86,79,36,42,26,63,51,66,38,90,7,0,6,0,1,[]
339,36,9,27,75,42,53,2,98,22,75,90,38,42,26,66,47,64,35,80,20,0,6,0,1,[]
340,47,9,36,66,2,96,13,90,33,65,91,46,42,26,94,4,66,31,74,27,0,6,0,1,[]
341,48,8,47,64,9,94,25,78,39,54,88,49,87,5,78,5,69,28,67,36,0,6,0,1,[]
342,44,14,58,63,28,92,36,67,40,50,80,51,75,16,64,7,69,28,65,25,0,6,0,1,[]
343,40,17,65,57,42,91,46,55,48,51,83,56,74,28,61,7,94,5,57,22,0,6,0,1,[]
344,39,16,66,56,53,87,53,50,58,49,83,55,75,33,56,10,79,16,65,25,0,6,0,1,[]
345,38,15,66,56,62,84,52,42,62,50,83,55,75,34,50,8,70,27,70,27,0,6,0,1,[]
346,39,14,68,47,75,83,58,40,67,42,95,4,70,34,56,9,64,35,64,35,0,6,0,1,[]
347,44,9,68,40,86,76,61,39,63,39,81,13,77,33,71,7,66,30,66,30,0,6,0,1,[]
348,40,8,59,36,90,72,52,29,59,37,77,26,72,31,83,6,66,32,66,32,0,6,0,1,[]
349,52,9,62,37,87,64,53,32,55,30,86,34,73,29,89,5,69,30,69,30,0,6,0,1,[]
350,56,7,70,39,80,54,63,37,59,33,89,32,80,29,78,13,72,28,72,28,0,6,0,1,[]
351,59,8,79,48,88,47,66,36,67,35,80,23,81,33,90,36,78,30,78,30,0,6,0,1,[]
352,61,8,87,47,91,44,65,38,71,39,71,14,86,36,91,36,80,31,80,31,0,6,0,1,[]
353,63,8,88,37,93,38,71,40,78,47,68,9,81,31,92,30,80,32,80,32,0,6,0,1,[]
354,63,8,87,40,93,39,66,34,81,40,70,9,88,34,90,33,82,30,82,30,0,6,0,1,[]
355,60,8,87,38,92,39,62,33,80,36,66,8,77,27,92,30,70,29,70,29,0,6,0,1,[]
356,61,9,86,37,90,40,64,35,80,40,68,10,80,30,81,30,70,29,70,29,0,6,0,1,[]
357,61,9,87,41,92,41,65,35,80,40,67,9,81,30,93,34,73,28,73,28,0,6,0,1,[]
358,61,8,87,41,89,42,64,40,87,50,64,10,85,31,91,35,84,30,84,30,0,6,0,1,[]
359,64,9,86,36,92,37,63,39,87,39,69,10,88,31,94,31,90,31,90,31,0,6,0,1,[]
360,64,9,78,34,90,45,63,38,82,36,67,10,87,31,90,33,87,31,89,32,0,6,0,1,[]
361,61,8,75,32,87,42,69,29,73,32,68,10,80,27,92,16,80,26,80,26,0,6,0,1,[]
362,62,10,79,28,83,34,72,25,75,23,74,7,86,20,95,4,82,20,82,20,0,6,0,1,[]
363,63,10,80,29,86,35,76,26,79,19,86,5,92,10,90,14,85,18,85,18,0,7,0,1,[]
364,62,10,83,31,91,39,76,24,74,23,87,9,91,12,85,21,82,17,82,17,0,7,0,1,[]
365,69,11,75,26,91,36,75,29,76,32,80,21,86,28,92,30,85,25,85,25,0,8,0,1,[]
366,73,10,72,19,89,39,74,28,82,33,76,13,91,30,92,33,80,22,80,21,0,8,0,1,[]
367,72,14,73,20,88,37,77,24,79,33,77,10,89,28,93,31,79,11,79,11,0,8,0,1,[]
368,75,17,80,30,92,38,87,32,93,34,77,10,94,34,93,31,86,23,86,23,0,8,0,1,[]
369,83,20,83,24,93,39,89,35,93,34,85,15,94,31,93,34,91,30,92,31,0,8,0,1,[]
370,76,13,81,21,92,39,86,34,91,37,85,19,91,32,93,34,88,27,88,27,0,8,0,1,[]
371,77,15,82,20,88,24,88,29,88,28,85,21,93,26,93,34,87,21,88,20,0,9,0,1,['30:51 LNGFenfen(¬Û¡÷≈⁄ ÷) ª˜…±¡À VGAix(æ∆Õ∞)']
372,90,14,82,20,89,23,89,23,87,21,90,17,93,26,93,34,94,14,94,14,0,9,0,1,[]
373,88,17,82,20,89,23,90,17,88,16,93,6,93,26,93,34,94,16,95,5,0,9,0,1,[]
374,83,13,82,20,89,23,83,16,86,9,86,9,93,26,93,34,94,16,86,9,0,11,0,1,[]
375,83,16,82,20,89,23,91,12,87,14,86,17,93,26,93,34,94,16,91,10,0,11,0,1,[]
376,84,17,82,20,89,23,92,16,89,16,88,16,93,26,93,34,94,16,94,6,0,11,0,1,[]
377,85,15,82,20,89,23,93,12,90,13,88,16,93,26,93,34,94,16,94,6,0,11,0,1,[]
378,85,15,82,20,89,23,93,12,90,13,88,16,93,26,93,34,94,16,94,6,0,11,0,1,[]
