,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,1,97,1,95,94,5,95,5,95,2,97,3,93,3,0,0,0,0,[]
2,4,95,4,94,2,95,4,95,3,94,92,5,93,5,93,5,94,6,94,5,0,0,0,0,[]
3,4,95,4,94,3,94,4,94,3,94,92,5,93,5,93,5,94,6,94,6,0,0,0,0,[]
4,15,79,16,78,17,77,17,77,17,78,73,17,75,13,77,20,84,25,80,23,0,0,0,0,[]
5,31,62,32,62,34,63,32,60,33,62,55,30,58,28,62,36,80,47,66,40,0,0,0,0,[]
6,33,43,33,43,48,53,34,43,44,50,40,37,41,32,52,47,73,64,65,57,0,0,0,0,[]
7,34,39,36,42,45,51,35,43,44,43,39,29,44,33,53,47,64,62,62,59,0,0,0,0,[]
8,44,36,41,35,45,47,41,36,44,35,31,22,51,32,53,47,57,67,57,68,0,0,0,0,[]
9,52,32,42,25,41,39,45,33,47,33,30,21,55,32,59,44,58,75,60,76,0,0,0,0,[]
10,44,35,40,36,42,42,42,41,43,38,30,21,63,32,54,49,68,80,69,79,0,0,0,0,[]
11,42,44,43,47,45,53,44,52,43,48,88,6,63,32,53,48,69,79,69,79,0,0,0,0,[]
12,42,45,45,57,51,62,49,60,47,58,78,10,92,5,55,46,78,75,69,79,0,0,0,0,[]
13,40,44,53,65,57,68,56,66,55,64,69,12,82,10,52,47,76,76,69,79,0,0,0,0,[]
14,28,38,48,68,52,63,57,71,57,68,56,10,72,15,54,47,76,70,69,78,0,0,0,0,[]
15,19,35,52,76,42,54,63,78,64,78,46,12,61,23,58,50,77,74,72,78,0,0,0,0,[]
16,21,38,47,78,44,53,71,85,71,86,47,22,51,21,55,58,80,80,80,80,0,0,0,0,[]
17,21,30,51,76,44,53,71,90,71,88,45,24,50,22,54,57,80,79,84,86,0,0,0,0,[]
18,29,23,51,73,50,53,72,90,71,88,46,25,47,26,54,48,81,79,81,90,0,0,0,0,[]
19,36,22,51,76,45,51,76,89,76,88,46,24,47,26,51,48,80,82,83,88,0,0,0,0,[]
20,30,21,50,77,47,49,82,85,82,86,39,23,48,25,54,47,83,79,87,82,0,0,0,0,[]
21,25,22,49,80,49,52,82,84,83,85,31,21,48,18,53,47,87,80,86,81,0,0,0,0,[]
22,15,19,55,82,52,47,82,86,82,86,23,14,44,17,57,43,88,82,86,81,0,0,0,0,[]
23,12,17,54,84,52,47,83,84,82,84,14,14,45,15,57,43,88,81,85,79,0,0,0,0,[]
24,12,14,54,84,50,53,83,84,82,86,17,9,41,15,51,47,87,84,83,81,0,0,0,0,[]
25,16,10,53,84,49,53,82,84,82,84,22,12,43,15,52,48,89,81,87,79,0,0,0,0,[]
26,11,17,50,80,49,50,83,84,84,84,16,15,41,15,54,46,89,79,86,77,0,0,0,0,[]
27,13,15,47,69,47,49,82,82,84,83,17,14,45,15,53,48,88,76,87,77,0,0,0,0,[]
28,10,21,46,64,48,51,84,82,83,82,13,14,48,18,52,48,89,74,87,74,0,0,0,0,[]
29,10,21,48,66,51,48,85,82,86,81,13,15,51,28,55,44,90,73,87,74,0,0,0,0,[]
30,10,22,51,65,51,50,88,78,89,77,19,20,52,36,56,46,91,69,90,71,0,0,0,0,[]
31,9,25,56,63,49,48,88,77,88,77,13,21,52,33,55,47,93,71,87,69,0,0,0,0,[]
32,9,24,65,57,52,50,87,79,88,78,10,20,50,35,57,45,92,73,87,71,0,0,0,0,[]
33,8,25,72,48,54,51,89,78,87,77,9,20,44,36,54,45,91,70,88,71,0,0,0,0,[]
34,8,26,75,47,53,51,88,77,87,76,10,19,35,42,59,44,92,68,88,69,0,0,0,0,[]
35,8,25,77,47,45,51,89,74,91,74,12,22,24,46,57,45,91,68,90,66,0,0,0,0,[]
36,8,27,77,49,53,51,87,77,89,75,10,21,23,43,53,45,92,68,89,68,0,0,0,0,[]
37,7,26,75,55,50,54,88,76,88,78,9,22,22,46,53,46,90,69,92,70,0,0,0,0,[]
38,9,26,74,58,51,54,86,82,86,82,10,21,22,53,51,47,88,75,89,73,0,0,0,0,[]
39,8,25,74,61,52,52,85,82,85,81,11,20,23,55,55,46,91,74,89,73,0,0,0,0,[]
40,8,27,72,63,51,50,83,82,84,81,11,22,23,55,55,45,89,76,88,75,0,0,0,0,[]
41,7,27,69,64,44,53,85,81,87,80,12,25,17,46,55,44,88,73,88,73,0,0,0,0,[]
42,6,28,74,68,42,51,85,79,90,78,10,24,15,43,49,49,88,71,90,71,0,0,0,0,[]
