,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
54,11,21,91,77,53,46,70,94,75,93,51,8,77,92,76,90,78,87,78,85,6677,0,7460,0,['4:29 EDGScout(离群之刺) 击杀了 JDGLvMao(末日使者)']
55,4,92,3,94,53,45,68,94,75,93,40,8,76,88,77,79,80,84,80,84,6763,0,7540,0,[]
56,5,86,11,82,47,45,3,96,2,96,29,9,78,81,72,69,81,88,79,86,6827,0,7807,0,[]
57,9,74,17,72,47,45,12,95,10,94,25,8,71,69,66,56,80,89,80,85,6878,0,7929,0,[]
58,10,63,20,60,3,95,23,94,21,94,27,9,63,61,59,47,80,83,83,83,6929,0,8071,0,[]
59,10,52,24,56,8,87,34,93,33,93,25,9,69,62,56,44,80,83,83,83,6980,0,8255,0,[]
60,10,40,22,54,16,78,45,92,44,92,20,14,68,61,56,44,95,4,93,6,7115,0,8306,0,[]
61,10,29,20,49,25,71,56,90,55,91,14,18,67,50,92,6,95,8,92,10,7187,0,8396,0,[]
62,10,23,21,46,33,63,67,89,66,90,11,22,64,39,82,14,95,13,84,19,7238,0,8518,0,[]
63,8,24,19,45,42,56,74,87,72,85,16,19,54,32,74,23,93,23,76,26,7352,0,8569,0,[]
64,11,21,18,45,47,52,74,87,73,85,22,28,51,35,66,32,92,34,68,35,7580,0,8620,0,[]
65,6,23,18,46,47,51,75,87,72,86,22,38,48,34,59,40,91,45,66,46,7694,0,8783,0,[]
66,10,27,14,43,46,52,73,87,71,87,19,44,44,37,50,48,89,55,65,57,7820,0,8880,0,[]
67,12,35,16,42,45,52,76,88,73,87,22,43,42,45,51,49,88,66,56,62,7992,0,8932,0,[]
68,18,33,20,49,39,54,78,88,71,85,28,38,42,53,50,50,86,77,47,57,8057,0,9025,0,[]
69,11,30,30,48,44,55,80,89,74,76,29,36,44,44,51,50,84,81,54,54,8129,0,9090,0,[]
70,13,20,35,38,44,53,82,88,78,83,29,33,41,35,50,47,85,79,58,58,8257,0,9207,0,[]
71,16,14,33,43,43,53,82,88,78,84,30,36,34,41,42,45,86,79,57,56,8414,0,9262,0,[]
72,17,17,34,43,45,52,83,86,79,84,25,26,41,34,52,50,85,78,66,62,8563,0,9357,0,[]
73,20,19,38,39,44,53,83,84,86,86,26,16,42,24,51,49,86,79,77,60,8673,0,9408,0,[]
74,22,11,43,34,44,52,82,82,85,85,26,10,43,17,50,47,87,75,82,66,8808,0,9474,0,[]
75,22,12,44,24,44,52,84,79,81,81,26,9,44,14,51,48,87,75,86,66,8970,0,9822,0,[]
76,24,10,46,16,46,52,85,83,83,78,27,9,50,11,50,48,87,80,87,75,9089,0,9925,0,[]
77,31,20,47,16,48,50,84,79,83,82,28,8,50,11,47,52,92,75,89,74,9149,0,10137,0,[]
78,39,28,51,26,53,49,85,80,81,79,26,8,95,4,56,47,92,72,88,71,9200,0,10246,0,[]
79,46,37,55,32,53,47,83,83,84,85,26,9,93,10,62,41,87,78,90,80,9294,0,10331,0,[]
80,53,44,59,35,53,45,81,85,83,86,25,12,86,17,63,41,89,83,88,84,9450,0,10404,0,[]
81,56,42,55,40,56,46,80,85,84,86,16,14,78,25,63,40,88,82,85,79,9586,0,10560,0,[]
82,44,44,51,51,50,48,86,85,87,85,15,14,69,32,57,42,91,78,87,80,9641,0,10688,0,[]
83,33,40,42,60,45,53,86,85,87,86,15,14,62,35,58,43,89,78,86,78,9723,0,10813,0,[]
84,27,37,46,64,46,52,81,85,79,84,88,4,55,31,49,40,85,78,80,75,9774,0,10909,0,[]
85,16,34,47,66,45,54,80,83,78,80,87,4,52,27,50,47,85,78,78,72,9958,0,11011,0,[]
86,10,26,50,73,46,54,82,87,81,86,75,6,52,28,50,48,83,80,74,66,10093,0,11083,0,[]
87,10,21,52,76,46,54,82,87,79,86,63,7,52,28,50,48,82,80,81,66,10280,0,11182,0,[]
88,9,21,52,76,43,56,83,88,79,84,51,8,56,32,48,48,87,80,87,71,10585,0,11397,0,[]
89,9,21,58,70,39,60,81,81,78,76,44,14,65,39,47,51,88,78,87,76,10636,0,11537,0,[]
90,8,20,61,62,39,60,82,79,75,70,50,20,73,44,49,49,91,74,90,76,10687,0,11619,0,[]
91,11,19,64,58,2,96,82,80,70,66,41,23,77,48,50,48,91,76,89,74,10872,0,11686,0,[]
92,12,17,68,61,46,52,82,79,72,68,29,22,77,47,51,46,89,77,90,79,11039,0,11901,0,[]
93,13,17,60,62,46,54,85,83,75,67,25,16,77,54,51,47,86,76,91,76,11231,0,12010,0,[]
94,8,24,58,70,50,51,84,83,74,71,17,14,83,58,58,42,86,76,87,68,11307,0,12239,0,[]
95,8,24,56,81,47,50,84,82,80,80,16,17,84,58,59,41,90,78,87,76,11370,0,12345,0,[]
96,3,90,56,80,47,50,83,83,83,84,15,21,83,58,93,5,89,79,86,76,11564,0,12498,0,[]
97,5,76,56,82,49,49,80,85,79,88,10,16,79,56,83,13,87,76,87,84,11716,0,12602,0,[]
98,6,64,58,76,50,59,79,89,79,89,8,16,78,55,74,23,85,79,88,82,11762,0,12663,0,[]
99,7,52,68,67,61,62,82,86,80,86,13,13,80,55,66,32,86,80,86,77,11814,0,12857,0,[]
100,8,40,76,59,72,65,81,85,84,88,13,19,81,51,58,41,89,83,85,78,11918,0,13042,0,[]
101,9,28,72,64,67,65,83,84,83,85,17,22,89,55,57,41,86,79,90,78,12080,0,13143,0,[]
102,11,29,60,69,55,61,84,86,82,87,20,27,89,60,49,44,86,81,88,82,12137,0,13210,0,[]
103,17,31,48,67,47,54,81,85,79,85,20,27,90,71,50,47,84,78,89,81,12252,0,13332,0,[]
104,11,29,37,63,45,53,79,87,74,86,17,22,87,71,51,47,86,83,84,79,12324,0,13406,0,[]
105,12,20,27,59,45,53,78,87,78,88,13,15,87,71,52,47,87,82,84,80,12396,0,13537,0,[]
106,13,19,24,55,42,53,77,89,73,86,13,15,87,72,48,47,81,83,82,80,12509,0,13808,0,[]
107,11,22,20,51,41,54,76,89,74,86,13,14,82,67,47,48,81,81,79,76,12851,0,13903,0,[]
108,7,23,15,44,45,52,71,90,70,89,11,21,68,69,49,48,75,72,72,69,13010,0,14010,0,[]
109,7,32,23,50,48,50,74,87,72,83,12,18,68,65,51,47,71,66,70,65,13124,0,14189,0,[]
110,9,29,32,49,45,51,77,87,74,86,12,20,68,68,50,52,70,67,71,67,13196,0,14331,0,[]
111,10,20,22,47,38,56,77,87,74,88,20,15,67,68,56,60,71,68,71,67,13519,0,14486,0,[]
112,13,22,15,43,44,55,77,87,72,91,30,16,65,61,59,68,75,70,79,75,13633,0,14543,0,['9:17 EDG 击杀了火龙']
113,22,28,14,43,40,50,77,87,72,91,40,17,66,56,48,68,82,78,85,78,13685,0,14670,0,[]
114,17,23,15,41,40,50,10,95,3,94,43,17,61,49,56,60,82,80,86,78,13822,0,14835,0,[]
115,14,18,15,40,4,92,21,94,14,92,42,16,56,40,47,54,82,83,84,79,13873,0,14938,0,[]
116,18,14,4,96,12,82,32,93,24,86,39,16,54,32,50,52,83,85,86,80,14033,0,15247,0,[]
117,16,19,16,89,21,75,44,92,33,79,36,13,53,34,53,54,85,80,87,77,14084,0,15402,0,[]
118,16,19,27,82,29,67,55,92,42,70,28,8,54,32,53,54,85,80,87,77,14133,0,15536,0,[]
119,3,94,36,75,38,60,65,92,45,68,24,8,54,32,88,8,95,4,93,5,14247,0,15587,0,[]
120,5,82,46,68,48,53,72,89,57,66,23,9,90,6,80,19,94,11,95,4,14387,0,15634,0,[]
121,6,70,56,62,49,51,81,84,64,59,14,17,76,14,73,29,94,16,91,13,14459,0,15685,0,[]
122,7,56,65,56,50,52,84,82,66,56,12,19,66,20,63,37,93,27,92,25,14690,0,15942,0,[]
123,8,44,66,55,54,57,85,81,66,56,9,19,56,25,58,42,92,38,91,37,14832,0,16035,0,[]
124,8,32,67,53,57,55,80,76,66,56,8,17,48,35,55,42,91,49,89,49,14945,0,16203,0,[]
125,8,28,76,50,61,57,87,77,72,50,94,4,38,39,49,43,91,59,88,57,15092,0,16276,0,[]
126,16,19,81,56,66,61,91,74,81,55,83,4,29,38,48,43,90,68,92,64,15307,0,16352,0,[]
127,22,12,81,56,59,60,86,78,76,60,71,6,35,38,48,47,88,71,93,70,15400,0,16680,0,[]
