,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEJiumeng, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
253,51,46,44,52,47,72,50,46,42,41,77,89,48,34,80,17,58,42,58,41,0,2,0,2,[]
254,54,46,57,48,54,84,53,44,51,43,76,78,53,37,68,30,60,40,59,38,0,2,0,2,[]
255,53,56,66,47,65,89,55,47,59,49,69,67,51,34,64,41,58,39,59,39,0,2,0,2,[]
256,50,55,67,55,71,84,48,56,57,58,62,61,42,40,55,50,55,48,54,47,0,2,0,2,[]
257,49,53,62,63,61,74,51,61,55,62,58,60,49,51,58,63,56,55,53,53,0,2,0,2,[]
258,42,51,56,57,56,61,54,57,55,62,59,48,44,52,59,62,46,53,45,52,0,2,0,2,[]
259,39,49,44,53,45,54,44,52,55,62,63,36,40,49,59,62,43,52,45,52,0,2,0,2,[]
260,45,49,31,43,44,46,45,49,55,62,71,26,39,49,59,62,43,52,45,52,0,2,0,2,[]
261,36,38,27,35,32,35,35,39,55,62,79,15,39,49,59,62,43,52,45,52,0,2,0,2,[]
262,29,33,34,31,30,33,34,33,55,62,90,7,39,49,59,62,43,52,45,52,0,2,0,2,[]
263,32,34,32,31,31,34,32,33,55,62,92,8,39,49,59,62,43,52,45,52,0,2,0,2,[]
264,29,32,32,31,26,36,34,33,7,88,82,21,39,49,59,62,43,52,45,52,0,2,0,2,[]
265,31,35,31,31,22,43,39,40,18,76,71,30,39,49,59,62,43,52,95,4,0,2,0,2,[]
266,2,96,31,32,19,45,49,46,29,67,67,42,39,49,95,4,43,52,85,18,0,2,0,2,[]
267,4,96,12,92,21,54,51,47,39,58,75,49,92,9,82,22,84,16,78,25,0,2,0,2,[]
268,19,83,26,85,22,55,5,95,45,57,82,60,84,24,67,44,74,27,63,38,0,2,0,2,[]
269,30,71,37,75,7,95,47,52,53,60,89,71,80,37,75,52,66,38,59,41,0,2,0,2,[]
270,40,61,47,66,22,79,50,47,56,61,87,72,74,44,74,52,69,41,58,42,0,2,0,2,[]
271,51,51,50,65,38,61,53,46,58,55,83,61,81,54,80,47,61,38,60,40,0,2,0,2,[]
272,61,43,55,54,50,49,62,40,61,52,80,51,80,52,79,38,67,34,67,36,0,2,0,2,[]
273,62,40,57,43,64,38,65,36,69,43,79,38,79,39,69,30,67,30,71,32,0,2,0,2,[]
274,66,34,59,40,70,33,67,33,67,39,80,29,78,28,76,28,75,23,77,29,0,3,0,2,[]
275,70,32,69,32,73,30,69,29,75,33,82,28,76,26,75,24,74,21,71,22,0,3,0,2,[]
276,71,32,66,26,71,32,72,30,78,32,82,28,76,23,76,20,75,20,71,21,0,3,0,2,[]
277,69,32,66,26,66,28,67,29,75,33,79,29,75,24,70,16,75,20,70,18,0,3,0,2,[]
278,69,26,73,23,70,25,68,28,74,27,80,23,76,21,77,20,76,19,76,19,0,3,0,2,[]
279,72,19,76,17,74,16,73,19,79,22,81,16,80,15,84,18,83,15,85,19,0,3,0,2,[]
280,71,22,73,24,72,22,71,22,75,27,76,17,80,22,79,25,79,24,80,20,0,4,0,2,[]
281,70,30,64,36,69,31,68,30,68,33,76,25,82,21,79,29,79,27,77,28,0,4,0,2,[]
282,75,24,63,38,76,27,78,26,72,22,79,19,91,10,78,33,83,24,83,25,0,4,0,2,[]
283,78,25,73,29,77,27,77,24,79,26,82,21,92,10,82,28,84,22,87,27,0,4,0,2,['23:34 WExiye(元素女皇) 击杀了 IGJackeyLove(探险家)']
284,72,25,73,27,73,27,77,24,74,23,80,23,81,23,82,28,80,23,87,27,0,4,0,2,[]
285,76,28,81,21,76,28,77,24,75,22,79,27,81,23,82,28,80,23,87,27,0,4,0,2,[]
286,78,27,81,26,79,26,77,24,81,25,76,28,82,28,82,28,79,25,87,27,0,4,0,2,['23:48 IGTheShy(天启者) 击杀了 WEPoss(机械公敌)']
287,84,19,86,18,86,19,77,24,85,19,76,28,82,28,82,28,79,25,87,27,0,4,0,2,[]
288,85,17,88,16,85,16,77,24,85,14,76,28,82,28,82,28,79,25,87,27,0,4,0,2,[]
289,83,15,85,13,91,12,77,24,86,10,76,28,82,28,82,28,79,25,87,27,0,6,0,2,[]
290,84,16,85,13,92,11,77,24,86,9,76,28,82,28,82,28,79,25,95,4,0,6,0,2,[]
291,84,16,85,13,92,11,77,24,86,9,76,28,82,28,82,28,79,25,95,4,0,6,0,2,[]
