,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,23,11,62,83,58,59,79,87,78,84,84,80,28,9,67,63,57,44,85,83,0,0,0,0,[]
59,22,12,69,80,51,59,81,87,81,86,85,79,27,9,74,56,56,43,86,83,0,0,0,0,[]
60,20,13,75,75,45,50,81,87,83,84,85,78,27,10,76,57,55,43,85,82,0,0,0,0,[]
61,16,17,75,66,38,42,85,85,85,83,88,74,29,9,79,52,52,46,89,80,0,0,0,0,[]
62,15,17,76,59,47,46,82,83,83,83,89,77,20,13,80,51,55,47,89,80,0,0,0,0,[]
63,14,17,77,59,49,52,82,80,79,74,89,66,18,13,79,55,55,47,88,71,0,0,0,0,[]
64,14,16,74,60,56,59,84,78,75,64,90,72,18,16,77,49,50,49,88,68,0,0,0,0,[]
65,13,17,66,59,49,58,86,78,77,71,90,71,16,14,72,41,52,55,91,74,0,0,0,0,[]
66,18,16,57,63,46,55,89,73,85,78,92,68,26,9,71,41,51,51,93,71,0,0,0,0,[]
67,21,12,51,60,43,53,90,75,90,75,92,70,31,7,69,40,49,50,93,71,0,0,0,0,[]
68,21,11,47,65,42,54,88,76,91,77,91,71,27,9,66,46,46,56,91,71,0,0,0,0,[]
69,21,12,47,65,40,56,87,77,90,77,90,71,28,9,66,59,43,48,91,71,0,0,0,0,[]
70,23,12,57,69,42,57,86,80,84,80,90,71,29,9,72,68,51,51,90,73,0,0,0,0,[]
71,25,10,65,77,45,55,86,85,82,86,88,78,30,7,79,81,60,58,83,79,0,0,0,0,[]
72,24,10,73,85,52,63,81,92,75,93,80,88,29,8,78,90,65,63,78,91,0,0,0,0,[]
73,24,9,83,88,59,72,80,89,80,90,83,87,26,6,83,88,73,72,83,89,0,0,0,0,[]
74,24,9,84,88,68,79,82,87,85,84,85,81,27,8,86,87,79,81,89,82,0,0,0,0,[]
75,22,11,83,88,75,87,78,87,83,90,85,84,28,8,86,87,85,88,86,86,0,0,0,0,[]
76,23,12,84,88,85,84,83,84,87,86,88,78,29,9,95,4,88,85,88,77,0,0,0,0,[]
77,23,12,84,87,85,83,84,84,87,82,90,68,31,6,91,7,86,87,90,66,0,0,0,0,[]
78,25,11,83,89,78,75,82,78,88,77,91,62,29,8,78,6,86,87,93,61,0,0,0,0,[]
79,22,11,2,96,69,67,82,78,86,83,91,62,31,7,67,7,86,87,93,61,0,0,0,0,[]
80,18,12,5,91,62,61,82,78,83,90,95,4,31,7,55,11,95,3,94,4,0,0,0,0,[]
81,17,12,10,83,54,54,5,96,83,90,89,73,31,8,45,13,89,14,93,6,0,0,0,0,[]
82,17,9,14,73,47,49,15,95,2,96,89,73,28,9,40,17,80,21,90,17,0,0,0,0,[]
83,26,10,18,62,47,49,26,94,10,96,90,73,30,7,39,15,71,29,82,23,0,0,0,0,[]
84,23,10,24,56,6,91,37,93,21,94,89,72,26,7,31,16,62,37,71,26,0,0,0,0,[]
