,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
251,67,11,38,7,53,9,54,9,54,11,55,5,69,10,55,6,39,6,38,5,0,5,0,0,[]
252,75,10,38,7,63,8,61,11,63,13,55,5,75,7,55,6,39,6,38,5,0,6,0,0,[]
253,69,19,38,7,65,9,69,11,69,10,55,5,75,7,55,6,39,6,38,5,0,6,0,0,[]
254,67,30,38,7,70,10,72,11,73,10,55,5,75,7,55,6,39,6,38,5,0,7,0,0,[]
255,70,28,38,7,73,11,70,10,72,12,55,5,75,7,55,6,39,6,38,5,0,7,0,0,[]
256,72,28,38,7,72,21,69,19,72,22,55,5,75,7,55,6,79,11,88,8,0,7,0,0,[]
257,73,27,12,90,72,24,71,27,72,27,92,10,75,7,92,9,80,22,81,21,0,8,0,0,[]
258,79,39,25,83,66,29,63,36,64,36,85,12,75,7,83,23,74,26,76,27,0,8,0,0,[]
259,85,50,36,76,53,41,55,46,57,47,79,13,95,6,72,27,66,32,67,32,0,8,0,0,[]
260,88,54,45,64,44,50,47,53,56,55,67,11,94,24,55,22,64,35,63,34,0,8,0,0,[]
261,83,59,53,66,41,51,47,53,56,55,55,11,90,38,39,25,60,34,59,38,0,8,0,0,[]
262,83,60,61,60,41,51,3,96,9,92,54,9,90,41,44,24,53,35,51,44,0,8,0,0,[]
263,84,62,67,51,11,85,19,87,19,81,54,10,91,43,43,22,48,35,42,35,0,8,0,0,[]
264,5,96,69,49,23,72,31,80,29,73,57,21,89,46,42,16,53,32,41,32,0,8,0,0,[]
265,19,84,82,57,32,63,43,78,38,64,59,33,88,42,44,17,54,32,95,4,0,8,0,0,[]
266,28,72,89,66,42,55,46,73,47,55,69,27,87,39,48,17,95,4,82,11,0,8,0,0,[]
267,37,64,83,60,53,49,51,64,57,50,67,26,89,35,59,23,88,8,73,23,0,8,0,0,[]
268,47,55,84,51,66,50,51,53,67,46,66,30,86,31,70,27,71,10,68,33,0,8,0,0,[]
269,56,44,89,46,77,52,58,42,65,39,63,33,74,24,76,29,70,18,67,33,0,8,0,0,[]
270,57,34,89,43,81,48,63,39,69,40,72,32,65,20,80,31,79,26,71,33,0,8,0,0,[]
271,57,32,88,38,82,40,67,36,66,37,73,26,75,23,81,31,89,36,70,27,0,8,0,0,[]
272,70,29,85,37,80,43,73,31,69,27,79,23,83,27,83,28,88,29,80,26,0,8,0,0,[]
273,73,23,78,29,77,32,72,27,69,26,80,22,85,29,82,22,81,24,82,25,0,8,0,0,[]
274,76,23,78,28,83,29,77,25,78,25,83,21,87,22,81,19,83,18,85,21,0,8,0,0,[]
275,70,17,77,24,88,37,78,26,76,24,87,9,92,9,82,17,72,10,78,14,0,8,0,0,[]
276,77,13,80,20,88,37,77,18,79,18,94,4,85,11,84,12,79,8,83,11,0,8,0,0,[]
277,72,17,80,23,89,33,78,24,78,25,81,14,81,14,77,14,75,13,75,16,0,8,0,0,[]
278,70,19,72,26,80,27,70,25,70,24,73,18,72,23,74,17,69,17,74,19,0,8,0,0,[]
279,70,19,70,26,74,26,71,29,70,27,74,19,65,23,69,19,74,19,70,25,0,8,0,0,[]
280,70,19,77,24,79,16,75,23,74,26,83,10,68,14,79,9,81,9,70,25,0,8,0,0,[]
281,70,19,89,30,77,15,84,26,84,28,84,8,78,7,90,5,81,8,70,25,0,8,0,0,[]
282,70,19,87,24,81,19,86,24,88,24,87,15,85,10,89,14,90,7,70,25,0,9,0,0,[]
283,70,19,80,13,82,19,86,22,89,22,88,9,84,10,84,8,89,14,70,25,0,9,0,0,[]
284,70,19,78,13,80,17,77,18,82,19,80,11,80,12,81,13,82,12,70,25,0,9,0,0,[]
285,70,19,74,16,77,12,76,14,79,16,79,10,80,12,80,11,79,16,70,25,0,9,0,0,[]
286,70,19,76,11,76,11,77,14,78,14,77,10,80,12,84,10,73,15,84,8,0,9,0,0,[]
287,4,95,80,14,81,16,83,17,80,18,77,10,80,12,91,6,73,15,87,14,0,9,0,0,[]
288,17,82,83,13,80,16,86,18,85,15,77,10,80,12,84,11,73,15,86,13,0,10,0,0,[]
289,28,72,87,9,86,9,91,12,86,14,77,10,80,12,91,7,73,15,91,5,0,11,0,0,[]
290,36,63,86,13,88,6,93,12,92,10,77,10,80,12,91,6,73,15,94,3,0,11,0,0,[]
291,44,55,86,13,88,6,91,15,91,10,77,10,80,12,91,6,73,15,93,5,0,11,0,0,[]
292,44,55,86,13,88,6,87,15,91,10,77,10,95,4,91,6,73,15,93,5,0,11,0,0,[]
293,44,55,86,13,88,6,87,15,91,10,77,10,95,4,91,6,73,15,93,5,0,11,0,0,[]
