,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,WEPoss, ,WEbeishang, ,WExiye, ,WEJiumeng, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,9,32,55,82,50,52,2,96,70,89,13,22,79,14,55,45,95,8,95,4,7315,0,6685,0,[]
57,9,32,54,83,48,52,9,96,70,89,19,14,68,19,55,50,94,11,94,8,7481,0,6740,0,[]
58,2,96,57,82,47,51,21,95,7,96,17,10,59,27,53,48,93,22,93,17,7577,0,6820,0,[]
59,4,95,51,83,48,52,32,94,21,94,17,10,52,36,55,48,92,35,92,30,7683,0,6929,0,[]
60,11,25,47,72,49,51,45,93,32,93,95,4,51,32,53,48,91,46,90,41,7756,0,7086,0,[]
61,11,20,51,62,51,51,56,93,44,92,17,14,47,35,51,44,90,57,86,50,7867,0,7183,0,[]
62,11,25,42,54,49,50,66,91,55,90,18,17,43,43,55,46,88,68,73,50,7954,0,7248,0,[]
63,11,24,44,50,47,51,77,89,56,88,17,16,49,47,51,50,84,78,61,52,8011,0,7334,0,[]
64,11,20,40,50,45,54,78,86,67,88,16,14,48,39,52,48,84,82,66,55,8084,0,7484,0,[]
65,10,22,32,43,47,51,84,86,78,85,14,16,40,31,54,47,84,80,72,62,8221,0,7584,0,[]
66,9,23,24,37,45,53,83,88,79,85,15,16,42,18,51,50,85,80,80,66,8290,0,7688,0,[]
67,8,24,15,44,46,52,80,87,85,86,13,18,43,15,50,51,86,79,87,70,8392,0,7928,0,[]
68,9,22,15,43,45,54,82,86,82,84,14,18,42,16,49,49,86,81,86,80,8695,0,8094,0,[]
69,9,21,15,44,39,58,84,86,81,85,13,17,44,16,57,50,86,80,87,80,8854,0,8257,0,[]
70,8,21,17,33,41,56,81,84,84,88,13,18,48,18,57,50,86,80,88,81,9101,0,8416,0,[]
71,9,22,16,40,40,57,82,83,82,86,14,19,55,30,89,7,87,79,88,81,9220,0,8485,0,[]
72,8,24,20,50,40,57,76,87,79,87,13,21,64,39,80,17,85,79,87,85,9272,0,8616,0,[]
73,8,24,24,57,4,91,73,86,80,87,18,23,72,50,71,26,85,80,87,85,9420,0,8695,0,[]
74,7,23,25,59,12,82,82,85,83,88,11,22,75,61,64,35,86,80,88,81,9502,0,8768,0,[]
75,8,24,33,62,21,75,80,83,82,86,12,20,76,68,56,44,87,79,85,79,9661,0,8858,0,[]
76,8,24,43,67,30,68,80,87,80,85,13,21,79,75,51,50,85,80,85,79,9799,0,9025,0,[]
77,8,25,46,66,39,61,81,86,83,87,13,21,79,74,49,52,84,82,83,80,9958,0,9119,0,[]
78,8,25,45,68,43,55,78,89,75,87,13,20,70,66,49,53,82,82,79,80,10111,0,9217,0,[]
79,7,24,47,73,45,53,74,91,76,91,16,20,63,62,50,52,79,85,79,86,10225,0,9355,0,[]
80,9,23,54,76,41,55,72,89,74,92,22,30,69,64,49,54,78,86,81,91,10326,0,9468,0,[]
81,8,23,54,76,41,58,71,90,71,90,23,37,74,67,54,55,78,88,78,91,10481,0,9660,0,[]
82,8,24,54,76,44,58,68,93,68,90,22,42,72,76,50,51,74,90,74,92,10611,0,9714,0,[]
83,10,23,54,76,36,61,66,90,69,89,19,30,69,79,47,52,74,91,75,92,10784,0,9957,0,[]
84,10,23,58,76,36,60,68,89,70,89,15,20,78,71,49,51,75,91,75,91,10879,0,10008,0,[]
85,8,24,67,78,36,60,69,91,74,90,15,19,83,60,48,50,76,89,79,88,10944,0,10143,0,[]
86,10,21,78,79,86,83,78,87,83,85,14,17,83,60,46,54,85,88,86,83,11668,0,10273,0,[]
87,9,22,86,83,85,82,82,86,82,84,13,17,82,59,41,57,84,88,86,84,12355,0,10595,0,"['7:14 SNWeiwei(德邦总管) 击杀了 WEMissing(天启者),获得一血', '7:14 SNWeiwei(德邦总管) 击杀了 WEJiumeng(战争女神)']"
88,9,23,80,76,75,76,87,80,84,78,12,17,76,46,40,56,84,88,86,84,12593,0,10667,0,[]
89,10,22,72,67,69,67,90,77,87,75,14,18,74,44,40,57,84,88,86,84,12690,0,10760,0,[]
90,9,20,61,63,59,63,89,76,82,82,15,17,73,42,42,54,95,4,94,7,12853,0,11008,0,[]
91,11,25,57,71,49,59,82,85,75,88,18,18,61,41,44,47,92,71,88,18,12925,0,11157,0,[]
