,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHwQ, ,RWHuanggai, ,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,blue_economics,blue_towers,red_economics,red_towers,captions
55,75,92,6,28,40,57,40,55,74,92,10,24,86,19,44,52,79,90,79,87,0,0,0,0,[]
56,72,91,6,26,44,51,43,54,73,94,10,22,81,29,50,51,81,90,80,87,0,0,0,0,[]
57,75,92,11,24,44,53,44,54,70,91,11,23,71,34,46,49,81,90,80,86,0,0,0,0,[]
58,69,90,11,24,47,50,46,52,68,91,12,23,61,40,50,46,76,90,75,88,0,0,0,0,['4:50 OMGicon(天启者) 击杀了 RWHaro(德玛西亚皇子)']
59,69,90,7,28,46,51,40,55,70,94,11,22,59,46,51,48,77,92,75,89,0,0,0,0,[]
60,69,92,5,29,46,51,40,58,69,94,9,27,51,52,51,51,73,89,76,89,0,0,0,0,[]
61,71,93,5,31,8,94,42,55,72,94,7,32,49,52,52,52,78,88,79,90,0,0,0,0,['5:4 OMGCurse(亡灵战神) 击杀了 RWHolder(凛冬之怒)']
62,73,85,5,31,18,88,43,55,68,91,7,30,52,53,57,48,81,87,83,89,0,0,0,0,['5:6 RWHolder(凛冬之怒) 击杀了 OMGCurse(亡灵战神)']
63,74,87,5,31,29,83,41,58,68,91,6,28,56,60,57,48,82,88,83,89,0,0,0,0,[]
64,76,88,4,84,37,74,40,56,76,90,90,5,62,62,93,8,82,85,83,85,0,0,0,0,[]
65,76,91,5,73,45,66,37,56,73,90,89,5,70,65,93,11,85,83,81,84,0,0,0,0,[]
66,81,89,6,62,44,69,37,56,81,86,91,5,74,68,84,19,88,83,80,76,0,0,0,0,[]
67,79,90,7,51,43,68,5,94,77,87,89,5,74,68,75,27,89,81,81,79,0,0,0,0,[]
68,77,88,8,39,39,65,13,87,69,92,87,5,76,76,66,35,89,81,75,77,0,0,0,0,[]
69,73,90,10,28,29,59,21,79,69,92,75,6,69,79,57,43,95,4,72,84,0,0,0,0,[]
70,66,90,14,19,23,57,30,72,67,92,63,7,64,78,53,50,79,86,75,87,0,0,0,0,[]
71,69,91,14,16,23,55,37,64,68,91,51,8,56,68,48,54,80,88,76,86,0,0,0,0,[]
72,70,91,18,19,18,47,43,55,68,92,39,10,61,68,52,51,77,87,76,86,0,0,0,0,[]
73,69,91,20,19,18,44,44,53,68,90,28,10,65,69,51,51,77,90,77,88,0,0,0,0,[]
74,70,89,18,11,19,44,44,54,69,91,25,8,67,70,53,51,76,88,76,87,0,0,0,0,[]
75,69,90,16,14,25,38,44,52,70,94,20,13,67,70,51,52,75,88,77,88,0,0,0,0,[]
76,70,91,18,14,36,38,45,51,62,94,23,10,70,67,53,50,78,82,76,78,0,0,0,0,[]
77,72,90,18,15,48,35,45,52,62,94,21,13,71,66,57,58,74,73,72,69,0,0,0,0,[]
78,69,91,17,16,48,35,44,51,6,95,23,10,70,66,65,64,73,71,73,68,0,0,0,0,[]
79,69,91,17,19,48,35,46,50,14,89,21,12,74,60,56,55,80,79,95,4,0,0,0,0,['6:31 OMG 击杀了水龙']
80,75,92,14,16,42,34,44,49,27,84,26,18,76,55,54,47,83,84,94,8,0,0,0,0,[]
81,81,89,13,16,42,25,41,39,39,76,18,14,78,53,54,46,83,84,92,17,0,0,0,0,[]
82,73,90,20,14,31,17,38,29,52,77,21,14,80,54,57,45,81,79,91,29,0,0,0,0,[]
83,72,89,17,16,28,21,40,32,56,68,22,11,81,56,50,42,79,80,83,37,0,0,0,0,[]
84,71,87,17,19,27,21,35,38,56,68,20,11,81,56,50,45,78,81,80,48,0,0,0,0,[]
85,70,88,15,19,31,18,32,42,55,75,20,12,80,54,49,47,80,77,69,50,0,0,0,0,[]
86,74,90,15,17,36,16,38,50,54,85,22,11,72,45,52,49,80,76,63,60,0,0,0,0,[]
87,78,89,12,16,35,16,45,52,63,87,21,12,72,41,51,53,82,80,56,67,0,0,0,0,[]
88,76,90,20,12,28,15,38,56,71,85,21,12,69,40,50,55,83,82,57,64,0,0,0,0,[]
89,77,90,21,10,23,13,39,56,72,82,24,8,59,34,45,51,81,84,68,67,0,0,0,0,[]
90,74,89,16,14,23,22,44,53,73,83,21,12,48,33,51,51,81,87,76,75,0,0,0,0,[]
91,78,91,14,18,24,27,44,52,76,90,20,13,40,28,51,51,82,86,83,84,0,0,0,0,[]
92,72,88,13,16,24,40,43,54,73,90,20,12,46,23,48,48,82,86,82,90,0,0,0,0,[]
93,70,89,15,18,24,48,41,56,72,92,16,13,42,18,54,53,81,89,81,90,0,0,0,0,[]
94,73,87,15,17,24,47,36,50,74,91,18,13,43,15,54,63,80,88,81,90,0,0,0,0,[]
95,71,90,12,19,21,47,26,50,72,91,16,13,44,14,53,54,80,88,80,86,0,0,0,0,[]
96,69,91,12,16,16,39,33,59,69,94,24,14,44,15,48,51,74,90,74,88,0,0,0,0,[]
97,72,88,11,21,19,25,43,55,73,93,25,23,42,18,50,52,77,89,80,87,0,0,0,0,[]
98,72,88,22,22,25,22,41,54,77,93,23,22,44,23,48,51,81,89,81,86,0,0,0,0,[]
99,75,90,26,23,26,24,38,50,73,89,29,23,31,23,43,43,80,89,80,85,0,0,0,0,[]
100,69,91,21,25,17,31,37,48,71,94,22,26,21,27,32,36,77,89,79,89,0,0,0,0,[]
101,67,91,11,22,11,32,45,51,66,94,18,21,20,23,36,40,73,90,76,90,0,0,0,0,[]
102,68,89,11,21,11,32,46,54,72,93,16,17,23,22,45,47,75,88,77,88,0,0,0,0,[]
103,73,88,14,20,6,95,48,53,77,92,27,12,38,24,51,51,80,87,82,87,0,0,0,0,[]
104,75,87,17,16,17,93,49,53,75,92,30,12,44,23,55,48,83,89,84,87,0,0,0,0,[]
105,77,90,16,15,31,92,49,58,76,91,30,11,43,24,50,50,84,86,82,84,0,0,0,0,[]
106,78,89,16,17,43,91,52,66,76,90,21,11,43,24,54,54,84,86,84,85,0,0,0,0,[]
107,78,89,17,18,53,86,41,66,77,90,20,13,43,24,55,55,83,85,85,85,0,0,0,0,[]
108,75,88,19,12,54,84,42,57,76,89,25,10,95,4,51,53,82,82,80,80,0,0,0,0,[]
109,71,85,25,13,53,84,47,52,75,88,27,14,87,12,51,52,78,80,77,80,0,0,0,0,[]
110,71,83,17,13,52,85,43,54,72,87,23,12,79,22,47,49,80,87,82,85,0,0,0,0,[]
111,71,88,22,12,50,83,44,55,73,92,25,11,71,32,48,49,80,89,82,85,0,0,0,0,[]
112,71,91,23,13,50,73,39,58,73,92,25,12,67,43,43,55,78,87,80,82,0,0,0,0,[]
113,72,88,22,11,50,74,33,66,74,88,23,12,66,56,49,51,79,80,75,73,0,0,0,0,[]
114,76,88,22,12,49,73,33,66,82,89,21,10,57,65,50,52,76,70,72,67,0,0,0,0,['9:28 OMGCurse(亡灵战神) 击杀了 RWHolder(凛冬之怒)']
115,79,88,22,12,46,69,2,96,80,88,16,15,57,67,50,49,73,66,76,70,0,0,0,0,[]
116,81,87,22,12,42,68,2,96,74,86,14,16,45,68,55,54,77,72,82,78,0,0,0,0,[]
117,83,86,22,12,47,66,40,57,63,76,13,18,49,66,56,59,83,79,71,78,0,0,0,0,[]
118,73,85,22,12,54,64,51,60,56,66,13,19,54,65,62,62,83,79,62,75,0,0,0,0,[]
