,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
52,11,95,14,19,14,42,42,46,38,91,18,32,81,36,74,22,89,41,94,8,7364,0,6764,0,[]
53,22,94,12,18,15,41,47,50,49,89,83,6,80,47,66,31,89,52,91,18,7613,0,6815,0,[]
54,32,93,11,17,15,43,50,54,59,85,69,7,83,56,58,40,88,63,91,31,7688,0,6861,0,[]
55,43,91,11,17,3,96,48,54,68,81,57,8,83,57,52,46,87,73,89,44,7743,0,7002,0,[]
56,54,90,12,18,8,94,48,52,72,83,44,10,79,56,51,46,83,81,89,54,7930,0,7090,0,[]
57,64,89,11,15,21,90,49,50,76,89,29,12,78,64,55,46,86,80,86,64,8027,0,7166,0,[]
58,75,87,15,18,34,91,48,52,78,87,20,13,78,64,54,45,82,80,87,73,8116,0,7282,0,[]
59,77,91,15,17,48,90,46,55,75,90,16,11,77,51,58,49,81,84,78,77,8171,0,7396,0,[]
60,74,90,13,17,56,84,50,53,74,89,18,13,68,50,56,46,76,77,67,78,8467,0,7502,0,[]
61,74,89,12,19,56,81,50,53,76,88,17,18,60,59,54,48,80,82,59,71,8595,0,7606,0,[]
62,78,88,13,20,52,75,44,47,72,85,24,27,50,59,52,47,81,83,52,63,8680,0,7705,0,[]
63,77,88,16,21,42,67,41,45,64,77,32,39,43,52,44,45,81,82,46,55,8787,0,7798,0,[]
64,76,89,15,18,40,58,40,55,57,69,39,49,41,53,42,53,80,83,41,53,8908,0,7870,0,[]
65,77,88,20,23,43,54,40,54,49,60,44,51,45,50,46,50,80,89,48,50,9021,0,7990,0,[]
66,75,87,28,31,43,51,45,51,48,50,49,42,50,46,48,47,84,84,52,45,9076,0,8045,0,[]
67,78,85,25,28,48,52,49,49,50,51,59,37,53,36,55,46,90,79,60,44,9364,0,8124,0,[]
68,83,83,29,22,43,43,55,45,52,55,59,37,54,32,59,44,88,79,67,44,9435,0,8339,0,[]
69,82,85,38,26,49,35,49,40,60,60,95,4,57,33,58,43,85,78,67,49,9507,0,8421,0,[]
70,77,90,31,21,50,26,50,46,69,67,27,9,59,37,58,44,82,81,63,52,9558,0,8573,0,[]
71,79,85,26,15,41,18,46,49,75,75,24,11,59,35,57,43,85,78,63,58,9749,0,8663,0,[]
72,85,84,24,13,33,18,41,39,78,74,27,8,54,32,52,50,87,77,65,62,9834,0,8830,0,[]
73,83,82,22,12,25,27,41,43,79,74,23,8,50,33,49,51,90,78,76,62,10023,0,9010,0,[]
74,83,83,22,13,33,37,45,51,82,82,31,8,40,33,52,50,90,78,84,66,10172,0,9096,0,[]
75,83,83,21,14,32,37,45,50,84,83,27,7,42,32,48,43,86,77,87,74,10346,0,9199,0,[]
76,83,83,20,20,24,33,41,53,84,84,27,8,42,32,48,43,90,80,89,77,10478,0,9304,0,[]
77,82,81,20,20,21,29,42,54,84,80,26,8,92,8,91,7,88,74,90,75,10666,0,9436,0,[]
78,76,76,3,92,23,35,45,52,78,75,26,9,91,11,85,11,92,76,91,76,10720,0,9568,0,[]
79,72,68,4,80,21,46,48,50,77,72,20,8,86,21,77,19,92,74,90,74,10809,0,9614,0,[]
80,76,75,6,69,22,55,47,50,79,76,16,14,72,24,69,28,91,76,91,75,10902,0,9714,0,[]
81,79,85,7,58,24,57,44,53,80,85,12,16,61,24,62,37,87,76,90,80,11052,0,9890,0,[]
82,84,88,7,45,36,63,44,53,83,86,17,14,49,26,56,42,88,77,90,82,11107,0,10001,0,[]
83,80,85,9,34,45,68,8,93,81,86,16,10,46,24,55,44,84,79,89,83,11220,0,10101,0,[]
84,79,84,11,23,48,67,14,89,82,84,16,10,46,25,52,50,85,78,89,83,11426,0,10252,0,[]
85,80,85,17,17,51,75,23,80,81,84,86,7,43,18,52,48,87,76,89,82,11476,0,10368,0,[]
86,82,84,17,14,62,78,30,71,81,85,71,10,45,16,53,46,87,76,89,82,11541,0,10509,0,[]
87,84,84,19,16,73,85,38,63,87,84,56,9,50,23,54,48,88,76,88,81,11811,0,10744,0,[]
88,85,81,18,16,83,89,46,56,89,82,41,10,57,32,54,46,90,78,90,77,11973,0,10794,0,[]
89,85,80,20,22,86,87,46,55,87,83,27,8,66,39,51,50,90,77,89,76,12131,0,10970,0,[]
90,84,80,19,18,81,79,46,57,84,79,26,9,73,44,53,49,91,73,92,74,12210,0,11098,0,[]
91,79,77,22,12,72,68,52,54,76,72,26,6,76,46,52,48,90,76,88,72,12295,0,11275,0,[]
92,86,80,18,15,61,61,50,55,83,79,24,9,77,48,52,48,87,73,84,66,12448,0,11484,0,[]
93,86,81,20,13,57,58,52,49,83,80,25,11,77,54,55,46,88,75,75,62,12632,0,11556,0,[]
94,80,76,22,13,63,62,55,55,77,71,26,11,74,54,54,45,91,69,79,63,12727,0,11726,0,[]
95,76,68,22,11,74,61,64,60,76,62,27,8,75,53,57,45,88,71,82,65,12776,0,11974,0,[]
96,77,71,23,11,65,62,61,57,74,65,28,9,82,58,51,47,87,72,87,66,12827,0,12066,0,[]
97,76,78,22,12,56,67,51,53,75,75,35,17,84,59,52,46,87,70,87,68,12945,0,12142,0,[]
98,82,84,24,14,53,76,47,53,81,84,34,16,83,59,53,46,87,78,89,79,13036,0,12274,0,[]
99,81,86,24,13,51,76,49,52,83,87,28,8,84,61,52,47,84,79,88,81,13372,0,12393,0,[]
100,79,86,25,10,54,79,46,53,81,86,29,8,84,61,56,44,83,80,86,80,13621,0,12516,0,[]
101,75,87,23,11,56,82,45,53,74,87,30,7,87,6,50,41,85,78,90,81,13752,0,12629,0,[]
102,73,84,21,13,57,84,44,47,72,85,25,8,77,12,55,42,83,80,89,80,13868,0,12754,0,[]
103,69,79,21,12,58,84,45,50,70,79,33,12,68,18,53,45,79,79,85,80,13945,0,12834,0,[]
104,69,79,15,15,59,84,47,56,70,80,21,13,58,27,54,45,80,82,80,83,14059,0,13052,0,[]
