,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
234,49,57,4,91,35,61,52,90,10,92,81,69,24,45,16,41,76,19,72,25,32274,2,32338,2,[]
235,47,55,5,76,47,67,66,89,18,83,87,68,25,46,14,49,69,29,64,37,32412,2,32421,2,[]
236,47,54,6,62,60,73,78,86,24,72,87,70,22,46,9,47,59,38,54,44,32637,2,32603,2,[]
237,42,58,9,59,73,75,85,82,32,63,86,66,24,39,22,43,53,44,55,45,32717,2,33003,2,[]
238,41,58,8,51,76,70,83,78,37,58,93,68,34,39,21,41,57,42,54,46,32844,2,33076,2,[]
239,44,55,9,48,63,60,90,73,47,54,93,62,30,37,95,4,50,48,56,47,32986,2,33171,2,[]
240,48,51,17,50,69,50,90,73,51,51,93,61,31,36,94,19,55,43,56,43,33169,2,33390,2,[]
241,56,55,30,50,67,50,85,78,57,56,91,75,36,39,92,32,54,44,57,43,33221,2,33502,2,[]
242,57,55,32,46,64,57,79,75,55,57,90,76,46,46,89,45,62,41,58,49,33272,2,33594,2,[]
243,55,58,32,41,58,56,74,67,57,55,88,77,56,45,80,51,72,40,60,49,33365,2,33676,2,[]
244,56,57,40,51,70,61,78,79,57,56,87,70,62,50,77,49,68,40,57,47,33469,2,33811,2,[]
245,52,55,50,59,69,61,78,79,58,58,85,66,66,48,74,55,58,42,60,50,33590,2,33891,2,[]
246,49,51,57,63,56,57,72,75,51,51,69,63,65,53,76,61,55,45,62,51,33930,2,34057,2,[]
247,56,56,61,62,57,57,71,81,54,56,65,57,58,48,80,76,55,44,55,45,33981,2,34263,2,[]
248,60,56,66,63,54,62,71,80,62,60,73,52,60,49,81,84,57,43,55,45,34042,2,34549,2,[]
249,54,59,57,65,49,65,67,79,55,61,75,63,67,56,83,83,60,48,58,49,34198,2,34600,2,[]
250,58,55,63,63,55,62,58,67,57,55,71,65,66,51,80,76,56,44,56,43,34248,2,34682,2,[]
251,50,53,62,61,56,54,57,55,55,53,75,63,66,48,80,75,54,42,56,40,34405,2,34746,2,[]
252,51,51,63,57,54,50,57,55,57,48,75,56,66,45,78,73,60,41,58,40,34456,2,34797,2,[]
253,59,50,66,54,58,49,55,48,62,50,77,52,65,41,78,73,62,40,57,40,34536,2,35020,2,[]
254,57,56,66,54,61,57,62,61,63,52,77,52,67,47,78,73,57,42,54,45,34618,2,35174,2,[]
255,58,60,58,61,60,60,56,62,61,60,74,60,66,53,71,70,55,48,54,53,34699,2,35255,2,[]
256,55,62,56,65,54,61,51,60,57,62,66,57,65,57,66,60,57,49,53,52,34748,2,35306,2,[]
257,48,54,50,60,55,56,47,55,56,60,66,55,62,53,60,51,48,47,47,47,34862,2,35400,2,[]
258,48,49,51,47,55,57,47,49,51,51,66,54,58,44,59,44,54,41,56,42,34985,2,35454,2,[]
259,56,55,58,55,61,61,47,51,59,56,66,54,57,45,51,48,54,44,56,44,35037,2,35744,2,[]
260,57,60,58,63,65,65,53,61,60,60,67,55,64,51,54,51,59,48,53,49,35102,2,35795,2,[]
261,52,62,55,63,56,61,48,57,53,62,66,54,65,53,54,51,66,54,56,50,35154,2,35848,2,[]
262,53,54,55,57,60,60,50,47,51,52,68,52,64,51,58,40,59,47,59,48,35205,2,35900,2,[]
263,61,63,61,59,66,65,48,50,51,51,68,52,63,51,58,38,55,44,56,43,35360,2,35951,2,[]
264,62,63,60,61,65,65,43,54,49,52,66,56,55,50,51,47,52,53,50,51,35414,2,36107,2,[]
265,50,61,49,59,53,61,43,56,47,57,58,61,47,54,47,54,48,53,44,52,35493,2,36647,2,['22:5 FPXDoinb(刀锋舞者) 击杀了 RWHuanggai(正义巨像)']
266,52,64,52,62,50,65,42,58,47,57,57,59,45,56,42,58,40,58,43,56,35544,2,37191,2,['22:10 FPXLwx(虚空之女) 击杀了 RWHuaTian(未来守护者)']
267,42,66,45,67,45,64,42,58,47,57,57,60,53,54,49,53,48,51,50,48,35594,2,37245,2,[]
268,44,58,48,75,41,58,42,58,47,57,66,63,63,59,56,57,57,56,59,50,35647,2,37345,2,[]
269,47,50,53,88,43,46,42,58,47,57,75,61,71,63,69,62,67,62,65,57,35827,2,37397,2,[]
270,48,49,53,88,46,34,42,58,47,57,69,67,66,68,68,68,66,61,65,57,36030,2,37548,2,[]
271,41,54,47,75,46,24,42,58,47,57,71,69,70,65,73,71,66,48,92,5,36182,2,37600,2,['22:33 FPX 击杀了土龙']
272,38,56,38,65,41,25,42,58,3,95,71,69,83,58,78,83,65,36,77,16,36233,2,37779,2,[]
273,2,96,44,70,29,34,42,58,12,82,88,5,83,56,72,91,65,35,64,22,36283,2,38117,2,[]
274,11,83,51,83,23,32,42,58,22,73,64,8,83,56,73,90,56,33,51,21,36484,2,38188,2,[]
275,22,74,55,92,17,34,14,80,31,63,48,9,83,56,95,5,54,32,39,17,36577,2,38320,2,[]
276,32,66,56,93,15,41,26,68,31,51,35,13,82,6,90,14,55,31,31,22,36803,2,38500,2,[]
277,41,58,69,91,15,41,29,60,33,44,28,10,66,7,76,16,55,31,35,17,36901,2,38568,2,[]
278,46,52,73,89,2,96,23,56,40,36,22,12,53,9,64,16,91,5,49,17,37118,2,38653,2,[]
279,36,48,72,86,5,95,17,44,30,35,23,9,43,16,53,12,87,9,49,17,37203,2,38758,2,[]
280,36,40,70,84,17,87,11,32,37,40,24,9,42,18,41,15,75,20,90,6,37304,2,38900,2,[]
281,35,39,70,84,31,80,9,26,35,42,94,4,42,18,29,19,66,30,76,18,37384,2,39011,2,[]
282,35,48,8,86,42,70,13,22,32,43,93,20,47,17,19,19,59,39,65,30,37552,2,39112,2,[]
283,43,53,23,72,49,65,13,35,32,42,91,44,41,28,17,13,54,46,57,42,37625,2,39418,2,[]
284,44,54,35,66,58,61,22,40,39,51,89,60,44,35,15,16,55,41,58,44,37921,2,39561,2,[]
285,39,52,48,66,56,56,14,48,44,54,87,76,43,39,22,24,57,43,53,47,37972,2,39713,2,[]
286,42,54,55,58,56,56,8,43,45,55,87,79,32,35,21,27,48,42,48,49,38218,2,39886,2,[]
287,48,52,55,57,57,54,12,47,50,52,79,76,32,34,14,21,53,43,55,48,38423,2,40054,2,[]
288,47,57,55,52,52,52,27,50,52,50,71,76,34,41,9,33,52,43,56,45,38474,2,40238,2,[]
289,49,53,56,45,53,42,42,51,56,43,67,60,45,36,15,34,61,36,57,38,38527,2,40331,2,[]
290,55,44,56,44,55,42,55,44,58,39,58,46,56,39,30,39,61,37,58,37,39028,2,40852,2,[]
291,54,44,56,44,51,48,56,46,57,41,63,41,54,41,42,44,60,40,59,35,39079,2,40905,2,"['24:12 FPXLwx(虚空之女) 击杀了 RWHuanggai(正义巨像)', '24:12 RWHaro(狂野女猎手) 击杀了 FPXCrisp(深海泰坦)']"
292,52,46,54,50,52,52,55,49,57,41,59,44,59,41,48,46,59,50,59,35,39131,2,41916,2,[]
293,46,49,53,50,44,53,55,51,57,41,52,49,53,48,46,49,54,47,59,35,39202,2,42045,2,"['24:22 FPXGimGoon(血港鬼影) 击杀了 RWHuaTian(未来守护者)', '24:23 FPXGimGoon(血港鬼影) 击杀了 RWHolder(万花通灵)']"
294,37,57,53,50,39,53,55,51,57,41,46,55,44,55,46,49,43,52,59,35,39255,2,42704,2,[]
295,35,62,53,50,35,59,55,51,57,41,41,56,42,54,43,49,40,54,59,35,39335,2,43284,2,['24:32 FPXLwx(虚空之女) 击杀了 RWHaro(狂野女猎手)']
296,36,63,53,50,35,59,55,51,57,41,43,52,40,44,38,43,34,48,59,35,39531,2,43337,3,['24:37 FPXGimGoon(血港鬼影) 击破了防御塔']
297,43,58,53,50,35,59,55,51,57,41,35,38,32,34,30,33,32,35,59,35,39583,2,43389,3,[]
298,47,48,53,50,35,59,55,51,12,91,32,31,34,30,33,32,31,33,84,8,39634,2,43440,3,[]
299,41,43,53,50,35,59,55,51,20,77,32,32,34,30,31,30,32,34,93,4,39686,2,45016,3,[]
300,46,49,53,50,35,59,55,51,28,68,41,43,35,32,31,30,41,44,91,6,39738,2,45130,3,['24:57 FPX 击杀了大龙']
301,45,57,53,50,35,59,10,95,38,61,53,46,94,6,93,8,49,46,77,19,39912,2,45177,3,[]
302,42,58,7,95,35,59,31,92,42,55,95,4,92,8,83,23,95,4,67,32,39991,2,45230,3,[]
303,43,68,22,87,12,91,45,91,46,58,86,17,82,21,80,36,85,10,67,33,40111,2,45281,3,[]
304,44,71,28,73,17,74,53,91,55,67,70,33,72,30,79,49,74,21,71,26,40278,2,45332,3,[]
305,39,65,35,61,18,59,55,85,58,63,59,44,67,40,76,55,65,31,60,38,40400,2,45398,3,[]
306,45,55,40,50,23,47,59,85,57,71,65,56,76,45,79,55,56,40,50,47,40626,2,45676,3,[]
307,41,58,41,60,23,51,59,86,53,76,56,56,68,51,83,60,47,49,49,49,40727,2,46067,3,[]
308,39,60,39,60,16,44,50,81,44,70,53,51,63,60,87,73,50,52,53,53,40892,2,46148,3,[]
309,37,60,38,62,19,49,56,75,37,61,50,60,58,63,82,84,46,51,44,53,41207,2,46331,3,[]
310,31,68,42,68,24,56,43,78,40,66,49,58,56,74,77,87,47,51,51,56,41290,2,46454,3,[]
311,31,68,42,69,34,64,31,69,41,68,44,54,51,73,65,90,45,53,54,65,41343,2,46678,3,[]
312,2,96,38,76,32,60,32,58,35,63,41,53,51,76,60,90,42,54,43,58,41395,2,46910,3,[]
313,17,87,34,74,32,72,30,68,31,68,34,60,45,79,51,94,37,58,37,61,41445,2,46962,3,[]
314,26,76,32,66,29,69,32,69,31,67,33,60,41,77,44,90,38,59,42,68,41624,2,47012,3,[]
315,30,81,34,75,32,66,36,76,33,74,38,61,42,80,43,90,41,60,43,69,41706,2,47685,3,[]
316,31,81,35,67,29,66,33,79,34,66,36,59,39,77,41,91,38,59,39,60,41936,2,47813,4,['26:18 FPX 击破了防御塔']
317,32,80,31,68,31,66,28,72,30,75,36,60,44,79,38,90,39,62,37,61,41988,2,48126,4,[]
318,24,88,29,73,27,74,24,65,27,77,28,60,37,76,30,89,42,67,38,61,42102,2,48300,4,[]
319,30,90,28,80,29,83,27,78,28,83,30,68,33,74,37,88,35,67,32,66,42316,2,48901,4,[]
320,31,92,23,76,29,85,20,74,27,83,31,73,30,73,38,92,28,69,26,69,42458,2,48973,5,['26:37 FPX 击破了防御塔']
321,28,85,26,73,27,76,24,73,26,76,32,73,34,74,34,90,29,66,30,68,42528,2,49063,5,[]
322,31,86,27,75,27,74,26,69,27,80,36,66,36,76,37,91,36,63,34,63,42669,2,49374,5,[]
323,30,91,28,81,29,82,27,84,31,89,32,64,36,77,39,86,34,66,30,65,42848,2,49609,5,[]
324,33,91,25,74,28,84,30,79,30,81,28,65,36,76,39,88,31,65,30,65,42896,2,49655,5,[]
325,31,94,23,75,29,77,30,78,28,78,22,67,35,76,40,87,26,66,29,71,43081,2,49706,5,[]
326,29,86,26,76,19,74,28,79,26,75,25,69,32,73,35,87,24,71,29,70,43183,2,49756,5,[]
327,30,81,26,72,25,70,26,70,28,74,33,66,32,69,39,89,31,63,31,65,43343,2,49877,5,[]
328,36,88,29,78,27,75,24,71,28,79,32,63,33,70,35,90,34,65,32,63,43396,2,50358,5,[]
329,37,92,35,89,31,88,30,85,38,91,34,74,35,80,39,92,31,71,32,71,44345,2,50447,5,[]
330,32,91,29,85,29,82,26,81,35,90,42,78,37,75,39,92,32,70,34,68,44620,2,50498,5,['27:27 RWHuaTian(未来守护者) 击杀了 FPXDoinb(刀锋舞者)']
331,31,83,29,71,29,70,27,69,31,83,57,75,47,69,39,92,43,67,46,69,44864,2,50558,5,[]
332,38,74,38,66,40,67,35,66,39,73,66,70,57,69,39,92,53,66,56,68,44946,2,50611,5,[]
333,46,69,46,67,48,69,47,67,49,68,57,61,51,68,39,92,56,67,52,68,44998,2,50678,5,[]
334,48,68,54,65,47,66,50,68,49,73,50,61,51,64,39,92,53,62,52,68,45481,2,51449,5,[]
335,47,69,54,65,46,66,47,64,45,67,54,66,52,63,39,92,49,61,52,68,45531,2,51500,5,"['27:51 FPXGimGoon(血港鬼影) 击杀了 RWHolder(万花通灵)', '27:51 RWHuaTian(未来守护者) 击杀了 FPXCrisp(深海泰坦)']"
336,39,74,54,65,39,71,38,74,39,74,41,69,46,68,39,92,40,67,52,68,45583,2,51552,5,[]
337,39,74,54,65,36,76,39,74,35,76,45,71,40,74,39,92,35,74,52,68,46106,2,53475,5,['28:5 FPXLwx(虚空之女) 击杀了 RWHaro(狂野女猎手)']
338,42,70,54,65,36,76,45,79,35,76,46,79,40,75,39,92,39,74,52,68,46157,2,53526,5,"['28:6 FPXLwx(虚空之女) 击杀了 RWHuanggai(正义巨像)', '28:6 RWZWuJi(逆羽) 击杀了 FPXTian(凛冬之怒)', '28:7 FPXLwx(虚空之女) 击杀了 RWZWuJi(逆羽)', '28:9 FPXLwx(虚空之女) 击杀了 RWHuaTian(未来守护者)']"
339,42,70,54,65,36,76,45,79,35,76,39,89,40,75,39,92,41,83,52,68,46208,2,53683,5,[]
340,42,70,54,65,36,76,45,79,35,76,34,89,40,75,85,11,36,90,52,68,46259,2,53824,5,[]
341,42,70,54,65,36,76,45,79,35,76,27,90,40,75,74,23,29,90,52,68,46311,2,54174,6,['28:25 FPX 击破了防御塔']
342,42,70,54,65,36,76,45,79,35,76,21,90,40,75,65,33,25,87,94,4,46363,2,54227,6,[]
343,42,70,54,65,36,76,45,79,35,76,19,81,40,75,56,42,28,88,78,17,46414,2,54279,6,[]
344,42,70,4,91,36,76,45,79,35,76,11,63,40,75,46,54,28,88,68,29,46463,2,54355,6,[]
345,42,70,9,72,36,76,45,79,2,96,11,49,40,75,39,64,95,4,66,45,46515,2,54526,6,[]
346,42,70,9,57,2,96,45,79,14,80,10,39,40,75,51,65,94,4,67,57,46717,2,54574,6,[]
347,14,95,9,50,20,88,45,79,25,73,8,21,89,7,63,64,93,9,65,68,46859,2,54639,6,[]
348,28,92,11,41,25,76,16,87,27,73,7,19,73,16,66,72,77,14,64,70,47070,2,54694,6,[]
349,31,87,9,28,30,66,27,73,38,76,95,4,62,24,65,69,65,20,64,70,47290,2,54844,6,[]
350,42,89,10,27,25,58,32,63,50,77,75,7,53,34,67,66,51,24,66,66,47483,2,55107,6,['29:8 FPX 击杀了火龙']
351,37,88,11,27,20,50,30,55,44,69,53,9,47,36,63,59,50,31,58,59,47653,2,55157,6,[]
352,35,81,10,32,19,44,41,56,39,62,37,11,37,40,52,52,50,43,52,55,47791,2,55333,6,[]
353,41,90,17,44,22,37,34,65,34,64,21,13,42,46,39,43,47,50,45,52,47906,2,55792,6,[]
354,45,91,18,58,10,40,25,65,27,67,19,14,38,56,30,49,40,56,39,58,48092,2,55993,6,[]
355,37,89,21,70,5,46,18,68,24,74,16,16,32,66,19,52,32,63,30,66,48157,2,56128,6,[]
356,26,85,26,76,5,46,20,76,26,76,14,17,28,73,16,63,25,71,25,70,48425,2,56269,6,[]
357,21,77,27,77,11,92,22,76,27,74,11,33,31,65,18,58,31,64,32,63,48477,2,56340,6,[]
358,21,70,26,70,23,76,27,73,27,70,13,36,33,64,24,57,32,62,26,60,48529,2,56657,6,[]
359,20,70,21,70,19,66,20,69,23,71,9,43,31,67,18,51,30,64,30,64,48640,2,56783,6,[]
360,21,72,28,73,24,71,20,71,26,73,10,46,31,66,9,47,31,62,34,66,48691,2,56945,6,[]
361,23,71,26,72,21,72,19,71,23,71,9,53,30,67,10,54,22,67,32,69,48784,2,57545,6,[]
362,24,73,26,70,20,72,12,79,25,71,14,63,29,65,10,62,19,63,23,65,49072,2,57618,7,['30:6 FPXGimGoon(血港鬼影) 击破了防御塔']
363,17,74,19,74,16,71,5,91,20,74,13,66,28,67,8,68,13,64,16,66,49134,2,57866,7,[]
364,10,71,10,70,14,70,4,94,10,69,15,63,26,68,5,63,5,62,11,62,49452,2,58064,7,[]
365,9,67,13,72,10,68,3,96,13,69,23,67,22,67,7,52,10,56,21,66,49634,2,58145,7,[]
366,14,70,26,72,20,71,11,92,16,76,39,66,18,55,5,46,15,49,31,62,49755,2,58236,7,[]
367,14,82,19,83,17,82,17,88,9,86,48,65,10,46,5,46,24,43,31,58,50025,2,58482,7,[]
368,11,91,10,93,9,92,7,93,4,93,53,66,15,48,95,4,24,41,31,58,50080,2,58539,7,[]
369,8,87,11,91,10,92,3,96,10,85,57,67,15,48,88,17,24,41,79,12,50128,2,58586,7,[]
370,17,77,18,83,20,81,14,90,21,76,95,4,79,11,81,32,78,12,69,26,50270,2,58637,7,[]
371,25,69,7,93,30,70,33,91,29,69,82,13,66,20,80,45,65,21,59,36,50323,2,58690,7,[]
372,37,64,10,84,39,61,37,91,37,61,63,33,56,29,72,54,55,30,51,45,50535,2,58748,7,[]
373,40,56,25,71,40,55,38,90,41,54,51,44,41,32,75,59,41,37,49,46,50691,2,59000,7,[]
374,36,58,31,60,33,49,34,81,33,49,48,52,32,31,66,62,32,35,44,49,50742,2,59080,7,[]
375,30,51,31,51,21,46,32,67,22,50,46,50,32,31,53,64,30,32,36,42,50808,2,59236,7,[]
376,31,56,36,62,16,35,34,67,22,51,43,48,33,31,41,66,30,32,30,39,50859,2,60812,7,[]
377,34,61,39,62,24,23,32,60,29,58,46,55,33,32,50,66,32,33,34,42,50911,2,61028,7,['31:24 FPX 击杀了大龙']
378,27,72,27,69,39,24,22,65,28,65,43,55,32,42,51,73,31,44,32,48,50963,2,61216,7,[]
379,22,83,25,74,43,24,9,60,25,74,37,63,31,55,49,76,31,54,32,60,51223,2,61368,7,[]
380,17,88,19,77,43,24,10,67,20,83,30,74,29,67,35,78,28,66,24,71,51504,2,61769,7,[]
381,7,93,15,82,16,84,10,67,14,82,27,74,25,79,31,89,22,73,23,78,51554,2,61920,8,['31:42 FPX 击破了防御塔']
382,14,85,16,82,18,85,11,91,15,85,15,63,22,76,29,86,20,74,21,74,51627,2,62057,8,[]
383,16,79,17,82,15,80,12,76,16,81,7,49,17,69,30,86,24,68,23,67,51792,2,62172,8,[]
384,15,77,15,87,15,80,15,75,14,76,9,55,22,71,27,74,18,62,11,62,51933,2,62474,8,[]
385,6,75,13,86,9,77,6,78,9,75,5,67,16,71,20,74,8,66,10,67,52158,2,62856,9,['32:3 FPX 击破了防御塔']
386,9,81,12,85,6,80,12,85,11,83,7,73,14,75,20,80,9,71,11,74,52209,2,63055,10,['32:8 FPXLwx(虚空之女) 击破了防御塔']
387,8,81,12,81,9,81,16,82,12,80,5,71,18,73,23,89,12,70,15,72,52303,2,63362,10,[]
388,12,85,13,86,12,86,15,86,13,84,13,76,18,80,22,82,13,73,17,76,52367,2,63442,10,[]
389,13,85,13,85,14,89,10,82,14,86,22,81,22,89,20,81,21,77,16,78,52493,2,63491,10,[]
390,8,84,8,84,11,86,9,84,12,85,14,89,18,89,12,79,20,82,15,78,52570,2,63546,10,[]
391,6,86,7,88,4,90,7,88,12,86,12,91,12,86,7,88,15,86,12,82,52616,2,65219,10,[]
392,3,93,7,89,3,95,4,93,12,86,8,87,9,92,7,91,4,89,6,91,52669,2,65893,11,"['32:36 FPX 击破了防御塔', '32:36 FPXLwx(虚空之女) 击杀了 RWHuanggai(正义巨像)', '32:38 FPXLwx(虚空之女) 击杀了 RWHuaTian(未来守护者)', '32:39 FPXLwx(虚空之女) 击杀了 RWZWuJi(逆羽)', '32:39 FPXDoinb(刀锋舞者) 击杀了 RWHolder(万花通灵)']"
393,3,93,7,89,2,97,4,93,12,86,10,86,12,91,8,91,6,89,7,91,52710,2,65931,11,[]
394,3,93,7,89,2,97,4,93,12,86,10,86,12,91,8,91,6,89,7,91,52710,2,65931,11,['32:50 FPX 获胜']
