,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
54,32,16,53,87,46,52,74,89,21,94,27,9,61,84,51,51,77,86,76,89,6885,0,7217,0,[]
55,30,18,63,84,45,51,77,90,32,93,27,11,70,85,49,52,79,86,82,86,6973,0,7337,0,[]
56,22,22,76,88,46,52,77,93,43,92,22,10,80,91,50,50,79,89,81,89,7525,0,7516,0,['4:40 WEbeishang(¿ñÕ½Ê¿) »÷É±ÁË RNGKarsa(Ã¤É®)']
57,22,24,81,87,51,51,75,91,54,91,20,12,81,92,56,45,80,87,89,82,8211,0,7659,0,[]
58,76,87,79,84,50,46,80,86,65,89,19,14,81,92,61,38,81,85,88,72,8316,0,7729,0,['4:47 WEMystic(Õ½ÕùÅ®Éñ) »÷É±ÁË RNGUzi(ÄæÓð)']
59,74,86,70,79,43,44,81,86,75,87,15,22,91,7,61,38,81,85,85,66,8419,0,7780,0,[]
60,74,86,61,82,43,44,85,83,82,83,9,29,79,9,95,4,95,5,85,66,8515,0,7852,0,[]
61,4,85,55,83,2,96,87,76,86,79,9,31,67,11,45,52,94,16,94,6,8590,0,7991,0,[]
62,5,74,49,78,42,54,86,74,88,76,9,27,56,16,47,51,93,27,94,13,8742,0,8083,0,[]
63,7,63,46,68,44,57,86,76,88,76,10,26,44,17,55,56,92,37,92,28,8952,0,8213,0,[]
64,8,51,46,64,46,53,89,73,90,73,10,24,44,16,51,64,92,48,91,42,9131,0,8304,0,[]
65,7,38,51,65,51,59,89,82,89,73,16,22,45,15,57,62,91,59,83,51,9352,0,8424,0,[]
66,8,28,56,67,45,53,89,82,89,82,16,22,46,15,54,53,91,69,74,61,9435,0,8568,0,[]
67,17,22,57,58,44,54,7,96,6,96,93,3,47,16,51,51,88,72,75,75,9511,0,8688,0,[]
68,15,17,57,62,45,54,10,96,10,96,92,4,52,26,50,50,82,79,74,86,9608,0,8780,0,[]
69,14,16,46,67,44,54,21,94,21,94,25,11,60,35,52,49,81,80,85,87,9680,0,8866,0,[]
70,14,15,36,63,46,54,34,93,34,93,19,14,70,41,49,48,81,79,85,82,9824,0,8975,0,[]
71,14,15,26,59,45,55,46,91,46,91,20,13,73,41,49,48,81,80,80,83,9934,0,9046,0,[]
72,14,13,25,58,44,55,58,91,58,91,27,17,69,40,51,50,83,80,86,86,10152,0,9176,0,[]
73,15,14,21,52,43,54,69,89,69,89,21,13,68,40,51,51,82,81,87,83,10231,0,9455,0,[]
74,16,12,15,44,45,53,79,86,79,86,21,13,58,34,48,49,85,80,86,85,10440,0,9586,0,[]
75,16,13,15,43,46,54,79,86,84,88,22,11,50,32,49,48,84,79,87,83,10591,0,9744,0,[]
76,16,13,20,44,46,53,80,88,83,89,23,11,52,32,53,48,84,80,90,81,10724,0,9882,0,[]
77,16,15,26,35,45,51,79,87,83,89,24,11,54,32,54,49,82,80,87,85,10848,0,9976,0,[]
78,22,21,28,32,48,50,77,86,77,86,27,8,54,31,52,44,83,79,83,86,10915,0,10068,0,[]
79,33,23,39,36,45,52,74,90,76,92,24,9,52,33,50,48,80,85,83,89,11029,0,10265,0,[]
80,46,24,42,35,46,51,73,90,75,91,24,10,54,32,50,47,78,90,76,91,11157,0,10407,0,[]
81,48,23,43,25,46,49,74,93,74,91,24,12,52,31,52,44,78,92,77,92,11267,0,10555,0,[]
82,51,21,46,25,45,50,69,93,69,90,25,15,53,31,51,46,78,88,76,89,11435,0,10680,0,[]
83,48,22,41,29,41,46,76,91,75,89,34,23,51,28,45,36,78,78,77,79,11486,0,10731,0,[]
84,39,28,40,39,40,40,78,88,75,87,41,32,43,36,41,38,75,69,69,68,11537,0,11252,0,['7:0 RNGKarsa(Ã¤É®) »÷É±ÁË WEbeishang(¿ñÕ½Ê¿)']
85,35,24,40,40,43,52,82,83,73,85,43,45,43,48,43,52,69,64,56,64,11588,0,11772,0,['7:5 RNGXiaohu(ÀëÈºÖ®´Ì) »÷É±ÁË WExiye(¿¨ÅÆ´óÊ¦)']
86,24,22,40,40,42,53,83,82,83,82,41,38,43,44,44,50,73,68,62,75,11723,0,11874,0,[]
87,17,16,3,96,42,53,80,85,78,85,37,26,35,42,45,52,78,77,72,85,11844,0,12082,0,[]
88,15,15,13,91,42,53,78,91,78,91,28,17,28,50,47,51,77,87,78,90,11916,0,12602,0,['7:20 RNGMing(Å£Í·Çõ³¤) »÷É±ÁË WEMystic(Õ½ÕùÅ®Éñ)']
89,16,15,25,90,5,91,78,91,67,93,21,12,24,45,47,51,72,91,75,93,11988,0,12674,0,[]
90,13,17,36,88,12,82,78,91,66,94,19,14,23,41,95,4,81,86,82,89,12039,0,12836,0,[]
91,10,23,44,81,21,75,4,96,78,92,13,19,24,39,91,5,86,77,89,78,12090,0,13145,0,[]
92,9,24,52,75,29,68,12,95,88,85,15,19,31,37,82,14,88,72,93,71,12146,0,13284,0,[]
93,8,26,52,73,38,61,24,93,89,82,11,21,41,31,74,22,89,75,91,71,12227,0,13384,0,[]
94,10,23,51,75,45,55,36,92,89,81,8,19,48,24,67,31,91,75,90,72,12561,0,13484,0,[]
95,11,24,57,81,52,48,48,91,90,81,8,19,50,22,59,39,88,72,89,68,12688,0,13633,0,[]
96,11,25,56,81,48,52,60,90,89,77,88,4,51,20,53,46,88,72,89,68,12915,0,13720,0,[]
97,18,16,56,82,49,52,70,90,84,86,75,6,43,17,54,48,88,68,94,6,13155,0,13845,0,[]
98,23,11,50,80,43,53,78,87,84,87,63,7,44,15,53,48,88,68,92,11,13341,0,14054,0,[]
99,16,10,46,69,42,54,81,84,3,96,50,8,42,15,55,50,94,11,82,21,13459,0,14119,0,[]
100,16,10,47,64,43,56,80,82,11,94,38,8,43,15,53,49,93,22,72,31,13587,0,14236,0,[]
101,3,95,47,65,42,56,81,77,23,93,26,8,43,15,64,53,93,33,67,43,13732,0,14335,0,[]
102,5,80,56,67,47,52,86,77,34,90,22,10,43,15,60,56,92,43,65,57,13895,0,14408,0,[]
103,7,65,60,62,46,53,91,74,43,83,10,19,93,11,50,52,90,54,64,60,14176,0,14465,0,[]
104,7,52,62,62,48,49,87,79,55,75,13,13,82,21,53,48,88,67,67,54,14393,0,14621,0,[]
105,9,39,69,63,49,58,84,80,57,65,15,13,79,33,57,45,88,73,78,51,14479,0,14785,0,[]
106,11,26,72,66,51,59,84,81,67,63,18,14,75,44,60,49,87,74,78,62,14704,0,14914,0,[]
107,13,19,60,62,48,54,80,80,69,67,16,17,76,44,53,44,87,71,87,69,14791,0,15137,0,[]
108,15,15,49,60,46,55,84,80,79,76,19,14,76,46,49,48,88,72,88,74,14960,0,15255,0,[]
109,14,15,38,58,46,55,86,79,86,79,19,13,77,52,48,49,87,71,92,73,15068,0,15348,0,[]
110,13,15,27,59,45,54,84,81,90,81,20,13,76,52,50,51,89,72,91,74,15189,0,15448,0,[]
111,15,15,25,58,46,52,82,81,89,82,21,13,76,52,61,50,87,73,91,76,15442,0,15503,0,[]
112,16,14,21,51,47,51,87,84,88,83,25,14,75,54,69,49,88,74,88,75,15533,0,15751,0,[]
113,18,13,22,40,43,54,85,80,85,80,25,11,84,58,62,50,88,72,90,74,15631,0,15916,0,[]
114,23,12,21,29,45,52,85,85,85,85,27,8,84,63,52,51,88,76,91,79,15704,0,16009,0,[]
115,23,10,19,18,46,51,82,86,83,88,26,8,90,72,51,51,85,79,89,83,15861,0,16143,0,[]
116,20,12,22,21,36,49,80,87,83,89,24,10,89,83,51,49,83,80,87,85,15994,0,16303,0,[]
117,24,12,30,20,38,50,78,84,76,87,36,8,78,84,48,58,82,80,77,85,16294,0,16368,0,[]
118,30,7,36,16,44,55,74,88,74,88,47,7,70,79,48,68,81,86,78,85,16345,0,16509,0,[]
119,30,7,30,18,47,56,65,91,65,88,51,18,63,83,49,78,75,88,76,87,16556,0,16560,0,[]
120,31,8,25,28,49,60,54,94,54,94,54,30,58,90,52,92,65,91,64,89,16643,0,16611,0,[]
121,39,9,33,31,55,90,56,93,56,94,56,39,65,90,63,93,64,91,67,91,16745,0,16722,0,[]
122,38,8,31,31,61,88,66,91,66,91,52,49,74,89,71,89,72,89,75,90,16902,0,16977,0,[]
123,35,9,31,31,64,88,67,92,71,92,47,52,76,87,81,83,75,91,77,92,17084,0,17102,0,[]
124,29,9,31,31,61,86,70,91,70,91,49,41,86,76,84,79,76,93,79,91,17226,0,17343,0,[]
125,27,20,30,32,51,83,72,92,71,93,43,35,86,76,84,79,80,90,79,87,17331,0,17392,0,[]
126,28,31,31,31,46,73,70,89,68,90,36,25,79,75,94,4,81,90,76,78,17486,0,17447,0,[]
127,23,25,27,30,38,64,69,90,69,90,28,15,65,70,85,12,81,87,80,86,17538,0,17624,0,[]
128,21,14,20,21,44,56,74,88,74,88,27,9,71,68,76,20,82,87,80,84,17648,0,17709,0,[]
129,23,11,19,18,44,55,72,91,72,91,27,9,69,68,68,30,76,79,71,77,17790,0,17760,0,[]
130,24,12,24,11,44,55,70,91,70,91,34,8,70,68,60,39,70,84,67,84,18247,0,17874,0,[]
131,28,9,28,8,5,92,68,94,67,93,38,8,70,68,52,47,69,91,72,93,19112,0,18498,0,[]
132,36,9,29,10,5,91,68,94,68,93,45,11,70,68,49,51,72,88,76,90,19297,1,18654,0,"['10:56 WEbeishang(¿ñÕ½Ê¿) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ', '10:56 RNGMing(Å£Í·Çõ³¤) »÷É±ÁË WEMystic(Õ½ÕùÅ®Éñ)', '10:58 RNG »÷É±ÁË·çÁú']"
133,38,16,39,15,44,54,68,94,66,92,49,6,70,68,53,44,78,88,76,88,19391,1,18803,0,[]
134,38,15,41,17,42,58,68,94,64,94,50,9,89,6,57,34,80,87,83,89,19609,1,18945,0,[]
135,2,96,39,16,39,62,68,94,70,91,46,11,76,15,53,33,84,86,86,78,19701,1,19045,0,[]
136,9,85,28,20,41,55,6,96,72,92,39,14,66,22,51,34,88,83,86,78,19777,1,19192,0,[]
137,14,73,28,21,39,53,13,95,69,90,47,10,66,36,47,41,88,83,94,6,19857,1,19299,0,[]
138,18,60,3,96,42,55,25,94,72,89,44,7,67,49,50,52,94,10,90,13,19908,1,19377,0,[]
139,21,46,8,94,43,56,37,92,71,85,34,10,63,61,49,50,94,12,79,24,19980,1,19449,0,[]
140,23,34,19,88,44,54,48,90,71,85,23,11,67,62,51,49,93,24,68,35,20059,1,19539,0,[]
141,25,25,26,78,42,54,54,84,5,95,23,10,73,65,48,52,91,37,66,50,20248,1,19948,0,[]
142,15,19,31,67,41,54,58,82,12,92,22,12,67,54,51,51,90,50,62,59,20433,1,20020,0,[]
143,15,17,27,59,42,55,53,88,24,90,36,11,73,42,52,47,88,63,75,69,20623,1,20099,0,[]
144,14,18,25,57,41,55,56,85,35,89,44,11,76,44,50,49,86,76,80,77,20872,1,20206,0,[]
145,22,13,33,59,43,54,64,91,48,90,44,11,78,47,51,48,81,81,86,84,21016,1,20387,0,[]
146,22,12,42,67,45,54,68,89,59,90,93,5,83,55,50,49,83,80,85,88,21124,1,20503,0,[]
147,23,24,45,63,46,59,74,89,74,89,76,6,82,56,54,51,85,81,85,88,21331,1,20740,0,[]
148,32,36,53,67,46,54,80,86,80,89,63,7,79,54,57,56,87,82,92,9,21447,1,20839,0,[]
149,42,42,57,61,51,50,84,80,81,80,49,9,70,49,55,51,90,76,85,23,21584,1,20948,0,[]
150,42,37,57,55,48,50,81,77,77,72,45,9,65,40,55,45,88,71,81,38,21745,1,21062,0,[]
151,41,31,64,57,50,58,85,77,79,76,40,11,54,32,53,49,82,67,78,52,21850,1,21201,0,[]
152,32,21,57,66,50,58,85,81,85,78,36,13,64,39,56,48,89,73,81,66,21979,1,21251,0,[]
153,27,9,54,76,4,94,86,79,86,79,32,9,56,32,56,55,87,72,87,71,22135,1,21400,0,[]
154,28,17,50,74,11,83,82,86,80,87,43,11,49,24,56,55,88,69,88,68,22246,1,21479,0,[]
155,30,19,52,73,22,74,82,85,79,79,43,8,46,27,48,51,83,66,80,65,22397,1,21613,0,[]
156,36,16,57,76,32,66,82,85,80,78,42,7,48,26,47,53,86,66,74,61,22453,1,21854,0,[]
157,35,16,69,78,41,57,85,79,78,73,40,11,47,26,46,48,87,72,73,64,22638,1,22005,0,[]
158,29,10,74,68,44,56,83,81,74,68,35,11,42,23,43,39,88,75,76,62,23018,1,22055,0,[]
159,27,18,78,63,47,58,79,75,76,62,27,14,29,21,43,39,88,75,80,65,23091,1,22278,0,[]
160,22,22,85,65,40,54,75,63,85,65,29,22,29,22,33,35,90,71,86,65,23827,1,22373,0,[]
161,12,23,88,63,45,55,86,65,88,63,35,16,38,27,44,43,91,72,87,66,23883,1,22428,0,['13:21 WEbeishang(¿ñÕ½Ê¿) »÷É±ÁË RNGMing(Å£Í·Çõ³¤)']
162,14,22,90,76,45,56,88,73,90,76,38,14,45,38,53,52,90,77,87,66,23996,1,22478,0,[]
163,25,13,85,83,41,54,83,80,87,82,89,74,50,49,53,58,89,69,87,66,24087,1,22611,0,[]
164,37,11,74,91,42,55,76,87,74,87,85,80,53,48,50,47,85,78,87,66,24239,1,22744,0,[]
165,46,12,67,93,37,59,75,89,69,91,89,81,46,38,44,36,86,76,92,12,24304,1,22793,0,[]
166,50,10,67,93,42,56,75,90,69,91,88,76,41,26,42,24,87,74,78,14,24379,1,22853,0,[]
167,37,7,6,92,46,51,69,94,6,95,90,81,37,13,37,11,95,4,63,11,24463,1,22899,0,[]
168,34,7,9,85,49,49,69,94,16,94,88,76,34,7,33,8,91,9,49,9,24554,1,23419,0,[]
169,32,7,14,74,44,51,7,95,22,93,85,79,40,16,31,10,84,16,47,17,24628,1,23471,0,['14:2 RNGKarsa(Ã¤É®) »÷É±ÁË WEPoss(»ÄÄ®ÍÀ·ò)']
170,32,7,17,62,32,46,12,94,12,94,84,83,41,17,19,14,74,26,41,27,24679,1,23749,0,[]
171,32,7,20,50,29,50,21,83,21,83,87,84,43,16,22,12,65,36,46,41,24734,1,23886,0,[]
172,32,7,25,47,22,50,29,73,29,73,87,84,43,15,25,11,54,42,38,40,24786,1,24024,0,[]
173,32,7,24,39,21,42,36,63,32,62,94,7,50,23,25,11,49,49,50,45,24939,1,24355,0,[]
174,32,7,27,34,15,34,42,54,32,50,93,17,53,34,93,5,48,52,50,53,25214,1,24460,0,[]
175,2,96,35,39,11,26,40,53,35,41,92,31,52,35,89,6,60,50,58,57,25462,1,24520,0,[]
176,17,94,44,43,11,23,41,54,44,43,90,45,53,34,73,7,68,43,62,62,25680,1,24637,0,[]
177,30,94,42,38,12,20,46,49,42,38,89,58,55,30,59,9,69,40,63,61,25874,1,24818,0,[]
178,44,91,42,26,14,22,44,51,42,26,87,72,95,4,45,12,70,48,70,50,25979,1,24868,0,[]
179,55,86,41,26,19,18,44,50,41,26,81,84,92,8,45,14,78,50,76,52,26030,1,25045,0,[]
180,62,84,41,26,28,10,46,49,41,26,75,88,91,13,43,18,75,49,77,52,26221,1,25247,0,[]
181,72,88,41,26,24,11,46,49,41,25,75,89,79,16,35,17,67,43,76,52,26433,1,25365,0,[]
182,71,90,41,30,19,20,45,53,41,30,74,90,66,20,37,10,58,45,76,52,26506,1,25632,0,[]
