,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
253,59,90,46,66,41,60,42,54,43,54,78,25,58,68,56,58,54,54,55,59,0,0,0,2,[]
254,64,83,47,68,40,66,32,59,37,50,69,34,69,65,66,66,64,62,65,65,0,0,0,2,[]
255,70,80,50,79,41,55,22,55,37,50,67,45,67,68,68,68,66,64,66,66,0,0,0,2,[]
256,62,84,55,83,40,56,17,51,3,92,76,53,63,62,74,59,56,55,63,63,0,0,0,2,[]
257,64,91,57,85,41,52,12,49,15,79,84,62,63,62,77,54,51,51,63,63,0,0,0,2,[]
258,62,91,54,85,40,56,8,42,25,71,87,74,91,5,77,54,50,52,91,5,0,0,0,2,[]
259,2,96,54,85,39,58,9,29,33,62,82,80,84,10,93,4,49,43,79,15,0,0,0,2,[]
260,8,95,8,86,41,56,8,26,41,55,83,82,71,16,79,6,49,43,70,24,0,0,0,2,[]
261,25,93,15,72,41,54,9,24,43,48,82,83,60,25,64,7,90,6,59,27,0,0,0,2,[]
262,38,92,18,60,43,51,11,32,37,41,78,75,53,34,51,8,77,17,48,33,0,0,0,2,[]
263,51,91,21,47,46,52,16,42,47,48,68,68,47,35,38,9,70,27,45,38,0,0,0,2,[]
264,63,91,23,35,46,54,20,48,48,52,64,68,43,39,25,10,62,37,50,47,0,0,0,2,[]
265,65,90,20,28,37,56,20,48,36,48,67,64,41,36,18,14,53,46,51,46,0,0,0,2,[]
266,75,89,23,40,33,59,7,95,32,49,70,65,35,38,19,19,45,44,43,46,0,0,0,2,[]
267,73,90,22,48,25,51,14,89,32,50,68,64,29,33,20,27,36,40,34,41,0,0,0,2,[]
268,69,82,21,50,24,51,23,79,33,47,75,64,34,36,28,34,38,38,34,40,0,0,0,2,[]
269,74,73,22,43,13,47,30,68,31,52,85,66,33,43,35,42,43,46,40,44,0,0,0,2,[]
270,79,77,20,49,12,48,39,59,32,54,89,76,33,47,45,49,48,49,47,51,0,0,0,2,[]
271,79,84,30,51,23,51,35,62,35,59,86,80,36,49,40,53,43,56,42,58,0,0,0,2,[]
272,69,88,26,59,25,52,32,67,31,65,84,81,39,52,37,50,38,58,36,59,0,0,0,3,[]
273,57,89,26,60,22,55,32,67,32,65,86,81,38,56,37,58,40,57,39,60,0,0,0,3,[]
274,61,93,25,60,22,55,31,66,29,68,80,75,32,49,34,49,41,53,36,50,0,0,0,3,[]
275,63,92,25,60,6,94,33,65,29,68,77,76,31,39,32,43,43,54,43,52,0,0,0,3,[]
276,60,92,11,83,7,93,35,65,10,84,72,78,27,36,23,38,34,49,36,49,0,0,0,3,[]
277,61,85,22,73,7,92,36,64,19,72,82,84,19,40,12,34,34,40,33,41,0,0,0,3,[]
278,70,84,31,64,10,78,37,62,29,65,81,87,23,36,13,22,34,39,34,39,0,0,0,3,[]
279,74,89,32,53,8,63,43,52,31,53,84,83,26,25,16,22,92,5,38,36,0,0,0,3,[]
280,72,87,32,44,9,52,52,46,38,52,84,83,38,23,16,22,79,16,41,30,0,0,0,3,[]
281,72,87,33,42,10,45,50,49,43,59,94,12,44,15,91,5,70,27,41,30,0,0,0,3,[]
282,6,96,27,34,10,30,52,50,46,54,92,29,46,15,80,12,62,36,86,9,0,0,0,3,[]
283,24,94,34,32,11,20,45,53,43,45,91,42,50,19,66,19,56,42,73,18,0,0,0,3,[]
284,38,92,23,30,11,20,34,47,35,38,88,53,52,20,53,20,58,39,61,24,0,0,0,3,[]
285,50,90,22,40,12,17,33,42,34,30,84,60,95,4,42,11,70,40,53,28,0,0,0,3,[]
286,63,89,25,51,11,21,39,54,25,38,83,62,78,12,27,12,65,40,42,24,0,0,0,3,[]
287,76,87,31,57,11,29,46,52,24,39,87,74,67,19,24,11,59,44,49,26,0,0,0,3,[]
288,79,86,22,50,16,33,43,54,3,96,82,79,56,29,21,14,53,49,58,35,0,0,0,3,[]
289,70,81,23,39,19,33,39,65,14,83,83,82,45,33,19,15,52,46,53,44,0,0,0,3,[]
290,58,82,20,27,17,23,44,69,17,67,84,83,40,34,22,14,47,46,44,47,0,0,0,3,[]
291,56,84,20,27,11,24,44,68,28,65,78,73,33,36,28,20,39,39,35,41,0,0,0,3,[]
292,56,90,14,21,7,34,41,66,31,55,73,66,28,34,23,26,39,39,29,34,0,0,0,3,[]
293,57,92,10,33,12,37,40,58,27,51,61,63,22,38,17,23,46,47,23,38,0,0,0,3,[]
294,56,83,14,33,18,45,27,60,30,52,65,65,26,36,11,24,47,50,32,38,0,0,0,3,[]
295,60,84,16,42,14,48,29,60,32,49,76,70,38,37,12,23,40,42,37,43,0,0,0,3,[]
296,62,83,19,47,9,41,35,61,31,54,79,82,29,37,21,28,32,44,31,47,0,0,0,3,[]
297,64,88,16,49,8,44,37,63,36,60,79,86,22,42,22,40,23,50,21,50,0,0,0,3,[]
298,69,90,11,55,7,50,34,62,31,55,75,75,22,46,20,46,20,47,21,48,0,0,0,3,[]
299,69,91,16,51,10,50,34,62,31,51,69,63,31,38,27,37,25,37,25,38,0,0,0,3,[]
300,69,91,26,52,23,51,2,96,32,50,68,65,32,42,36,42,37,38,36,42,0,0,0,3,[]
301,2,96,32,45,33,49,36,62,34,48,78,75,33,36,42,44,48,32,47,48,0,0,0,3,[]
302,14,84,32,46,32,47,47,54,44,53,81,84,41,36,51,47,53,29,50,47,0,0,0,3,[]
303,28,87,34,39,31,40,50,50,46,48,83,80,49,34,59,37,47,35,47,35,0,0,0,3,[]
304,40,89,32,38,30,34,46,47,40,38,75,71,39,29,59,37,50,33,52,33,0,0,0,3,[]
305,53,91,34,39,20,37,50,51,35,39,70,66,45,33,92,5,60,37,52,33,0,0,0,3,[]
306,64,90,2,96,11,32,49,52,35,39,65,53,51,42,77,17,56,46,95,4,0,0,0,3,[]
307,67,84,17,86,11,24,39,63,11,91,69,63,53,53,68,28,52,48,48,46,0,0,0,3,[]
308,76,88,26,74,9,18,39,60,21,76,76,75,57,64,58,33,56,59,43,45,0,0,0,3,[]
309,74,88,32,63,8,18,41,67,31,69,79,86,54,67,47,25,54,67,46,53,0,0,0,3,[]
310,62,86,41,67,16,19,43,69,42,69,74,87,57,70,42,33,56,75,53,64,0,0,0,3,[]
311,55,81,50,74,20,15,47,73,50,74,70,78,57,67,50,44,57,69,57,65,0,0,0,3,[]
312,62,86,42,68,25,8,39,63,39,63,81,83,62,62,49,52,58,60,57,57,0,0,0,3,[]
313,66,88,33,59,24,11,39,56,40,56,82,86,59,58,58,58,67,63,62,62,0,1,0,3,[]
314,66,90,31,47,27,8,40,57,41,55,82,81,64,62,66,55,67,63,63,64,0,1,0,3,[]
315,60,92,39,38,35,12,35,48,46,50,79,75,65,62,66,40,67,64,65,65,0,1,0,3,[]
316,58,91,46,32,46,12,47,49,43,43,79,75,66,68,65,26,67,65,60,59,0,1,0,3,[]
317,59,91,42,25,45,10,47,46,41,31,94,9,67,67,61,12,65,64,54,48,0,1,0,3,[]
318,59,91,41,31,45,15,39,51,45,34,92,26,61,59,51,8,59,58,50,44,0,1,0,3,[]
319,10,91,36,36,38,14,40,57,36,38,91,40,57,55,49,11,53,49,52,47,0,1,0,3,[]
320,24,82,34,41,28,12,44,53,32,49,88,54,57,55,45,12,58,45,50,42,0,1,0,3,[]
321,36,77,35,39,26,13,37,56,35,49,83,62,81,10,46,9,69,40,47,33,0,1,0,3,[]
322,52,78,34,40,2,96,37,56,2,96,87,70,68,18,50,7,69,40,54,32,0,1,0,3,[]
323,65,78,35,49,6,90,10,91,17,85,83,82,55,22,48,16,67,40,54,32,0,1,0,3,[]
324,73,85,39,60,9,85,23,79,26,74,81,79,40,26,42,25,95,4,84,8,0,1,0,3,[]
325,73,85,45,66,23,73,30,68,34,65,81,88,39,25,49,25,51,46,69,17,0,1,0,3,[]
326,74,86,46,63,34,63,40,59,43,56,80,85,51,26,49,34,51,45,60,25,0,1,0,3,[]
327,76,89,39,64,45,56,46,55,43,53,79,79,46,34,44,41,41,38,52,34,0,1,0,3,[]
328,70,90,40,52,39,51,38,51,33,47,73,71,45,36,41,39,42,37,43,39,0,1,0,3,[]
329,62,86,32,49,32,50,38,55,32,46,65,63,35,39,34,40,40,44,40,45,0,1,0,3,[]
330,50,82,25,50,21,50,43,56,31,58,61,60,32,43,38,42,46,48,42,46,0,1,0,3,[]
331,47,70,22,54,20,49,43,56,41,56,66,62,33,37,42,43,44,47,45,48,0,1,0,3,[]
332,49,59,24,52,28,59,45,55,43,55,66,57,27,34,32,38,35,38,33,40,0,1,0,3,[]
333,46,48,35,48,39,54,43,51,45,51,58,49,32,31,42,41,32,32,32,33,0,1,0,3,[]
334,38,43,31,39,32,43,36,39,38,41,48,41,29,37,30,33,27,36,29,36,0,1,0,3,[]
335,29,45,38,42,34,41,37,41,37,39,43,37,24,36,26,32,25,37,28,35,0,1,0,3,[]
336,36,47,43,43,36,41,45,47,38,37,49,43,25,26,19,25,25,29,25,28,0,1,0,3,[]
337,46,50,50,49,47,46,52,49,47,45,58,41,30,20,18,24,33,23,34,23,0,1,0,3,[]
338,55,46,53,49,56,44,58,47,58,44,63,37,30,20,95,4,46,23,43,25,0,1,0,3,[]
339,58,58,42,52,46,50,46,56,51,50,60,36,83,10,83,9,53,31,49,25,0,2,0,3,[]
340,68,66,41,51,32,49,43,59,42,59,64,39,69,18,72,22,57,34,49,25,0,2,0,3,[]
341,78,74,3,95,19,50,43,59,36,61,72,49,57,27,63,32,53,44,85,9,0,2,0,3,[]
342,79,76,13,80,8,45,17,87,2,96,77,54,47,32,54,41,48,49,70,18,0,2,0,3,[]
343,84,85,24,71,5,45,26,74,16,85,83,61,37,37,43,44,42,44,60,26,0,2,0,3,[]
344,83,84,32,62,9,45,34,63,23,73,87,72,30,33,33,41,33,39,50,33,0,2,0,3,[]
345,77,86,31,50,15,48,31,54,31,63,84,82,32,30,33,32,31,34,37,37,0,2,0,3,[]
346,71,85,33,43,24,41,32,45,31,51,87,76,31,37,35,38,27,36,29,35,0,2,0,3,[]
347,64,83,32,39,24,42,32,41,31,40,84,79,25,33,29,33,25,34,27,34,0,2,0,3,[]
348,64,83,31,33,25,37,34,40,32,32,80,87,28,23,28,23,21,27,27,24,0,2,0,3,[]
349,10,95,37,37,36,39,45,46,38,37,80,87,43,23,40,25,27,23,30,22,0,2,0,3,[]
350,28,94,43,37,36,42,44,51,42,44,81,86,56,32,52,28,39,23,43,23,0,2,0,3,[]
351,41,92,31,38,23,38,31,50,39,43,81,86,58,34,60,36,51,27,53,30,0,2,0,3,[]
352,49,90,22,43,12,36,19,47,29,37,94,4,57,41,58,42,59,35,49,34,0,2,0,3,[]
353,53,89,14,39,9,42,21,53,32,44,80,15,49,48,46,46,52,45,41,35,0,2,0,3,[]
354,62,87,10,45,11,44,32,59,31,56,70,26,41,45,43,47,45,45,34,39,0,2,0,3,[]
355,50,82,20,48,11,44,43,58,41,56,59,33,32,44,33,41,36,37,32,44,0,2,0,3,[]
356,44,70,22,53,6,95,38,57,39,54,47,35,30,46,32,44,31,40,31,46,0,2,0,3,[]
357,41,59,31,59,20,80,40,57,31,56,36,38,26,37,33,39,23,31,29,38,0,2,0,3,[]
358,50,50,39,53,30,68,49,52,33,49,47,40,31,36,41,40,27,31,29,37,0,2,0,3,[]
359,52,51,35,47,38,56,55,54,33,44,54,45,36,38,51,44,37,37,37,38,0,2,0,3,[]
360,45,55,33,49,42,56,51,65,34,48,53,48,42,45,52,47,39,39,44,44,0,2,0,3,[]
361,50,53,31,50,39,54,43,68,32,50,49,47,40,44,49,44,34,39,35,42,0,2,0,3,[]
362,56,56,31,51,42,58,40,62,41,55,51,47,39,38,39,39,46,34,43,39,0,2,0,3,[]
363,53,52,30,53,38,56,40,62,34,59,61,43,30,34,27,31,51,26,43,39,0,2,0,3,[]
364,55,53,29,59,52,52,7,94,32,48,74,42,37,27,29,18,54,31,92,5,0,2,0,3,[]
365,55,45,30,51,54,48,20,81,32,44,73,42,38,26,34,10,54,31,78,17,0,2,0,3,[]
366,56,55,31,50,52,53,28,69,32,44,68,40,90,6,41,17,88,7,69,28,0,2,0,3,[]
367,65,63,4,95,54,51,37,61,5,95,66,35,73,14,47,21,75,19,65,34,0,2,0,3,[]
368,74,72,18,83,43,47,46,53,17,79,66,35,66,24,48,19,63,22,57,33,0,2,0,3,[]
369,82,82,27,72,40,44,42,60,27,69,66,35,66,36,52,20,58,32,58,34,0,2,0,3,[]
370,76,78,35,62,46,51,44,70,31,58,94,18,66,48,52,20,47,35,51,41,0,2,0,3,[]
371,68,67,40,52,54,49,50,76,32,46,90,34,64,59,88,7,47,36,52,42,0,2,0,3,[]
372,60,63,48,50,46,51,52,83,38,50,89,46,65,56,78,23,53,42,56,45,0,2,0,3,[]
373,53,61,46,54,45,55,51,83,49,52,89,59,66,48,69,33,52,43,55,45,0,2,0,3,[]
374,45,55,46,54,44,50,49,78,47,54,88,73,60,52,61,43,51,43,57,49,0,2,0,3,[]
375,47,58,47,52,46,52,51,63,48,52,86,77,57,55,65,53,61,51,56,49,0,2,0,3,[]
376,57,58,52,54,51,55,49,53,56,56,75,70,59,53,64,57,58,48,58,50,0,2,0,3,[]
377,53,56,48,51,48,53,46,49,53,54,66,54,58,49,60,51,55,48,56,48,0,2,0,3,[]
378,46,58,50,52,45,55,46,53,49,55,53,50,54,55,55,47,55,54,54,51,0,2,0,3,[]
379,51,59,48,59,45,57,42,52,45,55,53,52,66,56,54,52,52,50,53,53,0,2,0,3,[]
380,49,65,49,59,47,59,47,57,49,55,57,61,64,63,59,60,60,57,58,56,0,2,0,3,[]
381,46,66,42,46,43,48,44,45,45,43,53,53,64,62,54,55,67,66,52,56,0,2,0,3,[]
382,40,61,34,39,34,43,35,39,39,42,48,49,65,65,48,46,65,64,55,53,0,2,0,3,[]
383,44,56,41,44,34,43,39,43,44,45,51,53,56,56,52,48,65,63,52,51,0,2,0,3,[]
384,40,59,32,41,2,96,36,42,36,42,48,53,51,50,48,55,54,57,50,51,0,2,0,3,[]
385,33,62,32,49,33,68,31,52,32,52,42,59,40,56,41,60,43,58,38,56,0,2,0,3,[]
386,33,61,32,50,33,65,30,60,32,55,41,60,38,50,46,55,43,55,40,55,0,2,0,3,[]
387,38,60,32,47,37,57,38,59,38,58,45,49,42,43,42,43,45,44,43,46,0,2,0,3,[]
388,31,53,32,49,40,59,46,56,45,54,49,48,42,35,46,40,46,40,46,41,0,2,0,3,[]
389,34,41,42,54,43,57,44,57,43,57,51,52,42,44,52,48,52,49,49,48,0,2,0,3,[]
390,35,39,40,56,41,58,37,57,42,57,49,52,41,45,48,48,48,46,45,45,0,2,0,3,[]
391,26,37,42,54,41,56,42,56,43,54,47,48,34,38,37,43,39,39,34,43,0,2,0,3,[]
392,22,42,38,49,31,56,37,57,38,50,44,39,32,35,32,33,33,35,34,36,0,2,0,3,[]
393,23,44,32,46,29,50,37,50,33,47,45,40,34,37,33,38,29,32,36,37,0,2,0,3,[]
394,24,43,33,48,32,55,39,56,32,48,40,40,35,38,38,38,34,37,39,39,0,2,0,3,[]
395,24,43,31,47,41,56,39,65,33,47,46,46,36,36,44,39,32,33,40,37,0,2,0,3,[]
396,2,96,32,43,43,53,41,67,34,40,49,50,32,32,49,47,30,32,29,37,0,2,0,3,[]
397,34,43,32,46,44,52,41,57,31,45,47,48,31,37,38,42,36,39,34,41,0,2,0,3,[]
398,32,45,32,46,43,51,37,49,33,47,49,48,36,36,36,41,40,38,39,40,0,2,0,3,[]
399,23,50,30,51,38,51,34,49,33,48,43,43,31,40,34,41,33,35,34,42,0,2,0,3,[]
400,14,42,32,44,30,47,33,47,31,46,36,38,33,32,31,30,29,32,29,37,0,2,0,3,[]
401,12,37,37,38,34,43,32,40,35,38,28,38,30,32,29,33,29,32,28,34,0,2,0,3,[]
402,24,28,32,35,31,38,24,36,30,36,24,36,23,28,25,29,25,29,25,32,0,2,0,3,[]
403,18,23,24,26,25,30,23,33,24,36,23,35,20,23,25,23,27,23,25,25,0,2,0,3,[]
404,18,23,25,25,24,26,26,24,25,26,23,35,22,21,27,22,28,22,31,22,0,2,0,3,[]
405,18,23,25,25,23,24,26,24,30,22,23,35,23,23,25,25,28,22,37,24,0,2,0,3,[]
406,18,23,32,31,30,33,26,24,28,31,23,35,23,23,25,25,28,22,45,24,0,2,0,3,[]
407,18,23,31,30,30,32,26,24,32,32,23,35,23,23,25,25,28,22,45,24,0,2,0,3,[]
408,18,23,32,31,31,31,26,24,32,32,23,35,23,23,25,25,28,22,92,4,0,2,0,3,[]
409,18,23,34,28,31,31,26,24,35,30,23,35,23,23,25,25,28,22,77,14,0,2,0,3,[]
410,18,23,34,31,30,32,26,24,34,31,23,35,23,23,25,25,28,22,65,21,0,2,0,3,[]
411,18,23,31,30,29,32,26,24,32,32,23,35,23,23,25,25,28,22,56,29,0,2,0,3,[]
412,18,23,32,31,30,32,26,24,33,31,23,35,23,23,25,25,28,22,44,32,0,2,0,3,[]
413,18,23,23,42,22,41,26,24,23,41,23,35,23,23,25,25,28,22,46,39,0,2,0,3,[]
414,18,23,19,46,18,46,26,24,23,43,23,35,89,16,25,25,28,22,56,47,0,2,0,3,[]
415,22,94,2,96,23,55,11,83,9,93,87,5,80,30,25,25,89,7,66,54,0,2,0,3,[]
416,37,92,2,96,21,55,24,72,20,76,74,19,74,42,92,6,76,20,66,66,0,2,0,3,[]
417,50,91,2,97,20,53,35,63,30,68,67,31,77,49,80,22,67,31,67,65,0,2,0,3,[]
418,61,87,16,88,4,95,41,60,39,61,54,30,76,53,70,32,60,41,65,56,0,2,0,3,[]
419,69,79,30,80,17,86,38,63,41,60,48,18,83,56,67,44,54,45,65,56,0,2,0,3,[]
420,75,76,39,71,28,73,42,59,49,60,41,15,82,55,80,56,50,48,90,13,0,2,0,3,[]
421,78,76,45,67,37,65,41,58,39,59,44,12,83,56,86,65,50,45,74,26,0,2,0,3,[]
422,87,79,47,71,41,61,40,61,41,57,35,9,88,7,91,73,48,35,64,34,0,2,0,3,[]
423,79,86,50,82,41,67,45,72,40,57,34,8,72,15,89,72,51,26,53,29,0,2,0,3,[]
424,83,82,48,81,43,58,52,84,46,56,44,11,62,24,83,62,52,26,54,30,0,2,0,3,[]
425,82,79,51,78,46,55,55,85,46,55,50,23,52,31,77,50,57,34,59,37,0,2,0,3,[]
426,86,78,50,76,47,54,55,85,46,54,47,35,42,35,64,50,53,43,56,47,0,2,0,3,[]
427,86,75,15,89,49,60,7,94,41,59,43,43,35,41,54,49,52,46,53,49,0,2,0,3,[]
428,81,79,30,80,49,65,22,81,2,96,44,44,38,40,54,54,54,48,52,54,0,2,0,3,[]
429,78,73,40,71,43,69,32,70,18,84,44,44,46,49,56,59,65,54,57,62,0,2,0,3,[]
430,70,78,45,68,42,67,40,62,28,74,50,52,51,61,58,65,69,65,57,67,0,2,0,3,[]
431,57,83,44,69,40,61,41,66,38,67,50,50,57,68,56,61,60,63,56,68,0,2,0,3,[]
432,46,79,45,70,40,65,47,73,45,69,46,53,56,67,56,64,56,63,53,68,0,3,0,3,[]
433,43,69,41,66,37,64,38,63,39,64,58,59,60,58,60,60,65,63,63,62,0,3,0,3,[]
434,51,60,44,57,46,58,40,54,44,57,65,53,65,57,71,66,75,70,73,70,0,3,0,3,[]
435,53,50,54,48,53,55,50,49,53,57,60,43,62,53,79,65,76,62,72,67,0,3,0,3,[]
436,52,48,55,46,54,48,52,46,55,54,58,34,67,46,89,71,77,52,77,55,0,3,0,3,[]
437,54,42,58,46,57,45,56,44,59,48,50,23,66,35,88,61,77,52,85,51,0,3,0,3,[]
438,60,49,69,50,66,50,65,52,65,56,41,15,61,35,87,50,93,8,85,51,0,3,0,3,[]
439,72,48,67,54,66,58,72,62,71,65,32,10,64,31,86,37,80,23,90,12,0,3,0,3,[]
440,79,54,67,62,67,64,76,71,77,71,30,8,62,35,74,34,69,30,77,24,0,3,0,3,[]
441,83,65,56,55,58,58,81,83,80,82,28,9,54,45,62,38,59,37,67,32,0,3,0,3,[]
442,81,66,54,54,55,57,76,76,76,75,29,9,49,48,51,44,51,46,57,40,0,3,0,3,[]
443,72,63,53,54,52,55,67,66,68,67,95,4,42,53,46,48,44,49,47,46,0,3,0,3,[]
444,59,61,54,52,54,55,55,59,58,60,55,44,49,50,41,53,39,50,45,51,0,3,0,3,[]
445,58,63,53,55,56,57,58,60,52,54,43,53,44,57,43,55,36,59,44,57,0,3,0,3,[]
446,60,61,56,58,62,64,61,63,59,62,47,56,45,57,46,56,44,57,47,54,0,3,0,3,[]
447,66,59,66,66,67,66,68,68,67,66,55,53,51,60,56,56,54,63,56,58,0,3,0,3,[]
448,72,63,67,70,70,67,70,68,67,68,67,60,63,63,64,59,60,63,66,64,0,3,0,3,[]
449,70,63,68,68,71,66,71,68,69,65,66,60,63,62,63,64,65,65,63,62,0,3,0,3,[]
450,59,68,65,69,72,69,73,69,72,66,69,64,64,62,66,67,65,63,65,63,0,3,0,3,[]
451,53,64,65,69,80,80,84,78,79,79,75,74,73,70,72,77,71,68,78,82,0,3,0,3,[]
452,48,53,65,69,82,80,89,69,80,79,86,75,85,66,84,79,78,76,83,79,0,3,0,3,[]
453,49,47,65,69,82,80,88,62,80,79,91,63,89,62,88,68,86,78,89,74,0,3,0,3,[]
454,58,40,65,69,82,80,87,64,80,79,80,66,87,71,86,75,79,84,80,82,0,3,0,3,[]
455,59,40,65,69,82,80,87,64,80,79,77,54,80,82,77,85,68,90,69,88,0,3,0,3,[]
456,52,41,65,69,82,80,87,64,80,79,69,50,68,88,65,90,61,90,61,89,0,3,0,3,[]
457,49,40,65,69,82,80,87,64,80,79,61,41,55,89,51,91,50,94,49,91,0,3,0,3,[]
458,42,33,65,69,82,80,87,64,80,79,48,39,42,89,41,91,39,92,38,90,0,3,0,4,[]
459,46,23,65,69,82,80,87,64,80,79,41,29,29,89,29,90,29,92,29,92,0,3,0,5,[]
460,50,26,65,69,82,80,87,64,80,79,30,32,23,88,24,89,22,93,23,89,0,3,0,5,[]
461,54,30,12,90,82,80,87,64,80,79,37,37,14,86,14,87,16,90,15,88,0,3,0,6,[]
462,59,29,12,90,82,80,87,64,6,91,51,33,9,86,14,87,12,88,12,87,0,3,0,7,[]
463,59,26,12,90,82,80,87,64,3,95,58,27,7,91,14,87,8,92,11,91,0,3,0,7,[]
464,59,26,12,90,82,80,87,64,3,95,58,27,7,91,14,87,8,92,11,91,0,3,0,7,[]
