,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,10,20,24,57,53,61,80,89,82,89,18,16,51,27,55,46,85,83,82,82,0,0,0,0,[]
59,9,22,29,60,46,54,81,88,82,87,14,16,43,25,54,48,83,80,85,83,0,0,0,0,[]
60,6,24,39,65,46,51,80,88,82,87,14,21,41,32,52,49,83,81,87,85,0,0,0,0,[]
61,8,25,50,66,50,53,80,86,82,87,11,23,41,26,51,47,83,81,85,83,0,0,0,0,[]
62,11,24,47,64,49,55,80,85,81,86,9,22,43,16,52,50,84,82,86,82,0,0,0,0,[]
63,6,27,50,65,49,55,79,86,81,85,10,21,44,15,53,50,85,80,86,83,0,0,0,0,[]
64,5,32,59,71,52,56,80,86,80,87,10,23,43,15,64,53,84,81,87,84,0,0,0,0,[]
65,5,31,64,76,50,53,79,85,78,82,9,25,41,15,65,56,86,81,84,82,0,0,0,0,[]
66,5,33,65,82,49,53,82,87,79,76,9,33,41,16,58,50,86,79,85,81,0,0,0,0,[]
67,6,28,56,82,46,54,84,83,82,80,20,28,95,4,51,51,87,76,88,78,0,0,0,0,[]
68,6,28,58,83,51,51,82,85,82,85,20,28,90,16,52,46,87,77,88,81,0,0,0,0,[]
69,2,96,59,83,47,53,81,83,87,86,93,4,84,26,53,50,87,78,90,82,0,0,0,0,[]
70,10,22,66,82,47,52,82,82,83,85,85,5,81,37,53,51,88,80,89,81,0,0,0,0,[]
71,14,20,73,74,50,51,83,83,82,81,73,6,78,53,55,49,87,80,86,79,0,0,0,0,[]
72,13,19,80,75,50,53,84,80,85,79,61,7,69,66,58,50,90,79,89,76,0,0,0,0,[]
73,11,20,79,75,51,54,80,83,79,82,49,9,80,66,53,48,89,81,87,79,0,0,0,0,[]
74,12,18,79,75,47,54,82,83,80,83,37,10,79,67,53,50,88,79,89,80,0,0,0,0,[]
75,13,16,79,75,47,53,82,84,84,87,25,12,87,66,51,50,86,79,87,81,0,0,0,0,[]
76,13,17,79,75,48,56,86,85,87,86,18,14,93,70,53,49,85,78,89,82,0,0,0,0,[]
77,13,17,86,81,55,63,90,81,89,82,19,13,90,77,60,56,89,76,91,76,0,0,0,0,[]
78,16,15,84,80,59,61,86,86,86,85,21,11,86,77,68,61,89,79,89,82,0,0,0,0,[]
79,23,12,79,89,60,72,81,92,80,92,24,8,81,86,73,70,83,86,85,87,0,0,0,0,[]
80,22,12,78,91,68,80,76,93,80,92,24,11,81,91,71,78,80,91,81,91,0,0,0,0,[]
81,21,12,82,90,63,83,76,93,80,92,23,9,84,83,69,81,82,91,83,88,0,0,0,0,[]
82,24,14,82,90,51,83,76,93,6,96,26,8,80,88,72,75,82,91,80,88,0,0,0,0,[]
83,26,24,82,90,46,73,5,96,18,94,29,9,79,83,70,68,82,91,72,90,0,0,0,0,[]
84,25,32,7,94,38,64,17,95,30,93,26,9,79,83,61,59,94,11,75,91,0,0,0,0,[]
85,26,22,17,89,44,55,28,94,42,91,22,11,90,5,52,53,93,21,82,82,0,0,0,0,[]
86,16,19,26,82,48,54,39,93,53,90,17,12,77,12,54,48,92,32,86,76,0,0,0,0,[]
87,17,16,36,76,46,52,50,92,62,84,19,13,68,18,53,49,91,43,86,76,0,0,0,0,[]
88,17,15,44,69,45,53,61,91,65,78,19,11,58,24,52,51,89,54,94,8,0,0,0,0,[]
89,16,14,55,65,41,55,72,89,67,78,20,11,48,33,56,56,88,65,93,13,0,0,0,0,[]
90,20,12,62,62,43,54,78,85,58,71,23,8,42,41,53,57,86,76,92,26,0,0,0,0,[]
91,21,13,54,55,52,57,78,87,55,59,23,11,47,51,50,53,83,84,91,38,0,0,0,0,[]
92,20,14,53,50,49,53,70,83,52,52,23,10,53,48,49,51,82,82,80,39,0,0,0,0,[]
93,21,13,54,55,47,53,74,86,52,54,21,8,52,42,49,51,81,79,79,51,0,0,0,0,[]
94,23,13,63,61,46,55,76,89,57,56,24,9,52,35,49,51,83,84,76,62,0,0,0,0,[]
95,19,16,69,64,56,55,75,89,66,61,28,9,55,32,49,51,82,81,78,72,0,0,0,0,[]
96,19,21,67,67,54,49,73,88,67,68,26,8,49,26,95,4,82,82,79,77,0,0,0,0,[]
97,21,12,58,63,50,50,76,88,59,63,26,8,49,26,84,11,84,81,79,78,0,0,0,0,[]
98,20,13,47,66,43,57,76,89,60,73,27,9,53,28,75,20,85,84,82,80,0,0,0,0,[]
99,20,14,46,64,43,57,74,87,69,81,23,11,59,34,68,29,84,87,81,82,0,0,0,0,[]
100,15,19,38,64,4,95,76,90,75,88,22,12,68,40,61,38,84,84,79,83,0,0,0,0,[]
101,19,25,28,59,9,93,75,89,72,87,23,11,70,41,51,47,83,86,79,83,0,0,0,0,[]
102,23,35,25,57,19,84,73,89,73,87,31,8,67,48,49,50,82,87,78,82,0,0,0,0,[]
103,18,33,22,53,28,74,74,87,73,88,31,8,62,52,48,53,82,85,78,82,0,0,0,0,[]
104,18,23,16,44,35,64,71,88,72,89,92,4,65,56,54,53,80,91,79,89,0,0,0,0,[]
105,18,16,16,44,41,56,72,90,72,90,87,5,64,61,60,61,81,88,78,86,0,0,0,0,[]
106,14,16,24,51,42,57,71,90,67,89,73,6,57,66,57,71,79,89,77,88,0,0,0,0,[]
107,13,15,33,60,45,54,62,93,61,92,60,7,62,76,57,72,73,87,72,86,0,0,0,0,[]
108,13,15,42,68,46,50,61,93,54,88,48,8,56,66,52,62,73,92,70,91,0,0,0,0,[]
109,3,94,49,76,45,50,67,92,65,92,34,9,51,59,51,53,74,93,72,90,0,0,0,0,[]
110,5,78,52,76,46,52,68,90,70,94,25,10,54,64,51,54,76,92,74,91,0,0,0,0,[]
111,6,65,51,76,46,52,68,90,71,93,21,10,61,74,57,64,74,88,75,89,0,0,0,0,[]
112,8,53,58,74,52,63,71,93,72,93,19,11,68,82,61,74,72,88,75,88,0,0,0,0,[]
113,9,42,55,75,59,71,67,92,71,93,22,10,64,83,68,80,74,87,75,88,0,0,0,0,[]
114,11,29,51,83,54,76,63,89,64,88,23,9,63,82,68,82,77,87,70,85,0,0,0,0,[]
115,16,19,53,84,52,77,66,91,66,90,21,10,68,78,69,80,77,89,71,84,0,0,0,0,[]
116,18,18,57,84,56,74,68,92,67,91,20,11,62,75,72,75,76,87,77,87,0,0,0,0,[]
117,18,18,56,84,55,66,71,91,70,92,17,11,65,69,68,67,78,89,78,83,0,0,0,0,[]
118,19,14,61,86,48,56,68,91,70,94,18,10,67,70,67,69,74,90,74,88,0,0,0,0,[]
119,13,21,67,82,51,47,71,91,70,88,19,18,69,67,68,65,77,85,78,84,0,0,0,0,[]
120,10,20,69,80,49,51,65,88,63,83,21,21,74,58,75,57,77,80,77,78,0,0,0,0,[]
121,14,20,67,82,50,46,67,88,66,88,18,13,78,55,76,53,77,78,84,84,0,0,0,0,[]
122,17,15,67,82,50,46,73,91,73,88,17,12,84,58,74,49,78,78,83,81,0,0,0,0,[]
123,16,15,6,89,42,35,75,88,76,87,19,11,83,60,66,41,82,82,84,85,0,0,0,0,[]
124,17,15,15,80,39,24,73,90,72,88,20,11,83,60,56,44,81,86,81,89,0,0,0,0,[]
125,17,15,24,71,36,14,68,91,68,91,22,11,87,5,50,50,76,86,74,88,0,0,0,0,[]
126,24,12,33,62,30,19,68,93,71,91,26,9,74,7,52,51,74,90,73,89,0,0,0,0,[]
127,25,12,43,54,25,28,69,91,69,90,32,7,62,6,53,47,74,89,75,88,0,0,0,0,[]
128,25,16,48,51,34,37,63,94,59,93,24,12,50,10,62,42,73,88,75,87,0,0,0,0,[]
129,22,13,41,45,41,42,52,94,53,94,27,8,38,11,62,42,68,89,67,91,0,0,0,0,[]
130,25,14,33,35,39,28,52,94,51,94,27,7,36,15,95,4,66,91,66,91,0,0,0,0,[]
131,22,8,31,30,40,38,2,96,51,94,27,6,30,15,85,9,72,89,71,92,0,0,0,0,[]
132,15,14,31,33,46,46,2,96,5,94,24,9,25,14,77,18,71,91,70,91,0,0,0,1,[]
133,19,19,31,35,45,49,12,95,9,84,29,20,30,22,68,27,72,89,81,90,0,0,0,1,[]
134,20,28,31,35,43,45,24,94,18,76,26,24,34,23,60,36,75,88,81,90,0,0,0,1,[]
135,20,28,32,35,34,38,37,93,27,68,20,28,21,27,57,45,95,4,95,4,0,0,0,1,[]
136,23,42,31,29,29,35,22,29,31,58,20,21,28,20,50,40,94,4,93,7,0,0,0,1,[]
137,18,44,31,30,38,43,20,36,31,47,17,16,34,17,47,36,86,7,83,9,0,0,0,1,[]
138,18,44,25,34,42,45,11,32,31,40,15,11,41,16,51,46,74,10,70,9,0,0,0,1,[]
139,8,94,23,40,45,50,12,25,22,38,15,11,42,15,53,48,61,9,57,9,0,0,0,1,[]
140,16,94,15,43,47,53,13,19,12,34,95,7,43,16,52,49,48,10,45,13,0,0,0,1,[]
141,29,93,14,43,38,50,15,17,12,23,93,16,48,19,49,49,36,10,34,17,0,0,0,1,[]
142,41,92,23,47,27,50,14,19,14,15,92,28,43,25,50,49,25,14,33,23,0,0,0,1,[]
143,53,91,20,49,26,50,11,31,10,14,91,40,45,34,51,49,22,13,40,33,0,0,0,1,[]
144,64,90,24,57,39,52,11,28,8,17,90,52,51,35,47,52,25,12,40,39,0,0,0,1,[]
145,69,91,24,55,44,57,11,28,8,17,88,64,45,36,48,49,26,12,31,40,0,0,0,1,[]
146,78,87,4,93,44,55,13,36,5,87,86,76,35,41,39,41,24,12,22,33,0,0,0,1,[]
147,80,88,10,84,41,61,11,30,9,74,80,84,44,35,40,44,22,12,19,24,0,0,0,1,[]
148,70,91,20,76,43,58,10,27,9,62,86,80,53,41,47,49,20,16,28,21,0,0,0,1,[]
149,68,80,27,69,44,57,9,25,9,50,89,77,66,41,48,49,13,22,17,22,0,0,0,1,[]
150,60,84,39,66,46,54,8,30,14,48,88,74,74,42,47,47,11,19,12,20,0,0,0,1,[]
151,59,88,45,63,44,53,12,34,25,50,84,79,71,41,52,46,15,18,14,12,0,0,0,1,[]
152,62,89,46,58,42,56,11,30,33,47,87,84,66,52,48,43,15,16,16,20,0,0,0,1,[]
153,74,88,37,50,39,58,7,30,28,50,85,83,68,61,48,43,10,22,12,23,0,0,0,1,[]
154,76,88,32,40,2,96,7,30,21,45,79,75,67,60,91,6,7,25,10,24,0,0,0,1,[]
155,74,89,30,38,13,89,8,30,20,37,69,79,76,57,80,14,16,16,19,15,0,0,0,1,[]
156,62,87,31,38,22,81,13,35,11,33,70,77,82,56,71,24,23,11,29,12,0,0,0,1,[]
157,54,85,37,43,31,72,11,29,11,27,73,70,82,56,62,34,22,12,29,12,0,0,0,1,[]
158,54,85,42,45,40,61,11,25,10,23,81,79,82,56,54,44,20,12,95,4,0,0,0,1,[]
159,53,86,42,45,49,52,10,21,9,20,82,83,93,4,53,49,17,15,18,14,0,0,0,1,[]
160,52,85,42,45,45,50,10,21,11,21,82,83,79,10,53,46,16,12,16,14,0,0,0,1,[]
161,53,85,45,43,47,50,11,19,11,16,81,82,68,11,54,46,17,13,26,17,0,0,0,1,[]
162,58,90,45,43,46,50,12,21,15,21,81,82,57,15,53,49,17,14,27,19,0,0,0,1,[]
163,57,91,45,43,48,49,12,23,21,28,91,10,48,22,57,46,17,13,18,14,0,0,0,1,[]
