,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,TESMoyu, ,TESAKi, ,TESKnight9, ,TESLokeN, ,TESQiuQiu, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,48,50,18,48,10,19,90,78,80,75,16,16,57,61,59,44,88,72,92,74,0,0,0,0,[]
59,54,45,18,45,9,19,89,74,80,75,15,17,65,56,63,41,91,68,92,71,0,0,0,0,[]
60,49,48,22,53,10,14,84,80,10,95,17,15,67,47,63,41,88,71,91,74,0,0,0,0,[]
61,49,48,26,59,17,9,80,85,21,94,22,12,62,38,95,4,85,77,89,82,0,0,0,0,[]
62,48,49,33,61,15,14,82,87,32,92,19,10,54,30,56,44,84,79,87,82,0,0,0,0,[]
63,38,50,42,66,17,12,82,87,43,91,22,12,45,22,58,42,84,80,85,81,0,0,0,0,[]
64,36,49,50,66,16,13,82,87,53,90,20,9,44,17,54,45,84,81,86,83,0,0,0,0,[]
65,3,96,54,64,15,13,81,85,64,89,21,8,44,17,55,48,85,79,87,83,0,0,0,0,[]
66,13,90,53,64,19,17,82,86,75,87,25,8,45,16,50,51,84,80,86,83,0,0,0,0,[]
67,21,81,61,63,23,25,83,83,82,82,27,9,47,16,49,51,88,77,90,79,0,0,0,0,[]
68,28,72,64,57,23,30,82,85,82,84,24,12,52,26,51,50,87,79,89,80,0,0,0,0,[]
69,36,63,67,62,20,26,83,83,87,84,21,14,59,35,59,57,88,76,89,78,0,0,0,0,[]
70,41,58,74,71,21,20,84,78,87,82,22,13,55,32,61,60,88,73,90,75,0,0,0,0,[]
71,43,57,72,69,16,17,83,82,83,82,23,13,52,35,56,55,88,76,90,77,0,0,0,0,[]
72,45,54,71,68,11,29,84,81,79,76,18,15,52,34,48,51,89,73,90,75,0,0,0,0,[]
73,44,56,66,67,11,30,85,78,80,76,17,13,59,35,45,50,91,75,91,76,0,0,0,0,[]
