,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
55,7,19,64,62,41,55,84,83,84,83,27,14,40,16,79,15,87,78,87,78,6655,0,7633,0,[]
56,2,96,74,61,42,57,83,84,85,83,24,13,41,16,71,24,87,79,87,79,6701,0,7751,0,[]
57,2,96,76,59,41,56,82,83,84,83,26,13,38,16,64,34,88,80,88,80,6826,0,7919,0,[]
58,20,14,82,66,41,55,82,82,82,84,26,11,30,19,57,43,89,73,89,73,7005,0,7981,0,[]
59,20,20,78,63,44,56,84,80,88,83,26,10,29,22,45,44,90,68,90,68,7098,0,8053,0,[]
60,19,24,74,69,47,56,89,77,88,78,24,12,29,21,50,47,90,68,90,68,7177,0,8114,0,[]
61,18,15,68,82,43,55,89,76,89,76,21,11,33,19,48,48,92,68,92,68,7274,0,8225,0,[]
62,17,14,57,82,43,56,87,75,91,72,23,9,95,4,49,48,92,71,92,71,7438,0,8305,0,[]
63,17,14,57,82,45,56,87,74,89,81,20,10,94,7,50,48,93,70,93,70,7600,0,8419,0,[]
64,16,10,58,83,45,55,90,79,89,81,23,11,92,9,50,50,91,69,92,75,7734,0,8547,0,[]
65,17,14,55,83,45,55,7,96,6,95,22,10,88,18,52,48,90,71,91,75,7823,0,8766,0,[]
66,15,17,51,83,50,59,9,95,8,95,20,12,79,25,51,46,88,71,86,77,7938,0,8849,0,[]
67,11,21,47,72,47,54,20,94,20,95,27,12,70,32,51,46,88,70,83,87,8052,0,8922,0,[]
68,11,18,46,65,47,54,31,93,31,94,27,12,58,33,55,48,94,5,85,88,8124,0,8973,0,[]
69,11,20,49,65,46,54,41,92,42,92,92,4,47,35,52,49,95,7,95,4,8334,0,9090,0,[]
70,9,19,50,61,49,52,52,90,53,91,81,5,37,39,54,48,95,7,95,7,8468,0,9162,0,[]
71,12,19,44,52,50,50,63,89,64,90,69,7,32,44,56,44,83,80,83,80,8523,0,9315,0,[]
72,12,18,50,49,49,51,73,87,74,89,58,8,38,44,53,46,82,81,82,81,8609,0,9403,0,[]
73,13,18,41,56,44,56,78,88,84,89,47,9,47,49,49,50,82,81,82,81,8806,0,9555,0,[]
74,14,17,31,59,41,58,83,85,84,80,36,11,52,62,50,50,85,78,86,78,8979,0,9677,0,[]
75,13,15,26,59,40,58,79,88,83,88,25,12,59,69,52,50,84,80,84,80,9046,0,9810,0,[]
76,16,18,26,59,40,55,76,91,74,88,21,13,59,74,47,54,79,84,79,84,9267,0,9904,0,[]
77,21,14,28,59,39,55,75,87,72,90,25,9,69,64,47,54,86,82,86,82,9355,0,10007,0,[]
78,24,14,38,65,43,54,78,88,81,91,25,11,66,61,50,52,83,81,87,83,9406,0,10268,0,[]
79,19,13,46,72,43,53,72,85,82,90,26,11,58,63,50,52,85,80,85,80,9475,0,10389,0,[]
80,13,16,53,76,42,55,65,77,73,86,20,14,57,72,49,51,82,81,82,81,9576,0,10489,0,[]
81,10,20,50,76,43,55,55,77,65,79,16,17,57,68,50,53,81,83,81,83,9648,0,10610,0,[]
82,13,19,49,76,37,57,52,77,52,77,17,15,57,70,50,60,73,78,73,78,9803,0,10666,0,[]
83,12,19,45,79,40,59,52,84,51,83,16,16,54,76,49,68,65,82,65,82,9854,0,10717,0,[]
84,11,22,45,79,42,53,62,88,59,89,13,21,55,66,48,57,73,87,73,87,9920,0,10768,0,[]
85,11,24,53,84,44,52,70,90,70,91,13,21,63,58,49,47,75,87,75,87,10027,0,10904,0,[]
86,18,24,64,82,45,54,73,90,71,91,18,16,66,48,54,49,78,86,78,86,10120,0,10976,0,[]
87,23,31,72,78,45,52,73,89,72,91,21,26,73,42,52,48,81,87,81,87,10196,0,11128,0,[]
88,24,36,77,77,44,53,77,86,79,88,26,32,70,40,50,51,87,84,87,84,10393,0,11261,0,[]
89,22,27,78,75,43,54,74,88,76,90,27,21,60,36,49,48,83,78,83,78,10499,0,11403,0,[]
90,17,20,71,69,46,53,74,88,81,90,22,13,52,35,51,47,86,75,86,75,10682,0,11489,0,[]
91,16,16,72,76,45,57,81,84,87,85,22,10,52,36,46,53,86,75,86,75,10747,0,12005,0,[]
92,17,16,69,79,41,59,84,85,89,82,21,14,48,35,49,50,87,77,87,77,10909,0,12148,0,['7:37 TESKnight9(未来守护者) 击杀了 VGIan(德玛西亚之翼)']
93,15,16,69,79,41,59,85,85,85,87,21,12,36,36,49,50,85,78,85,78,11037,0,12256,0,[]
94,16,17,7,86,41,59,88,84,88,83,23,12,25,34,43,54,90,75,90,75,11161,0,12328,0,[]
95,23,21,14,77,7,94,85,87,85,88,21,13,19,33,42,54,91,70,89,69,11212,0,12603,0,[]
96,11,25,17,67,20,82,88,85,89,82,15,21,12,23,44,52,91,72,87,72,11263,0,13167,0,[]
97,12,24,18,56,31,68,87,84,89,83,14,20,16,20,47,50,88,73,87,73,11318,0,13279,0,['8:1 TES369(解脱者) 击杀了 VGChelizi(万花通灵)']
98,12,24,22,45,41,57,85,84,89,83,21,13,17,16,56,43,86,76,86,76,11511,0,13408,0,[]
99,12,24,23,34,47,50,86,83,88,85,18,15,18,14,59,42,88,77,88,77,11638,0,13627,0,[]
100,12,24,26,24,44,51,85,82,87,86,17,16,29,15,95,4,88,76,88,76,11702,0,13721,0,[]
101,3,91,36,23,45,44,87,84,87,85,17,16,40,16,91,6,90,70,90,70,11754,0,13800,0,[]
102,4,79,38,14,47,49,85,81,88,84,91,4,38,14,84,10,90,73,90,73,12178,0,13865,0,[]
103,6,68,37,16,48,49,86,80,90,74,76,6,33,12,75,20,90,72,89,72,12418,0,13947,0,['8:33 VGYoudang(凛冬之怒) 击杀了 TESXx(酒桶)']
104,7,55,34,17,50,49,85,82,83,84,64,8,33,12,66,33,86,77,86,77,12576,0,14070,0,[]
105,8,42,35,22,53,55,76,86,81,90,55,17,33,12,57,42,82,82,83,80,12627,0,14291,0,[]
106,10,31,37,24,64,64,71,89,70,91,43,23,90,6,57,45,80,83,80,83,12683,0,14416,0,[]
107,12,21,27,24,64,65,73,90,74,90,32,22,79,6,55,53,88,79,88,79,12869,0,14496,0,[]
108,16,18,28,33,55,67,67,92,66,92,28,20,67,8,54,53,81,83,83,86,13020,0,14640,0,[]
109,19,13,29,36,42,54,66,92,66,92,26,10,58,13,51,50,79,86,77,90,13113,0,14775,0,[]
110,18,14,26,34,39,59,67,92,7,95,23,10,50,21,57,60,81,84,78,82,13360,0,14881,0,[]
111,19,17,24,40,40,56,70,91,15,95,22,10,50,26,69,62,81,83,78,81,13493,0,15111,0,[]
112,13,18,23,47,40,57,70,91,27,94,23,9,53,29,75,56,79,81,77,84,13565,0,15211,0,[]
113,8,16,22,48,31,52,71,92,39,93,22,10,53,29,76,55,79,81,79,81,13800,0,15384,0,[]
114,7,17,16,45,27,50,76,90,50,90,25,15,57,33,75,49,95,8,95,4,13851,0,15536,0,[]
115,6,21,16,44,38,50,80,88,61,87,25,15,66,41,60,50,93,13,94,12,13902,0,15650,0,[]
116,10,20,18,48,46,51,82,85,69,81,17,15,67,52,53,48,92,26,91,22,14137,0,15746,0,[]
117,11,20,24,57,42,54,84,84,76,76,14,14,60,57,55,53,91,37,91,37,14321,0,15861,0,[]
118,11,20,26,59,40,58,82,86,83,82,16,15,54,65,48,54,90,48,90,48,14542,0,15933,0,[]
119,10,22,30,60,37,60,82,86,83,86,20,26,51,65,53,51,90,61,81,51,14607,0,16046,0,[]
120,11,26,40,65,46,54,8,96,8,94,23,30,50,65,51,49,90,70,75,60,14658,0,16269,0,[]
121,11,32,45,69,44,54,11,96,13,93,22,28,56,63,49,50,89,75,66,64,14734,0,16400,0,[]
122,16,32,50,78,39,58,22,95,24,90,17,17,66,66,50,52,80,76,66,66,14781,0,16605,0,[]
123,11,28,54,83,37,58,33,93,36,89,16,18,68,65,49,55,81,77,73,65,14951,0,16753,0,[]
124,11,22,56,82,39,54,43,92,48,89,13,19,68,67,60,61,85,78,72,68,15141,0,16840,0,[]
125,9,26,55,84,33,47,54,92,60,89,16,22,69,67,67,66,84,79,74,71,15246,0,17012,0,[]
126,8,30,60,84,33,42,65,90,71,90,23,32,72,69,58,58,80,79,74,78,15447,0,17164,0,['10:27 TES 击杀了风龙']
127,12,23,62,86,25,28,75,88,82,90,20,24,71,69,47,52,83,79,81,80,15519,0,17304,0,[]
128,16,19,72,90,21,22,82,87,82,85,24,14,71,70,44,56,80,83,80,83,15619,0,17397,0,[]
129,13,18,78,85,28,33,78,85,79,79,24,14,78,80,43,58,79,76,79,77,15726,0,17613,0,[]
130,12,22,73,86,34,48,79,81,80,87,20,13,76,79,54,65,81,81,76,79,15812,0,18237,0,[]
131,12,19,64,93,44,51,78,80,67,92,17,14,71,78,53,76,72,88,72,88,15868,0,18351,0,['10:51 TESBen(魔法猫咪) 击杀了 VGPuff(逆羽)']
132,14,19,50,94,47,49,78,80,57,94,16,17,61,84,52,89,62,93,62,93,15968,0,18916,0,['10:59 TESKnight9(未来守护者) 击杀了 VGSouthwind(幻翎)']
133,8,25,40,88,47,49,78,80,57,94,10,21,50,84,52,94,69,90,70,89,16054,0,19178,0,[]
134,7,35,29,89,44,43,78,80,57,94,12,22,51,83,62,88,71,90,71,89,16105,0,19391,0,[]
135,8,31,18,91,39,38,8,96,57,94,11,13,59,85,62,86,71,89,69,89,16198,0,19645,0,[]
136,7,28,7,94,35,38,18,95,19,95,11,13,59,85,95,4,75,92,72,89,16267,0,19721,0,[]
137,7,30,5,92,2,96,29,95,31,94,93,4,91,9,84,10,72,91,72,90,16319,0,19772,0,[]
138,2,96,8,87,14,89,40,94,43,93,78,6,81,16,74,22,73,89,72,89,16370,0,20005,0,[]
139,3,91,13,76,26,76,51,93,54,90,64,7,69,19,65,33,76,88,75,87,16421,0,20098,0,[]
140,4,78,17,65,38,63,61,92,62,84,50,9,59,27,55,44,77,86,83,88,16472,0,20192,0,[]
141,6,65,18,53,45,53,72,91,71,81,36,11,53,35,53,48,79,85,81,90,16613,0,20466,0,[]
142,7,52,30,46,45,53,72,90,72,86,23,13,46,35,51,47,85,86,83,86,16806,0,20651,0,[]
143,7,40,27,37,40,54,71,90,74,88,16,17,35,38,45,40,89,82,87,79,16957,0,20725,0,[]
144,10,27,22,43,34,48,74,88,82,88,15,17,27,31,38,37,95,4,95,4,17032,0,20924,0,[]
145,8,26,23,50,43,52,84,83,87,81,12,21,34,31,50,45,94,7,92,7,17127,0,21048,0,[]
146,8,28,18,45,44,54,85,82,84,81,13,19,32,30,53,47,94,8,94,8,17353,0,21219,0,[]
147,9,27,16,44,44,54,83,83,85,81,13,22,34,31,50,47,87,75,87,75,17472,0,21296,0,[]
148,8,29,18,46,36,57,74,87,73,85,20,26,35,31,50,43,84,80,84,80,17687,0,21421,0,[]
149,9,27,25,57,40,56,71,88,79,90,25,37,34,30,40,33,78,78,79,78,17826,0,21497,0,[]
150,11,27,30,60,47,53,80,91,84,89,31,32,35,31,43,42,78,79,77,78,18068,0,21633,0,[]
151,12,17,37,64,45,55,78,87,79,91,32,32,35,30,50,46,84,83,84,83,18145,0,21873,0,[]
152,11,17,45,65,40,58,83,87,85,87,25,28,30,33,52,49,82,79,82,79,18313,0,21996,0,[]
153,8,17,46,64,41,56,75,88,82,90,18,16,41,37,51,53,81,81,81,81,18464,0,22124,0,[]
154,8,17,54,66,37,62,74,90,74,91,17,12,50,43,50,52,83,87,83,87,18599,0,22246,0,[]
155,7,18,57,68,40,54,68,90,72,88,16,15,58,48,50,43,79,87,79,87,18680,0,22363,0,[]
156,7,19,56,75,39,61,70,91,69,91,11,23,55,51,50,45,79,85,79,85,18736,0,22438,0,[]
157,7,19,52,74,45,53,71,87,69,81,12,21,60,50,49,49,83,82,83,82,18910,0,22672,0,[]
158,8,25,50,74,42,54,75,88,74,87,12,21,60,49,49,47,82,82,82,82,19082,0,22955,0,[]
159,7,30,57,73,39,61,77,89,79,91,17,22,59,47,48,48,81,82,81,82,19217,0,23035,0,[]
160,9,29,54,67,36,61,78,89,82,90,26,33,55,55,43,53,85,81,85,81,19495,0,23181,0,[]
161,8,28,45,62,40,59,72,88,72,86,33,47,51,60,41,52,82,78,83,80,19744,0,23590,0,[]
162,11,29,39,63,35,63,71,86,69,82,38,56,45,57,42,54,86,82,85,86,19795,0,23732,0,[]
163,15,18,36,61,28,66,75,87,73,86,46,58,47,57,42,55,82,83,82,83,19927,0,24594,0,[]
164,15,17,32,63,30,67,66,90,70,88,46,67,40,62,39,61,80,81,77,79,20041,0,24694,1,"['13:36 TES 击破了防御塔,获得一塔']"
165,15,12,31,66,30,68,65,89,63,83,35,67,35,63,34,63,81,82,81,82,20180,0,25233,1,[]
166,24,9,34,64,32,67,69,82,69,78,38,60,39,60,36,61,76,79,76,79,20534,0,25397,1,"['13:49 TESKnight9(未来守护者) 击杀了 VGYoudang(凛冬之怒)', '13:50 VGYoudang(凛冬之怒) 击杀了 TES369(解脱者)']"
167,24,9,34,64,26,67,70,88,72,90,38,60,37,60,38,61,78,83,78,83,20794,0,25575,1,[]
168,24,9,34,64,28,70,64,92,64,91,38,60,40,61,40,66,75,87,74,86,20845,0,25659,1,[]
169,22,10,34,64,24,67,63,92,64,91,38,60,37,65,37,64,77,88,77,88,20938,0,25731,1,[]
