,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
228,63,91,48,55,42,55,49,57,49,58,10,28,43,46,44,51,51,50,44,51,29258,0,34791,5,[]
229,50,49,46,47,45,48,48,52,44,54,18,35,46,46,41,43,54,43,41,43,29351,0,34871,5,[]
230,45,45,43,43,44,48,43,46,43,45,31,38,47,35,41,35,51,35,41,35,29432,0,34923,5,[]
231,39,55,38,56,34,60,40,57,38,56,31,35,46,38,46,36,58,37,47,37,29487,0,35005,5,[]
232,29,59,26,59,19,50,30,59,29,65,20,25,45,40,50,43,51,45,50,43,29638,0,35107,5,[]
233,21,55,20,51,35,64,32,60,29,65,10,22,46,45,51,49,47,45,46,45,29685,0,35325,5,[]
234,12,47,16,45,45,80,34,63,3,96,9,21,44,51,46,52,46,49,44,51,29740,0,35497,5,[]
235,11,47,15,44,55,92,33,66,16,87,11,24,32,48,35,49,38,50,32,48,29874,0,35804,5,[]
236,9,51,8,54,56,92,31,67,23,78,9,27,31,47,21,50,31,47,31,47,30054,0,35854,5,[]
237,8,58,8,55,51,91,30,70,30,70,7,31,28,52,11,46,32,58,28,58,30234,0,35913,5,[]
238,6,55,5,94,44,93,25,69,25,66,7,31,25,59,8,36,34,60,33,60,30471,0,36583,6,['19:50 TES 击破了防御塔']
239,6,53,9,86,43,93,21,66,17,65,7,41,24,57,9,40,33,60,29,58,30543,0,36790,6,[]
240,7,56,15,76,39,93,17,66,10,58,6,50,13,49,9,49,24,57,24,57,30615,0,36843,6,[]
241,9,58,10,64,33,90,10,59,12,62,7,55,12,49,9,50,13,50,12,49,30727,0,36904,6,[]
242,6,60,7,54,25,88,5,55,6,59,8,49,16,55,5,49,11,49,16,52,30835,0,37020,6,[]
243,5,66,10,65,26,91,6,60,12,65,8,47,18,57,9,47,7,46,8,47,30886,0,37072,6,[]
244,5,66,20,70,22,90,7,61,15,63,8,53,11,50,8,51,6,51,8,51,30937,0,37299,6,[]
245,2,96,28,66,4,96,8,66,10,68,11,50,11,53,8,52,7,52,7,51,31058,0,37902,7,['20:25 TESLokeN(探险家) 击破了防御塔']
246,8,83,36,64,29,90,9,65,11,66,13,49,15,42,10,50,13,44,5,46,31148,0,37953,7,[]
247,20,74,42,57,33,90,10,62,17,59,94,4,15,42,95,4,13,44,5,46,31333,0,38004,7,[]
248,31,65,40,54,27,87,18,57,17,57,81,16,84,9,87,19,90,5,84,9,31414,0,38056,7,[]
249,31,55,37,48,26,89,20,49,21,47,70,27,70,16,81,34,75,13,69,16,31601,0,38109,7,[]
250,33,48,33,47,25,86,19,47,27,36,60,37,59,26,80,48,64,21,59,26,31652,0,38280,7,[]
251,31,50,33,47,33,91,10,51,24,40,53,45,47,32,77,52,52,31,47,32,31812,0,38473,7,[]
252,31,48,11,91,30,91,8,51,21,47,52,48,39,33,68,49,39,29,39,33,31975,0,38566,7,[]
253,34,60,22,80,25,89,9,52,21,47,44,50,35,29,51,49,35,29,35,29,32089,0,38618,7,[]
254,36,61,31,72,20,88,9,52,8,93,33,47,34,29,38,43,36,31,35,29,32310,0,38697,7,[]
255,34,61,38,62,23,87,11,84,18,80,33,37,35,30,33,38,33,29,34,30,32379,0,38774,7,[]
256,43,52,37,50,25,78,17,71,27,68,33,31,34,30,31,31,36,28,35,30,32449,0,38825,7,[]
257,39,42,33,41,31,58,18,58,31,57,32,34,34,30,30,32,36,28,34,31,32501,0,40416,7,[]
258,45,49,34,49,31,54,17,50,34,47,29,37,27,37,33,35,28,34,28,34,32569,0,40464,7,['21:26 TES 击杀了大龙']
259,48,53,39,49,38,56,24,57,37,50,19,36,34,42,46,41,39,39,35,41,32738,0,40566,7,[]
260,40,57,40,50,39,54,36,58,38,49,10,28,42,42,51,47,49,46,44,44,32833,0,40962,7,[]
261,44,51,44,49,44,50,44,51,47,46,12,34,42,44,53,46,53,45,53,45,33357,0,41024,7,['21:44 VGChelizi(万花通灵) 击杀了 TESXx(酒桶)']
262,37,63,39,59,39,59,39,62,41,60,13,35,42,44,47,53,48,51,48,51,33409,0,41229,7,[]
263,23,66,41,69,26,77,44,69,43,69,7,45,42,44,38,58,40,51,40,51,33511,0,41395,7,[]
264,11,68,39,72,15,88,43,69,43,68,7,54,42,44,32,62,38,56,38,56,33624,0,41447,7,[]
265,8,70,34,76,13,89,36,76,43,68,9,64,42,44,27,68,29,67,29,67,33675,0,41584,7,[]
266,8,71,23,74,16,88,26,79,13,88,11,66,42,44,25,71,28,72,28,72,33861,0,41663,7,[]
267,8,70,21,74,15,90,21,76,22,72,10,64,42,44,25,69,29,71,29,70,34026,0,42015,7,[]
268,5,78,20,82,13,91,15,80,20,81,9,64,42,44,23,72,27,74,27,74,34078,0,42236,8,['22:19 TESKnight9(未来守护者) 击破了防御塔']
269,3,91,9,93,4,96,6,88,15,80,10,67,86,14,21,75,24,74,23,76,34129,0,42448,8,[]
270,6,80,8,87,18,84,5,89,7,89,9,71,75,26,18,72,16,72,16,72,34180,0,42521,8,[]
271,7,74,10,72,14,79,13,79,8,85,12,69,64,35,19,73,11,69,11,69,34270,0,42976,9,['22:34 TES 击破了防御塔']
272,5,78,9,76,14,81,12,81,8,79,11,73,50,47,10,74,10,70,11,73,34336,0,43633,9,['22:40 TESLokeN(探险家) 击杀了 VGYoudang(凛冬之怒)']
273,6,76,9,76,14,78,13,79,14,79,17,76,37,58,5,72,12,69,17,76,34410,0,43707,9,[]
274,12,86,9,76,8,86,16,88,8,85,16,78,26,71,5,79,12,77,16,78,34461,0,43791,9,[]
275,8,94,9,76,4,91,8,94,4,94,18,81,19,83,9,81,11,80,11,80,34512,0,44107,9,[]
276,8,91,9,76,5,86,7,91,13,88,14,85,13,88,15,85,11,82,15,85,35240,0,44881,11,"['22:56 TES 击破了防御塔', '22:59 TESKnight9(未来守护者) 击破了防御塔']"
277,14,85,9,76,10,86,10,91,4,93,13,88,11,92,13,87,18,87,13,87,35813,0,44941,11,"['23:3 VGPuff(逆羽) 击杀了 TES369(解脱者)', '23:3 TESBen(魔法猫咪) 击杀了 VGPuff(逆羽)', '23:5 VGIan(德玛西亚之翼) 击杀了 TESKnight9(未来守护者)']"
278,12,85,9,76,9,86,10,91,15,86,13,88,15,83,13,87,15,83,15,83,35909,0,45803,11,[]
279,12,88,9,76,9,85,10,91,8,94,13,88,7,89,13,87,13,90,13,90,35955,0,45876,11,"['23:12 TESXx(酒桶) 击杀了 VGIan(德玛西亚之翼)', '23:13 TESLokeN(探险家) 击杀了 VGChelizi(万花通灵)']"
280,12,88,9,76,9,85,10,91,4,96,13,88,7,91,13,87,12,92,12,92,36001,0,45972,11,[]
281,12,88,9,76,9,85,10,91,4,96,13,88,7,91,13,87,12,92,12,92,36001,0,45972,11,['23:25 TES 获胜']
