,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,45,53,47,55,15,13,71,89,74,90,22,12,76,57,56,47,78,86,77,87,0,0,0,0,[]
59,52,48,55,66,16,12,72,90,74,90,21,14,67,63,61,42,77,85,78,82,0,0,0,0,[]
60,52,51,57,71,18,16,76,89,72,85,22,13,56,66,61,42,78,78,73,78,0,0,0,0,[]
61,63,62,66,64,15,13,70,80,67,78,18,15,66,64,94,6,73,68,70,68,0,0,0,0,[]
62,59,58,69,62,20,13,77,80,77,80,25,11,66,64,90,12,77,59,76,60,0,0,0,0,"['5:6 V5Windy(½âÍÑÕß) »÷É±ÁË OMGY1han(¿ñÕ½Ê¿),»ñµÃÒ»Ñª']"
63,52,49,57,64,19,14,78,87,78,87,22,10,66,64,82,20,83,66,82,66,0,0,0,0,[]
64,51,46,56,68,21,13,79,86,79,86,27,10,93,7,74,28,87,73,87,72,0,0,0,0,[]
65,42,44,56,82,21,10,80,87,80,87,27,10,87,17,66,35,84,81,86,82,0,0,0,0,[]
66,34,42,55,83,27,11,80,86,80,86,30,8,78,24,57,41,84,82,85,83,0,0,0,0,[]
67,34,42,56,83,23,11,80,86,80,86,28,8,68,30,54,44,87,82,87,84,0,0,0,0,[]
68,2,97,55,83,12,12,81,86,81,86,31,8,57,33,54,45,85,80,88,83,0,0,0,0,[]
69,4,95,53,84,12,12,82,86,82,86,31,8,53,36,53,45,86,80,88,82,0,0,0,0,[]
70,16,86,50,74,2,96,81,85,83,84,95,4,54,32,55,47,87,80,89,82,0,0,0,0,[]
71,22,75,47,67,2,96,81,84,81,84,95,4,63,39,53,47,89,81,88,81,0,0,0,0,[]
72,31,66,46,66,11,25,82,85,82,85,21,13,66,48,55,47,88,77,89,79,0,0,0,0,[]
73,41,58,46,66,18,20,85,80,85,80,22,13,66,58,54,47,89,75,91,76,0,0,0,0,[]
74,47,51,42,67,16,16,81,82,81,82,18,10,72,66,54,49,90,80,88,82,0,0,0,0,[]
75,44,53,33,60,14,17,80,85,80,85,20,13,79,74,55,55,85,80,87,84,0,0,0,0,[]
76,47,51,29,50,14,14,77,85,77,85,20,15,79,75,56,60,86,77,87,85,0,0,0,0,[]
77,46,50,33,38,13,14,79,89,77,89,16,14,75,67,54,50,86,78,82,81,0,0,0,0,[]
78,48,51,25,29,15,12,84,88,77,90,17,13,76,55,52,49,87,77,84,80,0,0,0,0,[]
79,48,52,27,19,17,16,81,90,81,90,19,13,75,45,52,47,84,79,83,80,0,0,0,0,[]
80,47,51,27,19,17,18,78,91,78,91,19,10,73,43,50,51,84,80,82,82,0,0,0,0,[]
81,44,53,27,20,18,18,79,88,79,88,20,11,76,46,53,50,84,81,80,83,0,0,0,0,[]
82,41,54,22,11,22,10,78,89,77,89,24,6,76,56,48,51,86,81,73,78,0,0,0,0,[]
83,43,56,21,21,20,9,76,89,74,87,25,8,69,66,50,51,89,81,73,74,0,0,0,0,[]
84,48,57,27,31,14,12,74,88,71,83,26,9,66,69,52,50,95,4,67,70,0,0,0,0,[]
85,56,67,36,40,14,13,71,86,63,76,29,6,66,69,52,49,95,4,68,68,0,0,0,0,[]
86,56,63,44,45,17,17,70,80,69,78,26,7,67,63,53,52,75,69,70,64,0,0,0,0,[]
87,46,55,41,53,17,17,70,79,69,78,16,11,67,65,49,49,72,66,68,66,0,0,0,0,[]
88,48,50,53,62,16,18,2,96,2,96,18,12,67,67,48,50,70,65,66,66,0,0,0,0,[]
89,46,51,57,70,18,18,4,96,3,95,18,14,68,66,49,49,74,68,58,59,0,0,0,0,['7:23 OMG »÷É±ÁËÍÁÁú']
90,46,55,49,73,15,16,6,96,6,96,16,12,74,60,52,49,81,77,62,61,0,0,0,0,[]
91,47,50,48,73,12,17,73,90,73,90,15,15,82,56,53,48,82,82,62,61,0,0,0,0,[]
92,44,52,39,65,16,19,80,87,80,87,21,12,83,57,51,51,84,81,94,8,0,0,0,0,[]
93,50,50,31,58,16,15,83,85,83,85,23,12,78,55,62,50,88,79,92,22,0,0,0,0,[]
94,56,55,32,46,18,15,81,83,81,83,25,11,75,54,71,50,87,77,91,36,0,0,0,0,[]
95,52,53,35,38,19,15,77,89,73,85,23,9,76,52,73,49,83,81,90,50,0,0,0,0,[]
96,52,46,39,39,20,14,75,92,71,75,33,11,77,52,63,50,83,83,88,64,0,0,0,0,[]
97,50,47,39,37,19,13,74,92,71,83,38,15,95,4,55,46,81,90,84,78,0,0,0,0,[]
98,42,41,41,27,17,14,75,93,75,93,37,14,86,6,56,41,79,86,80,88,0,0,0,0,[]
99,41,30,44,24,18,14,73,90,73,90,34,9,76,11,59,41,79,86,78,85,0,0,0,0,[]
100,41,27,44,23,20,13,73,89,73,89,37,14,67,19,59,41,80,89,79,83,0,0,0,0,[]
101,42,40,38,15,24,13,73,89,74,87,29,9,60,12,95,5,83,83,76,75,0,0,0,0,[]
102,50,50,28,12,24,12,79,91,79,91,23,12,50,9,88,16,87,84,74,72,0,0,0,0,[]
103,50,49,26,10,25,11,85,87,85,87,29,9,39,10,79,25,85,80,84,81,0,0,0,0,['8:35 V5Mole(ÌìÆôÕß) »÷É±ÁË OMGCurse(°µÒá½£Ä§)']
104,47,50,16,17,16,11,80,84,80,84,30,8,29,11,67,34,83,81,86,83,0,0,0,0,[]
105,47,50,13,22,12,12,89,79,87,82,30,8,25,8,58,39,92,78,89,83,0,0,0,0,[]
106,3,96,13,22,12,12,86,78,89,75,30,8,24,10,58,43,92,76,91,73,0,0,0,0,['8:48 V5y4(ÄæÓð) »÷É±ÁË OMGKane(Õ½ÕùÅ®Éñ)']
107,11,91,4,92,4,93,81,85,81,85,30,8,21,12,52,47,92,76,87,75,0,0,0,0,[]
108,21,81,9,82,5,80,82,85,82,85,84,5,28,20,50,45,92,76,90,73,0,0,0,0,[]
109,29,71,16,74,7,69,87,79,87,79,72,7,20,24,50,51,95,6,91,71,0,0,0,0,[]
110,38,62,27,69,8,58,85,80,85,80,60,8,12,23,53,50,94,17,90,72,0,0,0,0,[]
111,46,52,31,60,9,46,86,77,80,75,49,10,12,23,62,59,93,28,89,72,0,0,0,0,[]
112,45,53,24,55,9,33,85,78,80,75,43,15,20,25,71,68,91,39,92,74,0,0,0,0,[]
113,44,52,22,53,7,29,78,85,77,85,43,16,26,24,75,78,91,50,83,80,0,0,0,0,[]
114,48,49,25,47,9,26,73,90,77,88,45,15,37,23,78,84,90,61,80,86,0,0,0,0,[]
115,47,50,26,46,11,23,66,91,66,91,42,16,46,24,76,76,87,72,83,82,0,0,0,0,[]
116,34,49,23,47,15,21,66,91,66,91,32,17,34,22,70,65,83,81,80,84,0,0,0,0,[]
117,26,50,20,46,15,20,3,95,5,94,24,14,25,15,65,54,82,87,79,84,0,0,0,0,[]
118,35,42,15,43,16,17,6,88,6,88,18,14,20,8,56,46,74,91,74,86,0,0,0,0,[]
119,37,50,18,44,17,16,12,78,12,78,27,11,26,8,43,41,73,91,70,79,0,0,0,0,[]
120,46,63,25,37,14,15,21,73,21,73,23,12,27,18,50,48,74,92,73,77,0,0,0,0,[]
121,47,71,33,30,21,20,30,66,30,66,23,10,30,19,52,50,76,91,77,89,0,0,0,0,[]
122,50,82,29,32,27,24,39,59,39,59,19,11,29,20,48,49,78,89,77,87,0,0,0,0,[]
123,62,87,27,32,23,21,45,54,44,53,17,12,35,17,51,43,78,84,77,80,0,0,0,0,[]
124,71,91,26,31,18,16,43,52,41,51,20,11,37,15,52,43,78,82,77,80,0,0,0,0,[]
125,72,91,27,32,18,11,33,47,34,47,23,10,37,15,48,41,94,4,90,4,0,0,0,0,[]
126,72,91,27,31,19,11,32,46,34,39,22,12,86,7,48,48,85,10,80,6,0,0,0,0,[]
127,74,91,27,32,17,14,40,53,33,42,22,8,76,13,49,48,77,16,67,10,0,0,0,0,[]
128,81,91,29,32,19,10,44,55,31,38,27,11,67,19,49,44,67,19,55,17,0,0,0,0,[]
129,83,83,25,28,15,13,43,57,32,42,29,10,58,27,47,40,58,23,43,24,0,0,0,0,[]
130,76,89,26,30,19,11,40,66,31,52,30,8,53,35,50,49,49,18,30,21,0,0,0,0,[]
131,71,91,32,44,20,19,50,66,35,61,24,10,47,34,48,51,38,17,29,21,0,0,0,0,[]
132,71,91,39,53,21,21,48,56,48,57,29,9,38,27,50,48,28,16,29,21,0,0,0,0,[]
133,8,86,47,64,8,21,50,51,49,49,29,9,33,23,52,41,20,14,25,13,0,0,0,0,[]
134,18,77,52,66,11,22,49,55,49,55,94,8,28,21,54,44,15,14,16,17,0,0,0,0,[]
135,27,69,61,62,12,22,59,60,59,60,93,20,27,24,45,50,21,20,20,25,0,0,0,0,[]
136,37,60,70,66,14,21,67,66,66,61,92,33,18,22,50,43,16,21,13,21,0,0,0,0,[]
137,45,53,79,75,6,26,75,74,70,64,89,46,9,24,54,41,10,25,11,25,0,0,0,0,['11:25 OMGKane(Õ½ÕùÅ®Éñ) »÷É±ÁË V5Mole(ÌìÆôÕß)']
138,50,50,87,79,6,27,84,78,77,73,88,57,7,30,56,42,8,28,8,29,0,0,0,0,[]
139,49,51,88,75,6,27,88,77,84,79,87,56,7,29,51,47,8,28,8,30,0,0,0,0,[]
140,46,51,87,74,6,27,88,75,85,78,78,49,11,25,53,47,10,25,11,26,0,0,0,0,[]
141,33,49,91,70,6,27,88,68,87,74,75,44,8,29,58,46,9,27,8,29,0,0,0,0,[]
142,21,45,91,70,6,27,89,68,85,78,76,43,7,30,69,50,8,31,8,31,0,0,0,0,[]
143,16,40,91,70,6,27,90,67,87,73,81,49,7,30,81,56,9,32,8,28,0,0,0,0,[]
144,22,50,91,70,4,83,93,66,89,69,89,57,7,32,83,61,9,32,8,28,0,0,0,1,"['11:57 OMG »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
145,35,49,91,66,5,70,93,67,93,67,93,53,7,32,78,51,9,29,95,4,0,1,0,1,['12:1 V5y4(ÄæÓð) »÷ÆÆÁË·ÀÓùËþ']
146,49,50,80,66,6,56,92,72,92,72,92,56,93,8,72,42,9,29,91,17,0,1,0,1,[]
147,54,44,72,70,6,55,92,72,92,72,92,54,87,19,61,41,95,4,82,26,0,1,0,1,[]
148,52,49,64,64,11,49,7,96,7,95,91,51,82,30,53,45,85,9,70,33,0,1,0,1,[]
149,54,52,55,57,6,45,17,89,17,89,92,53,80,45,59,47,81,23,66,49,0,1,0,1,[]
150,50,48,55,54,10,46,25,78,25,79,89,56,76,56,55,49,81,35,67,62,0,1,0,1,[]
151,51,50,54,58,13,49,35,75,35,75,91,59,77,61,54,44,76,35,65,57,0,1,0,1,[]
152,59,59,65,62,27,50,45,68,45,68,85,66,83,67,58,42,66,39,62,51,0,1,0,1,[]
153,58,57,64,58,40,51,56,66,56,66,88,72,77,59,59,50,67,47,59,51,0,1,0,1,[]
154,58,56,65,62,52,56,58,61,61,59,89,70,74,49,57,47,61,50,60,50,0,1,0,1,[]
155,57,56,64,72,62,62,63,63,67,66,85,64,66,44,58,47,52,48,51,50,0,1,0,1,[]
156,55,61,66,71,66,66,69,68,69,67,82,64,63,52,49,49,50,50,50,53,0,1,0,1,[]
157,44,58,66,69,65,65,66,65,67,66,83,57,55,50,50,47,44,49,45,51,0,1,0,1,['13:4 V5 »÷É±ÁË»ðÁú']
158,47,52,60,59,57,55,56,59,57,55,80,55,60,50,59,39,49,46,54,46,0,1,0,1,[]
159,40,50,49,55,55,59,48,55,48,55,75,53,68,47,67,42,56,41,59,47,0,1,0,1,[]
