,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWHuanggai, ,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
55,80,75,15,18,68,64,52,49,63,62,17,12,50,35,53,43,92,71,89,64,0,0,0,0,[]
56,7,96,14,17,75,59,51,52,63,57,17,12,54,32,53,46,90,72,89,72,0,0,0,0,[]
57,12,95,15,17,81,56,50,53,58,55,19,12,55,32,53,46,88,74,87,74,0,0,0,0,[]
58,23,94,12,18,82,56,54,50,59,56,18,14,57,33,52,44,90,74,87,74,0,0,0,0,[]
59,33,93,16,17,74,60,52,46,55,52,17,12,67,39,58,42,89,75,90,75,0,0,0,0,[]
60,44,92,13,20,63,63,51,50,55,57,15,15,75,44,54,43,88,75,81,77,0,0,0,0,[]
61,55,91,12,20,58,70,53,50,55,57,17,12,78,47,53,43,88,76,85,77,0,0,0,0,[]
62,65,92,13,20,49,65,53,48,8,95,14,16,79,50,54,42,88,78,88,79,0,0,0,0,[]
63,74,90,13,20,46,64,54,43,17,95,14,15,79,50,58,42,87,78,88,81,0,0,0,0,[]
64,80,86,12,19,47,69,52,43,29,94,16,12,95,5,59,41,86,79,89,82,0,0,0,0,[]
65,82,90,12,21,51,73,50,47,40,92,14,15,93,8,55,44,85,79,89,83,0,0,0,0,[]
66,75,89,13,20,49,74,44,49,52,91,15,13,89,16,51,49,81,80,86,83,0,0,0,0,[]
67,75,89,11,20,56,76,46,51,61,87,15,16,84,27,52,48,77,79,80,83,0,0,0,0,[]
68,74,89,14,19,68,68,48,54,69,80,16,14,81,38,51,46,81,85,81,87,0,0,0,0,[]
69,77,87,13,19,77,74,50,54,78,77,15,13,80,50,51,46,83,83,83,83,0,0,0,0,[]
70,80,84,12,20,78,75,50,52,80,81,13,14,82,60,53,46,86,81,88,83,0,0,0,0,[]
71,78,89,12,20,72,78,54,48,76,86,14,15,88,69,54,43,83,86,85,84,0,0,0,0,[]
72,76,90,9,26,64,83,51,48,77,92,10,22,89,81,57,45,82,87,79,85,0,0,0,0,[]
73,75,88,10,26,55,82,50,49,75,93,9,22,82,78,54,44,81,86,82,89,0,0,0,0,[]
74,76,89,7,27,55,82,51,48,76,92,10,21,78,73,53,42,81,86,82,87,0,0,0,0,[]
75,76,87,8,29,56,82,48,56,76,91,9,21,70,67,54,44,81,86,82,84,0,0,0,0,[]
76,73,89,7,30,56,84,49,58,76,92,7,23,62,62,62,50,80,87,78,86,0,0,0,0,[]
77,75,88,5,30,67,83,49,54,79,88,8,24,59,63,54,49,80,83,80,83,0,0,0,0,[]
78,77,86,7,31,72,77,51,51,78,83,8,26,51,59,49,47,85,78,84,79,0,0,0,0,[]
79,82,82,9,26,70,69,54,57,79,77,10,22,54,55,51,55,89,77,88,78,0,0,0,0,[]
80,83,84,7,29,62,62,57,59,81,80,10,24,62,58,52,53,89,81,85,78,0,0,0,0,['6:37 LGDbadeMan(德玛西亚皇子) 击杀了 RWHuaTian(岩雀)']
81,86,80,6,33,66,64,57,59,86,78,10,23,64,59,54,52,93,74,89,74,0,0,0,0,[]
82,87,79,9,28,73,70,57,59,83,79,13,22,69,62,61,58,88,72,88,74,0,0,0,0,[]
83,88,75,9,29,77,74,6,94,79,75,9,22,71,63,69,62,90,69,90,70,0,0,0,0,[]
84,89,75,6,32,75,67,17,86,79,74,9,24,75,54,65,56,90,68,87,70,0,0,0,0,[]
85,87,78,8,29,73,64,26,76,81,77,7,25,76,52,63,53,89,70,87,69,0,0,0,0,[]
86,83,82,6,33,66,64,37,66,82,82,10,18,76,53,94,5,89,74,84,66,0,0,0,0,[]
87,82,82,6,33,70,67,48,55,81,79,13,20,77,52,90,13,89,75,87,74,0,0,0,0,[]
88,81,77,3,92,74,59,51,52,79,71,11,19,77,52,82,19,90,76,88,74,0,0,0,0,[]
89,80,76,4,83,75,60,54,52,76,62,7,19,80,54,74,27,93,70,91,70,0,0,0,0,[]
90,88,75,5,72,81,57,53,48,80,64,7,19,84,63,66,34,93,70,89,70,0,0,0,0,[]
91,87,78,5,61,77,56,56,48,78,73,91,5,84,63,59,42,91,68,87,66,0,0,0,0,[]
92,83,79,7,50,79,55,66,56,75,65,85,8,78,54,56,43,83,62,82,58,0,0,0,0,[]
93,77,70,8,39,76,56,78,54,77,58,76,19,81,55,62,50,83,60,81,55,0,0,0,0,['7:45 RWHuaTian(岩雀) 击杀了 LGDbadeMan(德玛西亚皇子)']
94,86,65,9,28,85,64,77,61,79,63,72,28,83,56,60,49,88,68,79,54,0,0,0,0,['7:46 RWHuaTian(岩雀) 击杀了 LGDRD(河流之王)']
95,82,66,9,25,82,65,63,64,84,63,57,22,83,56,50,49,88,70,79,54,0,0,0,0,['7:52 RWZWuJi(皮城女警) 击杀了 LGDKramer(暴走萝莉)']
96,75,63,11,22,73,64,50,54,77,62,46,16,92,6,49,49,88,70,79,54,0,0,0,0,[]
97,79,73,14,21,67,69,47,53,69,67,30,18,77,12,51,50,88,70,94,13,0,0,0,0,[]
98,85,78,15,18,65,71,50,55,69,67,23,13,67,19,50,49,95,5,93,24,0,0,0,0,[]
99,87,76,16,15,65,70,50,58,69,68,21,10,57,23,49,47,94,11,92,36,0,0,0,0,[]
100,89,75,16,15,66,70,50,58,75,73,20,10,48,25,48,54,93,22,93,47,0,0,0,0,[]
101,86,77,16,15,65,65,57,66,80,74,23,8,47,25,46,55,93,33,92,59,0,0,0,0,['8:21 RW 击杀了风龙']
102,84,88,22,30,56,67,57,67,80,74,24,12,43,23,48,50,92,44,90,68,0,0,0,0,[]
103,83,89,28,35,56,67,4,95,7,94,26,10,44,16,47,50,91,54,90,72,0,0,0,0,[]
