,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,21,11,23,94,46,50,72,92,70,89,27,10,76,10,83,20,78,89,75,87,7293,0,6877,0,[]
57,20,10,35,92,48,59,69,91,71,88,26,8,68,18,74,28,78,89,78,83,7364,0,7018,0,[]
58,22,12,46,90,48,60,70,92,69,88,27,9,60,26,65,36,76,88,70,78,7525,0,7088,0,[]
59,17,10,54,85,2,96,68,91,71,91,29,8,48,34,55,42,78,82,76,76,7660,0,7178,0,[]
60,17,10,54,85,2,96,71,92,72,91,25,8,42,42,55,49,78,83,80,76,7759,0,7278,0,[]
61,4,91,51,84,50,58,71,92,72,88,22,9,42,45,55,51,85,84,72,68,7898,0,7382,0,[]
62,5,89,54,83,47,54,76,87,74,87,19,14,42,45,52,53,87,85,78,73,7968,0,7453,0,[]
63,9,78,52,84,48,57,78,85,78,88,18,15,42,42,54,49,87,85,79,75,8115,0,7560,0,[]
64,10,65,47,74,50,54,80,86,82,88,16,16,49,35,51,46,87,84,83,78,8229,0,7688,0,[]
65,11,53,47,66,51,54,80,84,85,86,16,21,49,33,51,46,88,78,86,79,8421,0,7782,0,[]
66,18,46,46,66,50,55,82,81,79,78,16,21,50,34,53,49,87,78,88,78,8516,0,7899,0,[]
67,13,35,39,65,52,53,84,79,80,75,94,4,49,34,50,46,89,75,89,76,8748,0,8096,0,[]
68,11,26,32,59,52,49,87,81,85,79,80,5,41,39,53,42,89,74,89,74,8854,0,8160,0,[]
69,12,23,32,47,50,52,88,80,85,77,69,6,45,43,52,45,91,75,89,74,9010,0,8246,0,[]
70,13,23,36,41,53,49,88,81,81,77,55,8,48,46,56,45,89,73,87,73,9082,0,8478,0,[]
71,12,24,48,48,49,49,85,88,72,70,44,9,53,49,54,46,90,69,85,66,9137,0,8575,0,[]
72,13,22,50,47,48,52,85,88,67,61,33,11,57,48,56,46,89,72,77,61,9222,0,8733,0,[]
73,14,21,51,50,54,52,8,95,63,57,19,15,60,49,55,45,87,77,69,63,9308,0,8798,0,[]
74,10,22,39,42,48,50,21,94,55,61,17,18,65,41,55,44,87,82,65,59,9467,0,8933,0,[]
75,13,20,32,37,49,49,32,93,58,70,17,16,66,51,57,44,85,84,56,57,9559,0,9067,0,[]
76,13,20,27,36,50,55,43,92,57,69,18,14,66,62,58,42,84,81,56,57,9726,0,9206,0,[]
77,16,18,23,37,45,53,54,91,57,69,28,12,64,59,61,41,84,80,58,55,9826,0,9265,0,[]
78,20,20,15,43,40,51,66,91,3,96,26,12,65,57,61,41,95,4,58,55,9927,0,9311,0,[]
79,21,14,17,44,40,51,74,88,11,95,25,8,95,4,95,4,93,13,93,5,10116,0,9367,0,[]
80,22,12,20,50,7,89,84,87,25,93,28,8,80,7,52,50,92,24,90,18,10206,0,9434,0,[]
81,24,13,22,54,14,80,80,89,40,92,28,9,70,9,48,48,91,35,89,28,10305,0,9519,0,[]
82,25,12,22,53,23,72,80,90,53,88,28,6,58,9,48,46,91,46,83,36,10458,0,9644,0,[]
83,24,10,25,51,32,64,78,85,66,83,29,8,47,11,50,46,91,57,80,47,10546,0,9737,0,[]
84,25,10,32,42,41,58,78,87,71,82,30,8,48,18,48,49,88,67,74,43,10778,0,9816,0,[]
85,24,9,39,29,42,52,79,86,72,83,26,9,41,18,49,48,86,78,77,50,10863,0,9934,0,[]
86,22,11,44,23,44,52,78,85,77,86,28,10,35,16,50,48,85,79,76,60,11026,0,10025,0,[]
87,18,15,43,24,41,52,81,83,81,85,25,10,28,21,47,49,87,82,85,66,11334,0,10136,0,[]
88,13,17,39,25,42,52,83,82,85,84,14,17,17,22,48,48,88,79,87,75,11398,0,10827,0,[]
89,11,15,29,21,32,46,83,83,87,84,17,15,16,15,50,47,90,78,88,75,11587,0,10899,0,"['7:22 DMOChanghong(狂暴之心) 击杀了 LNGFlandre(机械先驱),获得一血']"
90,11,15,30,20,30,37,86,85,88,84,24,11,21,11,52,45,88,77,89,76,11659,0,11047,0,[]
91,11,15,30,19,26,24,86,84,89,82,23,10,28,17,50,46,88,73,90,75,12221,0,11188,0,[]
92,11,15,27,14,28,17,90,81,85,78,25,8,29,18,50,46,90,74,89,74,12276,0,11416,0,['7:37 LNGSofM(虚空遁地兽) 击杀了 DMOXiaopeng(德玛西亚皇子)']
93,3,96,21,10,22,11,88,82,83,78,20,9,29,18,45,48,89,74,87,74,12860,0,11551,0,['7:44 LNGPlex(万花通灵) 击杀了 DMOChanghong(狂暴之心)']
94,40,58,23,10,22,13,86,82,80,75,20,9,29,18,45,52,88,77,89,75,13100,0,11686,0,[]
95,45,53,17,9,25,10,90,80,87,77,20,9,84,7,53,53,89,72,88,75,13150,0,11792,0,[]
96,45,51,17,9,25,10,85,83,78,75,20,9,73,14,52,52,89,74,88,72,13382,0,11857,0,[]
97,49,49,11,93,22,10,81,79,70,68,20,9,64,22,54,52,88,74,86,66,13479,0,11989,0,[]
98,48,52,24,88,17,13,81,80,58,59,81,6,56,30,55,48,88,71,82,66,13599,0,12095,0,[]
99,44,53,33,79,16,12,84,81,58,68,68,7,53,33,58,49,88,70,84,65,13748,0,12156,0,[]
100,44,45,47,74,12,13,84,81,67,78,52,7,55,32,58,49,89,76,88,74,13798,0,12351,0,[]
101,41,44,51,75,12,13,83,81,80,75,40,7,52,27,91,10,88,76,88,73,13995,0,12438,0,[]
102,48,49,55,76,7,88,84,80,80,75,26,9,61,36,81,20,89,76,84,66,14064,0,12526,0,[]
103,46,50,53,66,16,79,85,79,80,76,26,10,71,41,73,29,89,77,83,66,14243,0,12593,0,[]
104,48,49,48,65,26,70,81,79,80,75,19,16,69,39,65,36,90,76,82,66,14476,0,12717,0,[]
105,43,45,54,65,34,63,82,79,80,76,17,17,74,42,57,43,89,78,87,75,14567,0,12928,0,[]
106,41,36,63,59,44,57,82,81,82,83,15,15,76,48,57,43,87,78,86,78,14685,0,13104,0,[]
107,30,36,64,57,55,56,86,83,82,80,17,18,68,51,56,47,88,78,87,77,14736,0,13218,0,[]
108,19,36,59,56,56,54,83,84,82,80,9,26,63,51,57,49,88,80,86,79,14960,0,13450,0,[]
109,8,32,65,56,52,52,86,85,81,83,10,26,62,51,53,45,89,81,85,79,15153,0,13536,0,[]
110,8,28,66,49,52,51,86,86,82,80,9,23,66,47,57,46,89,80,89,81,15267,0,13608,0,[]
111,9,23,67,49,59,50,87,84,83,80,18,23,66,49,64,51,86,76,90,80,15864,0,13683,0,[]
112,9,22,61,52,65,51,83,84,79,75,25,23,66,50,65,51,87,76,90,76,15991,0,13754,0,['9:17 LNGPlex(万花通灵) 击杀了 DMOTwila(时光守护者)']
113,15,21,54,54,54,50,78,85,69,65,62,50,60,51,65,51,83,80,82,78,16105,0,13833,0,[]
114,23,13,62,59,49,53,79,83,62,63,53,45,62,50,65,51,83,80,78,74,16156,0,13934,0,[]
115,23,11,74,62,50,50,80,85,73,73,52,44,70,48,65,51,84,81,79,78,16283,0,13998,0,[]
116,20,12,83,69,48,52,85,85,84,78,52,47,79,54,65,51,90,79,87,77,16464,0,14074,0,[]
117,25,11,84,78,49,58,90,79,88,80,51,48,82,65,94,4,88,73,87,75,16543,0,14172,0,[]
118,26,10,74,78,48,57,85,87,82,85,46,38,77,62,87,16,86,76,85,80,16635,0,14294,0,[]
119,26,10,64,82,52,48,82,88,78,85,39,28,75,66,77,26,85,81,86,82,16867,0,14345,0,[]
120,18,15,59,84,49,50,79,84,79,89,30,19,79,75,69,34,86,86,83,89,17068,0,14393,0,[]
