,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
227,64,83,44,34,17,22,49,48,43,24,82,57,78,62,32,17,55,31,55,30,33431,3,28384,1,[]
228,73,77,31,38,17,21,50,46,51,21,87,67,75,63,41,9,59,36,91,5,33531,3,28436,1,[]
229,72,78,27,35,15,17,44,39,51,23,86,79,79,73,50,9,62,37,82,15,33791,3,28761,1,[]
230,70,84,27,23,15,16,51,32,49,21,84,81,78,72,54,11,59,33,76,27,33925,3,28882,1,[]
231,68,92,32,17,25,12,43,38,44,14,83,83,78,72,54,11,64,35,66,28,33977,3,28937,1,[]
232,70,91,41,17,38,15,48,47,51,24,73,77,83,6,82,6,63,25,60,23,34210,3,29077,1,[]
233,71,90,42,19,46,10,51,45,54,19,76,79,69,7,70,8,62,22,62,15,34460,3,29130,1,[]
234,62,94,44,16,45,8,51,44,51,20,84,87,61,12,57,8,66,28,63,15,34653,3,29202,1,[]
235,54,86,50,25,47,15,52,41,55,32,79,86,62,17,51,7,62,38,63,13,34711,3,29493,1,[]
236,60,85,51,31,50,22,54,42,55,32,79,86,65,26,54,9,67,32,64,23,34837,3,29765,1,[]
237,65,88,45,35,45,24,48,54,55,32,73,90,70,35,64,13,68,31,67,30,34931,3,29818,1,[]
238,69,91,31,37,39,23,49,65,9,95,76,90,73,43,64,17,68,31,71,39,35127,3,29920,1,[]
239,69,90,14,43,43,24,50,65,21,86,86,76,72,42,51,9,85,11,66,38,35263,3,30213,1,[]
240,60,85,15,43,37,18,48,54,29,73,87,69,62,36,48,9,76,20,63,37,35509,3,30264,1,[]
241,59,85,23,41,35,12,46,50,31,55,87,69,54,30,46,14,67,29,55,31,35645,3,30379,1,[]
242,71,88,35,39,35,17,46,50,35,41,83,9,52,21,47,17,61,36,51,21,35739,3,30575,1,[]
243,84,85,37,38,25,24,7,94,41,35,71,19,50,24,48,20,54,32,43,23,35852,3,30626,1,[]
244,79,87,36,41,24,37,10,93,39,38,60,26,45,33,53,29,50,32,50,32,35903,3,30678,1,[]
245,69,81,33,43,24,45,22,82,35,39,49,33,48,35,53,32,46,34,46,33,35955,3,30819,1,[]
246,71,78,33,44,23,39,31,71,32,42,47,37,44,38,46,39,50,45,43,35,36137,3,30979,1,[]
247,82,78,40,53,32,43,42,60,39,51,52,49,45,40,46,41,50,49,48,43,36259,3,31031,1,[]
248,88,74,42,52,34,43,47,54,46,53,57,49,56,46,56,46,55,47,59,48,36609,3,31082,1,[]
249,87,75,48,57,36,39,48,54,53,56,62,50,66,53,59,51,58,44,59,51,36793,3,31133,1,[]
250,85,77,55,65,41,44,51,54,52,54,74,50,66,55,64,52,59,45,65,53,36859,3,31214,1,[]
251,2,96,63,57,51,43,53,45,56,46,87,54,66,45,66,44,61,39,66,41,37017,3,31452,1,[]
252,17,89,65,56,60,50,56,54,64,51,86,53,62,38,64,39,58,39,59,38,37099,3,31609,1,[]
253,32,89,67,55,68,54,69,61,76,52,80,45,53,46,58,40,55,44,59,42,37164,3,31660,1,[]
254,43,83,74,61,74,56,74,59,73,61,78,36,50,50,50,47,50,45,48,47,37315,3,31739,1,[]
255,45,72,71,62,69,61,66,60,62,57,64,34,42,43,42,42,45,43,38,43,37367,3,31791,1,[]
256,40,61,58,55,62,51,59,58,52,50,56,40,36,39,38,42,50,42,37,39,37419,3,31847,1,[]
257,48,56,53,42,66,45,57,55,55,48,58,41,46,42,46,44,51,41,46,43,37508,3,32409,1,[]
258,55,42,54,41,54,41,52,48,52,44,58,42,52,43,54,49,60,38,54,42,38592,3,32522,1,['21:29 LGDLies(未来守护者) 击杀了 SNWeiwei(德邦总管)']
259,61,38,54,41,63,37,44,49,48,50,64,34,56,39,46,51,66,31,56,40,39112,3,33493,1,"['21:33 SNMaple(解脱者) 击杀了 LGDRD(末日使者)', '21:33 SNBiubiu(猩红收割者) 击杀了 LGDCondi(虚空遁地兽)']"
260,67,33,54,41,70,29,44,48,55,43,70,24,56,39,46,51,67,20,56,40,39168,3,34564,1,"['21:36 SNSmlz(虚空之女) 击杀了 LGDYuuki(离群之刺)', '21:36 LGDYuuki(离群之刺) 击杀了 SNSmlz(虚空之女)']"
261,67,33,54,41,68,28,44,48,64,34,71,27,56,39,46,51,70,25,56,40,39222,3,34633,1,['21:42 LGDKramer(战争女神) 击杀了 SNMaple(解脱者)']
262,64,38,54,41,68,28,44,48,60,38,67,32,56,39,46,51,67,29,56,40,39357,3,34830,1,[]
263,62,39,54,41,68,28,44,48,59,41,67,33,56,39,46,51,71,26,56,40,39470,3,34882,1,[]
264,60,49,54,41,68,28,44,48,49,46,62,37,56,39,46,51,66,32,56,40,39521,3,34996,1,[]
265,67,60,54,41,68,28,44,48,43,44,53,36,56,39,46,51,63,35,95,4,39573,3,35181,1,[]
266,73,67,16,89,68,28,44,48,43,44,53,31,86,9,46,51,64,33,84,15,39625,3,35254,1,[]
267,72,69,30,81,68,28,44,48,2,96,55,31,72,18,46,51,93,4,69,19,39802,3,35307,1,[]
268,70,79,43,79,68,28,8,94,15,80,55,31,59,27,93,9,85,14,57,27,39854,3,35359,1,[]
269,58,83,54,82,68,28,21,82,26,71,92,16,48,32,88,20,76,25,45,32,39984,3,35410,1,[]
270,60,85,57,84,7,87,31,71,31,55,91,34,36,38,76,25,68,34,39,37,40086,3,35471,1,[]
271,2,96,55,83,17,74,42,61,31,50,91,47,30,33,62,24,70,40,26,34,40169,3,35586,1,[]
272,10,81,50,78,28,68,50,52,33,42,90,61,39,27,50,21,64,39,30,22,40352,3,35707,1,[]
273,22,73,65,70,28,59,59,60,33,38,89,70,48,19,38,23,59,39,29,21,40435,3,36065,1,[]
274,36,75,64,71,23,55,66,65,41,40,91,63,44,15,27,17,54,31,29,21,40659,3,36196,1,[]
275,48,81,67,65,18,44,63,63,40,42,85,52,44,15,16,15,50,22,86,7,40711,3,36359,1,['22:53 SN 击杀了风龙']
276,60,86,54,57,19,44,53,53,25,37,80,41,46,15,15,13,55,20,70,16,40919,3,36522,1,[]
277,73,88,43,46,18,34,48,54,23,34,70,34,46,23,20,14,58,32,60,26,41042,3,36660,1,[]
278,76,87,34,36,13,20,47,67,26,25,64,36,52,32,31,20,58,34,55,34,41349,3,36707,1,[]
279,75,88,23,29,17,21,43,68,28,21,53,33,51,37,37,23,53,33,51,36,41519,3,36763,1,[]
280,71,85,32,36,26,30,41,61,27,31,61,34,52,37,42,32,57,39,52,37,41566,3,36839,1,[]
281,61,74,39,40,37,39,44,49,38,41,62,40,52,37,49,33,53,45,51,37,41696,3,36913,1,[]
282,53,63,42,38,44,37,47,50,47,46,57,42,52,37,51,37,56,43,51,37,41970,3,36991,1,[]
283,60,58,43,36,41,30,48,56,41,38,57,41,52,37,51,37,55,43,51,37,42034,3,37202,1,[]
284,53,57,32,34,32,21,47,71,40,36,56,33,51,37,51,37,54,32,51,38,42101,3,37253,1,[]
285,46,54,31,29,26,11,48,73,31,30,52,26,51,37,51,32,54,32,45,32,42378,3,37304,1,[]
286,54,46,38,37,29,20,51,65,36,37,46,14,51,37,55,32,54,32,49,32,42429,3,37408,1,[]
287,57,45,38,37,39,29,46,52,42,40,42,9,52,32,57,35,85,9,55,30,42565,3,37594,1,[]
288,46,44,32,32,34,31,37,40,47,37,44,9,44,24,57,43,71,18,47,24,42617,3,37687,1,[]
289,46,36,32,33,33,35,33,35,48,35,44,9,36,23,56,42,59,23,44,24,42697,3,37801,1,[]
290,43,42,37,37,41,34,36,36,43,36,90,10,30,20,53,37,46,22,52,21,42749,3,37852,1,[]
291,41,45,26,30,41,32,31,33,28,31,88,28,31,18,53,32,57,25,52,21,42831,3,37935,1,[]
292,48,48,35,39,42,39,31,34,37,36,89,43,41,18,58,35,58,38,56,31,42883,3,37989,1,[]
293,50,49,41,35,45,43,41,38,43,24,89,56,43,17,56,41,56,45,59,37,43018,3,38159,1,[]
294,49,49,42,25,48,41,44,24,49,22,84,52,46,14,59,35,57,40,56,33,43090,3,38273,1,[]
295,44,43,41,28,41,31,41,30,42,25,73,43,48,11,55,31,58,39,54,31,43142,3,38435,1,[]
296,32,35,33,35,41,32,30,21,32,21,62,36,57,15,54,31,54,32,53,30,43215,3,38488,1,[]
297,38,41,33,35,43,37,24,13,36,15,51,32,57,23,52,34,53,33,49,27,43399,3,38654,1,[]
298,43,45,32,38,38,43,27,22,29,21,52,27,55,31,55,41,59,35,43,24,43577,3,38705,1,[]
299,49,52,35,38,46,51,30,33,29,33,46,22,55,31,53,41,56,43,39,23,43732,3,38776,1,[]
300,50,53,34,38,46,48,32,34,38,40,54,21,55,31,59,37,57,41,38,24,43841,3,38927,1,[]
301,43,44,34,32,37,38,32,34,25,29,48,22,55,31,59,35,57,33,45,23,43896,3,38984,1,[]
302,43,45,35,28,38,38,34,31,30,18,41,25,83,6,55,32,47,24,45,23,43976,3,39033,1,[]
303,42,45,35,39,37,40,36,40,28,22,47,17,68,17,55,32,50,24,44,24,44025,3,39085,1,[]
304,42,45,35,39,32,43,45,51,25,27,38,8,57,23,85,12,50,32,44,24,44075,3,39241,1,[]
305,2,96,4,92,23,31,49,51,25,27,45,14,45,23,71,18,54,32,92,4,44218,3,39292,1,[]
306,20,90,13,74,14,19,49,51,14,89,47,17,42,16,59,23,56,41,74,13,44435,3,39507,1,[]
307,35,88,18,59,16,15,43,55,26,75,57,26,43,15,48,17,57,42,62,23,44530,3,39752,1,[]
308,49,88,24,55,20,26,43,55,36,63,64,34,43,18,40,15,66,39,55,35,44681,3,39821,1,[]
309,59,85,21,50,23,40,5,95,48,52,77,36,39,25,40,11,70,39,54,31,44812,3,40061,1,[]
310,61,83,15,44,23,45,20,83,54,46,82,48,46,24,45,10,61,38,56,33,45110,3,40223,1,[]
311,62,82,22,43,23,36,30,71,50,50,90,60,46,24,43,14,54,43,57,34,45181,3,40516,1,[]
312,72,78,32,41,21,23,41,61,44,52,87,54,90,5,35,14,52,46,52,34,45290,3,40730,1,[]
313,85,78,32,33,20,15,45,51,42,38,82,55,75,10,39,15,59,35,45,32,45606,3,40784,1,[]
314,86,77,34,31,18,14,50,50,49,47,83,58,64,21,41,15,51,25,52,27,45924,3,40921,1,[]
315,80,76,32,33,24,13,61,50,60,48,90,69,56,31,47,14,45,13,52,21,45976,3,41146,1,[]
316,88,71,42,43,27,15,73,49,75,49,83,62,50,23,56,23,41,9,51,21,46026,3,41372,1,[]
317,88,59,55,46,42,15,80,52,82,51,81,57,50,26,60,35,47,14,53,21,46570,3,41424,1,[]
318,88,63,54,46,52,19,77,54,77,52,82,60,52,20,53,29,53,21,54,20,46795,3,41522,1,['26:28 SNSmlz(虚空之女) 击杀了 LGDLies(未来守护者)']
319,89,62,59,40,46,16,78,49,67,47,82,60,45,15,48,18,49,18,53,18,47009,3,42043,1,['26:35 LGDCondi(虚空遁地兽) 击杀了 SNMaple(解脱者)']
320,87,53,66,34,48,18,71,41,67,40,82,60,54,21,56,22,51,20,57,25,47701,3,42094,1,[]
321,88,50,72,42,48,18,80,48,74,43,82,60,56,29,66,29,51,20,62,23,47752,4,42216,1,['26:41 SN 击破了防御塔']
322,92,42,76,49,48,18,88,48,71,49,82,60,44,33,67,31,94,13,60,24,48535,5,42402,1,['26:50 SNSmlz(虚空之女) 击破了防御塔']
323,89,48,61,50,48,18,79,50,56,50,82,60,41,36,60,37,91,31,60,24,48586,5,42540,1,[]
324,77,49,46,49,48,18,64,51,43,45,82,60,31,33,57,42,83,35,86,9,48636,5,42728,1,[]
325,64,51,35,39,48,18,56,46,34,36,82,60,36,28,53,36,69,34,72,22,48834,5,42779,1,[]
326,65,57,32,34,48,18,53,49,34,43,82,60,42,25,55,31,59,35,61,25,48884,5,42963,1,[]
327,54,64,33,36,48,18,45,54,34,43,82,60,53,29,55,22,59,33,55,31,48946,5,43019,1,[]
328,47,68,2,96,48,18,48,51,12,89,94,16,52,35,55,22,59,36,57,34,49046,5,43129,1,[]
329,54,64,6,90,3,94,51,51,23,74,92,38,52,34,89,14,64,36,67,36,49235,5,43446,1,[]
330,61,60,16,79,12,77,51,52,35,63,90,43,49,35,77,25,55,44,56,43,49405,5,43692,1,[]
331,66,56,27,69,25,70,50,55,48,56,78,35,48,39,68,34,57,40,54,41,49458,5,43834,1,[]
332,66,59,40,60,37,62,63,58,64,57,64,37,44,35,57,41,57,39,50,42,49509,5,43887,1,[]
333,78,63,54,62,46,52,65,56,66,47,59,47,42,33,56,48,57,42,56,48,49591,5,43940,1,[]
334,67,60,60,59,49,51,57,56,61,57,60,44,52,41,53,46,55,44,59,44,49673,5,43991,1,[]
335,69,61,60,58,45,50,50,52,49,52,58,44,62,40,57,44,55,42,58,43,50017,5,44112,1,[]
336,80,65,66,67,48,53,54,53,54,56,56,44,66,44,52,45,53,43,59,42,50145,5,44358,1,[]
337,88,60,66,69,53,60,63,63,64,61,53,51,64,51,54,51,53,49,55,51,50301,5,44442,1,[]
338,82,65,66,68,58,68,67,65,69,65,56,56,60,51,56,56,54,52,53,56,50453,5,44495,1,['28:10 SN 击杀了火龙']
339,82,65,57,58,50,61,59,59,59,58,56,42,48,46,46,48,48,40,51,44,50564,5,44546,1,[]
340,4,92,44,54,37,58,50,52,48,49,68,35,36,39,44,43,52,30,42,33,50658,5,44597,1,[]
341,6,73,39,44,41,54,51,49,38,42,83,35,36,31,48,33,55,32,43,25,50758,5,44819,1,[]
342,7,59,33,39,40,42,51,49,36,37,90,41,42,18,50,24,61,40,43,25,51054,5,44920,1,[]
343,8,50,38,37,40,34,42,45,36,36,91,40,42,16,43,16,65,38,89,5,51176,5,45321,1,[]
344,10,38,35,38,32,34,42,45,4,95,93,48,42,17,43,15,66,38,74,18,51275,5,45502,1,[]
345,8,37,2,96,35,29,12,94,13,79,94,54,42,18,36,15,68,39,64,25,51420,5,45663,1,[]
346,10,42,11,78,26,36,29,89,18,60,91,55,44,24,43,24,67,39,55,30,51557,5,45863,1,[]
347,12,46,17,63,13,34,42,88,21,47,91,48,42,23,43,24,92,5,49,26,51616,5,45915,1,[]
348,12,46,24,55,12,24,52,85,23,34,91,48,46,24,45,23,78,17,45,28,51892,5,45969,1,[]
349,19,94,25,52,16,15,49,83,19,24,89,6,52,31,45,24,69,28,53,29,52166,5,46020,1,[]
350,33,88,34,43,19,25,47,75,24,31,73,21,42,33,51,29,59,38,47,35,52317,5,46081,1,[]
351,38,75,34,39,28,34,39,64,35,39,62,32,48,40,50,32,50,47,47,39,52368,5,46288,1,[]
352,40,62,44,42,41,37,46,53,45,38,51,36,56,40,48,19,54,44,57,38,52567,5,46340,1,[]
353,39,50,41,32,38,28,49,49,41,32,55,31,55,32,47,9,57,39,55,32,52847,5,46455,1,[]
354,33,40,43,23,34,21,47,45,46,23,55,35,55,32,46,15,57,41,55,32,52918,5,46703,1,[]
355,34,35,41,31,28,11,36,37,41,27,55,32,54,32,54,20,58,32,57,28,53054,5,46754,1,[]
356,35,37,41,33,28,16,34,30,41,30,55,32,52,29,51,22,56,24,50,23,53225,5,46896,1,[]
357,33,31,42,32,36,25,31,33,42,25,57,34,55,32,52,28,57,33,51,28,53276,5,46948,1,[]
358,33,31,41,33,43,37,31,32,33,22,51,32,52,37,59,36,55,41,59,35,53329,5,47000,1,[]
359,35,30,31,33,37,39,32,34,38,28,42,38,43,32,47,40,44,39,49,40,53864,5,47053,1,[]
360,33,32,34,31,40,37,40,29,40,30,50,31,40,31,47,36,48,32,52,32,55456,5,47216,1,"['29:57 SNSmlz(虚空之女) 击杀了 LGDCondi(虚空遁地兽)', '30:0 SN 击杀了大龙']"
361,30,33,35,36,47,45,47,17,44,24,59,27,40,31,57,29,58,27,61,24,55626,5,47268,1,[]
362,27,22,41,27,48,50,34,12,51,21,60,23,40,31,60,24,62,16,59,23,55855,5,47320,1,[]
363,39,16,47,16,54,48,38,9,48,17,64,18,40,31,62,17,54,7,62,12,55908,5,47372,1,[]
364,45,11,47,7,59,45,49,6,46,11,57,8,40,31,55,9,52,8,56,13,56147,5,47467,1,[]
365,47,11,45,6,63,36,46,6,48,9,58,7,40,31,59,8,59,7,64,9,56324,5,47518,1,[]
366,52,11,50,10,59,40,53,7,52,9,67,11,40,31,65,18,73,7,77,6,56926,6,47660,1,['30:29 SNSwordArt(深海泰坦) 击破了防御塔']
367,48,11,46,12,58,44,47,16,47,10,59,8,40,31,69,29,87,6,92,6,56977,6,47816,1,[]
368,2,96,5,95,8,93,51,28,41,10,64,8,95,4,70,32,87,9,85,18,57029,6,47910,1,[]
369,10,94,5,95,15,76,41,32,1,95,58,7,86,23,71,32,74,21,78,30,57085,6,48137,1,[]
370,26,88,14,90,18,62,37,37,10,92,52,9,80,36,72,34,67,32,75,29,57134,6,48336,1,[]
371,40,89,30,81,21,48,11,91,25,79,59,8,79,50,72,34,60,39,67,34,57187,6,48437,1,[]
372,54,86,41,71,21,45,25,78,33,65,49,10,81,56,95,10,54,45,65,41,57433,6,48703,1,[]
373,69,80,48,66,14,42,35,67,43,56,36,16,72,63,81,23,64,37,71,34,57669,6,48804,1,[]
374,81,78,48,59,19,32,44,55,41,55,23,11,71,65,69,27,70,31,76,32,58082,6,49094,1,[]
375,85,81,53,52,19,21,53,51,49,50,30,8,80,56,65,26,70,31,80,29,58238,6,49145,1,[]
376,92,75,65,58,16,20,57,45,59,44,30,8,80,56,68,34,82,13,77,29,58535,6,49197,1,[]
377,93,72,67,48,19,22,57,46,66,47,95,4,95,4,79,36,71,25,84,26,58703,6,49249,1,[]
378,93,70,67,47,24,11,59,44,73,40,82,17,86,21,77,30,69,32,91,13,58966,6,49301,1,[]
379,92,59,72,43,22,12,68,43,61,40,69,11,80,31,69,28,70,28,89,14,59233,6,49445,1,[]
380,92,49,77,51,30,12,61,36,57,33,62,9,83,31,72,25,73,28,83,27,59315,6,49510,1,[]
381,91,44,76,52,40,15,64,36,59,27,64,18,82,31,76,28,77,29,80,32,59588,6,49561,1,[]
382,92,44,75,44,43,15,64,38,62,35,57,9,82,35,82,30,89,34,84,37,59957,6,49677,1,[]
383,92,46,74,43,52,11,68,40,69,34,59,7,79,36,84,28,89,37,79,37,60250,6,49988,1,[]
384,92,41,80,48,52,8,66,38,61,37,62,9,82,30,89,16,90,35,86,31,60422,6,50159,1,[]
385,89,41,78,40,56,11,70,28,70,27,62,8,81,30,92,7,84,30,81,28,60474,6,50210,1,[]
386,79,34,73,31,60,23,72,28,72,25,71,18,82,24,81,21,78,23,79,19,60852,7,50282,1,['32:10 SN 击破了防御塔']
387,85,36,74,33,64,16,71,26,69,26,75,19,81,27,76,24,79,25,84,23,60931,7,50384,1,[]
388,88,39,63,39,57,9,68,32,67,30,72,14,87,36,81,31,79,29,88,36,61247,7,51161,1,[]
389,88,40,65,37,57,13,69,31,68,30,64,7,90,41,81,33,88,38,89,34,61361,7,51389,1,['32:23 LGDRD(末日使者) 击杀了 SNBiubiu(猩红收割者)']
390,88,40,58,32,64,8,64,20,58,33,67,6,84,36,73,22,85,29,87,22,61883,7,51461,1,[]
391,88,40,63,18,63,9,66,6,64,20,71,8,78,25,70,12,77,18,76,15,62234,7,51511,1,['32:33 SNSmlz(虚空之女) 击杀了 LGDLies(未来守护者)']
392,88,40,70,7,68,13,71,6,70,12,71,8,78,20,76,16,77,10,75,19,62394,8,51651,1,['32:38 SNSmlz(虚空之女) 击破了防御塔']
393,88,40,73,9,72,20,72,9,72,13,71,8,76,25,76,26,80,13,82,14,62615,8,51806,1,[]
394,88,40,75,21,75,23,73,19,74,22,71,8,83,20,82,28,91,5,87,16,62891,8,51858,1,[]
395,88,40,73,31,80,35,72,30,74,31,71,8,87,30,85,28,85,9,93,6,63002,8,52085,1,[]
396,88,40,81,38,89,44,80,38,81,43,71,8,86,28,83,28,81,17,87,20,63155,8,52136,1,[]
397,88,40,87,36,91,48,89,39,87,50,71,8,93,28,72,28,84,28,80,30,63300,8,52190,1,[]
398,88,40,93,37,87,38,92,37,92,39,71,8,91,29,74,27,88,28,84,26,63353,8,52436,1,[]
399,88,40,91,40,86,37,93,41,90,43,71,8,94,28,77,26,90,32,86,30,63467,8,52614,1,[]
400,2,96,88,44,87,39,91,42,90,43,71,8,94,27,73,27,86,31,85,28,63747,8,52681,1,[]
401,62,40,87,38,87,37,91,33,92,36,71,8,94,27,80,30,87,28,85,27,63841,8,52795,1,[]
402,71,32,87,41,87,37,92,40,93,38,95,4,93,29,84,31,90,30,89,26,63933,8,52966,1,[]
403,69,33,87,46,87,42,92,42,90,47,82,21,84,28,75,29,83,31,82,28,64075,8,53177,1,[]
404,66,30,87,46,87,48,91,39,89,44,75,25,75,26,75,27,81,27,77,27,64128,8,53264,1,[]
405,67,34,87,48,92,39,92,42,89,43,67,18,78,25,86,18,74,21,87,17,64269,8,53347,1,[]
406,66,37,87,39,88,39,93,38,90,40,62,9,89,28,94,6,80,26,93,4,64453,8,53433,1,[]
407,68,33,89,31,86,31,93,32,92,30,71,15,92,24,90,19,86,25,82,22,64950,8,53500,1,[]
408,76,26,82,29,80,28,92,31,90,31,82,21,94,22,89,24,91,22,87,21,65063,9,53711,1,['33:56 SNSmlz(虚空之女) 击破了防御塔']
409,83,28,87,30,83,28,91,29,88,25,85,21,94,23,87,24,91,19,90,21,65115,9,53763,1,[]
410,85,27,90,32,85,27,92,29,89,30,84,20,93,20,89,22,85,20,88,20,65479,9,53844,1,[]
411,86,28,87,31,82,28,89,28,87,29,79,14,88,16,80,17,83,18,83,15,65644,9,54090,1,[]
412,79,24,75,25,74,21,83,28,80,29,80,15,87,19,87,8,85,19,82,16,65751,9,54143,1,[]
413,82,25,79,27,70,11,84,28,81,26,79,13,87,18,91,10,89,20,86,17,65978,9,54356,1,[]
414,80,23,75,26,76,18,79,23,78,23,80,9,89,18,84,14,88,17,87,14,66034,9,54462,1,[]
415,72,33,66,38,72,33,68,26,69,31,78,12,81,23,76,20,89,7,80,17,66115,9,54687,1,[]
416,70,41,66,54,74,43,55,22,56,41,79,9,76,26,76,26,86,6,76,23,66334,9,54813,1,[]
417,60,35,65,70,80,54,51,27,49,40,94,3,78,34,75,26,67,8,81,23,66473,9,55016,1,[]
418,52,30,66,69,78,56,55,17,50,32,89,14,74,34,77,28,59,9,72,28,66959,9,55069,1,[]
419,54,18,65,70,67,67,63,7,54,18,69,12,69,22,68,20,67,13,67,16,67053,9,55121,1,['34:53 SNSmlz(虚空之女) 击杀了 LGDKramer(战争女神)']
420,60,10,66,69,67,67,60,7,59,8,67,15,67,16,67,14,67,13,67,15,67293,9,55218,1,[]
421,61,7,66,60,67,67,63,5,64,9,63,10,63,6,64,6,67,13,61,8,67798,9,56942,1,"['35:5 LGDYuuki(离群之刺) 击杀了 SNSmlz(虚空之女)', '35:2 SN 击杀了火龙']"
422,64,10,66,45,63,8,63,5,64,10,64,8,60,6,63,9,67,13,56,9,67849,9,57034,1,"['35:9 SNBiubiu(猩红收割者) 击杀了 LGDRD(末日使者)', '35:9 LGDYuuki(离群之刺) 击杀了 SNBiubiu(猩红收割者)']"
423,64,10,68,30,60,10,63,5,64,15,65,11,60,8,60,10,67,13,56,9,68849,9,57085,1,"['35:15 SNMaple(解脱者) 击杀了 LGDLies(未来守护者)', '35:15 SNMaple(解脱者) 击杀了 LGDYuuki(离群之刺)']"
424,64,10,71,17,64,6,63,5,64,9,65,11,64,8,60,10,67,13,56,9,69455,9,57137,1,['35:20 SNSwordArt(深海泰坦) 击杀了 LGDCondi(虚空遁地兽)']
425,64,10,81,17,74,10,63,5,75,12,65,11,64,8,60,10,67,13,56,9,69506,9,57190,1,[]
426,64,10,85,15,84,13,63,5,85,13,65,11,64,8,60,10,67,13,56,9,70059,9,57242,1,[]
427,64,10,87,14,88,14,63,5,85,13,65,11,64,8,60,10,67,13,56,9,70109,11,57293,1,"['35:33 SNWeiwei(德邦总管) 击破了防御塔', '35:33 SN 击破了防御塔']"
428,64,10,85,14,90,11,63,5,85,13,65,11,64,8,60,10,67,13,56,9,70130,11,57314,1,[]
429,64,10,85,14,90,11,63,5,85,13,65,11,64,8,60,10,67,13,56,9,70130,11,57314,1,['35:45 SN 获胜']
