,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,7,25,37,43,46,53,10,96,84,87,11,24,78,71,51,48,88,74,88,75,6764,0,6992,0,[]
57,8,28,47,45,51,51,21,94,81,90,10,23,79,74,52,50,86,76,83,79,6842,0,7128,0,[]
58,8,29,58,46,57,46,32,93,81,90,8,24,79,74,59,44,87,77,83,79,7621,0,7236,0,"['4:50 SNWeiwei(德邦总管) 击杀了 LGDYuuki(离群之刺),获得一血']"
59,8,30,49,51,51,48,43,92,82,88,7,25,91,5,59,44,87,73,83,78,7783,0,7288,0,[]
60,8,29,52,47,50,46,57,91,81,89,9,24,80,13,59,44,87,73,89,81,7953,0,7339,0,[]
61,8,30,48,58,51,46,68,90,81,90,11,21,73,22,95,7,94,9,89,81,8036,0,7394,0,[]
62,10,22,48,65,47,50,75,90,81,90,16,17,66,32,87,16,94,12,95,7,8138,0,7466,0,[]
63,9,25,46,64,47,50,72,89,9,96,11,20,59,40,79,24,93,23,93,17,8210,0,7566,0,[]
64,8,25,46,64,6,89,72,91,19,94,10,22,55,43,70,32,92,34,92,28,8296,0,7631,0,[]
65,7,27,6,90,14,81,80,91,30,93,9,20,52,32,61,41,90,45,91,39,8346,0,7732,0,[]
66,8,26,11,79,24,73,82,88,41,92,10,19,49,20,52,47,89,56,90,50,8436,0,7801,0,[]
67,7,26,16,68,33,66,74,88,51,91,11,21,42,18,51,48,88,67,90,61,8536,0,7915,0,[]
68,7,24,18,56,42,57,75,90,62,90,11,19,42,17,50,48,85,78,87,72,8628,0,8067,0,[]
69,9,27,14,44,47,50,77,89,64,83,8,20,43,16,52,48,80,85,84,83,8714,0,8266,0,[]
70,9,28,15,44,47,51,76,90,73,84,11,21,44,16,52,47,80,85,79,79,8765,0,8501,0,[]
71,8,30,19,48,45,52,76,90,75,88,9,24,49,21,50,50,82,85,82,83,9025,0,8584,0,[]
72,7,31,24,57,46,52,78,90,76,87,9,24,51,32,50,48,83,82,85,85,9171,0,8656,0,[]
73,9,31,26,59,47,53,80,88,76,86,10,24,51,33,49,50,84,82,83,80,9501,0,8820,0,[]
74,8,30,31,59,42,54,81,87,78,86,9,24,51,34,47,53,85,81,85,80,9608,0,8982,0,[]
75,8,28,39,63,42,53,82,87,78,85,10,21,47,35,45,52,86,80,85,79,9721,0,9055,0,[]
76,8,29,48,66,43,55,83,86,79,83,8,24,37,38,43,45,87,80,85,79,9868,0,9246,0,[]
77,8,29,60,63,45,55,85,84,80,79,11,24,38,38,36,37,87,76,90,75,9980,0,9318,0,[]
78,8,30,70,64,47,53,84,80,78,74,10,26,50,35,25,34,89,74,89,73,10084,0,9366,0,[]
79,5,33,72,71,46,52,83,78,80,76,12,22,59,47,28,35,90,73,91,74,10219,0,9466,0,[]
80,5,33,68,82,48,51,90,78,86,78,10,24,66,55,39,37,88,73,88,74,10354,0,9637,0,[]
81,7,30,55,82,58,57,90,80,85,79,18,16,69,63,50,41,90,74,90,72,10460,0,9716,0,[]
82,9,28,55,84,62,61,88,80,80,75,18,16,76,57,57,43,89,73,90,71,10715,0,9820,0,[]
83,7,29,56,82,66,63,81,77,76,70,95,4,76,62,56,46,91,74,91,72,10828,0,9941,0,[]
84,7,30,55,83,58,60,78,71,74,68,90,5,78,56,52,48,91,76,88,75,10909,0,9992,0,[]
85,2,96,50,82,50,53,74,74,72,69,87,5,77,62,52,46,89,74,86,82,10990,0,10100,0,[]
86,4,89,52,75,48,51,79,83,77,79,73,6,72,52,53,47,89,75,87,78,11041,0,10165,0,[]
87,5,83,51,75,48,51,83,85,81,83,61,8,65,41,53,47,88,76,86,77,11321,0,10241,0,[]
88,6,72,55,75,50,49,88,84,87,85,49,9,57,33,52,47,87,76,90,77,11441,0,10334,0,[]
