,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDKui, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,30,65,42,25,42,46,79,85,83,86,56,42,43,16,16,10,84,81,79,77,0,0,0,0,[]
59,37,56,48,20,2,96,81,87,79,86,55,43,45,12,21,9,83,82,79,80,0,0,0,0,[]
60,46,49,45,14,2,96,79,87,78,86,55,46,53,11,24,11,81,82,79,84,0,0,0,0,[]
61,51,48,44,15,21,12,80,87,79,87,55,45,53,11,24,9,85,82,85,81,0,0,0,0,[]
62,53,47,38,15,16,15,80,86,86,86,56,46,94,5,21,13,85,79,89,83,0,0,0,0,[]
63,49,41,36,15,19,14,84,85,86,87,56,43,92,9,20,10,87,80,90,81,0,0,0,0,[]
64,42,32,36,14,21,13,83,86,87,83,59,40,87,20,21,9,88,76,91,75,0,0,0,0,[]
65,39,24,35,11,23,12,85,83,83,81,59,40,82,30,23,9,88,73,89,75,0,0,0,0,[]
66,36,15,29,11,21,12,89,82,81,82,94,5,80,42,25,8,89,74,87,74,0,0,0,0,[]
67,27,18,27,21,23,21,88,79,85,79,28,11,78,53,25,15,93,73,88,72,0,0,0,0,[]
68,21,21,24,33,22,32,88,79,83,82,23,11,75,64,29,12,86,75,87,73,0,0,0,0,[]
69,18,20,21,44,23,34,84,86,77,87,19,10,79,75,29,12,82,82,82,87,0,0,0,0,[]
70,20,28,16,44,2,96,78,90,77,88,20,11,79,88,92,9,79,85,78,85,0,0,0,0,[]
71,19,26,16,44,9,85,72,93,75,92,20,11,76,91,91,11,77,87,78,88,0,0,0,0,[]
72,84,89,20,50,17,78,75,91,77,88,19,11,84,89,81,88,81,86,80,88,0,0,0,0,[]
73,84,89,23,55,27,70,70,90,73,89,13,18,85,88,80,87,85,82,83,84,0,0,0,0,"['6:2 FPXGimGoon(½âÍÑÕß) »÷É±ÁË LGDKui(Ðé¿Õ¶ÝµØÊÞ),»ñµÃÒ»Ñª', '6:2 LGDKramer(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË FPXGimGoon(½âÍÑÕß)']"
74,84,89,23,55,35,63,68,92,69,91,12,19,85,88,79,79,83,81,83,82,0,0,0,0,[]
75,84,89,21,50,45,55,63,94,69,91,10,18,94,6,73,69,81,83,82,83,0,0,0,0,[]
