,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
55,16,16,55,84,47,51,82,86,81,86,19,13,76,45,54,46,86,81,85,81,6903,0,7062,0,[]
56,13,20,49,77,48,51,82,85,80,85,15,13,89,6,54,47,85,82,86,82,7011,0,7178,0,[]
57,15,17,50,68,51,49,83,86,80,85,16,12,81,15,52,48,88,83,87,84,7256,0,7346,0,[]
58,11,16,58,69,49,50,82,89,80,85,17,15,77,25,60,44,85,83,85,82,7399,0,7477,0,[]
59,9,20,57,68,41,53,79,86,80,88,15,18,65,26,60,44,82,83,82,83,7484,0,7572,0,[]
60,5,28,47,64,44,53,81,86,79,87,10,21,51,21,95,4,85,82,85,82,7649,0,7650,0,[]
61,6,26,48,66,45,53,79,90,77,88,9,23,42,16,51,48,84,79,84,79,7838,0,7715,0,[]
62,9,23,50,66,47,50,78,89,79,87,12,18,45,16,51,47,87,69,87,69,8012,0,7788,0,[]
63,9,23,56,62,46,49,77,89,73,85,11,18,33,17,53,46,87,71,87,71,8064,0,7860,0,[]
64,10,22,60,61,46,46,77,88,73,85,14,19,39,17,55,48,87,74,87,74,8159,0,7953,0,[]
65,10,22,51,60,50,51,75,89,5,96,15,16,44,16,60,52,81,83,81,83,8210,0,8091,0,[]
66,10,22,47,56,54,49,71,90,9,95,12,18,38,17,59,48,77,88,76,87,8291,0,8244,0,[]
67,9,23,47,51,54,49,72,91,21,92,12,17,43,17,57,47,78,89,77,86,8364,0,8402,0,[]
68,12,21,53,47,55,48,72,91,33,93,14,17,45,16,56,45,75,87,77,86,8521,0,8516,0,[]
69,10,23,44,52,47,53,73,92,46,93,12,17,45,16,52,47,77,86,77,86,8595,0,8643,0,[]
70,10,23,33,49,39,54,72,92,57,93,12,17,42,16,50,50,77,87,77,86,8738,0,8836,0,[]
71,11,20,23,51,38,56,70,92,70,91,14,14,31,18,52,49,80,84,77,87,8849,0,8972,0,[]
72,14,16,24,56,38,56,74,92,72,90,17,14,24,26,51,48,86,76,84,79,9133,0,9122,0,[]
73,11,20,20,51,40,57,76,88,75,89,14,14,19,24,50,50,86,76,86,76,9284,0,9215,0,[]
74,9,21,18,46,39,57,80,84,78,87,13,16,12,22,58,58,95,8,94,5,9398,0,9266,0,[]
75,5,29,14,36,41,55,80,87,81,85,6,27,11,22,63,63,93,18,93,18,9554,0,9937,0,"['6:15 EDGJinoo(–…∫Ï ’∏Ó’ﬂ) ª˜…±¡À BLGADD(±©≈≠∆Ô ø),ªÒµ√“ª—™']"
76,6,29,16,34,46,54,81,90,80,86,11,20,18,19,66,53,92,30,92,30,9600,0,10013,0,[]
77,6,29,20,27,48,50,81,90,80,86,14,11,28,22,63,50,91,40,91,40,9689,0,10072,0,[]
78,6,29,19,25,48,49,4,96,6,95,14,11,39,28,59,51,90,52,90,52,9785,0,10118,0,[]
79,9,94,20,14,50,49,7,96,16,93,95,4,44,33,54,49,89,63,89,63,9851,0,10184,0,[]
80,21,90,20,11,40,50,18,95,29,89,24,11,51,35,49,49,88,73,88,73,9903,0,10417,0,[]
81,31,90,21,12,40,50,29,94,41,89,25,12,53,33,52,47,83,78,83,78,9982,0,10626,0,[]
82,43,89,14,17,4,92,40,93,52,88,22,13,58,34,52,47,85,81,85,81,10042,0,10753,0,[]
83,54,88,11,26,7,87,50,91,64,88,22,13,67,42,91,6,86,76,86,76,10095,0,10804,0,[]
84,65,88,14,36,16,78,61,89,76,88,22,12,66,54,83,13,87,75,87,75,10147,0,10920,0,[]
85,76,89,16,43,25,70,71,88,82,83,23,12,65,61,75,21,86,76,86,76,10198,0,10993,0,[]
86,81,91,18,45,35,63,81,84,81,86,25,11,70,64,68,30,86,78,86,78,10358,0,11208,0,[]
87,83,89,19,48,45,55,83,83,84,83,23,11,75,67,60,38,89,80,89,80,10477,0,11314,0,[]
88,83,89,30,50,46,53,82,83,81,84,23,11,77,72,54,46,89,78,89,78,10529,0,11422,0,[]
