,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
224,12,37,8,86,45,91,50,59,41,45,8,18,87,8,58,41,90,12,91,6,30585,1,33603,1,[]
225,10,37,20,83,57,89,49,55,46,51,8,18,72,11,59,47,81,23,85,13,30665,1,33654,1,[]
226,8,33,32,80,70,89,49,58,55,61,89,4,57,11,73,52,70,31,76,21,30790,1,33706,1,[]
227,8,35,41,76,80,85,48,52,60,62,85,5,44,16,76,52,59,39,68,30,31032,1,33767,1,[]
228,14,38,49,73,84,78,46,54,53,60,72,6,44,16,78,53,50,48,60,39,31104,1,33974,1,[]
229,15,41,47,73,88,77,45,54,45,54,58,8,44,16,75,49,53,49,53,49,31355,1,34220,1,[]
230,15,42,47,65,78,74,45,53,46,54,45,10,46,16,75,45,53,47,53,47,31561,1,34437,1,[]
231,20,46,51,65,71,65,44,52,47,50,31,11,47,25,76,45,47,38,47,40,31688,1,34573,1,[]
232,27,50,61,61,75,68,49,53,51,51,19,15,51,33,81,49,51,27,51,31,31740,1,34836,1,[]
233,33,43,66,56,75,69,51,50,52,48,18,22,58,44,88,50,58,34,58,34,32018,1,34902,1,[]
234,35,38,66,52,66,58,51,49,51,50,28,23,52,36,87,51,55,45,55,45,32297,1,35055,1,[]
235,42,39,57,49,61,49,53,48,53,47,40,28,52,35,79,41,58,43,58,43,32410,1,35196,1,[]
236,32,36,44,52,67,58,47,51,44,46,42,35,47,35,70,41,57,46,57,46,32469,1,35425,1,[]
237,22,27,34,59,57,61,39,58,39,49,44,37,47,40,66,48,58,48,58,50,32541,1,35571,1,[]
238,13,22,23,55,59,72,39,58,39,49,44,38,55,53,64,58,54,54,55,55,32790,1,35746,1,[]
239,12,22,21,48,56,75,11,91,11,93,43,44,54,63,64,57,50,52,50,52,32863,1,35886,1,[]
240,19,13,22,47,47,73,19,78,17,79,41,35,47,54,64,57,49,54,49,54,33015,1,35986,1,[]
241,22,11,25,51,39,64,30,67,27,70,40,21,38,51,92,6,43,52,42,54,33160,1,36082,1,[]
242,20,15,32,45,37,56,40,58,40,56,33,11,48,47,78,19,48,50,49,48,33233,1,36287,1,[]
243,24,27,39,42,44,53,44,49,44,47,26,8,50,41,70,30,56,40,56,40,33406,1,36375,1,[]
244,28,21,41,33,41,43,42,45,42,38,29,18,49,42,58,38,50,44,50,44,33458,1,36426,1,[]
245,27,21,40,31,31,35,41,40,37,40,28,17,51,46,54,42,50,48,50,48,33540,1,36610,1,[]
246,23,28,39,31,25,26,32,45,32,52,27,22,48,53,48,51,47,53,47,53,33595,1,36704,1,[]
247,23,37,33,43,24,38,32,60,31,65,25,30,40,58,36,57,40,59,39,57,33647,1,37278,1,[]
248,21,48,32,50,21,50,34,63,37,64,35,37,44,53,44,58,45,56,45,56,33790,1,37329,2,['20:37 EDGiBoy(∞µ“π¡‘ ÷) ª˜∆∆¡À∑¿”˘À˛']
249,22,48,32,50,32,54,36,61,36,60,39,44,56,57,54,65,51,54,51,54,34036,1,37381,2,[]
250,3,95,7,89,32,54,40,56,40,58,34,42,61,66,63,76,47,48,47,48,34118,1,37479,2,[]
251,18,85,18,77,31,58,38,58,42,57,33,36,67,79,74,87,46,51,46,51,34172,1,37649,2,[]
252,28,85,27,69,38,64,41,59,41,57,22,28,68,80,69,91,48,52,48,52,34266,1,37806,2,[]
253,38,89,31,58,39,59,42,58,42,55,14,19,95,4,71,91,55,46,55,46,34432,1,38438,2,[]
254,51,91,32,46,35,48,46,50,48,48,15,18,78,12,78,83,55,46,55,46,34534,1,38550,3,['21:6 EDGScout(Ω‚Õ—’ﬂ) ª˜∆∆¡À∑¿”˘À˛']
255,58,92,34,38,25,50,46,47,47,47,16,18,64,21,78,70,61,40,61,40,34720,1,38604,3,[]
256,63,89,40,36,13,48,41,45,36,37,92,6,53,30,84,59,61,40,61,40,34833,1,38653,3,[]
257,74,87,39,39,8,43,41,45,25,28,76,11,50,34,84,60,85,10,88,8,34899,1,38788,3,[]
258,83,86,40,41,8,30,12,90,26,30,61,12,44,33,79,66,74,22,74,22,34950,1,38839,3,[]
259,84,83,40,36,11,20,21,76,34,37,50,18,43,32,79,74,65,33,65,33,35164,1,38891,3,[]
260,86,82,41,34,11,17,32,65,39,38,38,15,47,33,86,81,55,42,55,42,35334,1,39088,3,[]
261,84,85,40,33,19,24,43,56,39,37,32,16,49,33,83,83,51,51,51,51,35615,1,39203,3,[]
262,79,85,43,43,28,33,42,55,42,47,27,10,52,44,78,86,58,58,58,58,35695,1,39495,3,[]
263,74,78,43,43,38,41,49,51,48,48,28,18,58,48,77,80,69,67,69,67,35747,1,39740,3,['21:52 EDGScout(Ω‚Õ—’ﬂ) ª˜…±¡À BLGADD(±©≈≠∆Ô ø)']
264,69,77,43,43,41,40,48,47,44,45,37,23,56,44,70,79,72,76,72,76,35926,1,40039,3,['21:59 EDGScout(Ω‚Õ—’ﬂ) ª˜…±¡À BLGADD(±©≈≠∆Ô ø)']
265,69,77,40,36,41,30,41,37,38,38,50,26,53,48,76,88,67,65,67,65,36040,1,40264,3,[]
266,69,77,27,35,33,36,38,39,34,41,51,34,53,45,79,87,57,55,57,55,36163,1,40350,3,[]
267,69,77,25,38,21,27,31,51,33,49,46,36,48,42,79,87,48,50,48,50,36299,1,40400,3,[]
268,82,89,22,51,15,48,41,56,35,62,22,38,22,41,86,20,42,45,22,41,36382,1,40452,3,[]
269,82,89,31,51,7,43,39,51,30,53,27,34,33,40,81,33,42,45,34,41,36525,1,40585,3,[]
270,82,89,26,56,10,38,39,59,21,46,39,38,45,52,74,43,48,48,47,48,36610,1,40753,3,[]
271,13,95,22,54,11,27,38,60,22,40,49,35,47,55,76,47,48,52,48,52,36783,1,41007,3,[]
272,28,93,31,48,12,19,36,62,24,39,47,35,46,57,68,51,45,55,45,55,37009,1,41251,3,[]
273,40,91,37,42,11,23,32,65,24,39,38,27,49,65,55,50,51,63,51,62,37212,1,41403,3,[]
274,51,89,35,40,11,28,33,64,2,96,28,17,50,61,42,46,50,61,51,62,37263,1,41514,3,[]
275,54,84,24,38,11,28,32,64,5,87,19,13,42,56,41,45,43,54,43,54,37415,1,41776,3,[]
276,58,84,24,39,8,86,35,63,20,74,17,14,34,54,33,43,38,52,39,52,37501,1,41857,3,[]
277,58,84,21,38,17,75,32,66,31,66,14,21,30,45,23,43,32,43,32,44,37737,1,41952,3,[]
278,65,83,14,43,18,62,40,59,34,59,11,34,24,39,15,41,23,39,24,39,37803,1,42003,3,[]
279,77,87,9,50,20,52,39,55,31,52,20,36,31,33,23,42,30,35,29,36,37975,1,42084,3,[]
280,78,82,21,51,31,47,31,54,31,49,29,32,30,30,32,34,31,31,30,36,38030,1,42137,3,[]
281,72,70,31,46,34,43,31,45,32,44,32,32,31,29,34,36,30,30,30,28,38083,1,42210,3,[]
282,68,67,36,36,36,36,35,38,34,39,34,37,34,30,30,33,31,28,33,36,38158,1,44642,3,[]
283,36,38,35,31,36,39,36,38,34,41,35,40,33,32,37,36,32,35,35,40,38209,1,44806,3,"['23:33 EDGScout(Ω‚Õ—’ﬂ) ª˜…±¡À BLGJinjiao(«Ÿ…™œ…≈Æ)', '23:34 EDGiBoy(∞µ“π¡‘ ÷) ª˜…±¡À BLGMeteor(¡›∂¨÷Æ≈≠)', '23:31 EDG ª˜…±¡À¥Û¡˙']"
284,38,51,35,31,44,49,36,38,31,48,41,45,32,44,40,44,36,42,39,44,38259,1,45262,3,[]
285,39,53,35,31,47,63,36,38,31,58,47,57,31,57,42,57,41,55,42,55,38312,1,45337,3,['23:42 EDGiBoy(∞µ“π¡‘ ÷) ª˜…±¡À BLGADD(±©≈≠∆Ô ø)']
286,39,53,35,31,48,74,36,38,25,70,40,60,36,61,46,71,36,61,44,69,38367,1,45928,3,[]
287,39,53,35,31,50,76,36,38,20,76,34,68,35,66,43,78,32,64,43,78,38419,1,46530,3,['23:52 EDGScout(Ω‚Õ—’ﬂ) ª˜…±¡À BLGKuro(ªƒƒÆÕ¿∑Ú)']
288,39,53,35,31,50,76,36,38,9,86,25,65,32,67,37,76,27,68,35,74,38470,1,46580,4,['23:58 EDG ª˜∆∆¡À∑¿”˘À˛']
289,39,53,35,31,50,76,36,38,3,96,17,56,23,74,52,78,25,71,25,72,38522,1,46953,4,[]
290,39,53,35,31,50,76,3,96,13,86,9,45,24,76,54,76,22,74,22,74,38575,1,47028,5,['24:8 EDGiBoy(∞µ“π¡‘ ÷) ª˜∆∆¡À∑¿”˘À˛']
291,39,53,5,95,50,76,15,83,14,81,8,55,23,77,52,75,22,73,23,77,38673,1,47250,5,[]
292,39,53,18,83,50,76,23,78,18,77,8,59,31,71,58,77,27,73,32,70,38865,1,47587,5,[]
293,39,53,24,71,50,76,22,73,23,72,7,54,40,62,69,68,32,66,40,62,39101,1,48188,6,['24:25 EDGJinoo(–…∫Ï ’∏Ó’ﬂ) ª˜∆∆¡À∑¿”˘À˛']
294,6,78,30,74,50,76,10,68,17,60,95,4,93,7,83,66,42,56,93,5,39256,1,48268,6,[]
295,8,67,41,78,2,96,16,70,18,53,88,8,83,25,83,58,95,4,89,16,39358,1,48321,6,[]
296,8,55,53,78,17,86,24,76,22,66,78,12,80,32,83,56,83,8,80,31,39439,1,48459,6,[]
297,7,45,63,78,26,73,26,73,23,71,78,24,78,50,94,6,69,17,78,51,39769,1,48510,6,[]
298,8,45,63,82,33,69,34,65,34,66,85,36,72,64,86,23,56,23,71,64,39942,1,48561,6,[]
299,14,48,57,84,35,61,37,57,48,66,87,50,66,70,81,36,51,31,66,70,39995,1,48713,6,[]
300,15,43,57,84,44,56,40,58,50,61,88,64,67,70,78,51,39,37,67,70,40270,1,48855,6,[]
301,16,44,7,88,42,57,32,59,41,60,85,77,67,69,73,52,33,37,67,70,40472,1,49284,6,['25:5 EDG ª˜…±¡À∑Á¡˙']
302,21,48,16,79,32,59,22,51,31,58,81,82,68,80,60,56,46,47,65,77,40524,1,49421,6,[]
303,22,41,26,85,38,65,19,49,31,56,73,88,64,83,55,57,54,54,63,83,40576,1,49473,6,[]
304,22,41,34,85,35,68,18,54,32,70,58,90,55,80,53,64,57,65,55,80,40727,1,49637,6,[]
305,7,95,38,89,33,70,19,67,33,81,53,89,43,78,52,65,55,76,43,79,40779,1,49747,6,[]
306,24,93,38,91,2,96,11,81,36,87,48,92,47,76,49,52,47,73,47,73,40835,1,49953,6,[]
307,36,90,41,90,18,94,8,93,36,91,47,92,55,84,42,57,46,68,45,68,40886,1,50755,6,[]
308,34,91,33,89,32,93,24,93,35,93,43,93,54,84,36,64,46,80,46,79,40993,1,50846,7,['25:37 EDGJinoo(–…∫Ï ’∏Ó’ﬂ) ª˜∆∆¡À∑¿”˘À˛']
309,32,92,29,88,30,92,34,92,34,94,40,90,50,81,27,72,41,88,41,87,41149,1,51049,7,[]
310,28,89,26,85,25,89,29,93,30,92,40,94,39,86,25,77,39,90,39,91,41222,1,51254,7,[]
311,25,89,27,88,25,90,29,95,27,93,33,93,33,86,29,83,35,89,34,89,41497,1,51352,7,[]
312,33,86,31,91,31,89,33,90,30,93,37,92,35,86,32,90,36,91,36,91,41565,1,51795,7,['26:0 EDGiBoy(∞µ“π¡‘ ÷) ª˜…±¡À BLGJinjiao(«Ÿ…™œ…≈Æ)']
313,29,86,28,93,31,93,33,90,28,94,27,88,34,92,32,91,34,91,32,91,41617,1,52560,7,[]
314,29,86,13,93,32,93,33,90,17,96,23,89,37,88,24,93,22,89,23,93,41668,1,52752,7,"['26:6 EDGiBoy(∞µ“π¡‘ ÷) ª˜…±¡À BLGKuro(ªƒƒÆÕ¿∑Ú)', '26:7 EDGJinoo(–…∫Ï ’∏Ó’ﬂ) ª˜…±¡À BLGADD(±©≈≠∆Ô ø)']"
315,29,86,2,96,32,93,33,90,14,95,16,88,35,87,14,94,12,94,14,94,41720,1,53396,7,['26:14 EDGScout(Ω‚Õ—’ﬂ) ª˜…±¡À BLGXinMo(…Ó∫£Ã©Ãπ)']
316,29,86,0,97,32,93,33,90,14,95,11,86,19,86,8,91,12,89,13,91,41775,1,53990,8,['26:20 EDGiBoy(∞µ“π¡‘ ÷) ª˜∆∆¡À∑¿”˘À˛']
317,29,86,1,96,32,93,33,90,14,95,6,90,12,90,5,91,7,92,11,92,41828,1,54064,9,['26:21 EDGJinoo(–…∫Ï ’∏Ó’ﬂ) ª˜∆∆¡À∑¿”˘À˛']
318,29,86,2,95,32,93,33,90,14,95,5,92,13,89,11,85,4,91,12,85,41878,1,54164,9,[]
319,29,86,,0,32,93,33,90,14,95,,0,,0,16,85,4,91,16,85,41878,1,54164,9,[]
320,29,86,,0,32,93,33,90,14,95,,0,,0,16,85,4,91,16,85,41878,1,54164,9,['26:40 EDG ªÒ §']
