,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,9,21,27,70,42,54,83,88,81,86,13,17,70,79,58,46,86,81,88,82,0,0,0,0,[]
59,7,29,33,64,47,52,78,85,77,87,9,25,72,83,59,45,84,79,83,86,0,0,0,0,[]
60,9,29,41,67,51,52,73,89,73,89,10,25,77,87,95,4,79,87,75,88,0,0,0,0,[]
61,7,30,52,65,49,49,74,87,75,89,10,26,80,84,95,4,82,85,82,84,0,0,0,0,[]
62,8,29,65,57,49,54,80,83,81,84,13,21,86,76,57,43,88,79,91,82,0,0,0,0,[]
63,10,26,73,50,59,57,82,82,82,79,12,22,86,65,57,43,89,77,91,81,0,0,0,0,[]
64,8,25,81,48,68,52,80,81,81,80,14,20,84,62,59,44,88,80,91,81,0,0,0,0,[]
65,6,27,82,49,78,50,78,78,80,75,15,22,84,61,54,44,88,80,90,81,0,0,0,0,[]
66,10,26,84,59,83,56,74,71,77,68,15,22,83,58,55,48,86,81,88,73,0,0,0,0,[]
67,11,25,86,64,87,65,75,77,78,64,94,4,89,62,53,50,87,73,89,68,0,0,0,0,"['5:32 OMGicon(符文法师) 击杀了 FPXTian(狂战士),获得一血']"
68,10,25,73,64,76,71,80,85,79,72,95,5,89,62,50,47,88,83,87,79,0,0,0,0,[]
69,12,24,60,62,70,79,80,86,79,83,17,23,95,6,48,48,86,85,85,81,0,0,0,0,[]
70,8,24,49,65,70,79,78,87,80,86,11,19,93,17,49,50,85,85,86,82,0,0,0,0,[]
71,8,26,45,68,5,95,78,86,79,89,12,21,86,26,44,54,84,86,83,81,0,0,0,0,[]
72,9,28,43,68,14,90,74,89,76,89,11,22,81,36,45,53,81,80,75,72,0,0,0,0,[]
73,11,27,43,68,22,81,77,85,80,83,11,22,80,47,43,54,75,72,66,65,0,0,0,0,[]
74,9,28,47,70,29,72,77,87,80,87,12,21,74,44,41,54,73,69,62,61,0,0,0,0,[]
75,7,24,36,66,36,62,80,88,81,87,13,21,75,44,42,55,80,77,72,69,0,0,0,0,[]
76,8,27,47,67,39,60,80,89,73,86,12,21,70,48,44,55,81,83,80,77,0,0,0,0,[]
77,7,31,58,70,40,55,72,84,70,77,18,23,65,56,45,54,84,84,81,81,0,0,0,0,[]
78,8,30,50,78,40,55,75,89,73,86,11,25,58,64,48,52,87,84,79,75,0,0,0,0,[]
79,6,31,55,84,43,54,78,87,81,89,10,25,56,74,51,53,87,84,79,75,0,0,0,0,[]
80,10,33,59,84,45,52,81,85,81,85,12,21,54,67,53,52,95,4,89,6,0,0,0,0,[]
81,19,37,59,84,37,59,82,86,80,85,9,23,54,76,48,54,86,80,81,17,0,0,0,0,[]
82,18,34,66,82,39,55,83,88,81,91,7,25,54,76,47,55,82,81,73,29,0,0,0,0,[]
83,8,32,61,77,38,59,80,90,81,91,10,24,53,76,47,54,82,82,66,41,0,0,0,0,[]
84,7,31,60,83,45,52,69,90,2,96,8,25,57,73,54,58,82,84,65,57,0,0,0,0,[]
85,8,30,59,85,45,47,68,90,13,95,13,22,53,63,47,51,76,87,54,61,0,0,0,0,[]
86,16,35,59,85,38,43,66,92,25,94,21,28,45,55,40,44,77,88,43,52,0,0,0,0,[]
87,12,35,61,85,30,49,66,92,37,93,24,38,36,49,34,43,78,86,29,50,0,0,0,0,[]
88,11,23,61,85,29,49,3,96,49,91,23,40,45,51,39,43,78,87,35,42,0,0,0,0,['7:16 FPXTian(狂战士) 击杀了 OMGicon(符文法师)']
89,11,17,7,94,29,49,68,92,61,91,25,31,54,51,49,46,78,81,50,48,0,0,0,0,[]
90,12,15,21,85,29,49,71,89,71,87,20,23,55,57,55,46,73,71,61,50,0,0,0,0,[]
91,8,17,32,80,8,93,74,88,74,89,14,20,62,61,55,47,68,63,66,60,0,0,0,0,[]
92,11,16,43,77,17,86,79,87,79,85,18,18,66,68,54,48,70,66,68,68,0,0,0,0,[]
93,10,18,58,75,25,77,81,88,73,86,16,19,67,68,55,53,68,67,64,70,0,0,0,0,[]
94,8,22,60,69,32,67,78,81,72,75,13,19,67,67,57,55,66,67,67,67,0,0,0,0,[]
95,6,26,65,72,40,59,73,73,69,68,10,23,65,71,61,59,63,69,67,67,0,0,0,0,['7:51 FPX 击杀了火龙']
96,5,30,65,73,47,54,73,73,73,73,9,26,70,68,69,67,70,68,72,70,0,0,0,0,['7:56 FPXTian(狂战士) 击杀了 OMGWorld6(德玛西亚皇子)']
97,7,33,65,73,46,50,79,77,78,71,11,22,68,63,66,58,77,62,74,59,0,0,0,0,[]
98,14,40,65,73,44,51,88,76,79,72,12,21,64,59,60,51,76,57,74,59,0,0,0,0,[]
99,9,32,9,83,42,44,90,77,86,77,11,21,67,52,53,47,80,56,95,7,0,0,0,0,[]
100,9,28,14,72,43,48,90,77,87,74,11,23,78,50,59,46,85,64,94,13,0,0,0,0,[]
101,8,31,18,61,48,52,91,74,91,74,9,25,82,59,61,50,93,67,93,27,0,0,0,0,[]
102,9,30,18,49,49,47,91,74,91,75,9,21,75,54,63,50,90,68,91,42,0,0,0,0,[]
103,11,27,16,44,50,46,88,77,85,79,13,21,75,53,72,50,89,70,89,56,0,0,0,0,[]
104,13,34,18,45,44,44,84,84,84,88,15,16,74,59,65,50,89,74,87,68,0,0,0,0,[]
105,18,30,25,46,33,44,83,82,83,84,14,17,76,69,58,46,88,79,90,77,0,0,0,0,[]
106,12,34,24,47,29,45,75,91,75,90,12,17,78,80,59,45,82,83,77,87,0,0,0,0,[]
