,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,15,12,52,88,32,67,83,80,83,83,95,4,90,5,68,31,90,79,88,77,0,0,0,0,[]
59,12,12,57,82,40,60,86,82,85,82,29,8,78,6,62,40,90,75,88,75,0,0,0,0,[]
60,2,96,56,82,45,52,85,87,84,88,26,9,67,8,59,50,93,71,91,63,0,0,0,0,[]
61,5,86,56,82,49,51,85,87,84,88,26,10,55,8,54,45,92,73,92,62,0,0,0,0,[]
62,6,71,56,82,49,52,2,96,84,88,20,14,44,15,53,43,91,69,95,4,0,0,0,0,[]
63,7,59,56,81,51,54,82,82,7,92,18,13,46,15,52,43,95,4,87,16,0,0,0,0,[]
64,8,48,49,74,59,57,83,82,18,88,18,13,45,15,58,42,95,4,80,24,0,0,0,0,[]
65,9,36,46,65,55,53,83,82,28,83,21,12,47,16,57,44,90,72,80,35,0,0,0,0,[]
66,9,27,48,65,51,51,86,81,36,75,20,22,49,19,55,46,90,73,80,47,0,0,0,0,[]
67,7,24,55,64,51,52,88,78,45,68,24,32,51,30,55,44,89,71,76,57,0,0,0,0,[]
68,9,22,58,55,54,48,84,79,56,68,23,42,49,35,55,42,90,75,72,64,0,0,0,0,[]
69,9,22,60,56,54,50,85,78,61,63,19,33,47,34,57,43,91,75,81,66,0,0,0,0,[]
70,8,22,66,52,54,49,85,78,68,66,16,21,41,33,57,42,91,73,89,70,0,0,0,0,[]
71,7,24,60,58,55,48,84,78,74,61,12,21,41,42,55,43,92,73,90,72,0,0,0,0,[]
72,9,26,51,59,54,48,81,77,78,62,11,22,43,44,55,42,92,71,88,70,0,0,0,0,[]
73,10,23,44,50,55,47,85,80,79,75,11,24,37,40,59,41,87,73,87,72,0,0,0,0,[]
74,9,23,41,37,53,43,83,84,82,84,14,21,41,35,60,40,89,82,87,79,0,0,0,0,[]
75,17,22,41,36,42,37,82,82,83,84,24,26,39,25,53,42,89,82,88,81,0,0,0,0,[]
76,11,22,30,36,42,42,85,81,86,84,19,24,52,27,54,52,90,81,90,79,0,0,0,0,[]
77,12,21,25,33,51,50,88,79,89,82,18,20,60,35,58,56,92,75,91,75,0,0,0,0,[]
78,13,20,27,37,56,56,90,74,87,78,17,14,70,41,66,55,91,69,92,71,0,0,0,0,[]
79,16,21,19,40,55,50,88,78,87,80,14,11,71,40,59,48,88,70,91,73,0,0,0,0,[]
80,15,17,15,43,51,48,84,81,85,82,15,11,70,39,57,42,90,76,89,75,0,0,0,0,[]
81,14,13,16,43,48,50,84,82,88,80,19,13,61,35,57,43,88,73,88,74,0,0,0,0,[]
82,15,13,19,44,56,43,91,76,90,74,21,11,54,33,62,41,91,68,90,69,0,0,0,0,[]
83,15,14,26,37,52,48,90,74,89,74,19,12,53,29,57,44,93,68,91,70,0,0,0,0,[]
84,16,15,22,29,50,55,91,74,90,76,20,13,52,28,55,46,90,69,89,67,0,0,0,0,[]
85,20,11,20,21,48,50,90,78,86,78,20,10,52,30,54,47,90,67,86,66,0,0,0,0,[]
86,18,14,24,22,48,48,85,82,86,81,21,9,42,32,56,46,80,66,85,66,0,0,0,0,[]
87,20,12,30,20,41,41,85,80,87,79,26,6,44,27,57,43,73,65,85,66,0,0,0,0,[]
88,20,10,30,20,31,37,89,78,90,78,30,6,48,17,58,42,72,70,89,70,0,0,0,0,[]
89,26,12,35,16,24,31,92,74,91,72,32,6,43,9,57,44,84,66,91,70,0,0,0,0,[]
90,28,11,30,15,26,24,90,75,88,73,29,8,45,6,50,40,92,68,90,68,0,0,0,0,[]
91,28,9,27,9,27,12,90,73,90,75,27,7,40,6,50,47,92,68,92,62,0,0,0,0,"['7:35 VGJay(Äº¹âÐÇÁé) »÷É±ÁË BLGADD(Ê¥´¸Ö®Òã),»ñµÃÒ»Ñª']"
92,24,11,18,10,33,22,90,76,89,77,27,7,34,6,50,49,92,68,92,62,0,0,0,0,[]
93,25,13,16,9,39,31,87,77,88,77,27,7,34,6,51,52,90,70,95,4,0,0,0,0,[]
94,17,12,2,96,42,41,88,74,88,75,27,7,25,8,51,52,90,68,95,4,0,0,0,0,[]
95,15,11,14,94,44,48,89,74,89,76,27,7,29,8,90,7,89,69,90,69,0,0,0,0,[]
96,2,96,26,93,46,50,87,75,89,77,86,4,38,14,89,6,89,69,91,72,0,0,0,0,[]
97,5,88,38,92,49,52,86,78,88,81,73,6,42,17,75,20,89,72,87,67,0,0,0,0,[]
98,9,76,49,89,44,56,81,82,81,84,60,7,43,18,61,37,88,79,88,76,0,0,0,0,[]
99,8,65,55,82,40,59,81,82,82,82,47,9,43,17,51,47,88,82,88,78,0,0,0,0,[]
100,7,54,55,83,37,61,83,81,88,82,34,11,42,16,45,56,91,75,89,76,0,0,0,0,[]
