,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDRD, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
235,55,30,68,61,82,58,58,46,67,46,83,37,67,50,66,18,66,49,68,36,0,3,0,0,[]
236,58,31,77,56,88,70,62,40,69,42,95,4,67,50,68,29,66,49,67,30,0,3,0,0,[]
237,64,31,83,57,87,63,64,36,67,34,90,13,67,50,72,29,66,49,75,28,0,3,0,0,[]
238,64,31,75,53,82,51,64,35,66,36,85,23,67,50,73,29,66,49,70,30,0,3,0,0,[]
239,59,33,74,59,86,53,59,40,64,41,88,35,67,50,72,30,66,49,69,30,0,4,0,0,['19:53 FPXCrisp(深海泰坦) 击破了防御塔']
240,51,26,68,67,88,53,56,45,57,46,90,47,92,5,80,32,66,49,73,32,0,4,0,0,[]
241,40,17,66,69,93,58,56,45,57,46,90,44,82,19,77,32,87,6,80,39,0,4,0,0,[]
242,38,10,66,70,94,53,16,91,4,95,90,46,71,27,67,32,70,7,78,37,0,4,0,0,[]
243,48,8,66,71,93,53,29,83,15,81,90,50,70,28,68,28,57,7,69,30,0,4,0,0,['20:14 FPXDoinb(万花通灵) 击杀了 LGDLies(机械先驱)']
244,46,8,67,63,94,53,39,76,27,70,90,50,58,23,55,21,54,10,59,23,0,4,0,0,['20:17 FPX 击杀了土龙']
245,34,11,69,64,90,51,46,72,37,58,90,50,47,23,56,23,57,15,49,22,0,4,0,0,[]
246,31,16,67,63,89,49,49,65,48,49,90,50,43,24,60,35,55,17,41,26,0,4,0,0,[]
247,23,12,67,63,92,54,49,58,47,51,90,50,36,23,55,42,48,18,30,22,0,4,0,0,[]
248,17,13,8,86,93,53,53,48,49,48,90,50,33,18,60,40,41,15,30,19,0,4,0,0,[]
249,15,11,17,73,92,51,55,41,51,43,90,50,41,15,63,35,39,10,36,16,0,4,0,0,[]
250,16,10,18,60,90,48,60,38,42,34,90,50,54,20,67,29,47,15,36,16,0,4,0,0,[]
251,29,10,22,54,92,52,62,38,41,31,94,12,64,26,71,30,56,21,87,8,0,5,0,0,['20:51 FPXDoinb(万花通灵) 击破了防御塔']
252,35,10,22,53,92,52,55,41,41,32,92,28,64,26,80,27,67,28,77,20,0,5,0,0,[]
253,31,18,23,47,2,96,44,35,34,35,90,31,64,26,67,19,67,32,71,29,0,5,0,0,[]
254,38,26,23,45,33,36,35,31,35,30,90,33,63,25,56,10,65,26,62,24,0,5,0,0,[]
255,31,30,29,34,33,35,35,28,37,36,90,45,58,28,46,8,60,27,57,28,0,5,0,0,[]
256,31,29,33,31,41,29,35,28,41,32,90,43,48,32,48,15,52,32,49,33,0,5,0,0,[]
257,35,31,33,32,44,24,36,29,42,36,89,43,57,29,56,18,56,32,51,31,0,5,0,0,[]
258,36,31,41,36,34,23,35,30,49,43,89,55,60,24,57,14,67,39,62,35,0,5,0,0,['21:26 FPX 击杀了大龙']
259,5,94,39,24,20,19,40,42,48,50,88,68,60,24,95,4,68,40,66,44,0,5,0,0,[]
260,22,93,31,17,24,13,51,45,51,47,87,75,84,13,86,14,64,39,67,43,0,5,0,0,[]
261,35,92,41,18,38,11,51,42,53,41,88,75,73,22,71,13,61,38,65,38,0,5,0,0,[]
262,50,91,41,17,45,9,47,35,55,44,88,71,61,25,57,10,60,40,61,40,0,5,0,0,[]
263,63,90,48,15,46,10,44,39,52,43,88,71,59,25,54,7,63,33,58,31,0,5,0,0,[]
264,74,89,50,17,50,10,54,41,58,39,84,6,63,22,57,10,66,29,62,23,0,5,0,0,[]
265,83,84,54,21,46,11,65,38,55,32,73,15,64,13,52,7,69,31,62,16,0,5,0,0,[]
266,86,75,59,23,55,12,65,35,59,28,63,21,63,22,61,10,71,26,62,19,0,6,0,0,['22:6 FPX 击破了防御塔']
267,88,62,60,24,57,13,70,30,63,22,64,21,67,20,64,10,75,22,69,20,0,6,0,0,[]
268,90,50,63,22,58,11,67,30,65,24,67,19,75,21,68,19,84,13,71,19,0,6,0,0,['22:17 FPXTian(狂战士) 击杀了 LGDLies(机械先驱)']
269,89,44,68,31,62,13,70,33,67,30,67,19,77,26,73,24,94,4,76,25,0,6,0,0,[]
270,88,34,64,18,65,7,66,30,66,23,67,19,73,20,73,28,78,9,75,28,0,6,0,0,[]
271,91,29,65,12,64,7,70,32,66,24,67,19,71,12,71,19,73,11,71,18,0,7,0,0,['22:35 FPXDoinb(万花通灵) 击破了防御塔']
272,89,28,73,9,71,12,72,29,68,26,67,19,76,18,75,25,78,22,76,21,0,7,0,0,[]
273,89,26,73,9,74,13,66,34,66,33,67,19,73,28,75,26,77,26,76,25,0,8,0,0,['22:41 FPXGimGoon(解脱者) 击破了防御塔']
274,89,28,76,18,79,21,71,33,72,32,67,19,72,31,81,28,86,22,80,26,0,8,0,0,[]
275,82,28,77,20,79,23,70,32,75,33,67,19,74,27,76,27,82,20,78,26,0,8,0,0,[]
276,84,28,77,19,82,31,72,33,78,29,91,12,72,25,78,26,84,27,81,24,0,8,0,0,"['22:56 FPXGimGoon(解脱者) 击杀了 LGDRD(巨魔之王)', '23:0 FPXCrisp(深海泰坦) 击杀了 LGDYuuki(天启者)']"
277,87,24,86,23,78,30,84,26,84,24,85,19,72,25,78,27,89,20,85,21,0,8,0,0,['23:1 LGDKramer(战争女神) 击杀了 FPXDoinb(万花通灵)']
278,92,27,85,28,78,30,83,26,87,30,87,20,72,25,78,27,88,17,92,19,0,8,0,0,[]
279,88,34,76,26,78,30,76,24,82,33,80,17,72,25,78,27,91,11,86,22,0,9,0,0,['23:15 FPX 击破了防御塔']
280,89,29,70,28,78,30,73,31,72,33,74,20,72,25,78,27,93,6,79,26,0,9,0,0,[]
281,80,25,76,24,78,30,76,26,77,25,78,16,72,25,78,27,83,17,80,18,0,9,0,0,[]
282,75,28,70,25,78,30,71,30,76,26,77,20,90,12,78,27,81,21,82,23,0,9,0,0,[]
283,66,35,64,37,78,30,68,40,66,39,69,12,81,21,78,27,81,24,84,24,0,9,0,0,[]
284,3,95,2,96,78,30,4,96,2,96,58,8,76,25,95,4,76,27,90,13,0,9,0,0,[]
285,8,95,18,88,78,30,17,88,6,95,48,7,71,21,86,21,72,24,95,4,0,9,0,0,[]
286,23,83,31,81,4,92,30,81,23,84,49,7,63,22,81,33,81,33,86,18,0,9,0,0,[]
287,30,70,40,72,18,79,39,72,35,76,49,6,68,19,86,37,90,41,74,26,0,9,0,0,[]
288,40,59,47,65,29,69,49,65,48,66,51,6,80,14,88,38,90,39,73,33,0,9,0,0,[]
289,48,49,56,58,41,59,61,63,57,60,51,6,92,6,78,33,75,35,75,33,0,9,0,0,[]
290,56,40,57,46,52,50,74,62,67,54,93,5,84,19,67,32,67,33,69,31,0,9,0,0,[]
291,62,35,65,36,61,39,81,55,66,40,87,20,75,27,72,23,69,28,74,27,0,9,0,0,[]
292,70,34,68,31,68,34,86,51,67,32,80,30,79,30,84,14,79,26,78,29,0,9,0,0,[]
293,74,29,72,24,79,34,89,45,75,29,82,25,83,23,85,16,81,23,83,28,0,9,0,0,[]
294,83,25,78,27,85,29,88,32,79,28,89,20,87,19,92,9,87,19,88,20,0,9,0,0,[]
295,87,20,84,22,82,19,89,26,83,23,92,17,87,14,87,14,89,16,87,14,0,9,0,0,[]
296,94,18,89,18,84,20,93,22,87,20,91,12,91,12,87,14,90,11,91,10,0,9,0,0,[]
297,91,18,87,16,79,15,86,18,83,19,92,7,88,9,86,12,85,11,91,8,0,9,0,0,[]
298,88,16,85,12,80,15,80,15,91,14,89,9,84,11,85,7,84,7,88,9,0,11,0,0,"['24:46 FPXLwx(圣枪游侠) 击破了防御塔', '24:49 FPXLwx(圣枪游侠) 击破了防御塔']"
299,87,14,85,12,85,14,82,9,90,14,92,9,86,8,92,11,88,7,92,9,0,11,0,0,[]
300,91,12,85,12,85,14,82,7,93,12,91,9,84,7,92,12,88,8,91,9,0,11,0,0,"['24:56 FPXLwx(圣枪游侠) 击杀了 LGDRD(巨魔之王)', '24:57 LGDKramer(战争女神) 击杀了 FPXLwx(圣枪游侠)']"
301,91,12,85,12,85,14,82,7,93,12,91,9,84,7,92,12,88,8,91,9,0,11,0,0,['25:5 FPX 获胜']
