,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,3,97,2,98,1,97,2,95,94,5,95,5,95,2,96,4,93,4,0,0,0,0,[]
2,3,94,3,95,5,96,4,96,3,94,93,5,93,5,92,4,94,4,94,5,0,0,0,0,[]
3,3,94,4,95,5,96,4,95,4,94,92,4,93,5,93,5,95,4,94,6,0,0,0,0,[]
4,14,74,18,76,20,81,25,90,24,84,71,9,72,17,80,21,85,24,80,23,0,0,0,0,[]
5,18,51,31,58,35,64,48,88,42,70,48,10,54,31,62,36,80,46,66,40,0,0,0,0,[]
6,23,34,34,40,45,52,68,81,51,66,30,18,47,35,52,47,72,63,63,58,0,0,0,0,[]
7,20,28,35,39,46,52,73,76,52,65,30,22,46,35,55,48,70,63,63,60,0,0,0,0,[]
8,20,28,34,39,46,52,70,77,50,66,29,22,42,32,55,50,72,64,58,55,0,0,0,0,[]
9,20,27,35,39,39,55,73,74,50,66,30,21,46,37,50,52,63,62,50,52,0,0,0,0,[]
10,20,27,35,39,44,52,73,75,49,67,29,22,46,35,53,49,70,63,61,57,0,0,0,0,[]
11,20,27,36,39,45,52,73,75,49,67,30,22,47,34,54,48,70,62,61,57,0,0,0,0,[]
12,20,27,35,39,44,52,72,77,47,72,29,21,46,34,52,52,70,61,52,52,0,0,0,0,[]
13,26,33,35,39,40,53,71,78,56,76,30,22,47,34,52,51,68,61,51,52,0,0,0,0,[]
14,34,38,35,39,45,52,71,77,70,78,30,21,47,35,51,46,64,57,62,58,0,0,0,0,[]
15,35,38,35,39,47,46,79,75,78,75,29,21,50,31,48,39,66,62,70,63,0,0,0,0,[]
16,34,38,35,38,45,42,79,75,79,75,35,23,49,26,46,36,57,63,57,63,0,0,0,0,[]
17,39,37,41,36,45,42,79,75,78,73,44,24,46,24,47,37,60,63,60,63,0,0,0,0,[]
18,42,32,50,31,46,40,83,78,79,75,49,21,51,21,50,42,65,63,65,63,0,0,0,0,[]
19,51,31,52,30,44,44,89,80,80,75,52,21,53,21,51,45,74,70,74,70,0,0,0,0,[]
20,49,32,52,33,47,50,83,84,81,84,50,26,53,28,50,43,82,78,82,78,0,0,0,0,[]
21,45,34,47,36,49,50,82,85,81,85,49,33,49,35,48,41,87,80,87,80,0,0,0,0,[]
22,34,35,38,40,50,50,81,85,81,85,51,26,51,27,53,44,86,81,87,83,0,0,0,0,[]
23,25,29,30,48,49,50,83,83,82,83,40,24,48,25,54,46,86,77,86,77,0,0,0,0,[]
24,16,22,26,58,48,49,88,76,87,76,30,20,49,23,54,46,89,70,89,70,0,0,0,0,[]
25,15,18,27,60,48,52,87,75,89,76,22,14,50,25,54,46,93,71,93,71,0,0,0,0,[]
26,12,16,29,59,50,51,87,77,90,77,18,15,51,26,53,47,92,72,92,72,0,0,0,0,[]
27,13,19,30,59,50,51,87,79,89,79,19,15,59,35,55,44,90,72,92,73,0,0,0,0,[]
28,16,18,36,63,50,51,89,78,88,78,18,10,70,42,55,45,90,70,92,71,0,0,0,0,[]
29,15,17,45,66,56,54,88,76,88,77,21,11,75,43,55,45,90,69,90,69,0,0,0,0,[]
30,16,16,47,63,52,50,88,74,89,75,20,12,76,45,52,44,91,68,89,69,0,0,0,0,[]
31,14,15,50,65,52,49,87,79,85,80,20,11,77,46,52,47,92,73,92,73,0,0,0,0,[]
32,15,12,47,68,43,54,81,83,82,84,21,13,78,50,47,48,87,81,87,81,0,0,0,0,[]
33,16,14,49,77,45,52,82,84,82,82,21,13,77,52,50,48,87,79,85,79,0,0,0,0,[]
34,14,13,53,83,45,52,83,85,82,85,19,12,77,52,50,52,86,79,86,79,0,0,0,0,[]
35,17,16,55,85,46,52,84,85,82,84,18,10,77,52,49,47,86,78,86,78,0,0,0,0,[]
36,19,16,59,84,45,53,85,80,85,80,25,10,83,56,48,47,89,75,89,75,0,0,0,0,[]
37,22,12,59,83,45,52,87,78,87,79,27,7,82,56,50,48,93,73,93,73,0,0,0,0,[]
38,22,10,67,82,44,56,86,78,88,77,24,7,83,55,49,50,92,73,93,74,0,0,0,0,[]
39,18,13,73,73,39,56,86,80,81,77,25,9,76,58,43,48,88,73,88,73,0,0,0,0,[]
40,21,12,73,63,42,57,85,78,79,74,28,10,77,53,43,45,87,73,87,73,0,0,0,0,[]
41,14,12,70,64,43,54,77,71,74,67,18,12,70,49,95,4,91,68,91,68,0,0,0,0,[]
42,7,21,68,64,44,55,79,74,78,71,10,17,53,43,87,9,89,69,92,72,0,0,0,0,[]
