,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,V5Aliez, ,V5Ben4, ,V5y4, ,V5Max, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
236,62,86,28,48,21,45,37,65,32,61,83,84,41,36,55,44,54,44,46,48,33627,1,37248,3,[]
237,61,91,23,48,23,46,38,59,34,47,84,85,44,33,42,43,42,46,41,35,33914,1,37305,3,[]
238,61,90,21,48,16,42,43,56,40,53,84,85,41,40,37,41,37,42,46,24,34000,1,37489,3,[]
239,55,91,21,48,14,36,40,58,38,52,91,10,48,47,50,49,47,46,51,28,34072,1,37683,3,[]
240,55,91,8,87,10,37,37,59,31,53,84,20,43,54,47,51,45,53,42,36,34207,1,37779,3,[]
241,54,92,17,78,5,35,41,58,40,58,79,31,36,49,41,45,45,51,29,33,34474,1,37863,3,[]
242,57,89,26,69,8,42,34,59,39,54,68,33,31,50,27,38,38,43,19,35,34657,1,37930,3,[]
243,54,89,30,60,14,41,32,52,31,56,55,32,18,44,17,34,32,41,14,38,34738,1,38550,3,[]
244,59,90,24,52,14,44,32,50,35,49,43,36,18,43,18,34,24,41,21,43,34933,1,38622,3,['20:17 V5Windy(疾风剑豪) 击杀了 IGRookie(解脱者)']
245,53,86,36,48,14,44,43,52,43,51,32,34,26,36,24,40,30,39,29,34,35310,1,38674,3,[]
246,45,72,47,48,14,44,46,47,48,46,32,32,33,31,32,33,34,32,34,31,35364,1,38728,3,[]
247,39,61,46,39,14,44,43,44,42,38,32,31,34,31,36,30,32,32,34,31,35446,1,40335,3,[]
248,44,49,47,39,14,44,45,48,41,39,35,36,41,40,35,36,34,37,32,34,35501,1,40388,3,['20:37 V5 击杀了大龙']
249,46,45,46,47,14,44,47,51,45,51,47,47,46,47,44,45,46,48,42,42,36862,1,40467,3,[]
250,48,49,43,44,14,44,45,51,47,49,44,45,46,47,45,43,43,45,49,48,37488,1,41039,3,"['20:49 IGNing(影流之镰) 击杀了 V5Aliez(荒漠屠夫)', '20:49 IGLucas(深海泰坦) 击杀了 V5Ben4(凛冬之怒)', '20:50 V5Windy(疾风剑豪) 击杀了 IGLucas(深海泰坦)', '20:50 IGNing(影流之镰) 击杀了 V5Max(河流之王)']"
251,46,50,46,48,14,44,47,48,47,49,44,45,46,47,52,46,43,45,46,47,37547,1,42191,3,['20:55 V5Windy(疾风剑豪) 击杀了 IGJackeyLove(战争女神)']
252,47,49,44,47,3,97,47,48,47,49,44,45,46,47,44,47,43,45,44,50,37598,1,42806,3,['20:56 V5Windy(疾风剑豪) 击杀了 IGTheShy(狂暴之心)']
253,47,49,44,44,44,45,47,48,47,49,44,45,46,47,44,44,43,45,44,47,38849,1,42863,3,"['21:2 V5y4(琴瑟仙女) 击杀了 IGNing(影流之镰)', '21:4 IGRookie(解脱者) 击杀了 V5Windy(疾风剑豪)']"
254,47,49,44,44,44,49,47,48,47,49,44,45,46,47,41,40,43,45,44,47,38900,1,42915,3,['21:8 IGRookie(解脱者) 击杀了 V5y4(琴瑟仙女)']
255,47,49,44,44,38,60,47,48,47,49,44,45,46,47,41,40,43,45,44,47,39020,1,42967,3,[]
256,47,49,44,44,41,59,47,48,47,49,44,45,46,47,41,40,43,45,44,47,39069,1,43015,3,[]
257,47,49,44,44,48,50,47,48,5,94,44,45,46,47,41,40,94,7,44,47,39226,1,43070,3,[]
258,47,49,44,44,51,47,47,48,22,87,44,45,92,9,41,40,82,19,44,47,39281,1,43126,3,[]
259,47,49,44,44,54,45,47,48,34,78,80,5,83,23,41,40,73,29,44,47,39357,1,43173,3,[]
260,4,95,5,89,57,44,12,94,45,68,65,6,79,36,41,40,63,38,44,47,39908,1,43224,3,[]
261,21,83,13,76,51,50,24,83,58,69,52,7,74,42,41,40,60,40,44,47,39960,2,43377,3,['21:43 IG 击破了防御塔']
262,34,78,19,63,47,62,35,77,64,59,39,9,77,47,90,7,63,40,95,6,40063,2,43494,3,[]
263,47,69,24,57,46,64,45,69,66,59,26,10,74,56,61,38,62,41,87,23,40208,2,43840,3,[]
264,58,63,29,59,46,64,49,60,63,62,24,13,77,54,57,41,58,43,81,35,40327,2,43962,3,[]
265,64,62,41,67,6,94,48,51,62,61,22,13,76,58,58,45,55,47,79,49,40560,2,44281,3,[]
266,57,65,53,64,12,92,48,54,59,62,21,10,70,65,66,54,66,54,75,61,40640,2,44363,3,[]
267,60,62,60,73,25,85,55,64,62,64,28,17,73,64,71,67,68,63,71,68,40693,2,44417,3,[]
268,66,60,60,72,36,76,61,63,65,63,24,29,74,60,75,70,73,62,72,66,40743,2,44469,3,[]
269,66,62,63,72,48,67,64,64,65,61,20,36,72,67,76,71,74,63,73,68,40794,2,44622,3,[]
270,62,60,65,72,59,62,60,63,57,63,14,34,68,66,65,63,66,63,67,65,41641,2,44717,3,['22:27 V5 击杀了土龙']
271,67,64,67,64,66,64,63,61,64,63,67,64,69,65,70,62,67,62,63,63,42192,2,44802,3,['22:33 IGNing(影流之镰) 击杀了 V5Windy(疾风剑豪)']
272,64,61,79,64,65,62,60,60,75,62,67,64,78,73,79,65,60,59,63,63,42805,2,44861,3,['22:36 IGTheShy(狂暴之心) 击杀了 V5Aliez(荒漠屠夫)']
273,72,68,84,65,54,54,56,57,77,62,67,64,80,68,78,70,59,58,63,63,42974,2,44934,3,['22:41 IGJackeyLove(战争女神) 击杀了 V5Max(河流之王)']
274,79,79,85,63,61,59,56,45,83,65,67,64,83,65,80,84,59,58,63,63,43130,2,44987,3,[]
275,78,77,88,63,71,68,59,39,88,66,67,64,93,68,78,82,59,58,63,63,43181,2,45344,3,['22:55 V5y4(琴瑟仙女) 击杀了 IGTheShy(狂暴之心)']
276,78,76,82,64,83,78,61,34,84,66,67,64,87,67,88,73,59,58,63,63,43273,2,45423,3,[]
277,78,76,84,59,89,69,62,34,85,65,67,64,90,69,91,66,59,58,63,63,43946,2,45481,3,[]
278,78,76,88,65,87,67,61,34,86,65,67,64,87,69,90,66,59,58,63,63,44609,2,46101,3,"['23:7 IGLucas(深海泰坦) 击杀了 V5y4(琴瑟仙女)', '23:9 V5Ben4(凛冬之怒) 击杀了 IGRookie(解脱者)']"
279,78,76,84,66,87,67,67,31,82,66,67,64,83,66,90,66,59,58,63,63,45238,3,46155,3,['23:11 IGJackeyLove(战争女神) 击破了防御塔']
280,78,76,83,59,87,67,61,33,78,62,67,64,83,67,90,66,92,6,90,6,45288,3,46207,3,['23:17 IGLucas(深海泰坦) 击杀了 V5Ben4(凛冬之怒)']
281,78,76,80,56,87,67,51,33,78,62,90,13,83,67,90,66,80,18,77,18,45446,3,46271,3,[]
282,78,76,77,56,87,67,42,38,2,96,81,27,83,67,90,66,71,26,67,31,45593,3,46433,3,[]
283,78,76,79,69,87,67,42,38,4,96,82,44,83,67,90,66,62,37,60,37,45689,3,46668,3,[]
284,78,76,84,84,87,67,12,92,19,84,87,55,83,67,90,66,64,39,53,29,45782,3,46721,3,[]
285,15,84,80,84,87,67,28,89,30,82,88,67,83,67,90,66,54,44,47,17,45833,3,46885,3,[]
286,11,70,68,88,87,67,40,86,40,72,89,76,83,67,95,4,56,41,42,16,45883,3,47061,3,[]
287,10,54,57,83,18,94,48,76,51,64,86,77,83,67,83,20,62,39,41,16,45946,3,47244,3,[]
288,9,41,57,83,34,91,47,67,60,61,82,82,93,7,70,31,60,41,38,16,46341,3,47297,3,[]
289,12,37,56,82,47,91,48,57,59,58,83,85,81,20,57,41,58,42,95,4,46515,3,47476,3,[]
290,15,38,56,83,60,89,46,54,49,49,82,79,72,29,60,38,60,41,80,14,46575,3,47583,3,[]
291,15,38,56,83,70,89,44,54,45,43,82,79,65,38,63,41,60,42,70,26,46838,3,47636,3,[]
292,8,28,2,96,68,88,44,55,46,53,92,7,67,50,66,49,66,45,63,36,46975,3,47748,3,[]
293,7,35,10,81,68,88,45,52,44,52,75,10,57,49,55,49,58,50,61,36,47131,3,47885,3,[]
294,8,41,22,74,9,86,43,54,46,55,61,9,49,48,52,50,49,49,73,42,47273,3,48232,3,[]
295,8,41,34,68,17,71,42,57,43,54,48,10,43,41,53,45,51,46,76,46,47324,3,48298,3,[]
296,17,86,43,67,21,59,34,59,36,48,35,11,42,42,55,44,53,45,66,39,47456,3,48380,3,[]
297,28,75,47,65,22,52,37,61,34,41,23,13,42,34,56,32,58,37,54,30,47639,3,48453,3,[]
298,42,78,54,58,24,47,42,59,36,41,14,16,46,36,55,31,58,37,49,24,47721,3,48571,3,[]
299,54,84,58,55,24,45,47,53,47,50,20,20,47,38,59,39,95,4,49,26,47999,3,48724,3,[]
300,69,88,58,55,27,38,40,52,43,51,13,22,51,42,55,42,83,11,54,30,48049,3,48845,3,[]
301,81,85,57,54,35,40,39,49,42,44,9,28,49,43,58,40,73,24,59,38,48368,3,49038,3,[]
302,87,77,57,54,37,43,41,56,44,50,18,24,53,47,59,39,63,32,56,44,48416,3,49085,3,[]
303,87,75,54,60,29,51,44,58,48,59,29,32,54,53,56,49,58,44,61,50,48967,4,49138,3,['25:14 IGTheShy(狂暴之心) 击破了防御塔']
304,77,71,52,60,12,49,38,59,44,59,40,38,65,50,56,47,56,46,74,53,49084,4,49194,3,[]
305,68,65,52,60,11,49,41,58,42,59,42,45,77,50,51,48,50,48,84,60,49133,4,49355,3,[]
306,55,58,57,55,26,51,47,53,48,54,42,41,83,61,56,44,56,43,88,56,49468,4,49406,3,[]
307,54,53,55,52,38,50,53,53,53,52,45,39,76,61,55,42,56,42,79,51,49600,4,49695,3,[]
308,54,56,45,45,43,48,50,51,45,43,50,34,77,50,59,35,58,38,79,51,49683,4,49748,3,[]
309,48,55,41,34,36,37,49,49,41,31,59,36,69,41,57,34,59,34,94,4,49734,4,49800,3,[]
310,47,53,40,29,25,29,51,48,42,32,57,43,57,43,59,42,58,41,93,5,49848,4,49853,3,[]
311,48,48,39,15,14,21,50,48,41,31,61,43,59,45,63,40,58,39,80,14,50149,4,49947,3,[]
312,44,57,41,18,20,26,40,51,42,40,56,45,54,48,58,46,57,45,71,26,50231,4,50160,3,[]
313,44,69,43,24,18,20,37,50,35,43,50,49,45,52,52,49,50,48,61,34,50457,4,50276,3,[]
314,45,79,41,31,13,17,24,52,35,43,42,56,36,57,42,55,41,56,47,36,50509,4,50391,3,[]
315,31,72,41,31,11,32,15,50,28,38,33,49,31,51,43,51,35,47,42,41,50560,4,50444,3,[]
316,31,66,42,32,11,45,15,50,20,48,41,54,38,52,50,44,45,53,43,53,50610,4,50676,3,[]
317,30,67,41,30,21,54,2,96,19,62,41,56,38,58,47,52,40,55,40,56,50661,4,50743,3,[]
318,38,62,43,24,33,61,11,91,31,64,33,47,35,49,34,49,32,47,32,46,50868,4,50796,3,[]
319,40,61,43,24,41,61,23,79,39,62,32,52,31,53,32,53,31,52,32,52,50934,4,50870,3,[]
320,38,61,41,29,40,66,33,69,39,62,35,60,38,62,37,58,33,59,33,59,51075,4,51527,3,['26:39 V5y4(琴瑟仙女) 击杀了 IGTheShy(狂暴之心)']
321,38,61,41,29,39,63,34,62,36,64,39,55,41,57,41,55,38,58,39,55,51186,4,51579,3,[]
322,38,61,41,30,45,56,43,54,44,56,42,45,44,47,45,46,43,48,42,44,51237,4,51653,3,[]
323,38,61,41,30,42,58,40,57,42,59,45,52,46,52,46,51,46,50,46,50,51401,4,51878,3,[]
324,38,61,41,30,46,53,43,54,46,54,40,43,40,44,40,44,41,45,37,42,51643,4,51926,3,[]
325,38,61,41,31,43,43,42,43,43,44,31,34,34,32,31,34,32,35,33,32,51699,4,52000,3,[]
326,38,61,37,32,36,38,36,38,40,35,35,31,34,31,30,31,33,28,34,32,51744,4,52050,3,[]
327,38,61,33,30,32,36,32,39,34,37,32,31,35,31,30,32,34,29,33,37,51803,4,53674,3,[]
328,38,61,31,31,39,41,40,43,38,40,32,31,33,38,28,36,34,39,32,41,51858,4,54293,3,['27:16 V5 击杀了大龙']
329,38,61,33,30,37,40,41,43,42,40,30,31,32,30,31,34,32,36,32,32,51931,4,54519,3,['27:24 V5Windy(疾风剑豪) 击杀了 IGNing(影流之镰)']
330,2,96,33,30,43,47,50,51,49,48,42,34,40,44,46,40,45,40,44,41,52087,4,54858,3,[]
331,2,96,33,30,44,55,44,57,48,57,51,43,51,49,53,49,51,50,49,53,52228,4,54910,3,[]
332,2,96,33,30,47,57,47,57,51,62,61,50,57,56,66,53,59,59,56,56,52279,4,54993,3,[]
333,48,50,33,30,58,57,57,61,60,63,67,60,65,63,70,63,68,65,64,58,52331,4,55045,3,[]
334,61,57,33,30,62,57,61,63,62,63,69,63,64,59,69,61,65,63,70,65,52383,4,55096,3,[]
335,71,66,33,30,66,64,65,64,68,66,75,67,67,61,73,63,69,67,73,69,52596,4,55916,3,[]
336,72,68,33,30,67,67,66,62,69,66,72,67,70,66,71,63,70,67,67,65,53121,4,56458,3,"['27:58 V5Windy(疾风剑豪) 击杀了 IGLucas(深海泰坦)', '28:0 IGRookie(解脱者) 击杀了 V5Windy(疾风剑豪)']"
337,72,68,33,30,64,58,73,66,69,66,74,64,65,60,71,69,72,67,67,65,53172,4,57548,3,"['28:2 V5Aliez(荒漠屠夫) 击杀了 IGTheShy(狂暴之心)', '28:5 V5Ben4(凛冬之怒) 击杀了 IGRookie(解脱者)']"
338,72,68,33,30,64,58,73,68,69,66,68,67,67,67,70,65,63,63,67,65,53225,4,57600,3,['28:6 V5y4(琴瑟仙女) 击杀了 IGJackeyLove(战争女神)']
339,72,68,14,89,64,58,73,68,69,66,57,63,65,69,65,60,52,56,67,65,53276,4,57752,3,['28:15 V5 击杀了火龙']
340,72,68,25,78,64,58,73,68,69,66,48,56,57,66,95,4,49,51,67,65,53328,4,57932,3,[]
341,72,68,34,68,64,58,73,68,69,66,43,56,44,67,95,4,46,54,67,65,53379,4,58158,3,[]
342,72,68,32,67,64,58,73,68,69,66,39,58,38,63,43,57,38,58,67,65,53430,4,58233,3,[]
343,72,68,26,73,64,58,73,68,69,66,31,67,31,70,31,66,32,66,67,65,53482,4,58879,4,['28:35 V5Aliez(荒漠屠夫) 击破了防御塔']
344,72,68,26,73,64,58,73,68,3,96,25,75,25,74,24,72,26,74,67,65,53534,4,59395,4,[]
345,72,68,31,76,64,58,73,68,20,84,30,74,26,76,27,75,27,75,67,65,53586,4,59854,4,['28:44 V5Aliez(荒漠屠夫) 击杀了 IGNing(影流之镰)']
346,72,68,31,76,64,58,73,68,15,79,22,76,23,77,24,74,24,76,67,65,53636,4,60122,5,['28:46 V5Ben4(凛冬之怒) 击破了防御塔']
347,17,95,31,76,3,95,73,68,19,79,32,66,30,70,30,67,31,70,87,8,53703,4,60169,5,[]
348,33,94,31,76,15,80,10,84,18,80,42,55,39,59,41,56,42,58,71,15,54033,4,60222,5,[]
349,46,93,31,76,25,71,22,79,21,76,48,49,42,55,95,4,48,52,61,25,54197,4,60274,5,[]
350,52,92,31,76,29,67,31,73,28,69,95,4,90,6,92,19,95,4,53,37,54413,4,60439,5,[]
351,60,91,31,76,25,57,43,78,37,74,91,5,73,10,81,33,94,7,51,26,54627,4,60492,5,[]
352,60,91,31,76,19,49,45,73,41,75,81,20,60,9,78,50,92,10,44,16,54867,4,60623,5,[]
353,54,88,31,76,17,44,44,68,47,67,81,33,57,21,79,54,88,19,48,19,55117,4,60796,5,[]
354,54,85,31,76,22,54,42,59,35,61,80,46,59,38,83,61,81,33,50,31,55260,4,60935,5,[]
355,51,84,14,89,32,60,44,55,40,59,82,58,55,49,87,70,80,46,51,42,55446,4,60987,5,[]
356,56,85,26,77,35,59,40,59,37,64,87,69,56,58,84,82,76,59,55,53,55627,4,61117,5,[]
357,48,93,37,76,35,61,37,62,41,68,83,80,57,70,79,82,76,72,58,66,55678,4,61226,5,[]
358,43,90,42,78,31,53,33,67,41,77,72,87,55,77,66,83,67,83,59,79,55729,4,61298,5,[]
359,41,88,41,82,21,48,33,67,36,77,63,90,60,88,58,84,65,89,61,90,55782,4,61525,5,[]
360,41,88,36,85,21,46,17,93,36,77,55,90,53,88,54,83,55,88,57,89,55934,4,61578,5,[]
361,20,94,31,89,22,47,28,93,14,94,47,89,45,91,50,89,49,89,47,90,55985,4,62203,6,['30:5 V5Max(河流之王) 击破了防御塔']
362,30,93,29,90,22,47,26,91,30,86,38,91,38,91,38,93,41,85,46,92,56049,4,62276,6,[]
363,31,91,28,88,20,93,29,90,30,84,42,91,40,87,41,94,44,80,41,88,56100,4,62511,6,[]
364,28,75,25,92,31,92,28,90,29,90,39,90,37,76,36,94,41,79,38,89,56195,4,62614,6,[]
365,28,70,28,90,27,95,29,90,28,89,35,89,39,88,36,94,39,88,40,87,56373,4,62710,6,[]
366,28,70,21,93,23,94,26,93,27,89,37,91,39,88,37,92,38,94,37,90,56514,4,62764,6,[]
367,27,77,8,96,25,93,26,92,28,88,35,80,38,88,37,92,37,92,37,89,56655,4,62816,6,[]
368,25,81,18,91,25,92,26,89,29,92,31,74,39,90,51,92,44,92,40,90,56726,4,62877,6,[]
369,22,76,25,82,27,92,27,89,30,87,35,79,37,91,49,92,42,93,39,90,56848,4,63125,6,[]
370,19,75,31,86,27,90,27,90,31,84,36,89,33,94,35,93,35,92,36,90,57027,4,63224,6,[]
371,24,81,30,85,24,93,29,83,28,84,30,90,31,88,33,91,29,92,29,90,57147,4,63627,7,['30:54 V5Aliez(荒漠屠夫) 击破了防御塔']
372,31,89,30,86,28,92,27,84,29,88,32,90,29,86,35,90,30,88,32,92,57205,4,64170,7,[]
373,31,89,30,87,29,92,29,87,30,90,33,89,30,88,34,90,33,93,32,92,58458,4,65168,7,['31:1 V5Windy(疾风剑豪) 击杀了 IGTheShy(狂暴之心)']
374,31,89,28,86,26,92,27,86,30,91,28,85,30,89,28,87,26,92,28,86,59131,4,65742,7,"['31:6 V5y4(琴瑟仙女) 击杀了 IGLucas(深海泰坦)', '31:6 IGNing(影流之镰) 击杀了 V5Ben4(凛冬之怒)', '31:8 IGJackeyLove(战争女神) 击杀了 V5Windy(疾风剑豪)', '31:9 V5y4(琴瑟仙女) 击杀了 IGJackeyLove(战争女神)']"
375,31,89,36,78,26,93,27,86,30,91,30,85,30,89,34,81,29,88,28,86,59183,4,66291,7,"['31:12 IGNing(影流之镰) 击杀了 V5Aliez(荒漠屠夫)', '31:12 V5y4(琴瑟仙女) 击杀了 IGRookie(解脱者)']"
376,31,89,35,78,26,93,27,86,30,91,30,85,30,89,28,88,25,83,28,86,59234,4,66384,7,['31:16 V5y4(琴瑟仙女) 击杀了 IGNing(影流之镰)']
377,31,89,35,78,26,93,27,86,30,91,30,85,30,89,19,78,21,75,28,86,59285,4,66514,7,[]
378,31,89,35,78,26,93,27,86,30,91,30,85,30,89,16,85,13,85,28,86,59336,4,66861,7,[]
379,31,89,35,78,26,93,27,86,30,91,30,85,30,89,14,86,12,86,28,86,59388,4,67186,9,"['31:33 V5Max(河流之王) 击破了防御塔', '31:35 V5Max(河流之王) 击破了防御塔']"
380,31,89,35,78,26,93,27,86,30,91,30,85,30,89,15,87,12,87,28,86,59440,4,67309,9,[]
381,31,89,35,78,26,93,27,86,30,91,30,85,30,89,15,87,12,87,28,86,59461,4,67330,9,[]
382,31,89,35,78,26,93,27,86,30,91,30,85,30,89,15,87,12,87,28,86,59461,4,51345,9,['31:50 V5 获胜']
