,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,V5Aliez, ,V5Ben4, ,V5y4, ,V5Max, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
55,17,16,55,84,46,51,67,92,21,94,16,11,90,5,73,90,95,5,88,8,6931,0,7460,0,[]
56,16,18,58,84,43,52,70,91,31,93,17,12,79,6,76,89,93,9,81,16,7161,0,7507,0,[]
57,19,11,54,83,43,53,74,88,40,89,23,7,68,7,83,84,92,21,72,24,7360,0,7564,0,[]
58,17,10,50,79,43,52,72,84,47,83,25,8,57,10,82,85,91,32,65,33,7537,0,7622,0,[]
59,19,14,48,65,47,51,74,88,61,84,22,9,46,12,82,84,90,46,55,42,7614,0,7676,0,[]
60,20,14,45,67,45,51,74,89,71,86,25,10,35,17,83,84,89,57,45,40,7805,0,7728,0,[]
61,21,12,44,68,47,50,76,89,81,89,25,8,26,22,87,85,88,68,52,48,7916,0,7805,0,[]
62,10,20,2,96,48,53,78,89,82,90,14,18,16,20,83,83,84,79,48,47,8022,0,7919,0,[]
63,11,22,4,90,47,54,77,88,80,90,19,15,21,21,85,84,83,83,49,48,8115,0,8105,0,[]
64,12,21,6,87,46,53,79,88,84,88,14,16,32,22,86,81,84,81,49,49,8288,0,8171,0,[]
65,7,25,12,77,47,52,80,87,82,89,12,13,42,18,84,82,84,82,50,49,8422,0,8264,0,[]
66,5,29,17,66,47,53,80,86,82,89,12,13,44,16,88,82,85,80,49,48,8533,0,8441,0,[]
67,8,25,24,58,45,53,83,85,86,87,86,5,45,16,89,79,87,78,48,51,8645,0,8644,0,[]
68,10,23,26,57,47,55,83,84,87,82,74,5,49,20,88,79,85,79,47,49,8894,0,8793,0,[]
69,11,24,22,51,45,56,86,83,89,81,63,7,53,31,91,79,88,79,48,55,9083,0,8989,0,[]
70,11,24,14,43,47,54,88,77,85,80,52,8,52,35,91,71,92,73,50,50,9169,0,9256,0,[]
71,13,21,14,42,44,55,80,76,78,75,40,10,56,33,87,72,91,72,52,49,9254,0,9407,0,[]
72,12,20,17,46,47,53,75,69,76,67,29,12,65,40,91,75,90,72,55,48,9491,0,9501,0,[]
73,14,19,23,49,46,47,80,77,75,63,18,12,66,50,90,76,89,72,56,48,9657,0,9594,0,[]
74,15,19,37,54,50,50,84,82,75,69,17,13,65,56,88,69,86,66,55,46,9708,0,9645,0,[]
75,13,18,47,59,47,53,87,82,82,78,19,13,64,57,79,65,77,62,54,47,9942,0,9713,0,[]
76,16,18,56,65,48,51,85,80,82,78,18,13,63,62,87,68,66,62,53,50,10105,0,9772,0,[]
77,19,13,58,69,49,51,80,76,74,71,25,10,63,62,80,66,64,62,55,52,10198,0,9824,0,[]
78,20,19,64,63,59,57,72,67,69,64,23,10,68,63,74,63,70,62,60,51,10243,0,10110,0,[]
79,19,17,67,60,67,62,67,65,63,63,21,12,69,62,71,63,68,62,68,62,10299,0,10168,0,[]
80,19,13,73,56,64,61,66,63,62,62,24,11,67,60,69,63,68,61,70,62,10350,0,10247,0,[]
81,20,14,77,56,74,61,75,70,72,63,29,10,68,56,76,57,78,72,76,54,10414,0,10788,0,['6:44 V5y4(琴瑟仙女) 击杀了 IGNing(影流之镰)']
82,17,17,77,56,81,68,80,76,76,68,18,14,69,63,82,58,84,78,72,49,10924,0,10864,0,[]
83,18,16,77,56,90,75,87,76,82,77,22,10,66,63,87,67,91,73,61,50,11093,0,10916,0,['6:54 IGRookie(解脱者) 击杀了 V5Max(河流之王)']
84,25,10,6,95,86,86,86,78,88,79,27,6,58,62,89,70,91,73,55,46,11205,0,11165,0,[]
85,20,13,18,92,85,87,88,78,89,78,26,10,58,63,90,73,91,73,54,44,11276,0,11306,0,[]
86,17,14,29,87,3,95,86,80,87,80,21,12,69,63,89,74,95,7,51,47,11397,0,11440,0,[]
87,21,11,45,85,9,84,88,79,89,79,24,7,82,58,90,71,94,18,52,46,11556,0,11495,0,[]
88,20,14,56,81,19,76,91,74,88,76,23,10,83,58,91,69,93,30,52,46,11606,0,11578,0,[]
89,18,16,53,84,28,69,90,75,85,78,28,16,84,60,92,67,91,41,93,4,11911,0,11716,0,[]
90,16,18,53,84,36,59,88,83,78,84,31,16,76,54,90,67,90,52,89,7,12071,0,11857,0,[]
91,24,22,50,82,41,55,88,83,78,84,23,11,74,54,91,69,90,64,79,16,12231,0,11936,0,[]
92,19,18,51,75,45,54,6,96,8,95,20,10,74,54,89,69,89,72,71,26,12335,0,12032,0,[]
93,22,12,47,73,51,54,14,95,18,88,24,9,74,56,87,73,87,77,63,35,12433,0,12392,0,[]
94,22,11,46,73,57,55,25,93,28,83,30,8,68,64,87,78,85,78,54,44,12642,0,12464,0,[]
95,24,11,47,65,52,58,36,92,37,75,31,7,57,63,88,75,79,75,54,54,12706,0,12535,0,[]
96,25,11,50,59,48,59,47,91,46,68,29,8,48,56,88,75,70,68,48,58,12757,0,12608,0,[]
97,23,12,45,51,46,54,58,90,50,60,25,10,49,49,96,6,60,60,48,50,12812,0,13197,0,['8:5 V5Windy(疾风剑豪) 击杀了 IGNing(影流之镰)']
98,13,20,45,51,45,55,68,90,48,54,19,13,52,49,92,7,51,55,47,54,12876,0,13718,0,[]
99,15,17,45,51,43,56,75,88,45,58,19,12,48,54,94,9,47,54,45,52,12983,0,13943,0,['8:13 V5Max(河流之王) 击杀了 IGLucas(深海泰坦)']
100,13,19,45,51,44,53,74,88,45,58,20,14,50,44,93,17,58,57,53,46,13099,0,13991,0,[]
101,9,26,12,93,37,50,73,88,45,58,27,20,48,34,92,29,68,62,50,50,13191,0,14044,0,[]
102,8,30,23,87,40,55,73,86,7,95,21,28,51,35,90,40,77,71,48,51,13316,0,14163,0,[]
103,6,29,33,79,41,55,74,86,19,94,15,20,51,31,89,52,81,83,45,54,13447,0,14398,0,[]
104,6,29,45,71,43,53,77,87,33,92,11,20,49,30,88,63,83,83,49,43,13611,0,14584,0,[]
105,2,96,45,65,39,55,78,89,46,91,9,21,48,24,87,74,81,80,39,39,13831,0,14700,0,[]
106,11,22,43,67,34,59,79,87,57,89,14,14,48,22,83,82,83,81,44,43,14034,0,14883,0,[]
107,13,18,33,61,28,49,80,86,65,83,17,9,44,17,85,80,86,80,48,49,14262,0,14977,0,[]
108,18,17,25,58,22,48,85,80,70,79,17,8,44,15,90,74,88,76,47,51,14344,0,15344,0,[]
109,18,16,20,49,21,48,85,78,79,75,16,9,48,10,89,73,91,75,46,54,14447,0,15509,0,[]
110,18,16,21,48,24,48,86,79,79,77,16,9,50,9,89,74,89,75,52,51,14710,0,15612,0,[]
111,17,17,21,54,34,49,85,78,83,78,17,9,95,4,91,70,90,70,52,51,14821,0,15707,0,[]
112,20,14,21,53,42,54,75,75,74,73,22,8,90,15,90,71,91,71,88,8,14967,0,15835,0,[]
113,24,9,17,45,52,48,74,76,75,65,28,6,84,26,91,71,91,72,81,18,15023,0,15958,0,[]
114,24,9,15,44,54,48,78,81,78,69,28,6,80,37,83,67,84,66,73,28,15158,0,16011,0,[]
115,19,13,15,42,48,52,86,80,80,79,27,9,79,49,84,66,77,62,63,37,15371,0,16098,0,[]
116,15,15,17,35,48,52,84,80,83,79,27,10,75,60,89,73,87,66,57,43,15496,0,16221,0,[]
117,17,13,30,37,3,94,77,75,76,75,24,10,75,66,90,71,86,76,56,54,15691,0,16294,0,[]
118,24,12,25,33,12,82,69,79,71,81,30,6,76,72,86,78,78,74,65,63,15901,0,16432,0,[]
119,27,11,24,32,21,75,72,85,77,86,30,7,67,69,82,78,80,76,67,68,16069,0,16576,0,[]
120,26,10,25,25,30,66,76,89,84,87,30,8,66,71,76,77,75,74,67,68,16126,0,16753,0,[]
121,22,12,32,17,41,58,73,88,81,90,30,8,67,65,72,78,69,79,63,61,16248,0,16840,0,['10:3 V5 击杀了火龙']
122,23,12,35,10,48,51,70,83,81,90,28,6,60,59,80,80,77,80,53,52,16440,0,16908,0,[]
123,26,11,33,7,45,52,73,86,81,90,28,6,49,58,87,83,82,83,46,51,16538,0,17152,0,[]
124,25,12,26,10,42,53,79,88,81,90,26,11,44,55,86,82,81,83,43,53,17265,0,18093,0,[]
125,25,14,23,11,42,53,77,87,80,89,27,10,46,53,83,83,81,85,44,54,17475,0,18285,0,"['10:21 IGNing(影流之镰) 击杀了 V5Aliez(荒漠屠夫)', '10:21 V5Ben4(凛冬之怒) 击杀了 IGRookie(解脱者)', '10:22 V5Aliez(荒漠屠夫) 击杀了 IGTheShy(狂暴之心)']"
126,25,14,23,8,42,53,73,88,76,90,27,10,40,56,83,88,78,87,40,57,17558,0,18499,0,[]
127,25,14,17,9,42,53,73,86,81,91,27,10,39,55,84,84,84,84,40,58,17637,0,18753,0,[]
128,25,14,22,11,42,53,73,88,73,86,27,10,34,48,84,85,81,86,40,56,17743,0,18839,0,[]
129,25,14,20,11,42,53,77,88,75,88,27,10,34,39,83,83,84,81,40,56,17899,0,19066,0,[]
130,25,14,20,11,2,96,75,90,77,87,95,6,36,37,86,76,86,74,40,56,17992,0,19149,0,[]
131,6,85,2,96,41,56,72,91,73,85,93,19,41,32,86,76,86,74,45,53,18074,0,19202,0,[]
132,9,75,5,97,46,54,2,96,73,85,92,32,41,32,92,6,93,4,51,49,18125,0,19254,0,[]
133,10,61,23,97,47,52,8,95,11,92,90,45,89,6,83,8,88,5,53,48,18197,0,19306,0,[]
134,11,49,40,93,45,55,11,95,25,83,89,57,80,18,70,10,86,6,53,47,18248,0,19359,0,[]
135,11,36,52,88,46,54,22,94,37,76,87,70,70,25,59,9,73,7,50,40,18354,0,19431,0,[]
136,13,23,56,81,48,53,35,93,48,68,85,81,58,27,45,10,60,9,49,34,18437,0,19557,0,[]
137,13,17,56,83,51,50,47,92,58,61,83,84,47,34,32,12,54,19,47,37,18589,0,19713,0,[]
138,14,16,53,84,50,53,59,91,55,57,81,79,48,42,21,12,51,31,52,48,18723,0,19785,0,[]
139,14,16,50,83,51,53,70,91,52,53,76,79,43,39,19,13,47,41,52,46,18919,0,19894,0,[]
140,14,16,48,77,49,52,79,88,54,57,71,78,48,43,21,11,41,39,52,48,19096,0,20118,0,[]
141,14,15,47,66,47,54,79,88,52,57,74,76,47,46,21,12,29,36,49,50,19476,0,20186,0,[]
142,11,19,45,66,50,49,72,83,43,52,85,79,41,37,17,15,21,40,55,44,19641,0,20342,0,[]
143,12,19,42,67,49,52,64,77,32,46,86,80,38,25,18,16,20,28,53,46,19692,0,20403,0,[]
144,11,20,32,61,51,49,59,72,34,39,84,79,24,23,15,18,15,19,55,44,19848,0,20761,0,[]
145,8,23,23,55,46,47,68,81,34,39,82,85,11,24,11,21,8,23,54,46,19981,0,21035,0,[]
146,8,29,18,45,44,43,77,87,4,94,82,84,8,27,9,23,10,25,50,46,20108,0,21548,0,['12:9 V5y4(琴瑟仙女) 击杀了 IGTheShy(狂暴之心)']
147,8,29,15,34,34,38,80,88,8,80,85,84,18,24,12,23,16,22,44,39,20202,0,21652,0,[]
148,8,29,17,31,23,37,76,77,12,65,86,81,24,30,24,26,23,30,35,36,20286,0,21749,0,[]
149,8,29,15,38,20,39,70,68,18,51,84,86,21,40,23,36,21,38,19,39,20337,0,22338,0,[]
150,8,29,7,40,15,37,60,61,10,42,77,80,20,36,19,35,15,34,13,37,20388,0,22419,0,['12:26 V5Windy(疾风剑豪) 击杀了 IGRookie(解脱者)']
151,8,29,13,48,15,37,51,53,8,28,79,76,30,38,27,37,25,37,22,38,20537,0,22483,0,[]
152,5,96,22,55,15,37,48,52,9,29,82,85,32,29,32,46,32,32,32,34,20619,0,22760,0,[]
153,20,94,27,59,15,37,56,46,16,38,77,76,32,31,30,37,30,34,30,33,20768,0,22812,0,[]
154,33,93,31,53,15,37,55,46,18,44,68,67,33,32,27,31,31,36,33,35,21009,0,22864,0,[]
155,48,92,38,62,15,37,50,49,25,50,59,57,32,33,27,31,30,34,38,38,21094,0,23016,0,[]
