,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
55,3,95,52,77,45,52,70,91,69,89,16,13,80,11,51,49,74,86,76,90,6646,0,6643,0,[]
56,10,21,58,70,43,55,70,91,69,90,16,16,70,18,50,50,72,87,76,90,6823,0,6754,0,[]
57,12,18,65,77,47,51,72,92,70,91,17,14,61,25,52,49,74,87,74,87,6939,0,6906,0,[]
58,11,18,67,78,44,53,72,92,72,89,17,15,52,35,48,51,78,87,79,84,7066,0,7015,0,[]
59,12,17,55,82,44,55,69,90,71,91,17,13,47,35,50,52,75,93,75,93,7159,0,7189,0,[]
60,11,18,54,84,44,54,66,93,64,92,16,17,46,36,51,48,75,88,75,88,7290,0,7331,0,[]
61,11,19,53,84,45,53,65,93,64,92,18,15,41,42,51,49,76,88,77,88,7421,0,7456,0,[]
62,11,18,56,85,44,54,6,96,7,95,14,16,42,45,50,52,76,90,72,85,7568,0,7564,0,[]
63,13,19,60,85,44,55,17,95,21,95,14,14,41,37,50,49,75,89,71,86,7671,0,7727,0,[]
64,8,23,67,89,43,56,28,94,32,94,18,21,40,26,47,50,76,88,74,88,7783,0,7821,0,[]
65,8,29,71,91,45,55,39,93,44,92,22,31,43,19,49,49,81,90,73,93,7930,0,7904,0,[]
66,8,26,71,90,46,55,49,93,55,90,22,42,40,16,50,49,81,90,79,90,8041,0,8039,0,[]
67,13,34,69,82,45,56,60,91,66,88,20,35,40,17,49,49,93,9,93,8,8093,0,8156,0,[]
68,20,36,61,74,45,55,70,89,77,86,17,22,38,17,51,49,94,9,94,7,8144,0,8258,0,[]
69,14,34,53,67,43,56,80,87,78,87,17,15,33,17,50,50,86,80,86,80,8216,0,8386,0,[]
70,12,25,46,67,45,57,79,88,82,87,15,16,34,23,49,49,83,81,83,81,8369,0,8500,0,[]
71,12,19,39,62,47,52,81,88,74,86,17,15,42,32,51,48,83,82,83,80,8464,0,8647,0,[]
72,10,19,39,50,48,53,76,90,78,90,16,15,43,44,51,48,82,86,82,86,8596,0,8925,0,[]
73,13,18,39,48,43,54,76,89,77,88,16,13,41,44,51,49,83,88,83,88,8682,0,9011,0,[]
74,13,16,36,42,44,49,75,87,74,90,18,15,37,42,45,47,79,89,79,89,8813,0,9103,0,[]
75,14,18,32,47,41,45,73,89,75,90,21,25,33,43,40,42,80,90,80,90,8904,0,9189,0,[]
76,18,24,31,46,34,39,72,89,75,89,21,26,29,35,34,42,82,87,82,87,8959,0,9942,0,"['6:19 FPXDoinb(Éîº£Ì©Ì¹) »÷É±ÁË BLGMeteor(Ðé¿Õ¶ÝµØÊÞ),»ñµÃÒ»Ñª']"
77,22,30,31,46,34,38,70,91,71,90,21,28,28,37,35,38,77,87,77,87,9027,0,10609,0,[]
78,23,34,31,46,33,37,69,92,69,91,23,35,32,38,30,36,76,92,78,91,9177,0,10702,0,['6:29 FPXDoinb(Éîº£Ì©Ì¹) »÷É±ÁË BLGKuro(»úÐµ¹«µÐ)']
79,14,33,4,94,33,37,71,92,72,88,20,26,25,34,34,38,77,87,79,88,9242,0,10775,0,[]
80,9,25,12,91,33,37,74,89,75,89,13,20,22,30,34,38,82,85,82,85,9312,0,10981,0,[]
81,7,30,19,84,2,96,72,90,72,92,12,22,25,25,95,4,81,90,81,90,9363,0,11123,0,[]
82,8,28,30,80,11,91,73,89,71,89,15,22,36,23,95,4,80,89,80,89,9440,0,11257,0,[]
83,7,28,40,77,18,80,71,90,74,87,15,22,47,26,47,51,81,89,81,89,9552,0,11357,0,[]
84,8,27,50,76,26,71,72,90,73,89,12,16,47,24,46,52,77,87,77,87,9631,0,11507,0,[]
85,10,27,48,73,36,61,75,90,74,86,7,18,46,24,44,54,79,86,79,86,9743,0,11799,0,[]
86,14,36,47,72,42,57,77,90,77,88,12,17,46,24,45,54,82,87,82,87,9979,0,11864,0,[]
87,18,44,37,66,39,59,76,87,77,89,13,19,94,6,50,52,82,86,82,86,10070,0,12074,0,[]
88,20,47,29,59,43,56,77,89,77,90,10,19,88,16,58,55,79,83,79,83,10276,0,12244,0,[]
89,15,39,25,57,39,51,76,90,78,91,8,18,83,27,67,60,78,85,78,85,10469,0,12378,0,[]
90,9,30,20,50,44,54,73,92,73,91,8,18,80,39,68,62,78,86,78,86,10520,0,12465,0,[]
