,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
55,25,35,26,37,20,35,87,83,83,79,24,35,27,36,27,36,89,74,88,75,0,0,0,0,['4:31 TES369(ÐÉºìÊÕ¸îÕß) »÷É±ÁË LNGSofM(Ã¤É®)']
56,16,34,2,96,13,36,88,81,88,81,16,37,27,36,21,38,88,76,88,75,0,0,0,0,['4:39 TES369(ÐÉºìÊÕ¸îÕß) »÷É±ÁË LNGFlandre(¿ñ±©Ö®ÐÄ)']
57,11,28,8,87,20,36,84,81,84,81,16,37,88,5,31,36,88,75,87,76,0,0,0,0,[]
58,15,18,13,76,32,41,86,82,86,82,16,37,77,6,41,34,89,72,89,71,0,0,0,0,[]
59,23,13,17,66,38,51,80,82,80,82,84,5,66,7,41,32,91,70,92,68,0,0,0,0,[]
60,31,12,18,53,42,56,80,82,80,82,73,6,54,9,95,4,91,71,90,70,0,0,0,0,[]
61,28,20,23,42,2,96,2,96,2,96,57,7,42,15,89,6,92,72,87,66,0,0,0,0,[]
62,28,20,30,38,11,91,72,88,72,88,45,7,32,18,79,16,92,71,86,65,0,0,0,0,[]
63,23,22,34,39,20,81,71,77,71,77,34,8,42,17,71,24,95,4,95,4,0,0,0,0,[]
64,23,22,27,37,29,71,76,72,75,70,26,7,42,16,63,32,95,4,89,13,0,0,0,0,[]
65,2,96,22,42,37,63,86,77,86,77,25,12,43,16,56,41,91,74,83,22,0,0,0,0,[]
66,8,30,18,45,43,53,83,83,83,83,23,13,42,16,50,47,89,75,81,32,0,0,0,0,[]
67,15,21,18,46,42,52,84,82,84,82,20,13,45,15,50,49,90,75,80,43,0,0,0,0,[]
68,14,15,18,45,42,54,84,81,84,81,19,14,50,23,49,51,91,77,78,51,0,0,0,0,[]
69,13,18,22,53,42,53,84,81,84,81,18,14,50,33,52,49,91,77,74,58,0,0,0,0,[]
70,15,18,25,55,45,58,84,81,84,81,18,12,50,34,48,46,89,76,75,64,0,0,0,0,[]
71,13,17,28,59,48,55,86,79,85,79,17,14,52,34,50,47,92,70,75,63,0,0,0,0,[]
72,13,17,38,65,44,54,84,80,84,80,17,11,58,33,49,48,89,75,84,66,0,0,0,0,[]
73,12,20,49,67,42,53,85,82,85,82,18,15,67,39,48,48,89,76,87,73,0,0,0,0,[]
74,10,21,58,69,45,54,81,83,81,83,13,17,72,41,49,49,87,78,87,79,0,0,0,0,[]
75,10,21,49,66,43,54,81,81,81,81,15,18,70,41,49,48,88,79,86,78,0,0,0,0,[]
76,8,23,46,65,41,51,82,83,82,83,13,21,68,44,48,48,88,80,86,77,0,0,0,0,[]
77,10,23,47,74,40,56,84,79,84,79,12,18,72,54,47,52,89,75,88,73,0,0,0,0,[]
78,7,26,51,83,41,55,86,77,86,77,12,22,76,52,47,52,93,71,91,69,0,0,0,0,[]
79,6,27,58,83,44,56,86,80,88,84,11,23,77,54,48,50,87,66,87,66,0,0,0,0,[]
80,8,27,54,84,40,56,81,82,88,83,11,23,81,55,48,52,77,64,81,67,0,0,0,0,[]
81,8,27,60,83,41,57,82,81,82,79,13,22,78,51,47,52,69,63,82,66,0,0,0,0,[]
82,8,28,63,82,41,57,83,79,80,79,11,22,68,51,53,56,81,66,83,67,0,0,0,0,[]
83,7,29,64,78,43,56,88,76,88,76,11,25,65,56,50,52,90,69,91,68,0,0,0,0,[]
84,5,29,57,72,47,56,89,75,88,76,9,25,60,49,50,49,90,70,92,72,0,0,0,0,[]
85,6,28,56,62,50,51,87,79,85,78,12,22,56,44,49,51,92,71,90,69,0,0,0,0,[]
86,10,22,49,55,46,53,84,82,77,73,15,16,48,49,49,47,88,76,88,76,0,0,0,0,[]
87,11,19,48,57,44,53,84,81,83,80,17,17,50,43,51,46,89,76,89,77,0,0,0,0,[]
88,9,21,52,68,43,58,82,79,82,79,15,19,48,34,45,46,88,78,87,79,0,0,0,0,[]
89,7,24,52,76,40,58,85,82,85,82,13,21,49,26,46,51,89,76,90,78,0,0,0,0,[]
90,8,27,54,76,42,53,88,76,88,76,12,21,50,27,45,51,91,70,93,70,0,0,0,0,[]
91,8,25,54,76,41,54,87,78,87,78,14,20,46,34,47,47,91,71,92,73,0,0,0,0,[]
92,10,24,61,72,42,56,86,82,86,82,13,21,36,39,46,48,89,76,90,76,0,0,0,0,[]
93,9,23,63,71,41,56,84,82,84,82,14,21,31,49,45,49,87,76,89,76,0,0,0,0,[]
94,12,20,64,71,40,57,86,82,86,82,19,15,32,55,44,53,88,77,87,75,0,0,0,0,[]
95,12,22,64,71,42,54,87,74,87,74,17,17,31,49,46,50,91,72,88,69,0,0,0,0,[]
96,14,21,64,71,49,53,86,76,86,76,22,24,38,43,51,47,92,70,93,62,0,0,0,0,[]
97,11,20,64,71,53,56,77,74,77,74,23,27,44,48,51,53,92,71,93,62,0,0,0,0,[]
98,10,21,67,69,62,63,69,67,67,69,29,37,50,55,58,59,91,70,94,5,0,0,0,0,[]
99,10,21,69,68,63,71,74,74,74,74,31,37,43,47,51,53,91,70,93,8,0,0,0,0,['8:12 TES »÷É±ÁË»ðÁú']
100,11,19,69,68,61,74,71,78,71,78,27,34,33,43,47,49,93,7,91,12,0,0,0,0,[]
101,12,18,3,94,2,96,71,78,71,78,23,25,25,45,39,44,93,18,84,21,0,0,0,0,[]
102,8,19,13,90,6,95,6,95,3,96,24,13,25,43,29,44,92,28,81,33,0,0,0,0,[]
103,8,19,22,84,18,85,10,94,7,96,18,15,22,41,31,43,92,38,80,44,0,0,0,0,[]
104,3,88,33,79,29,74,21,92,21,92,18,13,15,41,42,45,91,51,81,55,0,0,0,0,[]
105,5,75,42,70,39,59,34,92,32,92,19,15,15,42,49,48,89,64,87,67,0,0,0,0,[]
106,6,64,52,64,41,52,45,91,46,91,16,15,15,36,51,49,87,73,86,77,0,0,0,0,[]
107,7,53,62,62,52,51,57,90,57,90,17,18,15,36,54,46,87,78,88,75,0,0,0,0,[]
108,8,42,59,62,49,55,68,89,68,89,17,18,91,13,51,48,87,78,86,76,0,0,0,0,[]
109,7,31,49,65,47,56,78,86,78,86,95,4,86,23,51,47,87,80,87,78,0,0,0,0,[]
110,8,24,49,65,46,55,82,84,82,84,81,5,81,33,49,49,87,80,87,78,0,0,0,0,[]
111,8,25,57,70,41,56,81,83,81,83,70,6,73,43,45,47,87,81,87,78,0,0,0,0,[]
112,7,27,56,78,40,56,81,83,81,83,59,7,74,43,44,43,87,81,87,77,0,0,0,0,[]
113,7,26,57,82,44,50,81,80,81,80,46,12,78,49,44,43,88,80,89,76,0,0,0,0,[]
114,8,26,58,83,48,49,85,81,85,81,40,15,82,56,95,4,89,75,88,73,0,0,0,0,[]
115,8,25,65,83,46,54,86,80,86,80,37,16,83,56,50,47,89,74,88,74,0,0,0,0,[]
116,9,20,73,76,44,55,84,82,84,82,37,18,78,51,52,49,88,76,87,76,0,0,0,0,[]
