,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
228,79,85,41,70,38,90,50,52,52,52,88,77,42,38,79,16,46,12,34,40,0,5,0,1,[]
229,82,80,46,63,52,88,59,50,59,50,91,65,41,31,71,26,47,17,39,37,0,5,0,1,[]
230,84,80,55,65,68,82,58,49,58,49,93,49,34,23,65,33,36,13,26,33,0,5,0,1,[]
231,78,76,68,62,72,70,50,49,50,49,92,39,25,27,66,33,25,10,21,28,0,5,0,1,[]
232,74,67,67,66,75,61,41,39,41,39,92,39,22,38,59,33,25,11,21,41,0,5,0,1,[]
233,68,67,65,71,88,60,44,42,42,37,95,4,30,38,51,34,31,20,27,37,0,5,0,1,[]
234,64,64,66,69,91,56,50,51,50,51,92,12,40,44,47,42,38,29,38,43,0,5,0,1,[]
235,52,59,66,67,85,64,52,53,52,53,92,27,41,40,54,42,44,33,43,41,0,5,0,1,['19:34 TES »÷É±ÁËË®Áú']
236,39,52,65,61,70,64,42,52,39,51,90,37,52,33,58,39,52,28,42,39,0,5,0,1,[]
237,32,42,52,54,66,48,33,47,32,42,90,38,50,34,55,32,47,17,95,4,0,5,0,1,[]
238,29,36,45,44,67,52,41,43,36,41,90,46,54,32,56,33,40,15,89,14,0,5,0,1,[]
239,18,23,42,35,64,61,50,49,42,35,91,48,54,32,56,32,45,16,72,18,0,5,0,1,[]
240,16,17,42,35,79,64,48,42,43,35,92,47,54,32,62,36,50,17,60,25,0,5,0,1,[]
241,22,12,42,24,84,65,41,31,42,24,87,36,54,32,66,32,53,21,54,31,0,5,0,1,[]
242,25,15,41,29,84,64,41,26,41,29,75,34,54,32,60,33,54,21,54,31,0,5,0,1,[]
243,26,24,42,32,84,64,42,38,42,32,62,33,54,32,54,31,49,19,54,31,0,5,0,1,[]
244,23,37,40,32,88,65,50,48,40,32,53,32,49,33,51,33,46,12,50,33,0,5,0,1,[]
245,22,43,41,36,90,58,51,48,41,36,50,34,43,38,49,33,46,14,47,33,0,5,0,1,[]
246,24,41,29,36,87,53,53,47,29,37,45,38,36,40,43,35,46,24,39,37,0,5,0,1,[]
247,34,36,42,38,76,45,56,42,42,38,55,31,46,32,53,31,48,24,49,32,0,5,0,1,[]
248,47,34,55,32,67,35,64,33,55,32,69,29,60,25,62,25,50,24,61,25,0,5,0,1,[]
249,51,22,65,30,74,27,73,30,51,22,77,23,70,21,71,22,59,17,70,21,0,5,0,1,['20:44 TESKnight9(ÔªËØÅ®»Ê) »÷É±ÁË LNGFlandre(¿ñ±©Ö®ÐÄ)']
250,61,24,66,28,71,33,70,32,61,24,77,23,76,25,74,23,70,24,72,23,0,5,0,1,[]
251,62,23,60,35,62,34,60,33,62,23,77,23,72,29,76,28,68,30,69,26,0,5,0,1,[]
252,62,23,55,31,58,27,56,31,62,23,77,23,66,38,66,36,65,36,65,37,0,5,0,1,[]
253,66,29,67,39,64,38,64,37,66,29,77,23,73,33,74,28,73,41,68,40,0,5,0,1,[]
254,76,26,69,34,69,47,72,42,76,26,77,23,79,23,79,20,79,48,78,47,0,5,0,1,[]
255,80,15,75,24,81,51,78,47,80,14,77,23,80,9,83,10,89,50,89,49,0,5,0,1,[]
256,77,12,75,24,92,43,82,37,77,12,77,23,72,4,93,3,91,37,92,36,0,5,0,1,['21:19 TESBen(Ä§·¨Ã¨ßä) »÷É±ÁË LNGSofM(Ã¤É®)']
257,79,21,80,24,92,36,87,37,79,21,77,23,72,4,91,13,92,24,92,29,0,5,0,1,[]
258,86,31,84,31,91,31,85,36,84,31,90,15,72,4,87,22,93,10,92,24,0,5,0,1,[]
259,88,43,77,43,93,46,77,45,77,45,89,30,72,4,87,27,90,6,89,22,0,5,0,1,[]
260,81,51,70,49,93,53,81,54,77,52,91,42,72,4,77,25,76,7,92,8,0,5,0,1,[]
261,74,61,67,60,93,52,74,60,76,54,91,51,72,4,72,24,64,7,92,4,0,5,0,1,[]
262,74,61,69,64,90,58,74,61,74,61,91,38,72,4,68,31,49,8,75,13,0,5,0,1,[]
263,3,95,64,64,84,65,2,96,3,96,91,40,72,4,57,38,40,10,63,22,0,5,0,1,[]
264,11,79,51,65,84,65,15,89,4,95,90,44,81,10,52,43,37,13,50,22,0,5,0,1,[]
265,18,65,45,66,2,96,25,83,19,86,90,44,68,18,50,43,27,15,41,22,0,5,0,1,[]
266,18,51,50,75,14,83,35,77,22,80,92,48,58,23,43,33,26,11,33,22,0,5,0,1,[]
267,19,44,55,82,26,68,48,74,26,68,92,55,46,22,35,24,26,14,21,28,0,5,0,1,[]
268,25,37,54,83,31,53,41,67,31,53,91,51,34,23,24,24,25,24,21,29,0,5,0,1,[]
269,22,42,54,84,34,39,44,56,33,39,91,56,35,24,20,24,27,23,26,24,0,5,0,1,[]
270,21,45,54,84,42,45,51,51,42,45,90,68,43,33,33,22,38,26,37,26,0,5,0,1,[]
271,21,54,5,91,50,54,47,51,50,54,87,78,52,32,45,23,43,18,41,29,0,5,0,1,[]
272,12,46,15,75,62,62,43,46,62,62,90,81,54,32,57,22,47,15,43,24,0,5,0,1,[]
273,6,40,18,61,77,73,42,52,77,73,90,81,56,30,68,26,48,15,43,24,0,5,0,1,[]
274,10,28,21,48,86,77,50,52,86,77,90,13,53,28,67,29,48,17,83,9,0,5,0,1,[]
275,10,27,21,36,90,64,51,51,90,64,88,29,41,24,56,32,42,23,67,12,0,5,0,1,[]
276,13,16,20,27,84,65,51,52,84,65,90,40,29,21,46,34,30,22,53,12,0,5,0,1,[]
277,15,14,24,29,67,63,56,46,67,63,91,36,28,21,37,25,30,22,40,15,0,5,0,1,[]
278,24,14,29,35,66,46,51,45,66,46,91,35,28,21,30,20,30,21,29,20,0,5,0,1,[]
279,34,12,41,36,60,39,58,37,60,39,83,30,31,17,35,16,33,16,37,15,0,5,0,1,[]
280,30,9,37,25,52,26,55,31,52,26,72,29,31,10,36,13,34,16,39,14,0,5,0,1,[]
281,22,12,33,17,44,12,48,20,44,12,63,25,35,11,31,8,33,9,37,8,0,5,0,1,['23:22 LNGSofM(Ã¤É®) »÷É±ÁË TES369(ÐÉºìÊÕ¸îÕß)']
282,22,12,26,15,35,12,37,16,35,12,49,18,23,10,26,6,24,9,33,8,0,5,0,1,['23:27 TESKnight9(ÔªËØÅ®»Ê) »÷É±ÁË LNGDuan(¹â»ÔÅ®ÀÉ)']
283,22,12,34,19,43,18,41,18,37,18,45,13,33,11,32,12,33,11,33,8,0,5,0,1,[]
284,22,12,43,24,49,26,49,25,42,25,51,19,42,17,32,9,44,11,33,8,0,5,0,1,[]
285,22,12,45,36,57,32,57,33,45,36,58,23,36,15,44,7,49,11,33,8,0,5,0,1,[]
286,22,12,57,39,67,34,65,36,57,39,71,28,36,15,47,6,49,11,33,8,0,5,0,1,[]
287,22,12,69,31,72,29,72,29,69,31,75,24,85,7,47,6,85,13,33,8,0,5,0,1,[]
288,22,12,73,28,70,25,71,29,71,29,79,24,76,20,85,10,75,20,92,5,0,6,0,1,['23:59 TESKnight9(ÔªËØÅ®»Ê) »÷ÆÆÁË·ÀÓùËþ']
289,3,95,71,28,67,26,68,29,71,28,80,30,78,29,76,20,74,23,78,17,0,6,0,1,[]
290,3,95,69,29,73,31,67,28,69,29,78,26,78,28,79,23,80,24,75,20,0,6,0,1,[]
291,71,26,73,20,72,31,70,25,74,20,80,25,81,29,81,22,82,24,80,20,0,6,0,1,[]
292,72,25,70,24,72,27,71,25,70,24,71,18,80,30,78,17,78,19,78,19,0,6,0,1,[]
293,73,33,68,35,67,29,68,30,73,33,80,18,79,32,75,19,79,25,79,26,0,6,0,1,[]
294,61,34,69,49,69,42,69,41,61,34,91,11,71,30,73,26,71,29,84,17,0,6,0,1,[]
295,55,30,74,56,73,53,67,53,67,45,93,10,63,34,65,30,66,30,91,5,0,6,0,1,[]
296,45,34,69,66,83,52,67,66,65,58,93,30,58,34,60,33,60,33,79,13,0,6,0,1,[]
297,36,39,65,70,89,59,67,66,64,63,92,43,46,32,53,32,49,34,65,21,0,6,0,1,[]
298,36,42,66,65,81,51,65,64,65,64,90,41,42,25,41,31,44,34,54,21,0,6,0,1,[]
299,27,36,54,57,66,48,58,58,54,57,92,36,32,22,41,31,47,37,52,29,0,6,0,1,['24:51 TES »÷É±ÁË»ðÁú']
300,25,37,45,52,59,35,53,49,52,50,92,36,25,24,33,23,53,33,44,32,0,6,0,1,[]
301,27,37,50,45,60,44,58,43,50,45,91,36,37,23,42,23,51,22,45,23,0,6,0,1,[]
302,18,44,43,59,60,49,49,54,44,56,91,35,50,21,54,18,63,13,55,19,0,6,0,1,[]
303,21,51,49,66,60,49,49,65,43,58,90,35,58,26,62,14,69,19,53,20,0,6,0,1,[]
304,22,52,49,66,10,93,48,77,2,96,91,42,53,32,66,25,71,28,53,20,0,6,0,1,[]
305,16,42,3,96,29,83,51,84,4,95,91,47,51,34,61,33,63,35,81,10,0,6,0,1,[]
306,10,30,14,80,41,71,50,84,5,92,91,56,48,24,59,38,61,41,66,19,0,6,0,1,[]
307,15,39,25,70,50,60,54,84,6,94,90,57,42,17,59,39,62,41,54,21,0,6,0,1,[]
308,23,43,31,58,48,51,54,84,2,97,80,53,42,15,60,35,67,36,43,24,0,6,0,1,[]
309,25,37,32,44,48,58,2,96,2,96,80,52,47,17,60,35,67,36,43,24,0,6,0,1,[]
310,33,31,33,40,55,47,43,49,43,49,76,41,42,26,77,12,95,4,40,25,0,6,0,1,[]
311,27,33,41,33,55,47,42,38,41,33,76,41,44,24,66,20,82,10,42,24,0,6,0,1,[]
312,19,21,45,32,48,42,44,35,45,32,89,7,51,21,66,29,68,18,51,21,0,6,0,1,[]
313,16,16,54,31,41,32,51,32,53,31,72,15,51,21,67,31,60,24,52,21,0,6,0,1,[]
314,23,13,53,21,43,25,51,30,51,29,59,23,52,24,63,25,53,25,52,21,0,6,0,1,[]
315,36,16,48,24,58,15,54,27,54,28,62,23,59,14,60,24,62,23,55,21,0,6,0,1,"['26:13 TESKnight9(ÔªËØÅ®»Ê) »÷É±ÁË LNGDuan(¹â»ÔÅ®ÀÉ)', '26:15 TESKnight9(ÔªËØÅ®»Ê) »÷É±ÁË LNGSofM(Ã¤É®)']"
316,52,18,50,23,51,17,56,22,50,23,55,16,59,13,54,19,61,23,55,21,0,6,0,1,['26:20 TESBen(Ä§·¨Ã¨ßä) »÷É±ÁË LNGPlex(É³Ä®»ÊµÛ)']
317,61,12,61,25,58,23,60,24,62,12,58,15,59,13,54,18,67,18,55,21,0,6,0,1,['26:22 TESKnight9(ÔªËØÅ®»Ê) »÷É±ÁË LNGFlandre(¿ñ±©Ö®ÐÄ)']
318,75,15,73,24,71,21,64,32,75,15,58,15,59,13,54,18,79,20,55,21,0,6,0,1,[]
319,79,21,78,21,76,23,59,39,77,24,58,15,59,13,54,18,80,20,55,21,0,6,0,1,['26:32 TESXx(½âÍÑÕß) »÷É±ÁË LNGAsura(Ì½ÏÕ¼Ò)']
320,89,22,81,20,81,19,70,30,77,24,58,15,59,13,54,18,80,20,55,21,0,6,0,1,[]
321,90,21,85,23,86,22,83,23,85,23,58,15,59,13,54,18,80,20,55,21,0,6,0,1,[]
322,85,21,85,17,87,17,85,18,85,21,58,15,59,13,54,18,80,20,90,10,0,6,0,1,[]
323,87,14,84,10,90,10,82,10,90,10,58,15,59,13,54,18,80,20,93,3,0,7,0,1,['26:52 TESKnight9(ÔªËØÅ®»Ê) »÷ÆÆÁË·ÀÓùËþ']
324,92,13,88,9,90,11,83,10,90,11,58,15,95,9,54,18,80,20,92,5,0,8,0,1,['26:57 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
325,93,10,92,9,93,4,85,9,93,4,58,15,95,8,54,18,80,20,93,3,0,8,0,1,[]
326,93,10,92,9,93,4,85,9,93,4,58,15,95,8,54,18,80,20,93,3,0,8,0,1,['27:10 TES »ñÊ¤']
