,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, , , ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,19,49,10,22,87,79,86,78,48,51,54,44,61,59,13,19,91,73,89,43,0,0,0,0,[]
57,15,44,11,25,87,78,87,77,46,52,51,43,55,64,14,19,91,68,89,55,0,0,0,0,[]
58,16,44,9,21,86,76,86,78,42,59,48,51,51,65,14,19,91,70,89,66,0,0,0,0,[]
59,22,43,11,23,82,78,82,78,44,67,48,51,51,65,14,14,93,70,92,68,0,0,0,0,[]
60,31,37,12,23,82,78,82,78,40,65,52,47,55,56,15,16,90,69,89,73,0,0,0,0,[]
61,41,34,9,23,85,81,85,81,43,54,51,48,57,55,15,18,88,70,90,70,0,0,0,0,[]
62,34,23,12,22,83,83,83,83,43,52,49,46,93,4,16,19,89,75,88,74,0,0,0,0,[]
63,28,20,14,19,84,84,84,84,39,52,43,44,81,9,19,14,85,79,88,83,0,0,0,0,[]
64,25,25,11,19,78,87,78,87,39,55,45,46,70,10,15,13,81,85,81,86,0,0,0,0,[]
65,30,34,11,20,75,88,75,88,41,55,47,53,59,11,15,15,79,86,78,86,0,0,0,0,[]
66,43,36,14,20,66,93,72,89,44,53,49,51,48,11,14,14,75,87,74,88,0,0,0,0,[]
67,49,35,10,24,66,93,66,93,44,55,51,51,43,16,22,14,83,81,82,83,0,0,0,0,[]
68,48,35,10,21,63,87,61,87,41,51,49,53,44,16,16,16,84,79,83,80,0,0,0,0,[]
69,49,34,10,24,60,89,61,85,44,54,49,52,43,16,14,18,82,80,79,84,0,0,0,0,[]
70,48,42,9,24,61,89,64,89,49,49,52,52,47,16,12,17,79,85,76,86,0,0,0,0,[]
71,49,52,10,20,71,92,71,92,49,51,48,56,51,26,12,17,76,86,68,80,0,0,0,0,[]
72,45,57,11,23,73,91,73,91,48,56,57,59,50,35,12,17,78,81,59,74,0,0,0,0,[]
73,43,56,7,25,72,93,72,93,47,52,55,55,49,35,12,17,78,81,54,62,0,0,0,0,[]
74,42,58,12,22,73,90,71,89,41,53,50,55,42,42,16,17,95,4,48,56,0,0,0,0,[]
75,40,62,11,22,74,90,72,89,44,54,53,50,42,43,17,17,95,14,55,59,0,0,0,0,[]
76,40,62,12,22,74,92,72,89,44,55,48,54,44,50,16,16,93,25,48,58,0,0,0,0,[]
77,37,61,12,18,74,90,73,89,42,54,47,51,47,53,16,17,92,36,51,53,0,0,0,0,['6:22 EDGJiejie(½âÍÑÕß) »÷É±ÁË V5Mole(ÑÒÈ¸)']
78,37,61,11,22,74,89,73,87,42,54,48,50,58,59,16,17,91,46,54,58,0,0,0,0,[]
79,7,95,11,23,77,89,74,87,42,54,48,52,65,63,13,16,89,57,54,58,0,0,0,0,[]
80,18,91,12,22,79,86,72,88,5,95,51,51,72,65,15,16,88,68,93,5,0,0,0,0,[]
81,33,89,11,22,83,85,71,88,17,87,51,51,67,64,14,16,85,78,92,17,0,0,0,0,[]
82,42,84,9,24,80,87,61,86,25,76,93,6,64,59,15,18,81,82,91,29,0,0,0,0,[]
83,50,79,7,21,70,88,50,79,39,72,91,10,69,49,18,15,83,80,90,42,0,0,0,0,[]
84,52,75,10,14,74,87,52,75,42,61,83,19,74,44,18,15,89,81,89,54,0,0,0,0,[]
85,55,76,8,24,79,86,57,76,43,54,74,27,77,47,20,20,86,80,87,66,0,0,0,0,[]
86,63,77,10,21,83,82,67,80,43,55,65,36,80,53,18,23,87,75,90,77,0,0,0,0,[]
87,73,74,9,18,82,81,73,74,44,54,56,44,80,55,15,19,87,76,87,84,0,0,0,0,[]
88,80,75,8,19,84,80,80,75,43,56,51,52,81,55,15,18,86,77,87,81,0,0,0,0,[]
89,81,78,9,18,88,80,88,80,44,55,46,50,76,56,15,19,89,75,91,76,0,0,0,0,[]
90,80,76,9,18,84,81,87,81,42,54,50,51,79,66,14,19,90,78,89,81,0,0,0,0,[]
91,81,86,14,19,82,87,82,87,44,54,50,50,80,82,17,20,86,81,85,83,0,0,0,0,[]
92,73,91,16,20,74,91,73,90,41,59,46,55,77,90,20,20,77,90,78,91,0,0,0,0,['7:40 EDGiBoy(¸´³ðÖ®Ã¬) »÷É±ÁË V5Ben4(Ðé¿ÕÂÓ¶áÕß)']
93,73,92,12,21,65,93,65,93,43,54,50,51,81,84,22,25,80,85,79,86,0,0,0,0,[]
94,73,92,10,20,55,93,55,93,44,55,49,51,76,77,24,33,76,87,71,84,0,0,0,0,[]
95,3,96,16,21,54,94,54,94,40,55,46,54,69,68,25,25,71,86,64,83,0,0,0,0,[]
96,18,94,23,13,2,96,3,96,41,53,50,51,70,67,27,16,67,90,67,90,0,0,0,0,[]
97,29,93,25,14,9,95,7,95,40,57,49,52,69,67,29,9,71,90,70,83,0,0,0,0,[]
98,41,91,22,12,19,95,9,95,39,56,56,59,68,68,26,7,68,89,73,72,0,0,0,0,[]
99,52,88,21,13,32,94,11,95,39,56,57,63,68,68,24,8,68,88,71,67,0,0,0,0,[]
100,52,85,21,10,44,93,22,94,39,61,67,67,68,68,29,8,70,88,71,67,0,0,0,0,[]
101,53,84,24,11,56,92,33,93,41,54,72,63,74,61,31,7,70,84,72,76,0,0,0,0,['8:21 EDG »÷É±ÁË»ðÁú']
102,52,85,21,20,69,92,44,93,42,56,76,55,75,56,31,7,68,80,71,88,0,0,0,0,[]
103,53,85,21,21,72,90,53,85,45,51,77,52,76,53,93,4,68,80,70,82,0,0,0,0,[]
104,50,82,16,17,70,85,50,82,46,54,71,50,77,54,84,5,94,12,74,75,0,0,0,0,[]
105,47,71,14,15,78,87,47,71,44,56,59,49,77,54,73,6,93,24,78,73,0,0,0,0,[]
106,47,66,12,17,79,83,56,68,43,58,60,44,89,6,60,8,91,36,78,73,0,0,0,0,[]
107,46,65,13,15,78,87,59,70,5,95,53,46,80,10,49,9,90,51,93,6,0,0,0,0,[]
108,46,65,13,15,79,86,66,78,9,91,49,43,70,16,38,9,89,63,85,18,0,0,0,0,[]
109,46,65,4,91,79,86,65,83,20,82,48,48,62,23,30,7,87,75,81,32,0,0,0,0,[]
110,4,94,4,79,80,85,62,85,29,72,50,46,50,26,23,9,88,84,80,47,0,0,0,0,[]
111,11,83,6,67,80,85,68,84,38,62,95,4,52,28,24,10,87,85,75,60,0,0,0,0,[]
112,17,73,8,56,82,86,78,87,38,55,91,11,52,29,23,12,84,83,79,75,0,0,0,0,[]
113,18,61,16,49,72,91,72,91,37,56,80,18,51,33,27,21,76,89,74,92,0,0,0,0,[]
114,21,51,16,41,73,92,72,90,45,55,71,25,50,35,23,29,79,90,81,90,0,0,0,0,[]
115,23,55,11,31,72,88,72,88,46,51,63,35,40,31,23,33,79,85,81,90,0,0,0,0,[]
116,22,52,10,26,72,91,72,91,45,53,55,43,37,40,22,40,81,83,82,83,0,0,0,0,[]
117,23,45,15,34,76,89,76,89,36,57,49,51,35,40,21,30,82,88,80,83,0,0,0,0,[]
118,23,46,19,24,70,90,70,90,23,55,56,60,41,35,17,20,79,86,79,84,0,0,0,0,[]
119,23,51,12,24,70,90,70,90,26,51,54,58,41,34,15,18,76,88,77,88,0,0,0,0,[]
120,32,59,7,28,68,93,67,90,36,57,53,58,42,44,11,20,74,91,73,90,0,0,0,0,[]
121,41,66,7,24,70,92,70,92,44,53,53,58,42,45,13,18,78,89,76,89,0,0,0,0,[]
122,48,74,10,26,72,91,72,91,45,53,53,58,42,45,13,17,80,86,80,85,0,0,0,0,[]
