,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,3,97,2,99,1,97,1,95,93,5,95,5,95,2,97,3,93,3,2500,0,2500,0,[]
2,3,95,4,95,4,96,6,97,4,95,93,5,93,6,95,6,94,5,94,5,2500,0,2500,0,[]
3,3,94,4,95,5,95,5,97,4,96,93,5,93,6,93,6,94,6,94,6,2500,0,2500,0,[]
4,13,74,18,77,21,80,26,95,23,85,71,7,72,15,76,20,84,26,80,23,2500,0,2500,0,[]
5,19,52,32,59,37,64,48,90,41,71,49,10,55,30,61,38,80,48,66,40,2500,0,2500,0,[]
6,22,33,33,41,45,52,68,82,57,63,29,19,46,36,52,48,79,65,67,52,2500,0,2500,0,[]
7,18,24,34,39,46,52,73,77,56,63,29,21,48,35,52,48,80,68,77,50,2500,0,2500,0,[]
8,19,24,34,39,46,52,73,77,53,64,29,21,48,34,52,48,76,61,77,60,2500,0,2500,0,[]
9,19,24,34,39,46,52,65,77,50,65,31,20,49,33,53,47,77,62,78,64,2500,0,2500,0,[]
10,19,24,34,39,45,52,58,75,50,65,30,20,49,33,51,48,75,60,76,61,2500,0,2500,0,[]
11,20,27,34,39,45,52,57,75,50,65,30,20,50,33,52,48,82,66,81,66,2500,0,2500,0,[]
12,19,24,34,39,47,51,57,76,51,65,30,20,51,32,54,46,84,66,87,66,2500,0,2500,0,[]
13,20,27,33,44,45,51,57,75,51,66,30,20,51,31,53,48,87,68,87,67,2500,0,2500,0,[]
14,19,24,33,43,45,52,57,76,57,68,30,20,52,30,63,52,85,66,87,66,2500,0,2500,0,[]
15,20,27,31,53,46,52,60,77,58,69,29,20,51,29,67,59,89,70,87,70,2500,0,2500,0,[]
16,19,23,36,62,47,50,69,82,65,77,29,20,47,24,62,50,89,70,87,70,2500,0,2500,0,[]
17,24,22,44,70,46,51,72,87,73,85,29,21,46,24,52,48,89,70,87,70,2500,0,2500,0,[]
18,28,20,51,73,48,51,81,87,82,89,27,13,48,26,51,50,88,71,88,70,2500,0,2500,0,[]
