,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
54,13,16,55,84,56,57,81,85,8,95,18,13,75,44,61,41,92,33,87,80,6812,0,6651,0,[]
55,9,19,57,84,49,53,80,86,16,94,10,19,77,46,95,4,91,43,90,81,6910,0,6769,0,[]
56,8,27,59,84,46,53,80,85,28,92,10,22,76,52,95,4,90,54,87,80,7085,0,6881,0,[]
57,6,32,60,82,46,55,79,88,40,91,11,19,76,52,47,49,88,65,79,75,7226,0,6982,0,[]
58,6,32,62,83,47,52,79,86,52,90,10,23,76,52,50,50,86,75,79,75,7317,0,7200,0,[]
59,2,96,70,79,47,53,76,89,60,84,15,21,87,5,49,50,82,84,82,85,7460,0,7300,0,[]
60,7,29,70,79,49,52,76,89,73,86,15,21,71,5,52,49,79,82,78,77,7576,0,7378,0,[]
61,9,25,78,84,52,50,80,86,79,84,89,4,59,8,53,50,78,84,81,83,8193,0,7454,0,['5:5 LGDKramer(°µÒ¹ÁÔÊÖ) »÷É±ÁË SNSmlz(ÄæÓð)']
62,9,22,75,87,52,50,81,90,77,89,74,5,47,11,55,44,78,84,83,81,8300,0,7530,0,[]
63,10,21,67,79,53,58,76,90,75,87,62,6,44,17,57,42,95,4,82,83,8401,0,7619,0,[]
64,10,21,65,77,53,58,75,88,82,90,49,8,43,16,55,50,94,15,83,82,8451,0,7765,0,[]
65,10,21,65,77,51,64,80,90,83,89,36,10,43,16,53,56,93,25,82,82,8537,0,7825,0,[]
66,9,22,3,95,50,65,75,89,82,90,23,13,45,15,52,54,92,36,83,82,8646,0,7944,0,[]
67,10,20,4,95,3,96,74,90,82,90,19,24,48,19,50,53,90,47,81,81,8745,0,8023,0,[]
68,10,19,8,93,11,91,73,89,81,91,17,18,52,30,51,52,90,57,83,80,8853,0,8195,0,[]
69,10,21,9,84,20,80,75,88,81,91,17,18,51,35,50,50,88,68,83,81,8904,0,8359,0,[]
70,11,19,16,70,28,71,74,89,81,91,15,16,51,36,53,50,84,78,85,82,8969,0,8472,0,[]
71,10,20,18,59,37,63,74,88,78,91,16,18,41,38,53,50,81,84,83,81,9071,0,8663,0,[]
72,9,22,20,49,43,56,71,89,74,91,16,21,32,44,91,12,78,87,79,86,9345,0,8741,0,[]
73,8,24,22,38,44,55,72,92,75,92,22,30,32,43,82,19,78,88,79,90,9596,0,8834,0,[]
74,9,24,21,40,45,51,72,89,75,92,22,39,23,40,74,27,78,89,78,88,9674,0,8927,0,[]
75,11,34,19,47,37,43,71,90,72,92,22,38,22,43,66,34,79,88,78,86,9761,0,9012,0,[]
76,21,37,24,40,32,40,71,91,71,90,32,37,28,34,55,40,77,89,77,87,9840,0,9081,0,[]
77,26,34,27,34,30,38,69,90,70,90,34,39,36,37,45,39,76,87,77,88,10044,0,9162,0,[]
78,22,30,22,32,23,38,69,90,71,85,27,33,28,37,35,38,80,84,80,84,10110,0,9212,0,[]
79,15,22,16,35,22,44,66,88,68,80,18,25,21,28,31,36,82,85,82,83,10156,0,9258,0,[]
80,7,23,15,43,26,50,2,96,72,83,9,22,19,24,42,42,84,84,82,87,10207,0,9400,0,[]
81,8,23,16,44,40,51,14,95,73,85,13,21,22,32,51,45,82,85,87,85,10300,0,9520,0,[]
82,8,24,18,47,47,54,25,94,73,86,15,21,22,43,51,46,76,87,82,87,10395,0,9787,0,[]
83,10,28,20,53,38,50,36,93,69,91,22,32,22,45,43,44,76,88,79,85,10501,0,9838,0,[]
84,9,30,27,59,40,53,47,92,69,91,22,32,20,50,44,49,81,83,84,84,10604,0,9910,0,[]
85,15,33,30,60,45,57,58,91,69,92,21,45,30,55,45,50,75,88,85,83,10656,0,10025,0,[]
86,16,42,32,61,34,59,68,89,68,93,24,56,28,60,40,51,81,86,87,85,10707,0,10076,0,[]
87,13,36,41,67,41,58,76,88,3,96,22,54,25,57,47,55,83,85,87,85,10801,0,10242,0,[]
88,11,25,44,69,40,58,77,88,13,95,22,42,26,58,54,62,83,84,87,85,10915,0,10381,0,[]
89,13,17,2,96,42,57,79,88,25,94,21,30,30,51,54,64,82,83,87,85,11189,0,10515,0,[]
90,14,16,6,95,45,53,79,90,37,93,18,18,35,41,56,60,82,85,87,85,11330,0,10594,0,[]
91,13,15,17,89,44,52,80,89,49,92,27,19,42,32,49,54,85,88,87,85,11458,0,10658,0,[]
92,13,18,27,82,43,52,79,91,61,91,18,15,46,26,49,54,84,88,87,85,11616,0,10810,0,[]
93,14,14,37,75,45,53,78,89,73,88,20,12,49,26,48,51,85,84,88,83,11701,0,10982,0,[]
94,12,13,46,68,44,54,79,87,80,85,22,12,51,27,49,51,87,81,87,76,11907,0,11180,0,[]
95,10,14,57,69,45,56,81,84,81,79,19,13,51,27,47,51,88,79,90,81,12003,0,11298,0,[]
96,2,96,58,64,46,54,81,84,82,81,14,21,95,9,50,48,87,78,90,81,12082,0,11349,0,[]
97,4,85,69,62,47,55,86,79,86,81,12,23,93,24,47,51,89,75,91,77,12204,0,11505,0,[]
98,5,74,75,56,46,53,84,80,82,79,10,24,92,36,50,49,87,74,90,78,12353,0,11632,0,[]
99,6,63,75,61,49,58,86,78,85,78,14,22,90,48,50,48,89,75,91,77,12419,0,11760,0,[]
100,6,51,74,60,59,62,87,78,88,78,16,22,89,60,52,49,92,71,90,73,12493,0,11904,0,[]
101,7,41,75,60,70,64,84,79,84,78,94,4,80,68,57,50,89,72,88,71,12644,0,11982,0,[]
102,8,28,77,61,75,67,84,78,79,72,91,4,83,65,52,53,87,66,89,65,12739,0,12037,0,[]
103,12,21,66,63,64,63,89,78,82,78,78,5,82,57,47,51,87,67,92,66,12789,0,12151,0,[]
104,14,14,54,64,53,60,89,83,80,75,65,7,82,57,50,49,88,73,90,69,12902,0,12335,0,[]
105,14,13,48,65,46,53,87,85,83,83,50,8,76,61,53,50,88,77,90,77,13089,0,12483,0,[]
106,11,16,49,65,41,55,82,85,82,83,37,10,77,71,47,52,89,81,89,82,13353,0,12703,0,[]
107,15,16,58,70,40,58,78,87,80,86,25,12,76,71,45,54,85,83,84,84,13452,0,12817,0,[]
108,20,13,66,79,44,55,75,90,75,89,23,8,71,67,46,52,84,88,80,85,13532,0,12897,0,[]
109,23,12,73,84,45,53,76,87,81,85,23,10,80,74,51,51,86,87,85,88,13691,0,13004,0,[]
110,20,11,80,85,45,54,79,86,82,88,26,9,85,81,49,51,86,85,84,86,13846,0,13566,0,[]
111,22,11,79,91,48,56,78,88,79,90,34,7,85,87,50,51,82,87,81,89,13976,0,13649,0,['9:13 SNWeiwei(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË LGDRD(ÕýÒå¾ÞÏñ)']
112,21,9,88,84,56,63,84,83,79,90,37,7,87,79,59,57,87,81,90,80,14027,0,13699,0,[]
113,26,10,78,90,61,74,75,78,79,90,83,89,83,83,68,66,84,86,85,82,14079,0,13778,0,[]
114,27,10,73,89,60,76,72,85,5,95,81,88,81,79,71,68,83,86,82,86,14165,0,13871,0,[]
115,26,10,68,88,55,66,73,88,17,95,87,85,75,68,64,62,88,84,89,81,14265,0,13921,0,[]
116,22,11,58,84,48,56,77,86,29,93,87,85,74,67,54,57,88,84,89,81,14433,0,14102,0,[]
117,22,9,55,84,46,50,76,86,40,92,88,83,75,58,52,51,92,5,92,7,14688,0,14174,0,[]
118,24,9,54,85,46,50,78,86,52,90,87,84,72,44,52,50,87,4,87,7,14869,0,14289,0,[]
119,17,9,53,85,42,55,79,86,64,88,85,81,72,42,47,50,76,5,73,10,15012,0,14340,0,[]
120,17,9,57,84,45,53,84,79,75,87,89,74,71,41,50,51,65,5,59,9,15106,0,14522,0,[]
121,3,93,66,82,46,54,87,76,82,79,92,68,71,41,47,53,55,6,46,11,15180,0,14598,0,[]
122,4,89,75,75,44,55,86,77,87,77,87,65,92,4,50,51,44,8,34,17,15361,0,14657,0,[]
123,8,78,75,67,45,55,86,77,87,75,89,68,77,7,50,48,33,10,23,25,15671,0,14805,0,[]
124,17,71,71,69,42,59,84,78,80,76,91,69,65,11,49,49,23,13,16,22,15723,0,14904,0,[]
125,29,68,64,71,40,62,89,72,71,69,93,69,54,17,51,46,17,17,15,17,15775,0,15216,0,[]
126,38,60,64,71,40,62,89,75,66,70,93,71,43,24,47,48,14,18,16,21,15828,0,15320,0,[]
127,46,55,64,71,7,93,86,78,66,69,90,62,33,31,48,47,11,20,12,23,15934,0,15525,0,[]
128,48,52,64,71,10,85,85,78,75,72,85,65,31,32,53,44,11,24,17,23,16113,0,15610,0,[]
129,48,50,68,68,18,76,85,77,85,78,88,68,35,31,58,37,9,28,27,31,16270,0,15821,0,['10:43 LGD »÷É±ÁË»ðÁú']
130,54,57,78,74,28,69,90,72,90,70,92,63,34,30,58,37,9,28,32,32,16481,0,16032,0,[]
131,65,61,87,75,37,62,89,71,91,69,91,63,32,32,95,3,9,28,31,33,16693,0,16086,0,[]
132,76,62,91,71,48,53,90,72,91,70,89,57,33,31,90,7,8,29,29,36,16934,0,16286,0,[]
133,79,64,87,75,51,52,89,75,90,75,79,48,28,33,90,7,9,28,29,36,17042,0,16393,0,[]
134,78,63,89,77,42,56,86,76,88,77,73,43,18,34,55,43,10,29,93,16,17121,0,16660,0,[]
135,86,66,90,80,39,53,91,73,91,78,77,51,18,34,54,48,9,29,92,30,17171,0,16768,0,[]
136,88,71,90,81,40,53,90,78,91,81,87,54,19,37,57,50,8,32,91,45,17384,0,17793,1,"['11:20 SN »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
137,88,72,2,96,44,53,90,81,2,96,89,66,19,45,51,49,8,39,88,59,17436,0,17977,1,[]
138,85,78,6,82,48,52,4,96,4,93,88,75,19,46,53,49,10,39,87,70,17508,0,18233,1,[]
139,76,87,6,70,44,53,12,93,5,80,81,84,23,44,52,48,12,36,81,82,17600,0,18326,1,[]
140,72,90,7,58,44,53,23,90,9,70,80,87,24,41,49,47,12,36,80,84,17677,0,18588,1,[]
141,70,89,10,50,41,54,35,90,20,70,78,86,25,37,50,50,94,9,80,84,17821,0,18912,1,[]
142,70,90,20,48,40,57,47,91,31,67,78,74,37,38,55,52,93,21,71,78,17992,0,18963,1,[]
143,71,91,25,57,49,59,59,91,43,67,67,78,49,42,55,55,92,34,70,77,18195,0,19014,1,[]
144,68,89,26,59,45,52,70,88,52,63,71,70,48,43,51,51,91,46,67,66,18314,0,19119,1,[]
145,68,89,36,63,45,52,68,88,58,63,66,59,48,43,51,50,89,59,65,57,18387,0,19270,1,[]
146,4,89,45,67,47,52,74,86,55,62,65,57,52,35,51,50,87,71,68,61,18559,0,19442,1,[]
147,5,77,46,66,48,58,79,86,58,70,71,65,56,32,56,54,84,81,77,72,18689,0,19540,1,[]
148,7,65,49,73,42,58,80,87,67,78,78,73,65,40,62,63,82,81,78,75,18740,0,19604,1,[]
149,7,53,52,75,45,51,80,88,74,86,79,75,66,52,59,60,81,79,79,75,18975,0,19673,1,[]
