,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
250,7,36,19,47,13,48,21,47,22,46,93,29,27,23,12,23,52,29,47,34,0,2,0,3,[]
251,15,35,29,50,8,38,21,46,27,35,92,43,36,17,25,23,48,35,46,40,0,2,0,3,[]
252,16,34,33,49,10,31,29,51,22,47,90,56,45,16,29,21,50,45,50,45,0,2,0,3,[]
253,11,30,34,42,12,22,40,54,19,36,90,70,44,15,23,24,49,47,49,47,0,2,0,3,[]
254,12,25,35,39,14,21,40,58,20,26,91,73,48,18,27,21,48,42,51,41,0,2,0,3,[]
255,12,25,37,50,11,28,39,61,19,26,80,75,50,25,31,19,48,42,51,41,0,2,0,3,[]
256,2,96,48,60,11,28,43,56,19,26,67,78,59,34,42,14,54,45,86,10,0,2,0,3,[]
257,10,95,51,65,10,86,44,55,17,89,72,77,67,41,40,8,50,48,79,22,0,2,0,3,[]
258,19,94,53,64,2,95,43,56,27,76,85,77,68,47,33,8,51,48,71,30,0,2,0,3,[]
259,32,93,56,60,8,87,43,56,36,66,87,65,73,42,33,5,51,45,63,37,0,2,0,3,[]
260,46,92,56,67,16,79,43,56,44,55,87,55,65,40,33,5,54,42,55,44,0,2,0,3,[]
261,59,91,56,77,25,70,45,54,46,55,78,51,55,44,89,7,95,5,50,47,0,2,0,3,[]
262,67,91,50,80,35,62,40,57,40,55,65,50,50,44,75,21,85,18,48,50,0,2,0,3,[]
263,72,88,51,84,41,52,41,52,32,45,55,49,49,50,59,26,76,26,50,50,0,2,0,3,[]
264,83,81,50,83,40,57,42,56,24,38,51,48,52,48,45,34,66,33,52,47,0,2,0,3,[]
265,84,82,55,75,41,55,41,55,23,40,63,50,58,39,35,38,57,40,46,40,0,2,0,3,[]
266,85,77,55,64,41,54,31,58,27,46,75,49,58,39,29,34,45,40,41,42,0,2,0,3,[]
267,88,65,65,57,41,53,34,49,24,41,87,49,90,7,30,29,42,39,42,41,0,2,0,3,[]
268,89,52,58,56,51,52,40,51,24,39,89,46,77,18,35,24,42,39,42,39,0,2,0,3,[]
269,88,53,57,55,53,52,50,52,24,40,90,46,79,29,19,24,51,44,51,44,0,2,0,3,[]
270,91,51,57,55,50,53,48,53,24,40,88,46,87,39,8,29,52,46,52,46,0,2,0,3,[]
271,85,52,56,56,42,58,40,61,11,91,89,46,86,37,8,28,51,48,55,47,0,2,0,3,[]
272,80,55,55,61,30,59,40,61,24,80,90,48,78,36,11,29,53,45,55,46,0,2,0,3,[]
273,83,59,53,62,21,53,4,97,27,69,91,52,67,37,15,41,47,50,48,51,0,2,0,3,[]
274,77,56,48,66,18,51,15,84,19,61,93,51,68,40,12,47,42,53,39,50,0,2,0,3,[]
275,68,64,35,61,9,51,23,73,20,49,92,53,58,42,11,37,41,51,35,48,0,2,0,3,[]
276,71,70,35,63,6,47,33,65,23,46,86,52,46,40,14,35,43,48,44,54,0,2,0,3,[]
277,81,77,43,67,5,45,36,62,20,48,74,49,35,40,8,35,43,47,43,47,0,2,0,3,[]
278,86,78,32,59,8,44,35,60,20,51,61,50,31,37,10,30,33,43,33,43,0,2,0,3,[]
279,75,74,25,58,7,45,42,58,20,51,72,50,33,38,18,23,37,42,37,42,0,2,0,3,[]
280,67,64,33,59,9,50,42,58,22,44,85,51,41,45,25,36,46,47,46,47,0,2,0,3,[]
281,69,64,34,59,9,50,41,58,21,47,91,55,41,45,33,36,47,51,44,52,0,2,0,3,[]
282,75,72,3,94,3,91,42,57,29,52,80,51,41,42,34,39,49,49,45,49,0,2,0,3,[]
283,85,79,15,79,17,77,41,58,38,60,75,56,46,35,28,33,44,50,45,54,0,2,0,3,[]
284,86,77,25,70,35,58,39,60,38,56,86,51,45,36,17,20,43,48,45,46,0,2,0,3,[]
285,86,65,31,54,43,56,44,56,48,55,90,49,46,39,15,15,44,43,46,42,0,2,0,3,[]
286,77,58,32,50,53,48,54,47,52,43,90,53,50,35,25,22,47,39,47,39,0,2,0,3,[]
287,83,62,31,55,54,52,50,51,48,49,90,54,59,36,38,28,54,45,54,45,0,2,0,3,[]
288,90,60,42,52,55,56,50,52,44,43,83,49,54,45,44,39,53,46,53,46,0,2,0,3,[]
289,80,65,40,50,47,51,44,54,44,50,87,49,48,42,41,42,51,43,51,43,0,2,0,3,[]
290,79,64,40,55,43,54,38,62,40,59,88,46,44,38,41,42,49,48,49,48,0,2,0,3,[]
291,3,94,38,60,38,58,39,70,35,67,90,47,42,45,29,38,46,52,46,52,0,2,0,3,[]
292,15,81,42,67,38,60,45,79,34,68,89,46,35,38,22,48,44,53,44,52,0,2,0,3,[]
293,29,80,49,65,42,58,45,79,3,96,83,50,41,45,21,48,46,51,46,51,0,2,0,3,[]
294,40,77,56,61,42,57,40,69,12,78,77,51,41,45,21,48,45,51,44,48,0,2,0,3,[]
295,55,76,55,54,43,56,42,59,25,70,77,51,34,38,21,48,42,47,40,44,0,2,0,3,[]
296,54,65,50,43,46,52,49,50,31,57,67,50,34,36,21,47,43,43,38,40,0,2,0,3,[]
297,51,60,51,41,46,47,50,45,33,43,58,49,41,42,30,49,45,39,45,38,0,2,0,3,[]
298,46,35,48,47,50,50,51,47,42,38,55,50,39,37,51,49,41,35,41,35,0,2,0,3,[]
299,50,46,44,49,47,51,51,51,45,44,48,51,31,38,50,47,43,38,43,38,0,2,0,3,['24:54 LGDYuuki(‘™Àÿ≈Æª ) ª˜…±¡À JDGKanavi(—“»∏)']
300,45,52,44,49,45,54,51,51,45,52,45,51,36,41,50,47,49,46,49,46,0,2,0,3,[]
301,43,59,44,49,45,54,51,51,39,58,45,51,44,51,50,47,46,51,42,54,0,2,0,3,[]
302,38,62,44,49,45,54,51,51,34,64,45,51,38,51,50,47,40,53,38,51,0,2,0,3,[]
303,43,53,44,49,45,54,51,51,41,58,45,51,32,41,50,47,35,40,32,41,0,2,0,3,[]
304,44,44,44,49,45,54,51,51,37,50,45,51,34,39,50,47,33,38,34,38,0,2,0,3,[]
305,40,34,44,49,45,54,51,51,32,41,45,51,34,39,50,47,32,40,32,40,0,2,0,3,[]
306,40,38,44,49,45,54,51,51,32,41,45,51,32,32,50,47,31,33,32,33,0,2,0,3,[]
307,34,41,3,95,45,54,51,51,32,41,45,51,31,31,50,47,33,32,33,32,0,2,0,3,[]
308,36,40,13,79,2,96,34,48,32,41,45,51,30,30,80,12,30,33,33,31,0,2,0,3,[]
309,32,34,18,65,10,83,30,33,32,41,45,51,32,28,61,24,30,30,31,28,0,2,0,3,[]
310,34,30,30,33,15,71,28,33,32,41,95,4,35,29,47,34,27,31,35,30,0,2,0,3,[]
311,27,31,26,33,17,59,25,29,32,41,31,32,35,29,32,34,22,28,34,31,0,2,0,3,[]
312,26,30,24,36,21,54,25,29,32,41,26,31,35,29,29,35,20,26,34,31,0,2,0,3,[]
313,26,30,24,36,28,59,25,29,16,88,33,38,35,29,29,37,20,26,34,31,0,2,0,3,[]
314,26,30,24,36,40,58,25,29,31,80,44,46,35,29,44,45,93,4,34,31,0,2,0,3,[]
315,26,30,24,36,37,62,25,29,41,71,44,57,35,29,46,48,96,3,34,31,0,2,0,3,[]
316,26,30,24,36,41,60,25,29,46,63,47,58,35,29,56,61,97,3,34,31,0,2,0,3,[]
317,26,30,24,36,38,63,25,29,38,66,40,59,35,29,43,68,51,49,34,31,0,2,0,3,[]
318,26,30,24,36,33,65,25,29,36,67,40,66,93,5,38,64,41,57,96,3,0,2,0,3,[]
319,26,30,24,36,32,72,25,29,29,72,50,66,93,5,44,67,41,60,93,8,0,2,0,3,[]
320,26,30,24,36,34,64,13,89,28,70,62,64,93,8,57,63,44,58,81,19,0,2,0,3,[]
321,26,30,10,82,30,67,24,77,28,70,68,68,93,8,71,65,36,64,73,28,0,2,0,3,[]
322,12,95,16,68,29,67,32,65,28,70,74,71,85,24,69,66,35,61,64,36,0,2,0,3,[]
323,29,93,18,52,29,67,31,66,28,70,68,68,81,37,68,69,44,55,56,44,0,2,0,3,[]
324,42,92,21,46,29,67,31,67,28,70,74,64,80,50,71,66,43,54,49,54,0,2,0,3,[]
325,53,87,17,43,29,67,29,71,28,70,74,64,79,53,71,66,50,61,53,61,0,2,0,3,[]
326,57,81,19,47,29,67,31,66,28,70,92,12,73,48,82,5,51,65,57,72,0,2,0,3,[]
327,55,84,31,47,29,67,31,69,12,90,84,27,69,54,58,8,51,62,55,76,0,2,0,3,[]
328,54,88,38,40,29,67,32,63,24,78,80,41,62,60,48,8,44,54,54,66,0,2,0,3,[]
329,63,91,31,46,29,67,35,62,34,68,77,54,51,56,45,11,46,54,48,56,0,2,0,3,[]
330,65,83,31,65,29,67,35,65,36,65,74,65,44,51,45,16,39,50,39,52,0,2,0,3,[]
331,77,87,38,67,2,96,31,67,33,66,68,63,43,43,39,17,39,58,39,53,0,2,0,3,[]
332,83,85,35,74,16,79,30,68,33,69,78,64,46,36,39,16,36,64,36,64,0,2,0,3,[]
333,80,88,40,69,27,70,30,67,32,67,90,66,46,35,32,11,36,63,38,59,0,2,0,3,[]
334,81,88,42,64,28,66,33,65,26,66,88,74,41,34,19,9,40,58,40,55,0,2,0,3,[]
335,86,86,38,73,31,68,32,66,26,66,88,76,33,35,8,17,40,55,40,55,0,2,0,3,[]
336,82,80,50,75,36,63,35,63,6,90,82,80,28,34,9,24,42,54,42,54,0,2,0,3,[]
337,80,79,66,77,34,64,35,66,19,76,80,78,23,41,8,29,42,54,44,53,0,2,0,3,[]
338,83,80,67,78,26,65,32,69,25,66,81,82,22,42,11,34,47,49,44,48,0,2,0,3,[]
339,77,88,62,84,13,63,31,72,18,58,81,82,20,46,5,47,48,35,44,48,0,2,0,3,[]
340,75,89,47,82,9,56,2,96,11,61,81,82,23,37,5,47,53,30,82,12,0,2,0,3,[]
341,2,96,40,68,9,52,16,85,8,53,81,82,23,33,90,5,51,36,71,24,0,2,0,3,[]
342,11,91,38,58,13,49,28,74,9,44,81,82,23,33,72,17,50,44,63,33,0,2,0,3,[]
343,23,79,28,52,11,45,37,65,10,40,81,82,87,20,56,23,48,48,54,42,0,2,0,3,[]
344,31,69,28,58,9,32,41,57,18,33,81,82,81,34,38,26,43,46,44,46,0,2,0,3,[]
345,37,63,32,62,9,31,35,64,11,37,81,82,80,48,23,35,43,55,45,56,0,2,0,3,[]
346,42,67,32,64,8,36,36,64,6,45,81,82,74,60,15,21,43,54,44,53,0,2,0,3,[]
347,53,64,47,66,5,45,38,62,6,45,81,82,66,60,14,22,47,52,45,48,0,2,0,3,[]
348,64,64,56,67,5,45,37,63,12,92,94,14,67,51,10,25,46,51,45,48,0,2,0,3,[]
349,76,68,53,63,5,44,39,61,31,90,91,32,75,49,11,22,44,50,44,49,0,2,0,3,[]
350,76,57,43,67,5,45,37,64,45,91,91,46,68,52,14,22,46,51,44,51,0,2,0,3,[]
351,83,66,56,68,7,46,42,68,59,92,84,52,65,57,25,30,47,51,48,50,0,2,0,3,[]
352,85,65,57,67,7,50,43,67,74,90,85,52,65,50,17,34,51,56,56,55,0,2,0,3,[]
353,90,61,50,64,8,53,39,65,83,80,93,60,78,49,9,37,47,51,47,51,0,2,0,3,[]
354,93,52,55,61,8,53,42,58,87,67,93,53,90,51,10,31,52,50,52,50,0,2,0,3,[]
355,89,55,70,66,14,91,42,59,88,60,90,45,92,43,11,33,53,57,53,57,0,2,0,3,[]
356,90,68,70,79,9,64,38,65,88,67,90,42,82,37,24,34,60,58,61,59,0,2,0,3,[]
357,87,74,66,82,8,50,47,74,85,78,90,49,78,49,41,41,71,53,73,52,0,2,0,3,[]
358,86,78,57,84,9,50,45,79,83,81,91,50,76,45,54,54,67,52,67,52,0,2,0,3,[]
359,86,78,51,85,12,47,44,68,2,96,92,51,78,51,57,68,54,50,62,60,0,2,0,3,[]
360,14,95,48,78,19,48,43,68,18,85,84,52,80,53,57,73,50,50,57,73,0,2,0,3,[]
361,28,87,45,71,19,49,37,66,29,74,88,62,72,50,47,72,48,54,47,72,0,2,0,3,[]
362,34,83,45,71,29,60,33,64,34,66,91,74,72,50,42,68,39,62,42,68,0,2,0,3,[]
363,30,71,45,71,27,66,27,69,31,70,86,77,94,4,37,61,38,61,39,60,0,2,0,3,[]
364,31,71,45,71,29,66,24,71,26,66,75,77,80,14,34,59,38,60,38,60,0,2,0,3,[]
365,31,70,45,71,32,69,2,96,31,69,65,83,70,26,28,51,39,61,39,61,0,2,0,3,[]
366,32,66,45,71,34,64,18,85,38,75,65,93,62,37,23,55,36,60,36,60,0,2,0,3,[]
367,28,71,45,71,19,73,27,73,27,71,60,91,56,43,28,65,32,63,32,63,0,2,0,3,[]
368,25,78,45,71,17,77,17,80,21,76,48,88,49,49,25,67,26,68,30,70,0,2,0,4,[]
369,27,78,45,71,17,77,20,74,21,74,45,90,40,59,28,67,29,69,31,72,0,2,0,4,[]
370,35,87,45,71,17,77,20,77,20,82,44,88,32,70,33,73,28,68,30,71,0,2,0,5,[]
371,32,91,12,96,17,77,23,86,10,92,42,89,35,78,34,79,30,74,30,74,0,2,0,5,[]
372,31,93,27,92,17,77,29,93,14,90,39,91,35,85,32,79,32,77,32,77,0,2,0,5,[]
373,34,91,29,89,17,77,31,94,29,85,34,83,35,83,27,74,32,78,32,78,0,2,0,5,[]
374,25,82,26,85,17,77,29,84,22,80,29,73,28,74,21,75,23,73,24,72,0,2,0,6,[]
375,24,80,17,78,17,77,18,79,17,77,25,72,26,75,27,74,25,73,25,73,0,2,0,6,[]
376,22,82,20,83,17,77,19,76,17,74,29,73,28,74,27,75,27,72,27,72,0,2,0,6,[]
377,30,86,25,76,17,77,24,74,25,77,39,66,32,62,32,59,32,65,39,66,0,2,0,6,[]
378,44,91,32,73,13,88,29,70,28,70,52,66,30,53,29,57,37,61,54,65,0,2,0,6,[]
379,41,81,28,65,23,74,30,68,32,66,54,63,32,41,31,52,47,52,55,64,0,2,0,6,[]
380,42,68,31,60,34,64,34,62,37,61,95,4,36,38,31,52,47,52,94,3,0,2,0,6,[]
381,43,57,31,58,44,55,40,55,42,52,84,8,48,34,87,6,93,4,84,8,0,2,0,6,[]
382,50,50,39,51,49,48,50,48,40,40,69,17,51,28,67,18,80,14,72,17,0,2,0,6,[]
383,50,48,36,40,48,47,50,47,41,26,61,24,57,33,51,17,70,26,70,26,0,2,0,6,[]
384,51,41,41,30,55,45,55,45,41,29,61,37,61,41,50,9,62,37,62,37,0,2,0,6,[]
385,44,39,39,39,42,43,43,44,41,32,56,44,59,37,43,18,57,43,60,37,0,3,0,6,[]
386,41,31,41,31,32,35,35,37,41,32,50,52,54,45,44,14,48,51,52,46,0,3,0,6,[]
387,41,31,41,31,33,33,34,38,41,32,43,47,45,45,43,19,44,49,44,49,0,3,0,6,[]
388,39,34,40,33,32,33,33,35,45,40,33,43,36,42,42,26,38,43,38,43,0,3,0,6,[]
389,42,39,44,42,35,36,39,38,38,39,32,41,32,44,44,37,38,48,38,48,0,3,0,6,[]
390,44,35,47,34,47,34,43,34,41,36,43,34,41,35,42,35,43,49,43,49,0,3,0,6,[]
391,41,27,51,29,51,31,41,30,40,31,41,26,41,34,42,35,41,35,41,35,0,3,0,6,['32:32 LGDGarvey(µ∂∑ÊŒË’ﬂ) ª˜…±¡À JDGimp( •«π”Œœ¿)']
392,50,26,56,33,56,30,41,30,40,31,42,26,41,34,42,35,42,32,42,26,0,3,0,6,[]
393,53,32,75,49,61,23,41,30,40,31,51,26,41,34,42,35,48,34,52,26,0,3,0,6,[]
394,53,32,75,49,61,23,41,30,40,31,28,69,41,34,42,35,30,64,28,69,0,3,0,6,[]
395,53,32,13,87,11,91,41,30,40,31,26,74,41,34,42,35,24,72,26,74,0,3,0,6,[]
396,53,32,12,83,10,85,41,30,40,31,18,84,41,34,42,35,18,82,18,84,0,3,0,6,[]
397,53,32,11,82,12,86,41,30,40,31,14,82,41,34,42,35,16,80,16,80,0,3,0,6,[]
398,53,32,11,82,14,85,41,30,40,31,10,78,41,34,42,35,14,78,14,78,0,3,0,6,[]
399,53,32,11,82,12,88,41,30,40,31,14,84,41,34,42,35,17,81,17,80,0,3,0,7,[]
400,53,32,11,82,12,88,41,30,11,91,14,84,41,34,42,35,16,83,16,84,0,3,0,7,[]
401,53,32,11,82,12,88,4,93,17,86,13,87,94,5,95,5,13,84,13,87,0,3,0,8,[]
402,53,32,11,82,12,88,7,88,14,84,12,89,87,16,79,24,9,86,9,86,0,3,0,8,[]
403,53,32,11,82,12,88,6,89,14,84,11,91,83,19,74,28,6,85,6,85,0,3,0,8,[]
404,53,32,11,82,12,88,6,89,14,84,11,91,83,19,74,28,6,85,6,85,0,3,0,8,[]
