,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,24,9,28,20,45,52,77,88,81,91,29,8,48,20,51,48,80,83,79,82,0,0,0,0,[]
59,27,8,25,25,45,53,77,88,81,90,32,8,42,12,49,49,78,83,78,83,0,0,0,0,[]
60,22,11,23,38,43,54,76,90,75,88,24,12,32,12,50,52,80,83,82,86,0,0,0,0,[]
61,17,16,21,30,42,55,71,91,73,91,19,15,23,13,46,51,78,87,79,89,0,0,0,0,[]
62,9,26,23,35,42,56,76,90,74,91,14,21,20,19,46,51,77,86,77,86,0,0,0,0,[]
63,11,33,18,44,41,57,78,85,78,86,14,19,24,32,45,49,83,83,83,83,0,0,0,0,[]
64,10,32,17,49,38,56,74,88,73,89,14,17,21,38,34,41,80,85,80,88,0,0,0,0,[]
65,5,40,10,48,41,53,75,90,73,91,11,27,20,45,22,38,80,85,78,89,0,0,0,0,[]
66,5,44,6,52,44,55,68,90,68,92,8,33,21,52,17,34,75,87,76,87,0,0,0,0,[]
67,5,44,11,61,45,54,73,89,73,90,9,27,23,52,23,44,79,85,79,85,0,0,0,0,[]
68,3,91,23,65,46,54,74,88,74,90,10,22,25,51,35,43,81,85,81,89,0,0,0,0,[]
69,5,77,35,66,50,59,75,88,77,85,9,23,30,45,47,47,81,83,82,85,0,0,0,0,[]
70,5,65,49,67,50,59,83,82,85,80,10,21,33,43,45,46,84,80,84,80,0,0,0,0,[]
71,6,53,59,73,3,94,85,77,88,78,8,18,33,43,48,46,90,70,90,70,0,0,0,0,[]
72,6,39,58,83,10,84,78,85,80,86,95,4,93,7,51,45,92,66,92,66,0,0,0,0,[]
73,7,29,52,84,18,76,80,82,80,84,87,5,88,18,50,46,92,66,92,66,0,0,0,0,[]
74,7,26,53,84,26,69,82,83,87,81,75,6,82,28,54,45,95,10,93,9,0,0,0,0,[]
75,9,25,55,83,35,62,83,82,87,82,63,7,80,40,52,43,94,23,94,9,0,0,0,0,[]
76,9,25,50,81,43,55,86,82,88,84,51,8,80,52,53,43,93,34,93,17,0,0,0,0,[]
77,9,25,47,70,50,50,86,82,88,84,40,11,80,53,52,44,93,45,93,29,0,0,0,0,[]
78,8,25,40,66,47,52,7,95,7,94,31,17,80,52,51,46,92,56,93,40,0,0,0,0,[]
79,10,23,31,57,45,54,11,94,8,87,26,22,76,45,49,48,92,65,92,51,0,0,0,0,[]
80,13,20,32,44,47,51,22,93,15,79,22,13,68,40,51,45,90,69,90,62,0,0,0,0,[]
81,13,19,32,40,47,50,33,92,23,72,19,12,66,39,54,47,92,71,83,67,0,0,0,0,[]
82,14,16,25,32,49,50,44,92,31,64,19,12,59,34,54,45,91,71,78,60,0,0,0,0,[]
83,15,16,19,25,47,50,55,91,31,54,20,12,47,34,53,47,90,72,81,66,0,0,0,0,[]
84,15,14,19,25,48,50,62,84,32,43,24,12,41,34,54,47,89,72,87,70,0,0,0,0,[]
