,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,2,96,1,95,93,5,95,5,95,2,96,3,93,3,0,0,0,0,[]
2,2,95,4,95,4,95,4,95,2,97,93,5,92,4,93,5,94,6,94,6,0,0,0,0,[]
3,3,94,4,95,4,95,5,95,5,96,93,6,92,5,93,5,94,7,93,6,0,0,0,0,[]
4,13,75,18,76,17,78,28,92,24,84,79,22,72,15,81,18,83,27,78,23,0,0,0,0,[]
5,18,52,31,58,34,62,50,88,42,70,66,41,54,30,67,36,80,49,67,42,0,0,0,0,[]
6,23,34,34,41,46,53,68,81,51,66,66,48,52,32,66,49,76,58,64,57,0,0,0,0,[]
7,19,24,30,35,47,58,68,78,50,66,67,48,61,37,66,48,76,58,64,57,0,0,0,0,[]
8,18,24,34,39,45,58,65,78,50,66,67,48,67,46,66,48,78,51,64,57,0,0,0,0,[]
9,19,24,34,39,46,53,55,75,50,66,66,47,67,48,66,48,68,48,67,49,0,0,0,0,[]
10,19,24,33,39,46,52,55,75,49,66,64,37,67,48,66,47,69,48,66,47,0,0,0,0,[]
11,19,24,34,39,45,52,55,76,48,66,66,26,67,47,66,47,77,52,66,47,0,0,0,0,[]
12,18,24,34,39,46,53,52,76,50,66,69,19,67,47,64,40,77,53,66,48,0,0,0,0,[]
13,18,24,34,39,45,53,52,76,49,66,64,10,63,39,62,38,78,51,68,48,0,0,0,0,[]
14,19,24,34,38,46,53,51,75,49,66,50,10,58,35,66,29,84,63,61,38,0,0,0,0,[]
15,19,25,31,46,45,53,50,75,45,69,44,17,53,28,56,32,87,67,55,32,0,0,0,0,[]
16,19,24,27,51,49,60,42,70,42,77,46,16,51,24,50,26,87,66,54,28,0,0,0,0,[]
17,18,23,22,47,49,61,42,80,47,79,48,18,51,28,55,32,84,66,58,33,0,0,0,0,[]
18,18,23,23,47,50,61,45,88,53,87,38,15,53,35,58,34,88,68,65,40,0,0,0,0,[]
19,15,19,22,47,52,60,56,91,61,93,29,20,54,31,55,42,87,72,69,49,0,0,0,0,[]
20,14,17,22,47,48,53,66,91,71,90,24,14,52,32,51,49,87,72,81,57,0,0,0,0,[]
21,13,16,20,45,47,53,76,87,79,91,17,15,53,31,51,48,87,73,87,66,0,0,0,0,[]
22,12,16,18,47,49,51,81,82,85,87,16,15,51,27,52,48,88,80,89,77,0,0,0,0,[]
23,12,14,18,46,49,52,78,85,82,89,14,15,49,26,50,50,86,82,88,84,0,0,0,0,[]
24,13,16,18,46,50,52,79,85,83,88,15,13,52,27,49,49,86,80,89,84,0,0,0,0,[]
25,13,19,18,45,48,53,80,87,84,88,12,13,53,30,51,49,85,79,89,83,0,0,0,0,[]
26,15,21,22,54,46,55,81,82,86,86,15,15,54,30,48,51,86,78,88,82,0,0,0,0,[]
27,10,19,23,56,43,54,80,83,85,86,17,15,61,36,48,51,85,80,87,82,0,0,0,0,[]
28,11,20,25,58,41,52,81,83,89,81,15,17,70,41,44,54,88,71,90,74,0,0,0,0,[]
29,12,17,26,59,41,55,82,83,82,79,18,15,73,42,45,54,90,72,90,75,0,0,0,0,[]
30,11,18,34,62,43,57,82,81,76,70,16,16,74,42,45,54,90,75,89,75,0,0,0,0,[]
31,10,20,43,69,44,54,86,80,77,59,19,20,76,46,47,51,90,74,87,72,0,0,0,0,[]
32,10,17,49,73,44,55,88,81,76,68,14,19,78,51,49,52,89,74,87,75,0,0,0,0,[]
33,9,18,51,75,45,55,89,80,82,78,15,18,77,52,48,53,87,73,87,68,0,0,0,0,[]
34,9,19,56,74,45,52,89,80,86,78,16,17,77,52,46,53,90,71,89,71,0,0,0,0,[]
35,8,20,58,63,51,49,89,78,86,76,14,19,77,52,55,47,93,70,90,67,0,0,0,0,[]
36,9,25,66,54,52,49,88,74,89,74,14,21,83,58,55,47,91,69,92,71,0,0,0,0,[]
