,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
253,46,73,31,56,34,61,8,37,21,47,66,90,64,64,25,31,64,63,63,32,0,0,0,4,[]
254,47,75,29,57,32,59,7,29,9,85,73,90,66,69,26,22,67,67,53,42,0,0,0,4,[]
255,41,87,33,47,36,58,6,28,24,73,73,90,65,63,37,16,67,63,40,42,0,0,0,4,[]
256,43,90,30,49,36,58,13,36,32,62,92,10,65,61,38,15,56,54,35,41,0,0,0,4,[]
257,41,86,25,57,11,91,17,43,32,49,84,25,66,55,35,12,49,51,46,48,0,0,0,4,[]
258,44,71,23,56,25,76,18,45,31,46,80,41,66,55,25,9,49,51,47,49,0,0,0,4,[]
259,44,68,25,57,33,65,23,51,33,60,75,44,90,4,19,13,52,48,37,39,0,0,0,4,[]
260,48,78,2,96,38,60,33,46,36,60,76,46,73,14,17,14,52,48,21,38,0,0,0,4,[]
261,53,84,15,79,42,55,33,46,31,51,76,57,62,24,21,23,90,6,32,38,0,0,0,4,[]
262,52,85,26,69,41,56,24,50,34,48,79,72,51,32,30,32,54,45,41,44,0,0,0,4,[]
263,49,83,33,59,43,57,12,47,31,45,79,85,35,30,36,31,49,50,49,50,0,0,0,4,[]
264,40,73,30,47,38,58,10,41,32,47,74,89,34,31,35,31,44,52,35,41,0,0,0,4,[]
265,38,74,29,50,37,57,9,40,32,52,71,89,33,30,35,31,38,43,33,42,0,0,0,4,[]
266,40,69,32,36,38,51,12,34,31,47,65,84,32,31,31,32,32,35,32,37,0,0,0,4,[]
267,34,68,33,36,31,54,8,34,31,54,53,84,25,35,22,29,37,39,32,39,0,0,0,4,[]
268,34,68,33,36,36,60,6,38,31,63,41,78,36,42,13,23,46,47,46,47,0,0,0,4,[]
269,9,93,33,36,36,60,5,44,31,63,36,77,45,53,7,34,45,53,50,48,0,0,0,4,[]
270,23,84,33,36,31,67,5,44,8,93,36,77,36,60,9,38,40,61,38,58,0,0,0,4,[]
271,27,73,33,36,31,73,4,91,21,81,36,76,32,67,12,47,36,66,32,69,0,0,0,4,[]
272,27,68,33,36,28,70,14,80,30,79,36,75,37,74,16,55,37,66,35,66,0,0,0,5,[]
273,29,70,33,36,26,70,18,70,28,76,40,85,35,64,16,53,34,60,29,60,0,0,0,5,[]
274,29,82,3,95,27,69,11,61,17,67,39,89,28,60,9,52,33,65,19,52,0,0,0,5,[]
275,28,89,9,74,18,68,7,56,10,57,40,87,20,53,10,50,34,59,11,49,0,0,0,5,[]
276,33,89,15,64,25,71,8,56,8,59,40,84,12,49,10,45,41,55,16,48,0,0,0,6,[]
277,31,89,25,70,28,67,8,56,7,55,45,82,21,47,11,37,92,10,23,38,0,0,0,6,[]
278,28,78,18,66,26,69,14,63,15,65,93,9,92,7,93,5,80,23,95,4,0,0,0,6,[]
279,32,89,19,63,28,76,19,63,26,68,81,23,85,25,83,11,69,33,85,10,0,0,0,6,[]
280,42,91,19,52,32,77,35,65,23,74,69,33,81,38,72,23,58,42,71,25,0,0,0,6,[]
281,38,89,23,58,22,85,45,70,2,96,56,32,80,52,66,35,50,50,61,37,0,0,0,6,[]
282,29,79,26,69,11,91,47,75,19,89,50,35,81,56,67,49,48,52,49,47,0,0,0,6,[]
283,20,69,36,75,2,97,45,73,31,81,40,37,77,56,67,61,46,56,47,58,0,0,0,6,[]
284,10,59,34,75,19,83,33,74,30,74,27,37,73,72,73,73,52,60,53,67,0,0,0,6,[]
285,7,45,20,70,26,76,25,70,26,73,16,38,75,89,74,86,56,67,45,71,0,0,0,6,[]
286,8,52,18,61,33,65,33,63,32,65,10,43,68,82,64,88,51,64,46,79,0,0,0,6,[]
287,10,62,27,70,37,66,42,58,39,65,9,45,58,74,56,89,51,56,50,67,0,0,0,6,[]
288,9,61,37,74,37,63,43,54,39,59,17,49,50,65,51,83,47,53,51,64,0,0,0,6,[]
289,19,64,31,67,29,65,33,60,33,63,26,59,40,61,45,71,40,58,39,65,0,0,0,6,[]
290,27,66,28,66,28,68,26,68,29,66,31,56,35,65,34,68,35,60,38,61,0,0,0,6,[]
291,21,66,33,67,36,67,31,64,32,67,39,56,43,68,45,68,38,59,42,59,0,0,0,6,[]
292,13,66,40,71,40,71,36,66,35,67,44,58,50,66,55,66,41,56,46,57,0,0,0,6,[]
293,9,65,31,71,35,82,31,63,26,67,34,49,55,77,54,76,41,54,47,50,0,0,0,6,[]
294,10,74,26,66,36,89,31,65,25,69,23,51,53,86,52,87,38,60,38,62,0,0,0,6,[]
295,6,88,29,69,30,82,29,66,25,69,22,54,52,84,51,92,36,64,36,66,0,0,0,6,[]
296,3,94,25,71,35,90,23,67,3,93,20,50,52,84,55,89,30,65,31,69,0,0,0,6,[]
297,14,78,28,74,39,92,27,68,15,79,15,37,54,76,56,88,35,62,27,59,0,0,0,6,[]
298,30,66,32,70,43,93,31,67,27,71,8,37,57,64,56,88,39,59,40,60,0,0,0,6,[]
299,20,64,22,65,45,91,29,65,27,66,9,40,71,64,93,7,50,50,51,50,0,0,0,6,[]
300,7,55,18,53,38,89,29,65,18,58,11,37,71,63,85,24,46,54,51,57,0,0,0,6,[]
301,7,48,20,49,30,79,8,94,22,64,21,36,67,53,80,38,50,45,95,4,0,0,0,6,[]
302,9,42,19,51,28,69,21,82,28,67,21,41,73,43,77,51,50,33,78,17,0,0,0,6,[]
303,9,35,22,48,32,61,28,71,33,64,22,33,72,43,75,59,50,23,66,29,0,0,0,6,[]
304,9,36,22,48,22,54,35,63,38,59,15,22,60,43,70,65,46,16,55,41,0,0,0,6,[]
305,9,36,22,53,23,51,41,57,41,57,9,27,48,50,65,60,49,17,49,47,0,0,0,6,[]
306,16,85,32,59,31,56,43,56,42,56,10,27,48,51,67,64,50,24,50,50,0,0,0,6,[]
307,32,67,43,67,44,56,46,52,45,52,10,26,52,50,56,60,47,36,51,45,0,0,0,6,[]
308,22,56,45,67,46,56,47,55,47,54,10,33,59,48,55,57,56,45,51,45,0,0,0,6,[]
309,7,51,48,65,45,58,43,54,45,53,14,41,55,50,59,58,51,46,39,45,0,0,0,6,[]
310,5,52,40,65,39,65,39,60,38,62,13,43,44,53,47,53,43,53,53,56,0,0,0,6,[]
311,11,61,38,61,39,64,40,60,39,62,15,42,47,52,51,54,43,53,47,54,0,0,0,6,[]
312,25,66,42,55,41,60,41,57,44,56,19,44,57,63,61,63,56,54,55,63,0,0,0,6,[]
313,39,64,44,55,44,58,46,57,47,55,29,37,57,64,58,61,61,61,56,63,0,0,0,6,[]
314,49,55,50,53,46,56,49,59,49,55,43,39,56,57,59,60,59,60,57,68,0,0,0,6,[]
315,52,55,51,55,48,58,48,58,51,59,51,46,60,57,60,60,61,61,56,67,0,0,0,6,[]
316,54,57,53,53,48,53,52,50,48,57,63,52,66,66,66,65,68,67,56,68,0,0,0,6,[]
317,52,49,54,47,50,46,52,46,55,50,61,50,66,64,62,62,64,62,53,63,0,0,0,6,[]
318,51,46,53,46,50,43,53,43,51,47,59,47,54,57,56,56,55,55,49,57,0,0,0,6,[]
319,47,41,51,45,44,50,52,43,47,47,58,45,53,57,53,56,52,55,38,51,0,0,0,6,[]
320,43,44,46,50,44,48,47,42,44,47,46,47,44,48,47,50,45,50,46,51,0,0,0,6,[]
321,35,47,37,47,44,48,44,39,43,46,39,44,43,45,44,46,43,47,45,46,0,0,0,6,[]
322,34,47,37,47,44,48,42,34,43,46,35,48,43,47,41,51,32,50,45,49,0,0,0,6,[]
323,30,47,37,47,44,48,42,32,43,46,31,55,41,32,38,56,31,58,41,56,0,0,0,6,[]
324,30,47,37,47,44,48,51,24,43,46,29,68,50,24,33,64,35,62,29,67,0,0,0,6,[]
325,30,47,37,47,44,48,51,23,43,46,17,74,51,25,24,72,26,72,23,73,0,0,0,6,[]
326,30,47,37,47,44,48,51,21,43,46,20,77,51,24,21,75,23,76,19,78,0,0,0,7,[]
327,30,47,37,47,44,48,51,21,43,46,20,77,51,24,20,77,22,75,19,76,0,0,0,7,[]
328,30,47,37,47,44,48,10,91,3,96,31,67,51,24,31,69,33,68,33,69,0,0,0,7,[]
329,30,47,6,93,44,48,16,81,14,83,44,67,51,24,43,68,35,62,47,66,0,0,0,7,[]
330,30,47,25,83,19,90,23,74,22,75,54,64,51,24,50,80,35,59,56,68,0,0,0,7,[]
331,30,47,37,75,34,90,26,69,29,68,59,63,51,24,58,83,48,60,56,68,0,0,0,7,[]
332,30,47,48,81,35,88,31,69,30,67,59,63,51,24,63,82,57,67,56,67,0,0,0,7,[]
333,9,83,51,83,42,90,39,63,38,62,93,5,51,24,72,75,94,4,95,4,0,0,0,7,[]
334,8,66,41,75,43,91,45,52,44,54,78,14,51,24,68,65,81,11,77,15,0,0,0,7,[]
335,6,50,35,62,55,89,46,51,47,49,69,26,83,9,62,59,67,19,65,30,0,0,0,7,[]
336,6,41,28,51,66,94,46,52,43,52,58,34,69,17,54,51,56,29,55,42,0,0,0,7,[]
337,16,49,23,40,52,94,44,53,42,54,46,34,58,27,52,47,47,36,42,39,0,0,0,7,[]
338,15,38,25,37,52,94,39,50,35,47,38,36,47,34,45,39,41,41,40,43,0,0,0,7,[]
339,9,31,26,47,3,96,34,48,32,49,28,32,49,43,44,39,36,39,36,38,0,0,0,7,[]
340,6,35,27,47,12,90,31,48,31,48,19,25,46,53,44,39,47,42,49,44,0,0,0,7,[]
341,12,47,21,50,26,76,32,55,31,55,15,20,43,56,83,12,46,53,41,55,0,0,0,7,[]
342,23,56,27,59,33,65,35,59,37,59,10,22,42,46,71,24,44,45,41,46,0,0,0,7,[]
343,31,58,32,52,34,61,36,59,33,59,11,23,32,38,60,33,34,36,30,43,0,0,0,7,[]
344,33,59,40,50,39,58,36,57,32,56,18,24,38,38,47,35,44,37,40,32,0,0,0,7,[]
345,45,53,45,50,45,55,47,49,42,55,28,32,46,38,50,41,47,38,40,32,0,0,0,7,[]
346,44,46,51,47,52,49,43,53,47,46,39,27,56,33,54,32,55,32,91,6,0,0,0,7,[]
347,45,48,48,49,49,51,40,56,49,49,46,37,55,43,59,39,57,43,78,23,0,0,0,7,[]
348,48,52,44,52,45,55,40,56,44,54,38,38,53,48,55,48,52,46,65,35,0,0,0,7,[]
349,42,55,42,53,42,55,2,96,37,50,32,43,46,45,49,46,46,41,52,45,0,0,0,7,[]
350,43,54,43,57,43,58,44,70,41,52,32,43,40,41,50,47,41,41,50,52,0,0,0,7,[]
351,41,54,42,54,41,56,40,61,40,52,31,44,40,43,49,46,42,41,50,48,0,0,0,7,[]
352,40,58,40,53,43,58,43,53,44,54,33,42,38,42,51,45,49,48,52,49,0,0,0,7,[]
353,42,57,41,55,41,61,42,53,43,55,20,49,32,44,51,51,51,51,55,61,0,0,0,7,[]
354,42,59,39,57,2,96,39,58,39,58,27,59,36,50,48,55,45,51,42,67,0,0,0,7,[]
355,32,70,31,66,17,86,32,69,33,69,33,66,39,61,39,62,39,58,40,68,0,0,0,7,[]
356,25,72,24,71,26,75,27,74,28,72,31,65,32,68,31,67,32,63,33,66,0,0,0,7,[]
357,30,68,28,66,32,72,34,68,32,71,40,58,37,59,37,57,39,59,41,61,0,0,0,7,[]
358,19,65,18,75,40,62,39,59,36,62,44,50,34,48,43,48,45,51,44,49,0,0,0,7,[]
359,10,65,16,80,42,59,40,58,32,66,36,39,33,38,36,39,45,52,48,52,0,0,0,7,[]
360,10,74,4,91,42,57,41,57,40,59,32,31,34,31,32,34,39,43,37,41,0,0,0,7,[]
361,5,89,9,84,34,59,41,54,37,60,31,31,34,30,30,33,32,33,31,31,0,0,0,7,[]
362,11,95,21,73,30,59,43,68,37,60,23,37,32,35,28,33,30,33,25,36,0,0,0,7,[]
363,29,93,28,70,25,60,44,67,3,97,9,36,91,9,90,14,83,9,95,4,0,0,0,7,[]
364,44,92,19,61,14,63,46,74,4,94,12,36,82,29,81,30,66,11,80,30,0,0,0,7,[]
365,55,90,20,48,8,52,51,84,13,82,23,37,78,42,80,44,51,12,64,34,0,0,0,7,[]
366,51,90,15,44,9,46,50,83,25,72,25,37,76,45,78,54,47,17,52,26,0,0,0,7,[]
367,47,82,18,45,18,49,47,83,34,64,34,38,78,56,76,59,51,27,55,31,0,0,0,7,[]
368,36,75,21,52,20,51,47,83,37,63,37,39,74,71,74,72,47,38,55,42,0,0,0,7,[]
369,32,66,30,60,18,55,4,97,31,66,27,37,71,84,71,85,49,51,55,57,0,0,0,7,[]
370,29,66,33,69,2,96,12,89,32,70,15,35,62,86,63,89,43,56,58,68,0,0,0,7,[]
371,17,77,32,72,18,94,24,77,30,74,7,43,49,82,57,89,47,53,44,68,0,0,0,7,[]
372,6,88,37,76,32,91,32,72,32,76,10,46,49,81,52,87,50,65,39,67,0,0,0,7,[]
373,4,89,38,76,30,92,31,71,36,77,11,53,41,84,44,88,47,78,47,78,0,0,0,7,[]
374,7,67,32,80,31,92,27,76,31,83,9,61,51,91,40,93,40,89,48,91,0,0,0,7,[]
375,8,66,30,84,26,91,27,79,28,88,10,58,55,90,39,90,38,93,53,91,0,0,0,7,[]
376,8,65,30,84,28,90,29,81,28,92,10,59,41,91,36,89,34,94,38,90,0,0,0,7,[]
377,11,69,29,89,26,90,29,86,26,90,11,57,31,92,34,89,34,93,35,94,0,0,0,7,[]
378,7,67,30,94,29,93,30,86,29,90,93,4,41,87,42,84,40,92,42,89,0,0,0,7,[]
379,11,70,28,87,29,90,28,76,28,87,78,17,53,77,47,91,49,91,40,78,0,0,0,7,[]
380,7,56,33,90,34,93,29,81,35,92,68,29,62,70,51,93,52,91,39,63,0,0,0,7,[]
381,7,50,35,85,35,93,27,71,37,93,59,39,64,70,47,92,47,90,38,59,0,0,0,7,[]
382,6,50,36,87,37,92,28,70,36,92,49,50,64,71,48,88,46,92,40,73,0,0,0,7,[]
383,5,52,34,90,36,93,26,72,35,93,40,60,64,71,45,88,43,92,40,88,0,0,0,7,[]
384,5,52,30,89,30,93,24,73,31,93,32,69,56,76,40,86,40,93,36,88,0,0,0,7,[]
385,26,89,30,85,30,94,25,79,30,93,31,77,43,83,42,88,40,91,36,87,0,0,0,7,[]
386,26,86,29,88,16,95,28,81,23,93,34,75,48,91,40,84,53,91,51,91,0,0,0,7,[]
387,20,80,29,86,4,95,23,78,9,95,28,72,52,91,40,88,47,93,46,91,0,0,0,7,[]
388,23,82,28,89,24,90,26,81,16,94,33,81,40,89,39,88,36,93,37,90,0,0,0,7,[]
389,26,87,29,90,27,95,27,83,29,94,34,86,35,92,33,87,35,94,30,87,0,0,0,7,[]
390,25,90,23,95,23,96,25,87,25,94,29,89,32,94,32,89,33,93,32,94,0,0,0,8,[]
391,13,90,10,95,17,94,19,89,14,89,20,88,24,94,20,90,26,90,24,92,0,0,0,8,[]
392,10,91,7,96,14,94,19,89,13,95,20,90,19,92,16,95,15,94,12,95,0,0,0,8,[]
393,7,92,2,96,14,94,19,89,12,95,16,91,12,91,14,92,11,91,9,93,0,0,0,8,[]
394,7,92,2,96,14,94,19,89,12,95,12,84,10,85,15,87,10,85,10,86,0,0,0,9,[]
395,7,92,6,94,14,94,19,89,12,95,12,85,11,86,13,88,8,87,7,90,0,0,0,10,[]
396,7,92,3,96,14,94,19,89,12,95,12,90,11,91,11,91,7,88,8,90,0,0,0,10,[]
397,7,92,3,96,14,94,19,89,12,95,12,90,11,91,11,91,7,88,8,90,0,0,0,10,[]
