,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
227,59,70,62,75,55,75,61,75,59,74,60,73,59,74,59,72,57,69,59,69,34285,2,31814,2,"['18:52 LNGAsura(Ðé¿ÕÖ®Å®) »÷É±ÁË IGNing(Ã¤É®)', '18:55 IGTheShy(Íò»¨Í¨Áé) »÷É±ÁË LNGDuan(Å£Í·Çõ³¤)']"
228,65,71,64,71,55,77,63,77,59,74,59,73,59,74,59,70,63,70,59,63,34820,2,31885,2,['18:58 IGJackeyLove(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË LNGFlandre(ÀëÈºÖ®´Ì)']
229,65,71,59,69,57,70,63,71,59,74,56,77,59,74,57,69,63,70,58,63,35362,2,31942,2,"['19:2 LNGSofM(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË IGJackeyLove(Ê¥Ç¹ÓÎÏÀ)', '19:5 LNGSofM(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË IGRookie(Éîº£Ì©Ì¹)']"
230,65,71,55,76,50,78,66,63,59,74,49,81,59,74,57,69,63,70,65,56,35713,2,31994,2,[]
231,65,71,40,75,44,80,63,52,59,74,41,76,59,74,57,69,63,70,64,52,35764,2,32049,2,['19:12 LNGAsura(Ðé¿ÕÖ®Å®) »÷É±ÁË IGLucas(Ä§·¨Ã¨ßä)']
232,65,71,46,68,49,74,55,55,59,74,53,66,59,74,57,69,63,70,64,52,35816,2,32100,2,[]
233,65,71,46,64,56,76,62,62,59,74,61,74,59,74,57,69,63,70,64,52,35873,2,32155,2,[]
234,65,71,50,68,57,77,62,74,5,95,59,77,93,5,57,69,63,70,64,52,36497,2,32203,2,['19:30 LNGAsura(Ðé¿ÕÖ®Å®) »÷É±ÁË IGTheShy(Íò»¨Í¨Áé)']
235,65,71,57,68,55,77,51,75,17,86,59,77,84,14,57,69,63,70,64,52,36581,2,32258,2,[]
236,7,94,59,67,55,77,49,78,27,76,59,77,76,25,57,69,89,15,64,52,36730,2,32313,2,[]
237,19,87,59,67,4,93,46,79,32,63,59,77,65,34,95,12,80,22,94,5,36782,2,32360,2,[]
238,30,81,6,90,11,77,2,96,32,49,59,77,55,43,93,23,71,30,86,15,36835,2,32520,2,[]
239,32,70,16,79,17,66,11,91,32,46,59,77,45,40,91,38,62,39,78,23,36893,2,32575,2,[]
240,43,58,25,70,22,56,20,82,33,43,59,77,40,41,91,55,53,47,69,31,37110,2,32831,2,[]
241,48,54,37,60,23,53,29,73,32,46,59,77,39,37,89,58,49,51,59,41,37182,2,33004,2,[]
242,49,52,47,49,32,45,38,64,40,50,93,8,48,40,84,52,54,44,54,44,37262,2,33055,2,[]
243,55,56,41,39,36,38,46,54,43,43,81,20,48,39,76,52,55,45,55,45,37352,2,33121,2,[]
244,51,56,44,42,34,39,45,52,40,36,71,30,51,28,79,52,56,42,53,44,37406,2,33202,2,[]
245,52,48,46,43,42,44,50,49,47,46,63,40,43,17,78,51,61,39,60,37,37742,2,33353,2,[]
246,57,49,56,48,54,47,56,47,55,48,58,41,43,17,71,48,69,40,57,41,37792,2,33526,2,[]
247,47,52,55,53,51,48,49,52,48,49,55,42,49,23,58,47,61,41,55,42,37844,2,33640,2,[]
248,54,62,55,63,38,50,44,54,40,51,57,46,58,34,61,42,59,42,55,43,37895,2,33713,2,[]
249,64,57,57,69,32,45,48,51,37,48,59,39,72,42,61,37,60,41,57,43,37949,2,33764,2,[]
250,66,56,62,58,42,51,52,49,40,50,59,39,72,41,61,37,94,5,57,33,38050,2,33899,2,[]
251,66,47,66,48,52,48,52,49,46,46,85,10,65,40,85,11,94,5,56,43,38185,2,33976,2,[]
252,67,56,63,58,45,52,45,53,41,54,74,22,59,35,71,17,59,42,57,41,38237,2,34118,2,[]
253,74,64,57,72,32,49,34,49,40,54,65,34,59,35,59,23,58,40,55,42,38287,2,34184,2,[]
254,84,65,55,83,23,42,22,50,2,96,55,32,88,5,46,24,55,42,52,45,38483,2,34325,2,[]
255,88,65,56,82,19,27,19,46,12,82,54,30,72,14,39,26,52,44,47,41,38672,2,34458,2,[]
256,84,78,56,82,11,26,24,50,22,71,46,36,62,24,41,35,49,48,41,36,38752,2,34543,2,[]
257,75,70,57,66,9,29,32,59,32,61,47,41,51,33,40,34,49,49,38,39,38855,2,34663,2,[]
258,65,62,56,57,8,23,44,57,39,58,38,40,38,38,31,37,49,50,39,38,38987,2,34849,2,[]
259,55,58,54,56,7,18,40,61,40,59,24,39,24,37,21,44,41,45,35,37,39291,2,34900,2,[]
260,51,56,43,53,20,66,45,56,40,61,19,49,12,36,11,48,36,41,26,37,39338,2,34949,2,[]
261,47,46,44,46,31,63,50,49,42,55,22,42,16,34,9,40,43,35,40,36,39448,2,35002,2,[]
262,45,45,44,43,43,53,55,46,42,45,34,37,28,38,19,36,54,32,54,32,39521,2,35053,2,[]
263,52,46,43,44,45,43,53,50,45,42,48,35,38,37,29,36,59,39,59,39,39655,2,35105,2,[]
264,43,41,34,36,36,37,45,44,32,35,47,36,40,32,33,35,57,42,56,41,40118,2,35261,2,[]
265,40,40,36,36,36,38,37,41,32,35,48,35,41,26,35,36,54,41,54,41,40262,2,35312,2,['22:4 LNGSofM(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË IGRookie(Éîº£Ì©Ì¹)']
266,49,49,45,43,40,43,47,48,37,41,59,35,52,28,35,36,61,39,58,38,40313,2,35367,2,[]
267,54,52,49,46,48,49,49,50,36,43,53,44,57,43,35,36,57,43,53,44,40394,2,35462,2,[]
268,53,53,48,46,49,48,50,51,44,37,53,44,58,47,35,36,56,45,53,44,40444,2,35536,2,[]
269,53,54,47,44,48,48,48,53,53,37,54,49,56,47,35,36,57,47,54,49,40537,2,35629,2,[]
270,52,49,46,43,44,45,50,51,55,42,50,41,54,42,35,36,52,43,50,41,41144,2,35702,2,[]
271,52,42,50,40,48,46,50,45,51,42,50,40,54,41,35,36,51,44,54,41,41776,2,35778,2,"['22:32 LNGAsura(Ðé¿ÕÖ®Å®) »÷É±ÁË IGJackeyLove(Ê¥Ç¹ÓÎÏÀ)', '22:35 LNGSofM(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË IGTheShy(Íò»¨Í¨Áé)']"
272,58,44,58,42,58,45,56,43,56,43,50,40,56,33,35,36,51,44,56,33,42326,3,35830,2,['22:40 LNGAsura(Ðé¿ÕÖ®Å®) »÷ÆÆÁË·ÀÓùËþ']
273,66,38,59,34,64,37,62,35,64,36,50,40,47,25,94,6,51,44,51,26,42510,3,35982,2,[]
274,67,35,63,34,68,32,64,36,64,36,50,40,50,22,82,21,51,44,50,22,43125,3,36033,2,[]
275,66,46,64,44,61,40,67,45,60,41,50,40,60,23,72,29,51,44,63,23,43178,4,36112,2,['22:51 LNGDuan(Å£Í·Çõ³¤) »÷ÆÆÁË·ÀÓùËþ']
276,66,46,65,46,55,53,66,47,50,51,50,40,52,21,63,32,51,44,63,23,43230,4,36166,2,[]
277,2,96,3,96,55,53,2,96,46,57,50,40,55,30,59,36,51,44,55,30,43281,4,36232,2,[]
278,7,95,18,87,5,91,2,96,46,57,50,40,45,23,56,40,95,4,45,23,43329,4,36374,2,[]
279,24,87,32,78,15,76,17,86,13,92,50,40,42,18,59,35,92,21,43,23,43377,4,36493,2,[]
280,34,78,41,70,19,63,27,75,28,83,82,15,43,17,69,32,89,34,43,23,43450,4,36613,2,[]
281,43,69,48,66,24,59,37,65,39,73,71,27,43,17,69,34,89,46,93,4,43694,4,36785,2,[]
282,55,64,58,62,31,60,46,56,51,65,66,39,41,16,58,40,89,56,78,14,43812,4,36872,2,[]
283,67,65,66,57,48,59,49,52,63,58,70,40,41,16,62,41,90,69,70,25,43997,4,36994,2,[]
284,79,75,75,62,61,60,55,59,70,62,61,36,85,18,58,42,89,74,62,34,44050,4,37206,2,[]
285,88,73,89,65,57,62,68,62,85,64,58,42,74,33,55,45,91,68,55,43,44105,4,37361,2,[]
286,92,70,86,66,54,64,69,67,90,67,51,42,80,45,52,44,94,70,46,45,44608,4,37431,2,[]
287,85,80,70,67,54,58,70,67,79,65,41,39,75,49,43,33,93,70,35,41,44758,4,37489,2,['23:51 LNGFlandre(ÀëÈºÖ®´Ì) »÷É±ÁË IGJackeyLove(Ê¥Ç¹ÓÎÏÀ)']
288,77,87,64,63,51,54,64,63,65,61,32,36,67,44,38,20,93,70,29,34,44978,4,37592,2,['23:58 LNG »÷É±ÁËÍÁÁú']
289,79,86,67,52,51,47,55,53,60,49,27,33,59,35,31,9,93,70,25,25,45064,4,37821,2,[]
290,82,85,58,44,56,36,56,41,49,42,30,22,53,31,23,10,93,70,37,23,45171,4,37945,2,[]
291,85,82,57,33,53,30,54,30,41,30,44,23,52,25,30,11,93,70,48,22,45305,4,38029,2,[]
292,89,70,52,20,50,26,51,28,46,23,47,24,50,18,28,12,93,70,50,18,45811,4,38104,2,[]
293,91,61,42,25,42,24,51,27,39,24,47,25,39,14,28,12,93,70,39,14,45901,4,38156,2,['24:22 LNGAsura(Ðé¿ÕÖ®Å®) »÷É±ÁË IGTheShy(Íò»¨Í¨Áé)']
294,91,59,32,22,30,22,47,38,38,28,47,25,38,15,92,12,93,70,38,15,46112,4,38237,2,[]
295,88,62,33,20,36,18,58,38,40,27,47,25,41,15,90,27,84,14,41,15,46316,4,38288,2,[]
296,88,62,38,27,24,22,52,41,41,30,47,25,52,19,90,39,74,26,53,18,46366,4,38475,2,[]
297,2,96,34,36,13,21,39,38,41,31,47,25,52,21,91,51,68,30,58,26,46570,4,38646,2,[]
298,39,32,33,31,19,20,30,30,41,30,47,25,44,24,90,55,59,33,49,32,46654,4,38698,2,[]
299,43,22,35,29,32,23,31,30,41,23,47,25,43,19,35,47,51,26,50,31,46705,4,38749,2,[]
300,42,25,33,31,40,31,31,30,38,26,47,25,50,17,34,38,48,32,42,37,48296,4,38800,2,[]
301,44,35,37,38,44,36,33,36,39,28,95,4,57,28,44,44,51,41,44,44,48347,4,38918,2,['25:2 LNG »÷É±ÁË´óÁú']
302,43,39,41,45,45,44,36,42,40,40,95,4,66,29,46,48,53,48,46,48,48397,4,39007,2,[]
303,32,44,32,48,33,44,30,49,30,45,40,44,57,39,38,43,43,47,38,43,48445,4,39056,2,[]
304,29,51,23,50,26,46,24,51,22,50,31,47,47,48,31,44,33,43,31,47,48498,4,39132,2,[]
305,28,66,21,48,15,49,17,60,18,62,29,58,38,58,30,56,31,56,29,58,48648,4,39267,2,[]
306,30,71,17,55,11,51,10,66,13,64,30,59,38,60,21,53,37,58,32,59,48699,4,39432,2,[]
307,29,72,14,61,16,87,7,94,5,96,25,59,34,66,18,56,36,64,33,65,48750,4,39528,2,[]
308,28,72,12,63,26,75,22,84,21,84,33,64,35,67,18,55,37,66,34,64,48935,4,40130,3,['25:40 IGJackeyLove(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
309,32,66,15,89,31,69,29,73,30,72,43,58,48,66,25,50,49,66,49,66,49029,4,40196,3,[]
310,41,57,31,80,41,58,37,62,39,61,50,55,58,68,34,43,57,60,60,62,49100,4,40247,3,[]
311,46,52,45,73,46,50,41,67,48,57,53,48,57,64,42,42,55,52,61,61,49251,4,40299,3,[]
312,46,55,44,69,44,53,48,67,45,57,50,47,55,52,49,46,53,46,56,54,49471,4,40352,3,[]
313,52,53,50,65,48,51,56,63,58,60,56,42,46,37,60,42,57,42,56,42,49627,4,40426,3,[]
314,58,48,61,59,60,57,69,63,66,50,58,39,42,26,66,38,58,39,58,35,49681,4,40617,3,[]
315,61,42,74,53,70,50,81,66,70,38,63,36,41,16,71,34,66,32,60,35,49831,4,40692,3,[]
316,58,42,78,51,78,52,88,56,77,46,61,37,43,17,74,26,69,28,73,27,50080,4,40824,3,[]
317,60,44,82,54,89,51,88,52,83,49,59,37,43,9,78,17,69,28,69,28,50349,4,41009,3,[]
318,61,40,82,43,91,41,90,43,87,42,70,29,45,9,90,7,93,19,92,18,51041,5,41152,3,['26:29 LNGAsura(Ðé¿ÕÖ®Å®) »÷ÆÆÁË·ÀÓùËþ']
319,67,35,85,33,93,35,90,35,86,34,81,25,45,9,95,17,90,27,90,27,51094,5,41203,3,[]
320,73,29,85,35,88,35,93,37,88,36,87,28,94,5,92,29,92,30,92,30,51145,5,41290,3,[]
321,69,27,82,44,89,42,92,46,92,44,74,26,92,25,93,39,91,37,93,39,51196,5,41454,3,[]
322,74,33,87,45,88,44,92,48,94,43,84,35,91,36,93,40,93,40,93,40,51246,5,41551,3,[]
323,86,36,89,45,90,42,93,44,93,44,92,36,93,38,93,38,93,34,93,38,51398,5,41616,3,[]
324,90,37,88,32,93,37,90,39,93,38,89,31,93,30,92,30,93,31,93,31,51637,5,41761,3,[]
325,92,35,91,36,90,35,89,33,90,31,87,28,89,27,91,29,93,28,93,28,52355,5,42304,3,['27:5 LNGSofM(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË IGTheShy(Íò»¨Í¨Áé)']
326,91,33,87,29,88,34,91,38,90,31,87,26,89,32,89,33,93,35,89,33,53305,6,43585,3,"['27:7 LNG »÷ÆÆÁË·ÀÓùËþ', '27:6 IGNing(Ã¤É®) »÷É±ÁË LNGDuan(Å£Í·Çõ³¤)', '27:9 LNGPlex(°µÒá½£Ä§) »÷É±ÁË IGRookie(Éîº£Ì©Ì¹)', '27:10 IGJackeyLove(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË LNGAsura(Ðé¿ÕÖ®Å®)']"
327,93,37,92,36,92,36,91,38,90,31,87,26,92,37,89,33,92,37,93,38,54551,6,43637,3,"['27:13 LNGPlex(°µÒá½£Ä§) »÷É±ÁË IGJackeyLove(Ê¥Ç¹ÓÎÏÀ)', '27:14 LNGSofM(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË IGNing(Ã¤É®)']"
328,90,33,89,32,91,32,91,38,90,31,87,26,92,37,89,33,92,37,93,40,54667,6,43688,3,['27:16 LNGPlex(°µÒá½£Ä§) »÷É±ÁË IGLucas(Ä§·¨Ã¨ßä)']
329,89,23,88,24,91,23,91,38,90,31,87,26,92,37,89,33,92,37,93,40,54770,6,43745,3,[]
330,88,16,88,20,87,18,91,38,90,31,87,26,92,37,89,33,92,37,93,40,55074,6,43800,3,[]
331,85,12,84,14,85,13,91,38,90,31,87,26,92,37,89,33,92,37,93,40,55377,7,43853,3,['27:34 LNG »÷ÆÆÁË·ÀÓùËþ']
332,85,10,85,13,85,12,91,38,90,31,87,26,92,37,89,33,92,37,93,40,55504,8,43905,3,['27:37 LNGSofM(Ðé¿Õ¶ÝµØÊÞ) »÷ÆÆÁË·ÀÓùËþ']
333,85,10,87,14,85,12,91,38,90,31,87,26,92,37,89,33,92,37,93,40,55605,8,43956,3,[]
334,85,10,87,14,85,12,91,38,2,96,87,26,92,37,89,33,92,37,93,40,55605,8,43956,3,[]
335,85,10,87,14,85,12,91,38,2,96,87,26,92,37,89,33,92,37,93,40,55605,8,43956,3,['27:55 LNG »ñÊ¤']
