,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
54,13,18,33,59,39,58,70,94,78,90,17,13,41,31,43,45,81,83,81,83,6947,0,7283,0,[]
55,10,21,33,59,42,55,69,94,73,91,13,15,36,23,89,5,79,86,80,89,7041,0,7399,0,[]
56,14,20,9,95,40,55,2,96,76,87,17,14,38,23,84,13,83,82,82,85,7126,0,7469,0,[]
57,16,19,21,94,42,54,2,96,72,88,16,14,42,17,76,21,83,82,79,88,7237,0,7636,0,[]
58,12,22,32,93,49,53,2,96,71,88,13,14,43,16,68,29,82,83,78,89,7314,0,7758,0,[]
59,9,24,46,89,53,47,76,88,76,90,15,17,43,15,58,39,83,84,82,88,7369,0,7968,0,[]
60,10,27,54,85,48,52,75,90,73,86,14,21,40,15,55,47,83,86,82,89,7472,0,8094,0,[]
61,10,30,55,84,48,54,74,87,73,90,11,24,30,12,49,47,80,86,79,90,7679,0,8175,0,[]
62,10,32,61,83,48,53,76,90,73,86,11,23,18,13,55,47,80,85,80,85,7758,0,8315,0,[]
63,8,25,73,83,49,51,77,89,78,87,12,24,8,17,55,46,83,86,83,86,7879,0,8447,0,[]
64,7,30,85,85,47,54,83,88,86,84,11,25,7,19,51,47,86,86,86,86,8449,0,8540,0,[]
65,7,32,89,78,44,56,89,81,91,77,10,27,12,22,48,50,86,86,92,75,8969,0,9041,0,['5:21 LNGDuan(Å£Í·Çõ³¤) »÷É±ÁË IGJackeyLove(Ê¥Ç¹ÓÎÏÀ)']
66,5,31,86,77,46,51,86,82,90,79,10,24,5,35,45,48,86,86,92,74,9037,0,9137,0,"['5:27 LNGAsura(Ðé¿ÕÖ®Å®) »÷É±ÁË IGLucas(Ä§·¨Ã¨ßä)', '5:29 IGTheShy(Íò»¨Í¨Áé) »÷É±ÁË LNGFlandre(ÀëÈºÖ®´Ì)']"
67,5,31,88,76,44,52,81,84,87,85,15,21,15,38,47,48,94,5,92,74,9145,0,9189,0,[]
68,5,31,85,78,43,54,86,77,88,76,16,22,15,43,45,50,94,6,95,5,9390,0,9355,0,[]
69,2,96,76,72,40,57,87,77,87,77,95,4,15,43,47,53,91,69,91,69,9469,0,9506,0,[]
70,13,23,67,65,35,63,83,79,81,77,94,4,18,44,39,59,87,73,87,73,9555,0,9577,0,[]
71,8,25,56,62,39,60,74,71,72,70,12,21,24,44,39,56,91,78,91,78,9696,0,9701,0,[]
72,9,25,49,65,40,56,72,68,63,63,15,17,24,42,43,54,90,80,90,80,9789,0,9894,0,[]
73,8,26,49,66,42,56,68,66,54,57,12,20,24,43,43,52,90,78,83,78,9984,0,10046,0,[]
74,7,27,44,67,43,56,59,63,54,57,12,21,95,4,46,51,89,73,75,72,10132,0,10147,0,[]
75,8,25,34,62,42,56,59,71,4,96,13,19,85,8,41,45,89,74,67,69,10196,0,10282,0,[]
76,9,26,27,59,43,56,60,76,12,94,14,19,75,16,42,46,90,73,68,68,10278,0,10412,0,[]
77,8,30,25,57,43,56,63,87,16,82,17,22,64,21,46,50,91,74,77,73,10379,0,10547,0,[]
78,7,29,22,53,43,56,74,87,25,74,24,30,56,30,48,49,87,73,84,80,10531,0,10598,0,[]
79,8,26,21,50,43,55,77,85,39,73,21,25,51,35,47,51,88,74,89,81,10631,0,10660,0,[]
80,11,25,33,49,44,55,71,81,51,65,14,20,42,38,46,50,87,75,89,81,10705,0,10778,0,[]
81,9,25,39,49,44,55,73,72,57,56,12,20,42,45,49,49,87,76,87,81,10753,0,10909,0,[]
82,10,25,43,43,47,49,70,68,50,46,14,19,45,38,53,41,87,76,90,77,10852,0,10985,0,[]
83,8,27,43,45,49,51,72,69,56,57,12,22,48,27,53,45,87,76,89,80,10903,0,11099,0,[]
84,9,29,45,48,50,48,71,66,55,53,12,22,47,24,56,46,85,78,88,83,11134,0,11286,0,[]
85,7,30,47,58,51,48,73,68,62,62,9,24,40,25,54,46,85,78,88,83,11268,0,11393,0,[]
86,11,28,54,65,45,55,72,67,75,61,11,23,28,33,52,46,86,79,87,85,11445,0,11563,0,[]
87,8,31,56,75,42,59,73,74,78,72,11,23,19,37,48,47,87,80,88,84,11530,0,11723,0,[]
88,9,30,54,76,44,56,77,80,79,81,12,24,18,35,47,49,89,79,85,80,11580,0,11831,0,[]
89,5,42,55,76,51,48,82,85,87,85,9,33,8,39,54,43,86,78,86,78,11773,0,11952,0,[]
90,6,41,64,71,50,47,81,82,89,82,9,34,15,34,55,44,87,76,87,76,11868,0,12261,0,[]
91,5,36,65,69,48,51,81,82,89,82,9,29,25,37,53,46,88,67,88,67,11981,0,12381,0,[]
92,6,32,64,69,47,52,80,84,84,85,8,26,37,37,52,47,82,66,80,65,12078,0,12520,0,[]
93,6,30,64,70,47,54,79,83,79,77,10,25,41,27,59,44,87,72,84,66,12323,0,12592,0,[]
94,5,38,64,70,50,59,79,83,80,85,10,24,41,17,59,44,85,81,87,74,12430,0,12938,0,[]
95,4,44,64,70,57,62,78,84,79,79,8,26,42,17,92,5,86,82,86,81,12501,0,13050,0,[]
96,4,44,65,69,49,53,84,87,84,87,8,26,43,17,89,7,85,78,85,79,12694,0,13151,0,[]
97,4,91,57,77,48,51,77,86,83,89,8,26,43,18,81,13,85,78,85,78,12833,0,13220,0,['8:2 LNG »÷É±ÁËÍÁÁú']
98,5,78,56,84,44,52,78,87,84,88,11,23,43,18,74,22,87,76,87,76,12903,0,13331,0,[]
99,6,66,57,83,44,52,79,85,84,88,14,21,93,8,67,32,87,71,87,71,13072,0,13401,0,[]
100,6,54,56,83,5,91,78,86,84,88,15,21,87,20,60,40,83,61,84,60,13163,0,13482,0,[]
101,7,40,56,83,14,86,77,86,84,88,94,4,82,31,55,47,82,59,81,56,13296,0,13548,0,[]
102,8,29,56,83,23,78,77,85,88,82,82,6,74,43,50,51,83,61,84,62,13413,0,13782,0,[]
103,11,30,4,93,30,69,80,82,89,81,71,7,76,45,48,53,86,66,86,66,13512,0,13877,0,[]
104,7,23,16,84,39,59,83,81,86,82,57,8,76,48,51,50,87,70,87,70,13630,0,14074,0,[]
105,12,14,27,81,42,56,84,84,84,86,44,10,71,52,65,50,85,80,86,79,13899,0,14171,0,[]
106,13,16,37,75,45,57,84,88,85,88,33,11,71,52,71,50,87,78,87,81,14118,0,14347,0,[]
107,11,19,45,67,50,60,84,88,84,89,22,14,65,57,64,57,91,72,91,72,14242,0,14547,0,[]
108,9,22,45,67,47,53,3,96,3,96,14,19,62,61,57,61,88,73,87,75,14332,0,14646,0,[]
109,13,17,36,63,42,55,15,94,9,93,14,16,56,57,49,52,82,79,82,79,14455,0,14840,0,[]
110,8,18,27,59,42,55,26,93,22,87,16,13,58,57,48,51,82,87,81,84,14520,0,14989,0,[]
111,10,20,24,57,43,55,37,92,33,78,14,14,54,48,45,44,79,84,82,82,14758,0,15154,0,[]
112,8,30,31,48,42,55,48,91,45,71,15,19,49,40,34,42,84,85,81,83,14851,0,15205,0,[]
113,7,30,32,49,44,53,59,91,56,65,9,24,50,35,42,38,84,85,84,85,14944,0,15266,0,[]
114,8,29,32,46,49,53,69,90,56,60,10,23,52,35,48,41,93,7,93,8,15079,0,15318,0,[]
115,8,31,32,40,48,52,77,87,56,59,13,19,49,34,53,46,94,9,89,14,15206,0,15492,0,[]
