,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,IGTheShy, ,IGNing, ,IGForge, ,IGJackeyLove, ,IGBaolan, ,blue_economics,blue_towers,red_economics,red_towers,captions
239,62,86,54,76,18,44,49,53,2,96,82,65,67,19,87,5,80,23,88,14,0,2,0,2,[]
240,63,83,57,65,18,44,47,51,12,89,84,64,58,28,74,6,70,32,73,18,0,2,0,2,[]
241,74,76,46,57,2,96,44,49,20,80,92,65,47,35,59,8,60,41,60,25,0,2,0,2,[]
242,75,67,37,48,7,87,45,49,29,71,89,59,44,42,47,9,54,46,48,35,0,2,0,2,[]
243,70,67,41,53,19,76,38,56,36,61,78,50,47,55,34,11,45,52,48,49,0,2,0,2,[]
244,67,66,37,59,30,67,35,59,37,58,62,50,45,44,22,14,44,48,42,45,0,2,0,2,[]
245,78,63,35,59,41,61,35,59,35,58,51,50,39,37,13,21,46,53,43,47,0,2,0,2,[]
246,90,62,36,60,42,60,2,96,42,60,45,57,41,42,8,30,43,53,45,56,0,2,0,2,[]
247,87,65,34,61,43,58,38,60,43,58,47,53,44,55,14,36,44,55,47,56,0,2,0,2,[]
248,75,62,38,59,40,62,40,58,38,61,47,51,46,52,19,48,46,53,47,55,0,2,0,2,['20:39 IGJackeyLove(战争女神) 击杀了 TESKnight9(猩红收割者)']
249,66,64,46,54,40,62,46,52,46,52,49,43,41,42,30,52,46,44,51,48,0,2,0,2,[]
250,55,56,45,55,40,62,47,54,45,55,44,40,32,44,36,49,46,45,47,41,0,2,0,2,[]
251,48,54,44,55,40,62,48,54,39,54,42,46,34,48,36,48,49,47,41,45,0,2,0,2,[]
252,53,57,44,57,40,62,45,57,37,56,45,49,37,49,32,55,45,50,43,51,0,2,0,2,[]
253,54,64,40,70,40,62,33,66,40,70,43,58,45,56,35,64,39,58,41,56,0,2,0,2,[]
254,41,67,40,67,40,62,32,66,40,67,33,59,36,49,31,56,39,54,38,51,0,2,0,3,"['21:6 IGTheShy(狂暴之心) 击破了防御塔', '21:6 IGForge(解脱者) 击杀了 TESLokeN(探险家)']"
255,40,58,43,57,40,62,32,66,40,59,32,50,29,39,32,43,32,44,33,40,0,2,0,3,[]
256,48,49,50,45,40,62,32,66,41,51,34,38,27,33,32,30,31,34,29,32,0,2,0,3,[]
257,46,38,46,35,4,92,32,66,43,44,35,38,31,33,33,31,31,33,35,31,0,2,0,3,[]
258,41,31,45,37,15,78,32,66,44,42,44,44,37,37,32,33,36,36,32,33,0,2,0,3,['21:30 IGTheShy(狂暴之心) 击杀了 TESBen(魔法猫咪)']
259,41,27,51,29,26,69,32,66,44,42,42,37,45,34,40,33,41,31,41,35,0,2,0,3,[]
260,41,32,48,18,31,57,32,66,44,42,43,33,50,23,41,31,42,26,42,26,0,2,0,3,['21:39 IGTheShy(狂暴之心) 击杀了 TES369(刀锋舞者)']
261,41,32,48,16,32,43,6,88,44,42,38,40,48,16,39,28,45,15,48,20,0,2,0,3,['21:45 IGBaolan(光辉女郎) 击杀了 TESXx(酒桶)']
262,41,32,48,16,25,37,15,75,44,42,28,36,43,24,36,37,48,19,41,26,0,2,0,3,[]
263,41,32,48,16,22,40,18,61,44,42,34,39,41,36,35,37,41,29,36,37,0,2,0,3,[]
264,41,32,48,16,21,38,20,50,44,42,32,34,34,32,32,31,35,36,30,33,0,2,0,3,[]
265,41,32,48,16,27,36,24,39,3,94,31,36,34,32,31,30,34,31,30,32,0,2,0,3,[]
266,41,32,48,16,24,35,25,37,12,78,32,34,35,32,32,30,34,31,26,30,0,2,0,3,[]
267,41,32,48,16,34,31,21,44,18,67,26,37,32,33,32,32,36,30,27,32,0,2,0,3,[]
268,41,32,48,16,35,30,22,55,22,55,32,34,34,32,33,30,35,31,32,32,0,2,0,3,"['22:18 IGNing(永猎双子) 击杀了 TESKnight9(猩红收割者)', '22:19 IG 击杀了大龙']"
269,7,86,10,95,35,30,35,60,36,59,42,34,95,4,95,4,95,4,34,30,0,2,0,3,[]
270,9,70,28,92,35,30,44,58,45,57,94,4,89,16,92,9,85,18,91,11,0,2,0,3,[]
271,8,55,40,87,35,30,46,57,46,56,84,11,82,30,85,25,74,28,77,26,0,2,0,3,[]
272,9,42,50,78,35,30,51,64,53,61,72,23,76,42,80,37,64,37,64,36,0,2,0,3,[]
273,9,35,55,82,35,30,44,68,59,69,62,34,78,50,78,51,55,42,57,42,0,2,0,3,[]
274,14,37,55,82,35,30,44,69,52,76,54,45,81,56,77,55,48,48,55,48,0,2,0,3,[]
275,13,43,50,82,35,30,43,69,42,65,47,54,74,60,79,56,45,53,47,52,0,2,0,3,[]
276,14,42,44,70,35,30,40,70,40,70,50,45,63,62,87,66,42,41,48,51,0,2,0,3,[]
277,3,96,43,68,8,94,34,68,34,68,50,35,55,57,87,74,50,31,56,60,0,2,0,3,[]
278,21,90,29,59,22,84,39,67,39,67,51,34,52,51,83,82,48,33,55,66,0,2,0,3,[]
279,35,91,28,59,32,76,38,63,31,58,51,23,58,58,72,78,50,46,60,59,0,2,0,3,[]
280,48,91,35,63,36,64,37,57,31,55,46,16,57,65,62,83,46,54,54,62,0,2,0,3,[]
281,54,90,41,72,42,64,38,55,38,55,44,12,51,77,55,85,47,55,49,66,0,2,0,3,[]
282,52,91,40,78,40,66,37,61,40,66,37,8,50,84,53,89,52,60,56,68,0,2,0,3,[]
283,42,93,43,89,36,74,32,66,36,74,95,4,52,84,62,90,52,62,51,75,0,2,0,3,[]
284,42,93,36,82,35,67,31,67,31,67,95,4,46,73,77,88,41,59,46,72,0,2,0,3,[]
285,9,94,32,72,37,75,30,65,37,76,78,87,46,75,80,87,42,56,46,67,0,2,0,3,[]
286,26,93,32,68,36,75,30,67,36,75,58,85,45,79,68,89,41,58,44,73,0,2,0,3,[]
287,40,91,32,70,36,77,34,63,36,77,54,90,50,84,56,91,50,61,49,76,0,2,0,3,[]
288,38,91,32,73,38,90,36,60,38,90,48,93,50,89,47,91,42,67,41,67,0,2,0,3,[]
289,33,81,31,70,35,86,28,66,35,86,44,92,52,87,44,90,37,66,34,60,0,2,0,4,['24:4 IGForge(解脱者) 击破了防御塔']
290,34,84,32,68,36,92,30,67,36,92,40,91,43,79,41,82,37,61,33,62,0,2,0,4,[]
291,34,84,33,70,38,90,30,66,38,90,47,92,39,72,39,76,34,59,37,60,0,2,0,4,[]
292,39,89,32,70,51,93,26,67,48,94,50,94,42,68,45,81,37,62,40,61,0,2,0,4,[]
293,36,92,32,69,39,94,31,66,48,94,52,88,47,79,48,90,41,70,43,69,0,2,0,4,['24:21 IGTheShy(狂暴之心) 击杀了 TESBen(魔法猫咪)']
294,30,88,29,74,29,93,34,60,48,94,44,92,40,88,41,90,41,83,41,79,0,2,0,4,[]
295,21,89,26,86,20,94,30,65,48,94,32,94,31,93,29,87,31,89,34,89,0,2,0,4,[]
296,16,85,25,80,6,96,22,73,48,94,26,90,26,87,23,82,27,86,28,85,0,2,0,4,['24:39 IGForge(解脱者) 击杀了 TESXx(酒桶)']
297,14,89,25,80,13,90,13,82,48,94,23,90,25,88,24,89,22,89,25,87,0,2,0,5,['24:44 IG 击破了防御塔']
298,12,86,25,80,14,86,7,94,48,94,15,94,18,91,19,91,20,90,20,86,0,2,0,5,[]
299,10,86,25,80,10,84,10,86,48,94,13,92,18,90,16,90,21,86,20,86,0,2,0,5,[]
300,8,87,25,80,7,93,9,86,7,93,11,93,16,87,14,88,15,88,18,88,0,2,0,6,['24:59 IGNing(永猎双子) 击破了防御塔']
301,10,86,25,80,13,92,12,92,13,92,17,94,12,82,11,86,15,85,18,84,0,2,0,6,[]
302,10,85,25,80,17,93,23,95,22,95,25,94,16,86,12,87,18,90,21,90,0,2,0,7,"['25:7 IGNing(永猎双子) 击破了防御塔', '25:6 IGJackeyLove(战争女神) 击杀了 TES369(刀锋舞者)', '25:7 IGTheShy(狂暴之心) 击杀了 TESKnight9(猩红收割者)', '25:10 TESLokeN(探险家) 击杀了 IGTheShy(狂暴之心)']"
303,10,85,25,80,17,93,25,96,25,96,25,94,27,92,24,93,25,95,24,90,0,2,0,7,[]
304,10,85,4,96,17,93,26,96,25,96,25,94,18,91,18,91,18,92,17,90,0,2,0,7,"['25:16 IGJackeyLove(战争女神) 击杀了 TESLokeN(探险家)', '25:17 IGForge(解脱者) 击杀了 TESBen(魔法猫咪)']"
305,10,85,2,97,17,93,26,96,25,96,25,94,8,93,7,92,9,92,11,93,0,2,0,7,[]
306,10,85,4,96,17,93,26,96,25,96,25,94,9,93,3,95,8,92,10,95,0,2,0,7,['25:28 TESLokeN(探险家) 击杀了 IGForge(解脱者)']
307,10,85,3,97,17,93,26,96,25,96,25,94,7,92,3,95,9,92,11,94,0,2,0,7,[]
308,10,85,3,97,17,93,26,96,25,96,25,94,7,92,3,95,9,92,11,94,0,2,0,7,['25:40 IG 获胜']
