,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,IGTheShy, ,IGNing, ,IGForge, ,IGJackeyLove, ,IGBaolan, ,blue_economics,blue_towers,red_economics,red_towers,captions
57,2,96,64,77,46,54,77,86,77,86,12,20,29,32,70,27,83,83,83,84,0,0,0,0,[]
58,2,96,76,75,46,54,79,88,79,86,18,24,39,36,61,37,80,84,82,86,0,0,0,0,[]
59,8,28,84,83,7,94,80,87,82,86,18,24,50,34,56,46,84,87,86,87,0,0,0,0,[]
60,8,28,76,78,14,89,72,88,72,88,82,87,51,32,51,50,78,87,79,85,0,0,0,0,[]
61,9,26,67,82,22,80,67,89,67,89,85,88,48,40,51,48,74,87,84,84,0,0,0,0,[]
62,13,18,57,84,29,72,70,92,70,92,85,88,59,41,51,48,75,87,78,86,0,0,0,0,[]
63,14,19,57,83,36,64,73,90,73,90,82,5,69,41,50,49,79,85,80,84,0,0,0,0,[]
64,22,27,57,82,43,56,70,88,73,88,70,6,76,43,48,49,86,78,86,77,0,0,0,0,[]
65,30,34,55,82,48,59,71,88,73,90,59,8,78,48,51,48,87,71,89,71,0,0,0,0,[]
66,40,36,50,80,49,52,73,87,77,90,45,9,81,56,52,47,87,71,89,71,0,0,0,0,[]
67,30,33,46,69,49,53,72,88,73,87,33,10,80,56,52,47,92,7,94,7,0,0,0,0,[]
68,21,26,46,66,47,51,72,88,73,85,28,16,78,54,54,48,93,10,92,11,0,0,0,0,[]
69,15,17,45,64,46,52,2,96,2,97,21,14,76,60,51,49,92,21,84,19,0,0,0,0,[]
70,16,13,39,65,44,55,2,96,4,96,23,11,66,62,46,53,91,32,76,27,0,0,0,0,[]
71,16,16,29,60,42,56,71,82,12,95,21,13,56,64,53,57,90,43,68,35,0,0,0,0,[]
72,17,13,24,56,42,55,70,81,23,94,24,9,51,66,51,56,89,54,60,43,0,0,0,0,[]
73,19,15,20,50,43,57,77,87,34,93,24,10,62,63,46,54,89,66,64,52,0,0,0,0,[]
74,17,12,15,44,40,56,79,88,45,92,24,10,70,66,47,54,86,76,68,62,0,0,0,0,[]
75,20,12,19,44,40,55,77,88,56,90,22,7,75,66,54,58,82,83,75,69,0,0,0,0,[]
76,18,12,20,44,41,54,77,87,67,89,22,13,71,66,52,64,84,82,82,78,0,0,0,0,[]
77,15,11,28,38,42,54,79,85,79,85,30,8,67,64,57,65,86,81,85,82,0,0,0,0,[]
78,11,13,39,38,45,52,81,83,81,83,29,9,66,64,54,55,88,82,89,83,0,0,0,0,[]
79,11,13,43,39,49,52,82,82,79,82,26,8,65,63,53,47,88,78,90,82,0,0,0,0,[]
80,3,91,43,39,50,52,79,82,78,76,25,12,57,57,50,51,87,81,84,81,0,0,0,0,[]
81,5,79,51,46,48,50,80,83,80,81,24,12,54,52,52,51,84,83,86,79,0,0,0,0,[]
82,6,67,54,55,52,54,78,85,78,85,24,12,53,51,55,55,85,82,84,83,0,0,0,0,['6:50 TESKnight9(猩红收割者) 击杀了 IGForge(解脱者)']
83,8,55,56,56,46,54,80,85,80,85,24,11,55,56,55,55,85,82,88,84,0,0,0,0,['6:55 IGNing(永猎双子) 击杀了 TESXx(酒桶)']
84,9,43,56,56,48,52,76,88,76,88,23,10,54,46,55,55,83,84,82,86,0,0,0,0,[]
85,10,31,56,56,51,50,73,87,75,87,22,12,47,38,55,55,80,87,81,86,0,0,0,0,[]
86,12,20,3,96,50,48,73,86,73,86,20,13,51,29,86,9,83,85,81,84,0,0,0,0,[]
87,14,15,17,91,51,52,77,88,77,88,22,11,50,22,79,18,82,83,82,83,0,0,0,0,[]
88,14,18,28,89,51,52,75,87,75,87,19,9,43,24,71,27,81,84,83,86,0,0,0,0,[]
89,12,19,40,87,7,94,76,88,76,88,17,12,41,17,63,36,82,83,85,83,0,0,0,0,[]
90,9,25,47,78,16,88,69,90,71,87,19,19,40,16,55,43,76,76,79,74,0,0,0,0,[]
91,8,24,52,75,23,80,71,89,70,84,18,23,42,15,56,45,70,78,73,75,0,0,0,0,[]
92,8,24,53,76,31,72,73,83,73,83,15,21,37,15,55,46,74,76,72,72,0,0,0,0,[]
93,5,30,56,75,38,64,75,87,72,83,8,23,30,18,49,48,82,80,73,69,0,0,0,0,[]
94,7,27,60,74,44,55,81,84,81,84,10,22,22,24,42,44,86,84,82,78,0,0,0,0,[]
95,7,28,67,72,46,56,78,84,78,84,9,25,21,31,43,39,85,80,85,80,0,0,0,0,[]
96,7,31,67,71,44,56,81,82,81,82,9,26,15,38,49,48,88,74,87,76,0,0,0,0,[]
97,10,30,64,71,44,55,78,77,78,75,9,24,20,47,45,55,89,67,87,66,0,0,0,0,[]
98,8,26,64,71,48,54,80,78,78,72,19,25,25,51,52,49,89,67,87,66,0,0,0,0,[]
99,10,22,64,71,44,54,82,81,79,75,17,19,27,50,51,51,94,6,85,66,0,0,0,0,[]
100,10,21,64,71,47,55,83,81,84,80,16,17,21,45,59,50,94,6,85,66,0,0,0,0,[]
101,11,21,65,71,47,56,81,77,83,78,15,17,25,39,66,59,91,71,88,68,0,0,0,0,[]
102,9,19,65,72,48,58,81,77,79,74,22,14,25,36,64,71,93,70,79,65,0,0,0,0,"['8:29 IGForge(解脱者) 击杀了 TESXx(酒桶)', '8:29 IG 击杀了水龙']"
103,11,18,65,72,44,55,5,95,5,95,19,13,25,36,64,61,87,75,81,66,0,0,0,0,[]
104,12,17,65,72,43,55,8,94,6,95,21,12,91,12,53,55,85,82,87,72,0,0,0,0,[]
105,10,15,2,96,44,55,21,93,14,94,18,13,86,22,50,52,85,83,84,81,0,0,0,0,[]
106,11,17,15,91,43,56,31,92,25,93,17,15,81,31,52,50,80,86,83,87,0,0,0,0,[]
107,12,17,20,82,44,56,41,92,41,92,18,16,76,42,49,49,74,92,74,91,0,0,0,0,[]
108,10,18,25,73,46,54,54,91,54,91,16,15,77,47,48,49,73,92,74,90,0,0,0,0,[]
109,12,17,35,68,47,53,64,91,64,91,20,12,76,55,51,50,73,90,73,91,0,0,0,0,[]
110,11,17,45,64,45,52,71,88,71,88,19,13,79,55,50,46,78,88,79,87,0,0,0,0,[]
111,10,17,47,65,50,50,70,89,70,89,15,17,79,56,50,44,77,88,79,84,0,0,0,0,[]
