,OMGCurse, ,OMGPenguin, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
54,8,47,41,39,50,52,79,87,83,88,17,11,79,75,50,47,94,14,88,84,7329,0,6648,0,[]
55,9,36,51,43,54,49,85,79,87,80,16,13,92,4,59,46,93,25,92,73,7422,0,6713,0,[]
56,11,25,48,41,51,46,86,80,89,77,16,15,82,10,56,44,92,35,90,73,7592,0,6862,0,[]
57,13,18,49,34,47,36,88,80,83,78,17,14,75,19,54,46,91,46,90,74,7747,0,6994,0,[]
58,13,20,48,35,45,37,86,82,79,75,16,15,69,30,54,48,90,57,93,71,7821,0,7188,0,[]
59,11,22,42,38,42,42,84,88,79,75,19,21,66,41,49,39,91,68,91,77,7920,0,7280,0,[]
60,9,26,44,52,49,49,78,92,7,94,19,23,65,56,53,48,88,74,86,78,8013,0,7373,0,[]
61,9,23,50,61,51,54,71,94,18,90,95,4,52,55,51,51,89,76,80,81,8082,0,7456,0,[]
62,7,21,49,55,48,55,71,94,24,82,92,8,49,53,48,54,85,81,70,78,8602,0,7544,0,[]
63,50,52,50,54,45,54,5,96,30,73,52,49,53,50,48,54,86,81,60,74,8716,0,7700,0,['5:12 OMGicon(»ÄÄ®ÍÀ·ò) »÷É±ÁË WExiye(½âÍÑÕß)']
64,39,51,50,61,41,57,11,95,38,65,47,46,54,47,48,54,79,80,58,70,8767,0,7772,0,[]
65,28,50,50,66,41,55,22,94,45,56,39,40,51,35,48,54,76,88,66,78,8841,0,7843,0,[]
66,18,46,48,66,49,51,33,93,52,50,29,33,55,32,86,9,74,91,71,87,9142,0,8030,0,[]
67,14,36,45,68,48,52,44,92,54,54,22,39,66,39,78,18,73,92,73,89,9214,0,8081,0,[]
68,10,27,40,74,45,54,56,91,62,61,19,26,73,44,70,27,75,90,76,90,9264,0,8222,0,[]
69,8,23,40,74,45,54,68,91,71,68,12,20,75,44,62,36,76,88,86,85,9378,0,8308,0,[]
70,9,24,3,96,11,92,72,92,78,75,12,19,77,47,57,44,84,81,87,85,9471,0,8630,0,[]
71,9,24,6,94,20,83,73,91,84,80,13,18,80,52,54,46,88,72,90,80,9592,0,8800,0,[]
72,9,25,8,95,27,76,72,88,84,79,11,21,82,56,51,46,88,72,87,67,9743,0,8850,0,[]
73,8,27,8,95,33,66,76,87,78,83,9,23,81,56,50,47,92,74,87,66,9836,0,9029,0,[]
74,8,26,18,91,42,59,80,86,83,89,11,23,81,56,51,47,91,77,95,4,9915,0,9122,0,[]
75,9,29,28,83,49,51,80,86,85,87,11,25,81,56,51,46,87,73,93,12,10049,0,9249,0,[]
76,7,30,39,76,47,50,81,83,86,85,10,19,89,5,52,46,87,77,92,23,10202,0,9367,0,[]
77,8,27,50,67,48,53,79,83,86,83,7,19,87,7,50,47,89,76,91,35,10281,0,9446,0,[]
