,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
235,31,65,44,93,34,40,7,88,11,92,15,16,69,81,61,87,55,64,58,63,0,1,0,3,[]
236,31,67,51,94,25,29,9,61,17,81,20,13,67,67,64,72,58,63,67,63,0,1,0,3,[]
237,30,67,52,94,23,29,17,49,25,71,35,12,68,67,64,69,62,62,66,64,0,1,0,3,['19:45 LGD »÷É±ÁË»ðÁú']
238,28,66,54,93,35,28,22,42,33,61,38,15,76,57,65,69,51,55,52,56,0,1,0,3,[]
239,32,63,53,94,41,18,26,26,31,49,42,19,83,56,95,4,45,53,48,53,0,1,0,3,[]
240,37,59,51,94,41,16,37,15,38,43,53,7,76,46,44,9,48,42,49,42,0,1,0,3,[]
241,36,60,63,92,29,20,27,22,34,39,54,6,64,39,36,16,44,34,42,32,0,1,0,3,[]
242,31,60,77,89,17,31,14,22,26,36,95,4,49,41,23,26,23,28,23,28,0,1,0,3,[]
243,31,52,80,84,15,42,8,31,22,43,93,15,46,38,12,23,20,24,23,26,0,1,0,3,[]
244,32,57,79,80,19,48,6,36,22,51,92,34,51,34,15,21,20,24,28,33,0,1,0,3,[]
245,32,57,2,96,17,49,11,46,22,51,91,50,53,31,12,23,95,4,24,27,0,1,0,3,[]
246,4,91,8,94,16,49,9,43,5,93,90,65,64,38,11,21,96,4,24,27,0,1,0,3,[]
247,17,81,23,86,5,95,7,35,15,79,86,78,73,43,15,20,51,49,88,7,0,1,0,3,[]
248,26,74,34,78,14,89,8,34,25,70,83,82,71,41,22,31,49,41,76,19,0,1,0,3,[]
249,32,67,43,69,26,82,6,42,29,67,80,76,67,56,27,35,51,30,67,30,0,1,0,3,[]
250,34,66,46,65,38,75,7,48,31,66,71,78,66,62,44,36,51,31,57,40,0,1,0,3,[]
251,36,62,46,72,45,65,8,45,38,62,59,71,56,58,43,42,47,37,45,45,0,1,0,3,[]
252,40,65,51,83,47,64,8,33,37,61,58,70,47,53,41,43,45,49,46,51,0,1,0,3,[]
253,33,65,52,87,49,68,10,29,36,64,53,76,44,52,31,34,41,52,44,49,0,1,0,3,[]
254,34,64,56,91,53,68,9,40,37,66,67,68,42,46,19,22,41,51,33,43,0,1,0,3,[]
255,29,65,56,91,40,66,16,50,33,63,73,69,42,46,17,19,31,46,27,50,0,1,0,3,[]
256,34,65,52,90,31,60,19,52,34,61,74,70,94,4,9,28,33,47,32,46,0,1,0,3,[]
257,37,60,54,89,31,53,9,47,36,58,95,6,88,7,7,34,43,51,42,47,0,1,0,3,[]
258,40,58,51,78,30,58,5,46,35,58,93,27,72,15,7,35,45,50,44,52,0,1,0,3,[]
259,37,61,50,81,38,66,5,46,35,61,91,42,60,26,11,25,42,46,50,44,0,1,0,3,[]
260,34,62,53,84,42,64,5,46,33,60,90,59,48,35,28,21,42,46,50,44,0,1,0,3,[]
261,35,63,53,85,49,75,8,43,32,61,87,74,47,41,31,18,35,42,91,5,0,1,0,3,[]
262,34,63,54,86,54,84,7,46,32,60,82,83,47,41,38,16,46,51,76,15,0,1,0,3,[]
263,40,65,53,86,47,74,6,46,3,95,79,87,47,47,38,15,45,49,64,22,0,1,0,3,[]
264,34,63,55,86,45,66,6,46,14,80,74,89,37,42,38,16,40,44,53,31,0,1,0,3,[]
265,35,63,60,87,45,62,9,83,23,72,72,91,28,34,38,16,33,44,40,36,0,1,0,3,[]
266,34,63,58,93,49,65,11,69,33,64,78,82,19,26,81,11,38,43,34,42,0,1,0,3,[]
267,38,59,56,92,58,62,22,66,39,59,72,70,14,19,67,19,41,45,41,45,0,1,0,3,[]
268,42,60,58,90,58,63,34,64,43,58,73,62,24,29,57,29,43,46,46,51,0,1,0,3,[]
269,36,61,60,85,55,61,30,54,37,60,68,63,32,41,45,35,43,51,45,49,0,1,0,3,[]
270,33,59,60,85,42,67,17,49,31,58,73,69,33,49,40,32,43,47,38,38,0,1,0,3,[]
271,35,62,9,93,35,62,8,41,32,56,81,81,43,53,38,28,40,44,32,31,0,1,0,3,[]
272,32,60,14,86,35,59,7,31,24,57,82,86,44,50,38,28,33,44,32,31,0,1,0,3,[]
273,33,60,24,76,32,59,7,25,21,48,74,88,44,49,38,30,31,44,31,34,0,1,0,3,[]
274,31,63,34,74,31,57,5,31,20,49,63,92,33,43,26,35,31,43,28,38,0,1,0,3,[]
275,31,63,42,83,25,52,8,43,19,50,61,92,33,43,27,37,33,43,30,39,0,1,0,3,[]
276,5,89,49,90,22,45,17,49,19,46,60,91,32,42,27,37,29,39,30,39,0,1,0,3,[]
277,14,76,49,90,20,50,20,49,20,45,56,81,37,41,25,29,38,42,40,42,0,1,0,3,[]
278,25,70,56,85,27,46,28,59,24,43,70,80,48,35,21,20,41,45,45,51,0,1,0,3,[]
279,35,63,56,90,25,45,37,62,21,45,75,65,49,34,25,12,41,45,43,48,0,1,0,3,[]
280,37,62,53,88,24,42,46,71,25,47,80,56,38,38,20,15,43,53,33,44,0,1,0,3,[]
281,31,58,50,77,26,46,44,69,22,48,79,52,29,37,11,24,44,50,34,40,0,1,0,3,[]
282,37,59,53,84,21,53,45,68,22,48,72,52,38,42,9,24,54,48,41,45,0,1,0,3,[]
283,37,61,61,86,24,55,44,68,5,93,75,52,43,48,18,24,66,51,45,47,0,1,0,3,[]
284,32,66,61,86,24,55,2,96,16,79,79,65,41,45,31,32,56,49,37,43,0,1,0,3,[]
285,28,67,11,91,9,84,5,82,17,66,82,81,38,55,33,43,41,54,30,50,0,1,0,3,[]
286,30,63,23,79,21,73,6,67,19,62,81,78,41,54,30,50,31,50,25,51,0,1,0,3,[]
287,30,64,33,74,25,65,7,55,24,65,71,78,39,53,24,50,40,52,32,53,0,1,0,3,[]
288,31,67,45,82,24,65,8,56,31,66,69,89,39,60,36,57,38,56,30,56,0,1,0,3,[]
289,29,70,47,80,27,66,8,56,29,69,70,91,35,67,36,64,33,60,33,65,0,1,0,3,[]
290,24,71,45,80,25,72,9,95,32,73,58,89,33,65,36,64,32,63,33,63,0,1,0,3,[]
291,28,68,36,80,24,65,29,74,29,67,50,88,36,60,41,56,38,58,39,59,0,1,0,4,['24:13 LGDYuuki(É³Ä®»ÊµÛ) »÷ÆÆÁË·ÀÓùËþ']
292,28,71,40,89,19,60,45,79,23,65,67,88,35,49,31,49,37,61,39,58,0,1,0,4,[]
293,29,64,52,88,18,60,54,78,27,66,79,84,20,49,19,47,41,56,37,57,0,1,0,4,[]
294,35,63,54,84,19,62,47,74,30,66,89,81,21,52,11,38,41,56,45,55,0,1,0,4,[]
295,30,65,52,84,24,52,35,62,22,64,86,84,34,49,13,35,44,53,56,57,0,1,0,4,[]
296,31,64,61,83,23,56,26,58,18,55,76,88,47,54,23,33,44,53,59,63,0,1,0,4,[]
297,20,64,64,88,29,52,18,50,26,52,78,82,60,61,41,32,86,9,63,63,0,1,0,4,[]
298,19,61,62,92,31,47,11,52,30,49,71,69,66,69,46,38,69,19,63,63,0,1,0,4,[]
299,2,96,58,89,29,35,13,49,31,39,69,68,66,70,46,38,57,28,63,63,0,1,0,4,[]
300,5,91,57,89,31,33,21,47,23,39,72,70,67,69,41,32,45,33,93,5,0,1,0,4,['24:58 LGD »÷É±ÁËË®Áú']
301,16,79,60,90,25,44,40,52,22,43,81,80,67,69,41,33,50,47,79,10,0,1,0,4,[]
302,25,71,58,88,27,47,35,60,20,46,82,83,88,7,95,4,48,51,71,23,0,1,0,4,[]
303,28,65,63,93,27,47,25,67,20,46,81,82,74,21,76,10,50,49,61,34,0,1,0,4,[]
304,32,59,61,93,4,94,25,67,10,85,95,4,66,33,60,9,50,49,50,41,0,1,0,4,[]
305,31,63,59,88,4,94,4,94,21,74,92,25,62,38,43,11,80,14,41,37,0,1,0,4,[]
306,34,60,72,87,17,80,15,79,30,65,91,41,72,43,39,15,69,27,42,40,0,1,0,4,[]
307,33,62,81,85,24,69,26,69,36,63,89,59,67,41,36,14,58,39,44,44,0,1,0,4,[]
308,32,64,81,83,21,54,18,58,36,61,88,73,53,41,29,19,48,48,46,51,0,1,0,4,[]
309,34,64,70,88,16,44,19,46,31,64,85,81,42,51,17,15,39,53,39,52,0,1,0,4,[]
310,33,63,57,85,15,34,20,44,33,63,86,78,32,50,12,24,41,55,34,48,0,1,0,4,[]
311,32,59,49,80,14,41,13,47,32,61,76,75,30,49,9,31,43,52,28,50,0,1,0,4,[]
312,30,64,52,85,20,49,7,46,25,65,77,80,30,48,7,31,37,49,30,49,0,1,0,4,[]
313,29,68,60,91,20,59,7,42,23,64,81,86,21,48,15,38,32,40,23,50,0,1,0,4,[]
314,24,72,67,90,29,60,12,49,18,59,80,84,21,48,13,36,28,33,19,45,0,1,0,4,[]
315,26,69,54,92,38,60,5,54,13,63,69,82,11,49,7,47,23,38,10,50,0,1,0,4,[]
316,17,64,52,94,30,54,6,57,11,57,54,76,13,49,7,48,18,48,10,47,0,1,0,4,[]
317,10,59,54,92,28,58,7,56,8,58,57,70,13,49,8,49,15,49,10,47,0,1,0,4,[]
318,15,63,55,92,38,65,5,55,11,62,48,57,13,49,7,45,16,50,15,49,0,1,0,4,[]
319,10,60,47,82,43,67,5,55,9,58,44,53,15,49,7,44,14,50,12,47,0,1,0,4,[]
320,10,56,51,78,37,66,6,54,11,57,43,55,15,49,11,44,18,50,14,50,0,1,0,4,[]
321,6,56,51,77,33,65,5,55,10,58,44,56,12,49,9,47,14,50,5,50,0,1,0,4,[]
322,7,57,56,85,27,69,7,53,10,59,36,62,16,49,11,47,14,50,8,46,0,1,0,4,[]
323,9,57,63,90,25,65,5,55,10,58,35,60,15,50,10,46,14,49,12,48,0,1,0,4,[]
324,10,58,67,92,24,65,7,56,9,60,36,62,17,52,11,46,18,51,15,49,0,1,0,4,[]
325,16,63,78,89,28,70,11,55,6,62,31,66,23,43,10,44,18,47,23,41,0,1,0,4,[]
326,20,69,79,88,18,77,12,63,6,62,32,63,23,43,24,39,18,45,29,34,0,1,0,4,[]
327,24,71,84,87,12,89,11,52,7,88,32,48,32,32,31,33,27,36,32,31,0,1,0,4,[]
328,30,65,82,77,4,93,12,49,14,73,32,34,31,30,29,32,30,33,32,32,0,1,0,4,[]
329,27,59,88,77,19,76,16,51,17,60,32,34,33,32,29,32,31,35,27,32,0,1,0,4,['27:25 LGD »÷É±ÁË´óÁú']
330,22,58,91,71,33,74,19,48,22,54,27,31,42,36,39,31,29,45,29,23,0,1,0,4,[]
331,25,66,91,71,46,79,10,41,18,55,94,5,50,33,96,5,38,43,95,4,0,1,0,4,[]
332,34,68,85,80,56,82,11,34,22,66,71,78,57,33,88,74,45,52,93,14,0,1,0,4,[]
333,30,68,87,80,60,84,11,24,27,74,83,81,55,44,84,81,53,61,87,29,0,1,0,4,['27:45 LGDLies(¿ñ±©Ö®ÐÄ) »÷É±ÁË RWHolder(º£ÑóÖ®ÔÖ)']
334,29,72,87,80,59,84,7,26,27,74,85,79,56,44,84,78,50,58,73,34,0,1,0,4,[]
335,27,75,87,80,48,79,5,28,3,96,74,88,44,54,73,71,44,53,61,40,0,1,0,4,[]
336,27,75,87,80,47,79,5,28,16,84,68,91,44,57,68,80,43,54,50,49,0,1,0,4,[]
337,10,93,87,80,5,95,4,96,26,74,67,92,36,63,68,80,39,60,40,59,0,1,0,4,[]
338,10,93,87,80,5,95,4,96,26,74,67,92,36,63,68,80,39,60,40,59,0,1,0,4,[]
339,10,93,87,80,5,95,4,96,26,74,67,92,36,63,68,80,39,60,40,59,0,1,0,4,[]
340,10,93,87,80,5,95,4,96,26,74,67,92,36,63,68,80,39,60,40,59,0,1,0,4,[]
341,21,74,87,80,37,76,30,73,23,75,33,92,32,70,36,89,32,65,34,68,0,1,0,4,[]
342,26,70,87,80,36,62,34,68,29,70,30,92,37,63,31,89,37,60,36,64,0,1,0,4,['28:29 RWHaro(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË LGDRD(ºÓÁ÷Ö®Íõ)']
343,33,63,2,96,31,57,40,60,36,60,28,92,43,54,27,90,44,50,36,64,0,1,0,5,['28:32 LGDLies(¿ñ±©Ö®ÐÄ) »÷ÆÆÁË·ÀÓùËþ']
344,27,72,5,94,22,47,48,49,38,60,33,90,51,44,39,87,45,38,36,64,0,1,0,5,['28:40 RWHuaTian(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË LGDbadeMan(µÂ°î×Ü¹Ü)']
345,24,83,18,90,14,42,45,44,40,55,45,81,51,44,49,82,51,26,36,64,0,1,0,5,[]
346,22,73,26,89,15,39,45,34,31,62,51,76,51,44,54,76,54,20,36,64,0,1,0,5,[]
347,29,64,28,89,23,25,41,23,26,66,59,68,51,44,64,69,66,27,36,64,0,1,0,5,[]
348,30,66,33,89,33,17,35,12,26,66,62,62,51,44,72,65,68,39,36,64,0,1,0,5,[]
349,25,70,29,82,37,15,24,13,2,96,95,4,51,44,74,58,76,45,36,64,0,1,0,5,[]
350,33,63,36,77,39,15,22,13,14,89,93,9,51,44,77,56,80,53,91,9,0,1,0,5,[]
351,30,67,40,77,39,15,22,13,28,81,83,28,51,44,76,56,79,53,79,23,0,1,0,5,[]
352,27,72,43,88,4,95,2,96,38,74,81,44,51,44,87,8,95,4,69,33,0,1,0,5,[]
353,38,73,52,92,12,92,17,91,42,69,75,57,51,44,78,24,46,8,66,46,0,1,0,5,[]
354,44,68,53,92,27,84,36,78,46,67,74,67,94,4,68,34,47,17,62,59,0,1,0,5,[]
355,45,69,53,92,38,76,39,62,48,68,78,82,93,4,55,45,51,31,53,53,0,1,0,5,[]
356,43,69,10,92,52,78,41,56,51,68,74,88,85,11,49,52,50,44,48,52,0,1,0,5,[]
357,2,96,26,83,48,78,38,59,39,66,74,87,76,26,61,61,54,54,58,58,0,1,0,5,[]
358,18,95,35,87,46,82,37,49,39,56,71,76,65,36,68,66,51,56,67,64,0,1,0,5,[]
359,33,93,45,91,49,84,20,49,35,64,72,68,54,47,65,65,52,50,66,65,0,1,0,5,[]
360,43,92,46,93,49,84,21,47,34,68,69,67,45,46,65,65,49,50,66,64,0,1,0,5,[]
361,44,92,42,91,47,82,20,49,34,68,68,67,36,43,66,65,42,43,63,63,0,1,0,5,['30:5 LGD »÷É±ÁËË®Áú']
362,33,92,33,82,36,74,22,55,6,91,59,58,24,39,56,58,30,33,52,56,0,1,0,5,[]
363,21,93,30,73,30,67,30,69,17,77,46,55,22,30,44,56,21,21,39,55,0,1,0,5,[]
364,9,95,20,84,22,64,32,77,28,73,37,60,23,33,37,58,15,17,33,60,0,1,0,5,[]
365,8,87,9,93,19,59,38,89,27,67,39,58,18,33,35,58,9,28,31,55,0,1,0,5,[]
366,20,76,3,94,19,62,39,91,25,66,34,60,9,35,30,56,10,34,21,51,0,1,0,5,[]
367,25,72,9,76,22,67,30,80,19,64,37,61,8,46,24,57,10,46,18,56,0,1,0,5,[]
368,27,70,13,68,29,68,28,70,14,64,37,61,11,55,24,60,8,53,16,56,0,1,0,6,['30:40 LGDbadeMan(µÂ°î×Ü¹Ü) »÷ÆÆÁË·ÀÓùËþ']
369,17,69,10,69,17,68,17,69,16,68,36,62,10,58,17,55,9,58,17,57,0,1,0,6,[]
370,13,69,11,70,14,68,7,68,10,78,36,61,11,59,7,58,7,59,18,60,0,1,0,6,[]
371,9,71,9,70,14,69,4,70,5,89,38,61,11,60,6,62,8,60,11,50,0,1,0,6,[]
372,13,70,15,71,15,68,14,70,6,89,38,60,9,57,5,60,10,60,10,61,0,1,0,6,[]
373,5,71,19,81,18,70,27,71,5,73,34,65,10,60,8,62,10,59,7,61,0,1,0,6,[]
374,8,71,21,87,14,69,26,70,4,70,32,65,10,59,7,60,9,60,6,61,0,1,0,6,[]
375,10,71,22,88,14,69,16,71,5,70,34,64,10,60,5,61,9,59,8,60,0,1,0,6,[]
376,9,71,16,80,15,69,8,85,5,71,34,60,11,63,5,63,10,61,7,62,0,1,0,6,[]
377,8,72,12,71,15,69,5,92,5,70,35,61,11,62,6,61,13,63,10,62,0,1,0,6,[]
378,5,71,22,72,15,69,21,87,9,73,35,62,13,49,8,60,11,54,10,58,0,1,0,6,[]
379,13,72,25,75,19,71,25,84,16,74,29,71,15,44,18,62,18,53,19,65,0,1,0,6,[]
380,16,71,25,76,21,74,28,76,21,74,32,70,18,52,26,68,31,60,27,69,0,1,0,6,[]
381,23,71,25,72,23,72,28,74,25,73,33,66,22,65,31,66,29,65,29,67,0,1,0,6,['31:43 RWHuanggai(¹â»ÔÅ®ÀÉ) »÷É±ÁË LGDRD(ºÓÁ÷Ö®Íõ)']
382,19,63,18,68,18,62,18,68,18,67,32,64,18,54,30,66,29,65,29,67,0,1,0,6,[]
383,18,57,20,60,18,53,18,54,18,58,24,51,18,50,23,55,26,59,29,67,0,1,0,6,['31:55 RWZWuJi(Æ¤³ÇÅ®¾¯) »÷É±ÁË LGDYuuki(É³Ä®»ÊµÛ)']
384,18,59,19,65,18,59,13,50,18,59,32,48,18,50,23,55,29,57,29,67,0,1,0,6,['31:57 RWHaro(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË LGDbadeMan(µÂ°î×Ü¹Ü)']
385,20,69,24,77,25,72,7,53,21,70,32,44,18,50,23,55,37,64,29,67,0,1,0,6,[]
386,26,72,20,87,29,69,9,43,15,77,28,36,18,50,23,55,44,56,29,67,0,1,0,6,[]
387,18,79,22,88,38,65,6,41,8,87,24,29,18,50,23,55,45,55,29,67,0,1,0,6,[]
388,9,86,14,83,45,64,5,47,3,97,13,19,18,50,23,55,50,48,29,67,0,1,0,6,[]
389,2,97,9,71,45,67,5,47,15,88,14,17,18,50,23,55,50,48,95,4,0,1,0,6,[]
390,14,89,7,62,52,77,17,92,26,86,16,16,18,50,23,55,50,47,82,12,0,1,0,6,[]
391,24,77,17,65,57,83,25,89,29,79,11,18,18,50,23,55,51,45,71,24,0,1,0,6,[]
392,28,70,18,69,58,83,14,92,28,68,17,15,18,50,23,55,51,45,61,34,0,1,0,6,[]
393,27,69,27,77,59,85,7,95,30,71,34,16,18,50,23,55,84,10,50,42,0,1,0,6,[]
394,24,65,35,87,49,91,5,92,38,75,41,16,82,17,23,55,72,23,48,47,0,1,0,6,[]
395,24,65,40,91,51,94,15,77,40,66,41,16,81,34,80,11,61,35,43,38,0,1,0,6,[]
396,19,64,41,90,51,94,10,65,33,61,49,22,78,48,66,20,50,45,44,33,0,1,0,6,[]
397,18,57,33,82,2,96,7,51,29,57,53,36,72,42,56,29,45,46,42,42,0,1,0,6,[]
398,19,62,31,72,15,80,11,56,20,53,53,34,62,42,44,35,43,53,44,52,0,1,0,6,[]
399,28,68,32,73,30,70,11,61,18,53,66,41,48,46,31,35,43,47,43,47,0,1,0,6,[]
400,31,68,44,82,38,62,5,51,21,65,75,44,35,38,30,36,37,43,37,43,0,1,0,6,[]
401,41,67,52,88,48,67,5,50,33,66,80,54,40,43,18,34,45,53,33,43,0,1,0,6,[]
402,32,66,52,92,58,66,9,60,46,68,80,54,42,45,10,33,45,50,32,44,0,1,0,6,[]
403,30,66,52,94,66,64,16,64,57,64,95,4,42,45,11,26,37,42,32,44,0,1,0,6,[]
404,27,71,52,94,76,59,16,64,57,69,95,9,34,37,26,29,30,35,31,39,0,1,0,6,[]
405,25,74,4,96,76,52,7,88,57,69,92,31,31,30,30,32,30,34,33,31,0,1,0,6,[]
406,38,76,21,85,75,52,8,69,9,93,90,48,31,31,30,32,31,34,33,32,0,1,0,6,[]
407,48,78,34,77,66,48,9,57,23,81,89,64,38,39,25,37,39,41,33,32,0,1,0,6,['33:51 LGD »÷É±ÁË´óÁú']
408,39,76,42,78,66,48,13,63,28,75,86,78,47,33,16,34,49,32,82,12,0,1,0,6,[]
409,39,76,31,72,6,94,24,65,30,67,76,87,48,38,10,30,50,34,71,26,0,1,0,6,[]
410,3,95,31,76,19,79,11,62,27,66,70,89,57,48,10,24,50,45,62,37,0,1,0,6,[]
411,15,79,36,88,31,73,8,50,30,67,64,92,55,50,93,9,45,50,52,47,0,1,0,6,[]
412,27,70,48,92,43,68,8,51,29,69,69,82,46,55,77,24,38,60,42,57,0,1,0,6,[]
413,28,71,50,91,38,74,11,61,26,70,59,71,51,65,66,34,34,59,41,60,0,1,0,6,[]
414,25,72,42,90,27,70,22,65,24,72,57,72,42,68,53,46,34,65,41,70,0,1,0,6,[]
415,25,73,30,87,33,79,22,71,28,74,58,76,40,67,43,56,35,64,39,64,0,1,0,6,[]
416,24,72,32,78,34,79,24,71,28,75,71,85,36,66,33,65,34,66,39,73,0,1,0,6,[]
417,29,72,32,76,36,76,16,79,25,70,68,89,40,67,31,60,37,65,40,67,0,1,0,6,[]
418,30,71,29,72,36,76,6,88,26,71,54,91,43,68,34,62,36,64,38,66,0,1,0,6,[]
419,28,69,31,71,36,76,25,90,27,71,51,91,47,75,42,67,40,66,43,68,0,1,0,6,[]
420,29,79,31,81,10,84,37,92,27,74,48,80,49,65,49,66,46,67,50,68,0,1,0,6,[]
421,28,80,30,79,17,68,31,87,27,81,58,75,63,64,66,67,61,63,57,64,0,1,0,6,[]
422,25,72,29,77,18,53,25,71,34,82,66,70,65,68,69,67,65,65,66,68,0,1,0,6,[]
423,25,70,39,74,17,44,18,59,39,77,72,71,71,69,71,64,71,70,72,76,0,1,0,6,['35:12 LGD »÷É±ÁËÔ¶¹Å¾ÞÁú']
424,25,70,34,79,24,36,21,46,36,76,64,83,68,81,74,58,66,82,61,84,0,1,0,6,[]
425,25,70,25,82,22,25,28,35,25,83,55,85,55,83,62,51,55,85,53,86,0,1,0,6,[]
426,27,78,19,88,29,21,24,39,14,89,54,85,51,84,53,51,44,89,47,92,0,1,0,6,[]
427,27,89,27,92,29,21,24,39,3,97,95,4,46,80,51,52,36,91,37,91,0,1,0,6,[]
428,26,92,27,91,32,9,9,94,22,94,77,6,38,75,95,4,38,89,41,82,0,1,0,6,[]
429,25,83,27,83,35,12,24,76,25,85,59,7,32,73,28,69,40,84,33,75,0,1,0,6,[]
430,23,73,27,72,40,17,22,72,22,73,44,7,33,69,29,65,40,88,32,66,0,1,0,6,[]
431,25,78,27,82,51,28,24,73,27,80,32,9,36,65,35,63,39,88,32,65,0,1,0,6,[]
432,25,76,23,89,51,34,24,72,24,81,16,17,31,66,34,67,35,85,30,66,0,1,0,6,[]
433,25,75,27,88,41,41,24,72,26,77,12,19,31,67,31,67,40,84,30,67,0,1,0,6,[]
434,23,75,28,82,31,49,23,71,25,76,10,31,31,69,27,67,32,75,27,67,0,1,0,6,[]
435,28,68,32,71,35,60,28,67,24,73,10,47,33,64,35,63,36,66,34,63,0,1,0,7,['36:11 LGD »÷ÆÆÁË·ÀÓùËþ']
436,29,68,40,65,34,64,33,68,32,69,14,49,39,64,38,61,39,58,38,59,0,1,0,7,[]
437,34,66,40,69,34,65,38,66,34,68,41,60,44,67,44,53,40,55,42,58,0,1,0,7,['36:22 LGDLies(¿ñ±©Ö®ÐÄ) »÷É±ÁË RWHaro(Ðé¿Õ¶ÝµØÊÞ)']
438,42,67,40,70,34,65,42,69,36,67,51,66,48,66,46,49,46,59,51,62,0,1,0,7,[]
439,38,73,34,75,34,65,33,78,30,68,49,60,47,59,94,6,40,58,46,67,0,1,0,7,[]
440,28,73,23,74,34,65,22,85,23,78,34,60,35,63,81,19,30,64,34,66,0,1,0,7,[]
441,20,81,22,79,34,65,9,92,13,87,27,69,28,71,70,30,24,71,27,72,0,1,0,7,[]
442,12,90,12,89,34,65,11,92,4,96,20,74,17,72,57,42,20,73,19,72,0,1,0,7,[]
443,6,86,6,90,34,65,12,75,8,87,11,69,6,70,45,51,11,68,8,69,0,1,0,7,[]
444,10,77,8,77,34,65,13,76,7,78,9,68,5,71,35,60,9,68,10,70,0,1,0,8,['36:58 LGDKramer(³Í½äÖ®¼ý) »÷ÆÆÁË·ÀÓùËþ']
445,9,76,6,75,34,65,12,76,9,77,5,70,6,70,25,70,7,67,10,71,0,1,0,8,[]
446,11,83,11,83,34,65,10,91,10,82,7,73,13,76,19,77,9,73,12,75,0,1,0,8,[]
447,13,88,10,86,34,65,3,95,13,88,10,75,24,84,17,80,15,77,22,81,0,1,0,8,[]
448,12,89,10,85,10,91,7,82,12,90,10,75,24,89,23,86,16,79,23,86,0,1,0,8,[]
449,13,88,14,89,14,85,7,79,1,96,14,75,22,84,22,84,19,79,20,82,0,1,0,8,[]
450,13,85,14,86,11,83,5,81,8,90,12,74,17,77,16,77,23,78,16,76,0,1,0,8,[]
451,12,86,18,88,17,88,8,84,14,85,13,73,14,76,18,78,15,76,18,75,0,1,0,8,[]
452,12,86,17,87,16,85,7,80,12,85,9,71,14,72,20,77,16,75,14,75,0,1,0,8,[]
453,9,92,18,86,15,86,10,85,10,85,9,78,13,77,18,79,13,78,11,78,0,1,0,8,[]
454,6,92,16,85,14,86,11,83,12,87,6,81,15,75,17,76,7,80,7,80,0,1,0,8,['37:50 LGDKramer(³Í½äÖ®¼ý) »÷É±ÁË RWHuanggai(¹â»ÔÅ®ÀÉ)']
455,9,82,15,79,15,81,5,80,11,86,5,74,7,73,12,73,6,75,11,71,0,1,0,8,[]
456,11,85,16,86,10,85,7,83,11,86,6,78,12,74,12,78,12,77,12,77,0,1,0,8,[]
457,12,88,17,84,13,88,4,94,11,86,9,82,10,76,8,80,12,80,8,80,0,1,0,8,[]
458,17,86,8,93,8,93,4,96,11,86,6,76,21,73,14,76,17,77,8,78,0,1,0,9,['38:6 LGDLies(¿ñ±©Ö®ÐÄ) »÷ÆÆÁË·ÀÓùËþ']
459,15,87,11,91,13,87,10,84,11,86,7,80,21,74,16,78,17,78,13,77,0,1,0,9,[]
460,14,89,16,87,16,87,17,89,11,86,10,80,18,78,13,80,16,79,18,80,0,1,0,9,[]
461,13,88,14,89,8,92,19,89,11,86,9,80,17,78,17,81,18,80,19,82,0,1,0,9,[]
462,10,93,13,92,10,92,15,92,11,86,10,85,10,80,16,84,18,85,18,86,0,1,0,9,[]
463,8,85,13,88,15,85,14,89,11,86,9,84,8,85,9,83,12,81,16,85,0,1,0,10,"['38:31 LGDYuuki(É³Ä®»ÊµÛ) »÷ÆÆÁË·ÀÓùËþ', '38:35 LGDbadeMan(µÂ°î×Ü¹Ü) »÷É±ÁË RWZWuJi(Æ¤³ÇÅ®¾¯)']"
464,8,85,12,87,16,86,13,88,11,86,9,84,8,85,9,83,11,81,14,84,0,1,0,10,[]
465,8,85,12,87,16,86,13,88,11,86,9,84,8,85,9,83,11,81,14,84,0,1,0,10,['38:45 LGD »ñÊ¤']
