,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,3,95,94,5,95,5,94,3,96,4,94,4,0,0,0,0,[]
2,3,94,3,95,4,96,1,98,3,95,93,5,93,4,94,6,94,6,93,5,0,0,0,0,[]
3,3,94,4,94,4,95,5,97,3,95,93,5,92,4,93,6,94,6,93,5,0,0,0,0,[]
4,13,75,18,76,22,81,25,89,14,92,71,7,73,17,79,24,89,27,80,23,0,0,0,0,[]
5,18,53,32,58,37,65,45,82,33,79,52,19,54,31,63,40,89,50,66,40,0,0,0,0,[]
6,25,37,34,43,49,59,64,77,47,71,32,23,40,39,64,52,87,72,64,57,0,0,0,0,[]
7,21,30,32,45,48,60,74,76,51,66,30,22,40,39,66,56,88,76,67,56,0,0,0,0,[]
8,23,22,32,47,46,58,68,79,51,67,29,21,41,35,58,50,86,66,58,50,0,0,0,0,[]
9,25,23,33,44,45,58,69,79,50,66,36,18,40,30,48,52,77,62,48,52,0,0,0,0,[]
10,20,27,33,43,41,61,69,79,47,67,37,17,38,27,50,50,73,63,50,50,0,0,0,0,[]
11,20,27,34,47,40,62,66,77,51,67,37,15,38,27,53,44,73,63,56,47,0,0,0,0,[]
12,25,33,42,55,46,67,61,74,53,67,39,14,86,5,54,43,73,63,56,47,0,0,0,0,[]
13,28,38,52,61,53,62,57,68,56,65,40,15,76,11,55,45,73,63,93,13,0,0,0,0,[]
14,27,37,60,61,57,57,59,70,61,60,42,16,70,20,59,48,77,62,87,22,0,0,0,0,[]
15,24,34,50,67,52,61,65,77,57,62,32,11,64,25,59,50,73,63,81,31,0,0,0,0,[]
16,21,29,48,73,42,57,71,83,61,73,28,16,54,30,55,46,72,63,80,42,0,0,0,0,[]
17,20,26,48,73,42,55,71,83,71,83,27,17,53,35,51,48,81,66,80,53,0,0,0,0,[]
18,18,24,49,73,46,53,78,90,80,90,19,9,53,37,50,49,87,67,85,65,0,0,0,0,[]
19,16,16,46,73,49,52,85,88,86,85,15,11,52,35,50,46,87,76,86,75,0,0,0,0,[]
20,14,18,46,71,46,54,87,85,87,85,16,12,51,31,50,49,86,79,86,79,0,0,0,0,[]
21,15,16,46,70,47,51,89,83,89,81,19,13,48,25,51,46,86,76,86,76,0,0,0,0,[]
22,14,18,48,69,44,55,87,82,85,81,18,15,48,24,47,51,87,74,87,74,0,0,0,0,[]
23,13,17,52,64,42,55,84,88,85,87,17,15,48,23,46,53,87,77,87,77,0,0,0,0,[]
24,11,17,53,56,42,54,85,85,88,84,15,14,48,22,47,52,87,76,89,79,0,0,0,0,[]
25,15,14,51,49,51,48,88,83,86,84,21,12,46,16,53,46,87,78,87,77,0,0,0,0,[]
26,14,16,50,48,50,47,88,82,85,79,20,12,42,17,54,46,87,75,87,76,0,0,0,0,[]
27,14,15,41,51,45,52,88,83,85,82,20,10,41,16,52,49,87,74,88,76,0,0,0,0,[]
28,15,14,31,51,45,51,88,83,85,82,20,9,45,16,53,50,89,72,89,73,0,0,0,0,[]
29,17,12,35,61,44,52,89,80,85,79,19,11,48,18,53,49,89,70,89,72,0,0,0,0,[]
30,23,10,45,67,44,51,88,78,87,78,29,8,51,29,53,48,89,72,88,71,0,0,0,0,[]
31,20,11,44,68,38,48,89,78,87,77,27,8,48,39,49,52,88,69,88,71,0,0,0,0,[]
32,15,13,43,68,43,54,86,81,88,83,21,10,56,46,50,52,89,72,87,74,0,0,0,0,[]
33,14,12,43,68,43,55,87,79,80,77,19,11,56,49,48,52,90,73,87,75,0,0,0,0,[]
34,18,10,43,68,40,55,86,78,80,75,23,10,60,50,52,50,89,71,89,71,0,0,0,0,[]
35,20,13,41,74,42,55,86,78,79,75,25,10,71,54,57,50,90,71,91,74,0,0,0,0,[]
36,15,12,54,82,43,54,88,78,81,77,22,10,75,52,57,50,90,71,88,73,0,0,0,0,[]
37,16,12,58,83,45,52,84,81,79,76,22,11,75,53,89,8,89,75,87,73,0,0,0,0,[]
38,18,11,59,83,45,54,84,84,79,75,23,10,76,59,82,16,87,76,89,77,0,0,0,0,[]
39,21,10,60,84,43,53,85,84,79,75,26,9,80,66,76,25,86,77,88,77,0,0,0,0,[]
40,20,10,60,82,42,54,83,84,80,82,26,9,71,63,68,33,84,79,84,79,0,0,0,0,[]
41,22,10,61,83,46,53,83,84,84,84,28,9,65,64,60,41,85,78,85,78,0,0,0,0,[]
42,24,11,69,79,44,50,79,87,81,89,31,8,61,62,52,48,84,81,84,81,0,0,0,0,[]
43,22,12,71,78,47,49,79,89,84,88,28,8,52,66,52,49,80,83,80,83,0,0,0,0,[]
44,21,13,79,78,45,52,83,83,83,81,26,7,63,64,51,50,83,80,83,80,0,0,0,0,[]
45,18,14,88,75,48,49,87,77,87,76,25,9,74,70,52,47,90,74,90,74,0,0,0,0,[]
46,18,13,88,80,51,55,88,80,89,79,26,8,78,71,55,48,90,66,89,71,0,0,0,0,[]
47,17,12,77,77,58,59,80,86,81,83,22,13,75,60,52,42,90,66,90,66,0,0,0,0,[]
48,12,16,73,73,54,54,79,84,84,87,19,12,82,57,55,45,94,5,94,6,0,0,0,0,[]
49,14,17,73,73,51,47,78,86,84,88,19,12,83,57,58,47,94,5,94,5,0,0,0,0,[]
