,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,1,96,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,3,97,1,96,93,5,95,5,94,2,96,4,93,4,0,0,0,0,[]
2,3,94,4,96,5,97,5,96,4,95,93,4,94,3,92,4,94,6,93,5,0,0,0,0,[]
3,3,94,5,95,5,96,5,96,4,95,92,4,92,5,92,4,95,7,93,6,0,0,0,0,[]
4,14,75,22,81,21,81,26,90,23,85,70,7,72,15,79,21,84,27,79,24,0,0,0,0,[]
5,19,52,32,62,40,71,49,88,40,72,47,11,55,30,63,37,80,48,67,42,0,0,0,0,[]
6,23,34,33,43,51,61,68,81,53,62,30,20,50,32,51,49,71,64,64,58,0,0,0,0,[]
7,19,26,36,39,46,55,74,76,55,64,30,19,50,32,51,49,70,64,68,50,0,0,0,0,[]
8,19,25,37,38,44,54,72,77,50,61,30,19,91,5,51,48,70,62,65,56,0,0,0,0,[]
9,19,25,38,38,45,52,72,77,43,54,30,19,81,10,53,48,69,62,66,55,0,0,0,0,[]
10,19,25,39,38,45,54,71,77,49,61,30,19,72,17,52,48,69,62,66,55,0,0,0,0,[]
11,20,26,43,38,47,51,73,75,56,68,31,20,63,23,51,43,69,61,66,56,0,0,0,0,[]
12,19,26,34,43,44,53,72,77,56,68,30,20,55,30,58,37,69,62,66,57,0,0,0,0,[]
13,19,25,31,53,44,52,67,78,56,68,30,20,56,22,53,30,70,62,66,57,0,0,0,0,[]
14,19,25,34,60,45,54,59,71,57,69,29,20,45,23,52,21,76,62,72,63,0,0,0,0,[]
15,19,24,38,64,44,54,56,68,59,72,31,20,43,24,57,29,85,66,81,66,0,0,0,0,[]
16,21,21,44,67,46,57,61,74,59,72,41,23,46,24,59,38,89,69,89,71,0,0,0,0,[]
17,18,23,44,67,50,61,68,83,66,78,46,24,48,26,60,44,89,78,91,81,0,0,0,0,[]
18,17,17,45,64,49,60,72,91,73,87,46,25,46,27,59,44,90,81,90,82,0,0,0,0,[]
19,20,14,46,69,49,58,77,88,77,93,47,25,46,27,58,44,88,83,89,83,0,0,0,0,[]
20,15,18,46,68,47,54,80,88,82,89,40,23,47,23,51,49,86,82,87,84,0,0,0,0,[]
21,19,16,47,68,48,52,82,87,81,85,29,19,46,22,52,49,86,81,86,83,0,0,0,0,[]
22,17,17,47,73,46,53,81,87,80,84,19,15,42,17,51,49,83,82,86,83,0,0,0,0,[]
23,12,17,49,75,44,53,81,85,82,84,17,14,45,16,50,49,88,81,87,85,0,0,0,0,[]
24,16,11,48,78,47,54,80,86,80,83,24,14,46,16,48,50,85,84,86,85,0,0,0,0,[]
