,SNBiubiu, ,SNH4cker, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
53,2,96,81,91,43,55,84,84,83,83,8,19,7,19,47,49,86,76,88,77,6439,0,7829,0,[]
54,8,29,3,95,42,55,85,84,83,82,8,19,95,4,46,50,87,76,89,76,6677,0,7922,0,[]
55,10,28,12,91,42,56,87,85,85,83,88,4,93,8,44,50,87,76,88,76,6806,0,8172,0,[]
56,9,28,22,85,40,55,87,85,86,83,77,5,92,9,43,47,86,76,89,78,6937,0,8226,0,[]
57,9,26,32,80,40,55,2,96,86,82,65,6,87,20,43,44,87,76,89,76,7144,0,8297,0,[]
58,9,24,40,71,44,52,86,82,90,79,54,8,81,32,95,4,88,74,90,73,7293,0,8354,0,[]
59,8,25,46,63,51,48,86,79,87,80,40,11,80,47,89,13,90,73,91,73,7522,0,8408,0,[]
60,13,22,47,65,52,48,87,77,82,78,32,17,80,54,79,23,91,71,93,71,7648,0,8508,0,[]
61,18,15,59,63,51,48,88,77,87,75,23,22,82,57,70,32,91,74,90,72,7808,0,8652,0,[]
62,15,15,64,64,49,49,88,78,88,77,19,15,82,63,60,40,90,72,89,72,7914,0,8794,0,[]
63,16,17,70,69,49,49,90,76,88,77,18,13,83,69,56,44,90,72,90,72,7986,0,8907,0,[]
64,10,22,73,71,7,92,88,81,88,78,11,20,86,77,55,46,89,74,88,77,8037,0,9000,0,[]
65,14,17,82,78,9,92,88,82,89,80,17,13,89,79,58,56,88,75,91,76,8577,0,9074,0,[]
66,17,13,88,77,18,85,90,75,83,80,20,13,89,79,63,59,91,71,89,70,8660,0,9229,0,['5:27 SNH4cker(¿ñÕ½Ê¿) »÷É±ÁË VGYoudang(Ðé¿Õ¶ÝµØÊÞ)']
67,11,19,88,76,25,77,91,76,80,77,13,18,89,79,55,53,90,70,91,72,9201,0,9308,0,[]
68,14,17,89,76,32,68,88,78,88,78,19,15,89,79,50,46,90,68,94,67,9300,0,9380,0,['5:36 SNSmlz(Ðé¿ÕÖ®Å®) »÷É±ÁË VGPuff(Ì½ÏÕ¼Ò)']
69,11,20,83,78,40,60,88,77,89,76,13,19,86,9,49,47,90,68,94,67,9518,0,9486,0,[]
70,9,26,73,76,48,53,85,79,82,79,12,24,75,16,50,47,95,4,91,69,9597,0,9647,0,[]
71,6,26,62,77,46,55,77,86,78,84,12,22,63,22,49,50,90,70,90,71,9718,0,9916,0,[]
72,11,34,49,74,45,54,77,86,78,84,12,21,54,31,48,48,91,71,90,69,9768,0,10054,0,[]
73,13,35,40,67,44,56,4,96,4,93,11,25,51,34,46,49,88,73,89,67,9819,0,10248,0,[]
74,9,31,30,60,44,56,11,95,7,84,10,26,44,36,44,50,87,79,95,4,9891,0,10348,0,[]
75,9,31,25,57,46,54,23,94,14,72,12,24,32,38,45,48,85,79,93,9,10142,0,10450,0,[]
76,10,33,23,55,45,54,34,93,18,58,11,27,30,35,48,50,86,79,92,19,10239,0,10656,0,[]
77,9,29,30,49,42,52,45,92,27,50,13,22,32,42,52,46,84,81,91,31,10325,0,10769,0,[]
78,9,25,34,39,47,49,58,91,33,44,19,24,40,36,52,45,80,75,90,43,10427,0,10837,0,[]
79,8,26,43,45,48,48,68,89,40,53,19,24,42,26,53,46,80,84,89,55,10527,0,10929,0,[]
80,12,19,34,43,48,49,74,87,52,60,89,4,42,18,52,48,84,83,88,67,10693,0,10985,0,[]
81,11,18,26,50,47,52,73,85,62,63,76,6,43,15,52,48,82,85,85,78,10858,0,11145,0,[]
82,8,23,18,46,50,55,74,89,74,71,64,7,42,16,57,46,82,84,80,85,10934,0,11290,0,[]
83,8,23,15,43,60,61,71,89,69,81,51,9,43,17,56,47,82,82,83,83,11037,0,11401,0,[]
84,3,95,16,44,58,58,75,88,72,82,39,10,44,24,56,47,83,80,87,72,11202,0,11480,0,[]
85,5,85,16,44,51,50,75,89,70,84,27,8,54,30,54,46,82,82,83,62,11308,0,11575,0,[]
86,6,74,5,96,51,51,80,86,79,84,20,12,65,38,53,46,85,79,82,58,11401,0,11646,0,[]
87,7,63,15,91,53,49,80,87,79,85,17,12,71,41,51,47,87,79,87,68,11561,0,11884,0,[]
88,8,52,25,85,48,51,81,86,82,87,16,13,69,42,54,48,84,80,87,79,11749,0,12184,0,[]
89,9,41,34,78,47,52,82,83,80,83,19,23,67,46,54,48,88,81,88,80,11828,0,12262,0,[]
90,9,32,47,75,48,50,84,83,80,82,25,33,75,52,62,50,89,75,89,76,12053,0,12336,0,[]
91,10,29,50,74,48,50,80,79,76,74,23,41,77,51,72,49,91,76,88,75,12242,0,12553,0,[]
92,9,26,48,73,55,57,85,80,76,75,24,37,73,49,70,50,91,74,89,73,12418,0,12747,0,[]
93,8,24,46,64,61,57,86,81,81,77,22,42,64,51,61,49,91,75,89,74,12634,0,12871,0,[]
94,8,25,52,63,52,60,88,77,81,77,25,45,56,47,56,46,92,74,90,71,12737,0,12971,0,[]
95,9,24,44,57,44,53,85,79,77,73,24,43,52,33,52,52,91,72,90,73,12808,0,13073,0,[]
96,9,26,47,51,47,52,77,72,76,60,24,44,52,28,52,50,88,72,87,71,12929,0,13237,0,[]
97,11,30,39,53,47,53,75,68,66,57,24,37,51,29,50,47,86,66,83,60,13050,0,13432,0,[]
98,11,25,38,56,45,53,75,71,65,58,24,34,49,32,53,44,82,58,81,57,13100,0,13552,0,[]
99,9,22,30,54,38,50,79,81,72,70,21,28,49,34,50,45,87,71,87,66,13193,0,13616,0,[]
100,9,22,21,50,38,51,83,83,79,77,16,18,95,4,49,42,88,77,87,78,13281,0,13706,0,[]
101,11,20,21,48,47,58,85,84,84,81,15,16,90,15,49,42,89,74,89,77,13425,0,13820,0,[]
102,11,24,26,52,48,53,84,84,85,82,20,13,83,27,88,14,89,74,90,76,13543,0,13896,0,[]
103,11,18,33,59,51,50,86,82,88,80,22,11,81,39,79,22,87,76,89,76,13689,0,14092,0,[]
104,10,21,44,68,52,51,85,82,85,84,18,14,77,54,68,34,88,77,87,76,13816,0,14222,0,[]
105,11,19,55,64,53,53,86,81,90,80,14,15,81,56,59,40,87,76,86,77,13924,0,14501,0,[]
106,12,18,66,64,3,94,89,78,89,78,14,14,82,58,56,46,89,73,88,73,14498,0,14863,0,[]
107,9,23,68,65,12,90,87,75,86,80,16,10,83,69,54,52,89,69,89,70,14663,0,14945,0,['8:52 SNSmlz(Ðé¿ÕÖ®Å®) »÷É±ÁË VGSouthwind(¸¥À×¶û×¿µÂÖ®ÐÄ)']
108,9,29,71,66,21,82,85,83,76,86,16,10,85,84,48,52,85,77,89,70,14832,0,15592,0,[]
109,10,28,71,76,28,73,84,82,67,88,86,4,80,77,50,53,85,80,89,70,14969,0,15677,0,['9:1 VGPuff(Ì½ÏÕ¼Ò) »÷É±ÁË SNSmlz(Ðé¿ÕÖ®Å®)']
110,11,31,63,82,35,63,84,82,67,88,73,6,72,70,60,59,82,80,93,8,15041,0,15781,0,[]
111,11,31,56,82,40,55,84,82,6,95,61,7,61,63,60,59,82,81,89,18,15239,0,15883,0,[]
112,10,94,55,82,43,48,84,82,5,90,49,8,56,68,56,56,84,79,83,29,15329,0,15969,0,[]
113,21,93,55,83,35,43,4,92,15,80,37,10,56,67,57,56,85,77,72,34,15420,0,16019,0,[]
114,31,92,55,83,44,48,5,80,26,69,25,13,56,67,56,55,95,4,67,42,15471,0,16070,0,[]
115,42,92,3,94,45,52,6,68,31,57,27,22,85,5,51,49,93,8,66,54,15542,0,16123,0,[]
116,53,91,8,84,44,52,7,57,33,43,29,32,71,7,53,48,93,19,57,61,15597,0,16238,0,[]
117,64,90,14,74,47,50,7,46,33,38,25,26,58,8,52,50,91,30,57,64,15706,0,16303,0,[]
118,75,88,17,63,45,52,9,35,26,34,26,17,45,15,51,49,83,34,57,62,15777,0,16378,0,[]
119,78,88,20,52,43,52,13,22,19,24,26,17,42,16,50,49,70,29,53,51,15884,0,16532,0,[]
120,78,86,25,56,44,52,15,19,21,24,95,8,39,15,49,50,62,25,46,39,16133,0,16605,0,[]
121,83,79,26,51,45,52,11,18,17,22,93,20,41,16,48,50,50,19,41,29,16188,0,16768,0,[]
122,88,79,32,40,45,52,15,16,14,11,92,32,36,16,50,50,39,14,36,16,16572,0,16910,0,[]
123,85,79,38,43,46,53,17,13,20,19,91,44,27,18,51,49,29,12,26,15,16851,0,16960,0,[]
124,83,79,45,43,44,49,18,15,25,28,90,57,32,21,51,48,25,9,25,12,16901,0,17273,0,[]
125,85,77,41,39,40,40,23,21,27,22,91,68,35,16,54,46,28,8,29,11,17012,0,17389,0,[]
126,88,81,36,39,47,46,25,22,26,23,87,79,46,24,53,49,28,9,28,12,17129,0,17504,0,[]
127,81,84,36,39,48,49,19,15,19,17,82,83,52,33,54,48,27,9,33,11,17264,0,17640,0,[]
128,74,89,38,41,46,52,20,13,22,12,75,88,52,35,49,49,35,12,32,17,17349,0,17813,0,[]
129,64,88,46,47,48,58,20,11,21,20,78,86,59,48,53,54,34,12,34,23,17449,0,18024,0,[]
130,68,89,48,49,47,51,24,9,25,11,80,85,62,52,54,45,32,7,40,28,17500,0,18133,0,[]
131,68,90,49,48,47,51,24,9,25,10,71,88,62,58,55,49,33,6,31,20,17777,0,18200,0,[]
132,69,89,43,46,45,46,21,12,21,12,77,86,50,51,52,48,27,6,27,14,17891,0,18286,0,[]
133,69,89,37,42,42,43,14,17,13,17,81,85,54,55,52,47,20,12,18,12,17984,0,18432,0,[]
134,77,88,31,32,35,38,14,15,16,18,82,84,62,65,54,54,21,10,21,12,18091,0,18539,0,[]
135,77,89,33,32,32,35,16,14,19,17,86,83,64,69,47,47,24,9,24,11,18169,0,18623,0,[]
136,77,88,34,32,32,35,18,12,19,18,89,81,66,69,47,51,26,9,26,11,18315,0,18738,0,[]
137,75,90,32,32,32,43,20,21,27,30,95,4,66,69,48,52,27,8,27,11,18380,0,18803,0,[]
138,75,90,32,32,39,51,27,31,35,38,94,7,66,70,49,51,36,13,33,12,18430,0,18945,0,[]
139,3,96,31,33,43,54,28,32,28,35,93,20,66,69,51,53,41,18,33,12,18602,0,19187,0,['11:35 VG »÷É±ÁËÍÁÁú']
140,14,94,25,30,45,51,20,23,21,28,92,32,70,65,59,50,31,12,26,12,18737,0,19352,0,[]
141,25,93,19,24,39,55,17,17,28,20,91,44,64,67,59,50,27,11,27,11,18946,0,19405,0,[]
142,36,91,26,22,42,52,15,14,33,17,89,56,51,65,94,5,35,10,30,9,19103,0,19486,0,[]
143,46,91,26,15,44,52,18,12,30,19,88,69,50,65,82,6,36,10,30,9,19469,0,19613,0,[]
144,57,89,25,10,50,49,22,10,26,15,84,80,54,62,67,7,30,7,28,8,19627,0,19941,0,[]
