,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,29,16,18,94,44,52,70,91,68,91,29,6,75,60,70,31,79,75,87,85,0,0,0,0,[]
59,25,10,29,92,4,93,71,92,66,92,30,7,81,55,62,38,79,75,87,85,0,0,0,0,[]
60,25,10,40,91,10,85,70,91,66,92,30,7,81,55,54,45,95,4,93,9,0,0,0,0,[]
61,26,11,51,89,18,77,74,91,2,96,30,8,80,53,53,50,78,86,88,16,0,0,0,0,[]
62,25,11,54,83,27,68,77,89,13,95,29,8,74,45,52,52,83,83,78,25,0,0,0,0,[]
63,22,11,52,84,35,61,75,90,27,94,27,8,70,41,53,54,82,83,70,33,0,0,0,0,[]
64,20,12,51,83,41,56,76,90,38,93,28,8,68,45,54,63,81,84,67,44,0,0,0,0,[]
65,23,10,55,76,40,56,74,90,51,89,26,7,63,57,50,65,81,86,66,55,0,0,0,0,[]
66,15,15,58,73,42,54,69,91,60,86,23,12,53,63,48,56,75,89,58,63,0,0,0,0,[]
67,9,17,57,74,42,54,73,91,71,88,15,16,46,65,49,54,78,85,56,67,0,0,0,0,[]
68,12,17,49,75,40,55,76,89,68,80,17,16,50,66,46,56,83,84,60,72,0,0,0,0,[]
69,11,18,42,67,39,55,77,91,68,79,17,15,55,63,45,53,78,85,65,74,0,0,0,0,[]
70,14,18,42,69,40,56,76,91,66,78,17,14,54,52,47,51,80,85,72,69,0,0,0,0,[]
71,11,20,53,68,43,56,73,90,70,84,15,16,49,41,49,48,80,88,79,77,0,0,0,0,[]
72,15,16,59,63,47,55,73,93,71,91,16,14,51,35,50,45,75,89,76,87,0,0,0,0,[]
73,17,23,66,55,49,52,74,92,70,90,22,11,52,32,50,45,77,89,79,88,0,0,0,0,[]
74,20,28,73,50,48,53,78,90,75,89,20,10,53,32,50,48,83,84,82,87,0,0,0,0,[]
75,16,17,76,56,46,52,77,90,75,89,22,10,57,24,53,45,82,87,80,87,0,0,0,0,[]
76,17,13,79,66,48,53,77,91,76,87,23,10,46,16,50,45,82,86,82,85,0,0,0,0,[]
77,16,14,83,78,45,57,84,84,85,82,22,9,41,17,48,50,90,81,88,79,0,0,0,0,[]
78,14,15,83,79,46,56,88,82,87,82,22,12,42,17,49,48,90,78,89,75,0,0,0,0,[]
79,10,17,78,75,43,57,86,86,80,87,20,14,40,17,45,52,88,75,88,78,0,0,0,0,[]
80,10,16,73,73,42,58,81,86,83,86,19,12,40,17,44,53,88,77,89,73,0,0,0,0,[]
81,13,16,66,64,43,58,82,83,83,85,20,13,44,16,46,50,90,76,89,73,0,0,0,0,[]
82,14,15,56,65,45,56,82,82,85,84,21,13,47,26,46,44,90,76,95,4,0,0,0,0,[]
83,12,16,48,73,49,55,85,83,90,82,19,14,47,26,55,46,89,75,91,75,0,0,0,0,[]
84,14,17,47,73,48,53,84,87,84,88,19,15,47,27,51,46,90,70,89,73,0,0,0,0,[]
85,15,17,45,70,50,53,84,87,84,88,18,14,47,27,51,46,89,74,83,66,0,0,0,0,[]
86,13,17,41,67,48,55,4,96,6,96,16,16,93,9,52,49,88,76,76,59,0,0,0,0,[]
87,15,17,36,62,47,53,17,95,8,96,18,14,88,16,52,47,87,79,67,63,0,0,0,0,[]
88,14,18,25,58,43,48,28,93,19,94,18,13,81,26,59,45,86,80,60,62,0,0,0,0,[]
89,15,15,22,54,48,48,38,92,30,93,19,13,80,38,59,45,84,83,70,68,0,0,0,0,[]
90,16,15,20,50,48,51,49,92,41,92,20,14,79,51,55,48,76,88,66,72,0,0,0,0,[]
91,10,21,18,44,47,49,63,92,52,91,19,18,73,62,55,50,73,91,67,70,0,0,0,0,[]
92,13,19,19,46,43,53,71,93,63,91,20,12,64,61,50,52,76,88,75,75,0,0,0,0,[]
93,15,17,20,49,45,53,72,93,71,91,20,13,59,62,54,57,76,88,76,86,0,0,0,0,[]
94,15,17,29,48,39,55,70,94,67,91,19,13,51,66,55,59,73,87,75,89,0,0,0,0,[]
95,15,14,36,38,45,54,69,94,68,92,15,12,47,72,56,61,72,88,74,88,0,0,0,0,[]
96,21,12,45,39,48,50,73,90,70,91,24,11,56,67,56,61,78,85,78,85,0,0,0,0,[]
97,16,13,47,35,49,50,73,91,73,90,30,8,56,58,93,8,76,89,75,89,0,0,0,0,[]
98,15,13,41,29,45,47,73,91,70,91,30,8,53,49,85,18,74,87,76,88,0,0,0,0,"['8:6 VGSouthwind(ºÓÁ÷Ö®Íõ) »÷É±ÁË BLGJinjiao(Ì½ÏÕ¼Ò),»ñµÃÒ»Ñª', '8:9 VGPuff(³Í½äÖ®¼ý) »÷É±ÁË BLGXinMo(¸¥À×¶û×¿µÂÖ®ÐÄ)']"
99,17,13,40,17,42,45,73,91,70,91,95,4,50,52,76,26,75,89,78,90,0,0,0,0,[]
100,15,11,38,15,42,45,73,91,70,91,28,9,55,56,67,34,75,89,77,89,0,0,0,0,[]
101,15,11,2,96,5,89,9,95,9,95,29,8,65,64,57,43,74,91,72,93,0,0,0,0,[]
102,3,91,10,95,26,76,18,94,21,94,26,7,66,69,57,48,72,91,72,92,0,0,0,0,[]
103,5,78,21,94,38,64,29,94,32,93,26,9,67,69,54,49,77,90,75,91,0,0,0,0,[]
104,8,66,32,93,47,53,42,93,43,92,25,15,66,69,51,50,87,85,86,87,0,0,0,0,[]
105,10,54,43,92,44,52,53,92,54,90,18,14,66,69,51,50,87,85,87,86,0,0,0,0,[]
106,11,40,52,86,47,53,64,91,62,84,19,13,67,69,53,58,95,5,95,4,0,0,0,0,['8:49 VG »÷É±ÁË»ðÁú']
107,11,27,55,83,45,46,74,88,77,88,18,15,65,63,57,55,94,13,92,17,0,0,0,0,[]
108,16,17,53,84,46,50,80,89,79,87,18,12,76,57,51,53,93,23,91,29,0,0,0,0,[]
109,14,15,49,82,49,49,85,84,86,81,19,13,83,56,52,50,92,34,90,41,0,0,0,0,[]
110,12,16,47,73,44,52,86,81,88,81,18,14,81,55,52,50,91,45,91,53,0,0,0,0,[]
111,18,14,47,65,44,57,85,80,79,80,19,14,74,53,58,55,90,56,90,65,0,0,0,0,[]
112,16,16,50,66,46,56,81,77,74,75,20,12,74,53,68,55,90,67,92,72,0,0,0,0,[]
113,21,22,55,67,49,50,80,76,66,82,21,11,78,51,64,57,91,72,89,75,0,0,0,0,[]
114,27,21,52,63,47,49,3,96,62,85,27,9,74,45,54,54,88,76,86,78,0,0,0,0,[]
115,24,22,50,58,44,53,15,95,68,82,26,8,75,45,51,51,87,80,85,80,0,0,0,0,[]
116,18,15,52,47,51,49,26,94,61,74,21,10,73,48,58,45,83,83,77,73,0,0,0,0,[]
117,23,10,49,42,49,46,36,93,57,73,25,9,65,53,56,44,77,86,77,78,0,0,0,0,[]
118,17,10,47,36,52,44,49,93,50,80,22,12,59,62,61,43,72,89,74,88,0,0,0,0,[]
119,17,16,48,34,51,46,59,93,55,84,26,9,56,68,64,41,68,90,69,91,0,0,0,0,[]
120,20,11,48,35,49,48,59,93,50,81,37,6,56,64,63,41,68,91,66,90,0,0,0,1,"['9:57 VG »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
