,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
251,54,85,26,82,29,72,45,68,48,66,80,44,59,28,48,9,93,6,94,4,0,3,0,3,[]
252,58,84,32,71,41,61,51,63,59,62,82,57,61,39,41,9,85,18,82,18,0,3,0,3,[]
253,72,87,41,61,49,54,50,52,60,58,82,65,66,41,28,9,74,28,70,30,0,3,0,3,[]
254,79,85,54,61,55,51,56,48,57,48,81,55,66,39,27,11,63,37,58,34,0,3,0,3,[]
255,86,75,67,61,60,49,56,45,60,44,84,50,77,46,31,7,64,33,66,34,0,3,0,3,[]
256,90,64,69,64,65,51,56,46,59,48,92,56,79,48,33,7,60,37,61,38,0,3,0,3,[]
257,90,59,74,60,70,48,57,45,58,45,93,49,83,50,95,4,67,34,71,34,0,3,0,3,[]
258,90,57,77,50,71,48,60,40,63,39,89,44,87,45,90,14,66,30,80,40,0,3,0,3,[]
259,86,51,67,42,66,36,64,37,65,37,90,45,79,36,77,25,64,31,69,33,0,3,0,3,[]
260,86,49,64,39,62,38,61,34,62,33,90,49,68,34,67,31,73,24,70,32,0,3,0,3,[]
261,80,50,69,34,67,33,64,31,66,30,90,53,73,28,72,29,74,23,73,32,0,4,0,3,[]
262,79,50,70,33,66,31,68,28,68,30,82,51,75,26,76,28,95,5,75,32,0,4,0,3,[]
263,82,47,72,26,72,28,71,24,73,24,89,42,78,27,83,22,87,16,79,29,0,4,0,3,[]
264,78,39,74,24,74,26,73,23,74,23,79,38,80,26,92,10,83,28,83,28,0,5,0,3,[]
265,71,40,70,29,68,36,71,29,70,32,73,41,77,29,95,4,78,40,78,39,0,5,0,3,[]
266,66,39,66,41,64,40,66,46,67,41,67,43,75,28,71,41,78,36,69,42,0,5,0,3,[]
267,66,39,70,41,71,41,73,43,68,42,67,43,66,38,76,46,80,45,78,44,0,5,0,3,[]
268,66,39,76,45,76,48,76,42,68,42,67,43,74,42,78,50,77,48,74,43,0,5,0,3,[]
269,66,39,74,42,76,46,76,41,68,42,67,43,74,35,73,53,77,48,74,43,0,5,0,3,[]
270,66,39,66,38,73,28,74,28,68,42,67,43,72,30,73,53,77,48,74,43,0,5,0,3,[]
271,66,39,75,27,80,22,80,22,68,42,67,43,72,30,73,53,77,48,74,43,0,5,0,3,[]
272,66,39,83,21,82,20,82,19,68,42,67,43,72,30,73,53,77,48,74,43,0,5,0,3,[]
273,66,39,88,16,84,19,83,16,68,42,67,43,72,30,73,53,77,48,74,43,0,5,0,3,[]
274,66,39,85,11,84,16,82,10,2,96,67,43,72,30,73,53,77,48,74,43,0,6,0,3,[]
275,1,96,85,10,85,15,82,10,2,96,67,43,72,30,73,53,77,48,83,9,0,7,0,3,[]
276,2,96,86,10,87,8,82,10,2,96,91,6,72,30,73,53,95,4,87,7,0,7,0,3,[]
277,2,96,86,10,87,8,82,10,2,96,91,6,72,30,73,53,95,4,87,7,0,7,0,3,[]
