,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,12,12,78,63,79,60,86,77,87,75,26,9,92,14,65,41,93,58,92,60,0,0,0,0,[]
59,12,12,84,61,78,63,88,70,90,69,27,8,91,32,76,47,93,59,93,63,0,0,0,0,[]
60,3,92,87,67,80,65,88,72,89,72,26,9,91,48,78,54,92,66,91,67,0,0,0,0,[]
61,4,85,87,76,76,68,88,75,88,73,24,9,88,65,83,62,88,71,87,71,0,0,0,0,[]
62,6,74,80,79,77,72,87,80,84,78,22,13,87,65,83,64,90,70,89,70,0,0,0,0,[]
63,7,61,68,82,80,76,87,81,86,79,20,11,84,65,79,53,90,73,88,73,0,0,0,0,[]
64,8,46,57,83,71,69,89,80,86,78,20,12,75,62,69,49,89,73,89,73,0,0,0,0,[]
65,10,35,55,82,71,76,88,80,85,78,20,12,72,64,58,50,88,74,89,73,0,0,0,0,[]
66,12,24,55,83,60,72,88,79,86,78,18,13,65,63,51,49,89,73,89,72,0,0,0,0,[]
67,16,17,57,83,53,62,87,80,85,78,16,17,72,63,48,48,89,74,89,74,0,0,0,0,[]
68,15,17,55,83,47,54,86,84,84,80,17,16,77,71,52,49,87,80,86,79,0,0,0,0,[]
69,12,21,66,88,44,55,83,88,80,87,17,16,79,84,58,58,81,83,87,83,0,0,0,0,[]
70,14,19,77,86,44,58,84,88,80,86,16,16,82,82,59,70,84,82,87,81,0,0,0,0,[]
71,14,20,71,84,48,51,81,87,80,87,13,20,78,74,67,78,85,82,83,81,0,0,0,0,[]
72,18,23,71,88,52,52,80,87,78,85,14,22,73,70,70,78,85,82,84,79,0,0,0,0,[]
73,23,32,71,84,50,52,79,83,80,83,22,30,67,63,70,66,88,75,87,69,0,0,0,0,[]
74,23,32,73,73,52,60,80,82,78,74,14,21,76,57,66,55,87,68,87,68,0,0,0,0,[]
75,23,32,73,66,57,61,80,81,81,82,11,22,83,55,59,47,87,67,94,5,0,0,0,0,[]
76,2,96,67,67,63,64,82,80,81,78,9,18,83,55,55,45,89,68,93,10,0,0,0,0,[]
77,9,29,59,63,51,56,80,77,79,75,9,16,79,52,57,48,89,74,89,23,0,0,0,0,[]
78,8,29,48,65,50,51,70,79,2,96,95,4,74,61,66,55,87,72,81,31,0,0,0,0,[]
79,10,25,46,65,47,53,70,79,8,95,87,5,65,60,66,54,89,70,80,42,0,0,0,0,[]
80,18,24,38,64,47,53,7,95,10,94,74,6,67,48,55,48,87,77,77,52,0,0,0,0,[]
81,14,19,27,59,2,96,9,95,22,90,61,7,72,42,51,47,87,78,73,63,0,0,0,0,[]
82,13,15,24,57,7,93,19,94,34,89,48,8,72,42,55,46,88,77,76,70,0,0,0,0,[]
83,13,20,21,50,16,84,31,93,42,83,35,10,70,40,55,46,88,77,78,73,0,0,0,0,[]
84,21,27,16,44,25,75,42,93,52,77,23,8,64,38,93,8,95,6,78,73,0,0,0,0,[]
85,29,35,14,42,36,66,53,92,57,70,23,8,53,33,83,18,95,13,87,20,0,0,0,0,[]
86,29,37,15,43,45,56,64,91,61,62,22,9,51,31,74,27,93,24,82,30,0,0,0,0,[]
87,24,33,15,43,51,54,74,88,68,69,23,10,50,32,64,35,92,34,80,41,0,0,0,0,[]
88,19,25,10,95,55,54,76,86,68,69,22,10,50,32,55,43,90,45,78,51,0,0,0,0,[]
89,18,15,21,88,52,47,77,86,75,64,23,10,51,30,55,41,89,56,79,56,0,0,0,0,[]
90,17,14,31,81,48,51,76,86,78,72,22,9,47,24,52,45,87,61,76,56,0,0,0,0,[]
91,17,13,41,77,51,50,77,86,70,80,22,9,47,24,52,45,92,61,88,57,0,0,0,0,[]
92,19,13,51,75,53,51,78,86,78,86,22,10,43,24,54,44,92,67,84,63,0,0,0,0,[]
93,17,16,52,76,61,57,77,85,84,88,21,11,43,24,56,46,87,67,77,62,0,0,0,0,[]
94,16,15,62,73,57,55,79,85,80,81,22,12,94,8,60,49,86,66,77,62,0,0,0,0,[]
95,15,15,69,65,60,63,82,83,85,79,20,11,91,21,63,51,89,68,82,67,0,0,0,0,[]
96,17,13,74,61,72,63,87,78,88,76,22,12,86,34,58,50,92,66,87,65,0,0,0,0,[]
97,12,13,74,59,74,61,88,73,90,75,12,14,80,48,66,58,91,69,90,69,0,0,0,0,[]
98,9,26,75,65,72,68,84,78,82,78,9,22,75,63,70,63,91,73,89,70,0,0,0,0,[]
99,6,33,75,71,65,65,82,78,81,77,8,36,76,54,62,57,89,72,89,71,0,0,0,0,[]
100,6,33,76,68,53,58,84,78,85,78,19,30,75,62,52,50,91,69,89,68,0,0,0,0,[]
101,6,33,74,66,54,54,78,70,77,71,11,19,74,59,52,47,90,69,92,71,0,0,0,0,[]
102,6,33,62,62,50,53,80,77,79,73,10,22,76,60,48,49,88,69,87,69,0,0,0,0,[]
103,2,95,55,53,52,49,82,80,80,79,10,26,73,65,51,43,87,75,85,77,0,0,0,0,[]
104,4,82,57,61,47,54,79,85,79,83,11,25,66,61,51,47,85,82,85,83,0,0,0,0,[]
105,5,68,61,62,48,56,83,79,84,78,8,28,64,57,53,50,90,78,89,80,0,0,0,0,[]
106,6,56,63,61,58,60,82,80,79,75,6,24,66,55,54,49,88,74,89,77,0,0,0,0,[]
107,7,43,67,65,64,57,77,74,74,68,7,19,69,48,56,49,89,76,88,74,0,0,0,0,[]
108,8,31,63,62,50,54,78,74,75,65,95,4,76,56,50,48,85,77,82,77,0,0,0,0,[]
109,8,27,67,66,48,54,77,73,77,76,89,5,76,58,52,48,85,77,83,78,0,0,0,0,[]
110,10,23,54,64,48,56,78,79,80,83,77,6,72,65,52,49,87,81,87,80,0,0,0,0,[]
111,12,20,46,64,57,63,82,80,88,84,64,7,79,56,56,49,88,74,90,78,0,0,0,0,[]
112,8,19,49,65,70,68,80,80,87,81,50,8,82,56,60,50,88,72,89,73,0,0,0,0,[]
113,8,19,61,63,80,75,83,80,84,78,37,9,81,54,55,50,91,74,90,74,0,0,0,0,[]
114,7,94,66,69,77,74,81,82,80,76,27,8,76,59,51,49,89,78,88,77,0,0,0,0,[]
115,17,85,66,71,70,69,82,81,72,69,24,8,74,59,50,52,87,80,87,81,0,0,0,0,[]
116,30,80,71,70,73,70,79,85,76,72,19,13,73,64,53,51,86,80,86,81,0,0,0,0,[]
117,40,74,70,68,74,70,80,79,72,69,18,12,70,63,60,57,86,77,87,78,0,0,0,0,[]
118,47,65,72,76,71,78,82,80,77,76,14,15,68,66,64,64,88,79,89,79,0,0,0,0,[]
119,44,56,68,82,70,80,84,82,83,79,15,22,66,54,53,58,89,73,89,74,0,0,0,0,[]
120,34,49,58,82,2,96,88,82,85,78,7,29,72,42,47,51,90,71,88,70,0,0,0,0,[]
121,33,39,56,83,8,93,89,78,86,78,9,27,72,40,48,48,88,74,90,73,0,0,0,0,[]
122,27,36,57,83,17,83,86,82,83,80,12,22,71,40,48,50,88,75,89,74,0,0,0,0,[]
123,22,31,55,81,26,74,88,81,83,80,9,25,61,36,50,49,92,71,87,69,0,0,0,0,[]
124,13,34,55,81,34,66,85,87,84,88,16,22,52,33,52,46,92,71,90,69,0,0,0,0,[]
125,8,29,6,89,41,59,85,87,84,88,20,27,51,34,51,45,93,71,84,66,0,0,0,0,[]
126,12,24,12,78,45,53,3,93,4,93,23,37,49,32,52,43,92,72,84,66,0,0,0,0,[]
127,19,26,17,66,44,52,8,81,8,83,23,38,49,22,50,46,93,70,89,5,0,0,0,0,[]
128,18,24,18,54,42,51,14,72,15,69,22,27,42,17,53,46,93,70,76,10,0,0,0,0,[]
129,16,20,22,46,30,46,17,62,18,56,26,18,40,16,58,42,91,8,68,15,0,0,0,0,[]
