,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
58,22,11,19,44,48,51,77,87,76,88,27,8,42,16,54,49,81,85,82,87,0,0,0,0,[]
59,17,11,16,45,49,50,74,91,74,91,29,8,44,14,54,44,79,85,80,88,0,0,0,0,[]
60,12,12,18,46,50,50,70,92,70,90,26,8,43,15,54,46,81,82,83,85,0,0,0,0,[]
61,12,12,24,54,49,50,73,90,66,89,25,9,45,15,53,48,86,76,86,75,0,0,0,0,[]
62,3,91,26,59,49,51,81,85,66,89,22,12,46,23,54,46,86,76,89,72,0,0,0,0,[]
63,5,77,30,60,47,52,81,85,73,86,21,12,41,31,51,46,95,4,90,82,0,0,0,0,[]
64,6,65,35,63,48,52,82,84,73,86,20,13,35,38,49,47,95,4,87,85,0,0,0,0,[]
65,7,51,44,67,51,52,83,82,8,96,19,11,40,37,50,48,87,75,86,85,0,0,0,0,[]
66,9,39,47,67,48,52,78,86,19,94,18,12,49,35,52,46,87,76,88,78,0,0,0,0,[]
67,10,27,44,68,48,53,73,86,33,93,18,16,53,36,52,46,88,72,87,68,0,0,0,0,[]
68,11,19,49,74,49,51,73,86,44,92,20,21,53,34,51,46,87,73,84,66,0,0,0,0,[]
69,10,18,56,82,49,52,2,96,55,90,17,17,54,32,52,46,88,72,84,66,0,0,0,0,[]
70,10,19,58,84,49,52,87,80,66,89,15,18,95,4,54,48,87,71,94,10,0,0,0,0,[]
71,9,22,58,83,49,52,87,79,76,86,14,16,91,15,53,47,89,70,93,21,0,0,0,0,[]
72,10,21,55,84,51,49,88,79,81,77,13,18,85,25,52,45,89,70,92,33,0,0,0,0,[]
73,7,22,58,84,48,50,88,77,79,74,11,20,81,37,53,47,88,70,91,44,0,0,0,0,[]
74,10,24,58,84,50,49,86,79,81,77,13,19,79,49,54,48,91,74,83,51,0,0,0,0,[]
75,7,25,2,96,48,59,85,80,86,79,11,23,74,60,53,52,91,74,75,58,0,0,0,0,[]
76,8,26,7,95,51,62,88,80,86,77,11,22,65,63,54,54,92,73,74,65,0,0,0,0,[]
77,6,29,17,89,51,59,88,78,86,77,16,22,66,61,58,57,90,71,76,69,0,0,0,0,[]
78,8,27,27,85,50,59,80,78,77,77,18,24,74,66,57,49,89,72,76,71,0,0,0,0,[]
79,8,27,36,88,53,65,73,73,74,70,95,4,77,54,56,49,87,67,75,66,0,0,0,0,[]
80,10,27,45,81,63,62,74,64,74,62,81,4,75,60,61,51,78,65,77,61,0,0,0,0,[]
81,12,21,55,75,67,59,74,65,74,63,70,5,78,54,58,48,82,67,84,63,0,0,0,0,[]
82,18,23,53,76,67,53,75,75,69,68,59,7,75,48,56,49,87,69,88,70,0,0,0,0,[]
83,18,23,52,76,58,60,79,84,67,68,48,8,83,55,53,51,87,78,90,79,0,0,0,0,[]
84,12,19,48,74,49,58,81,88,73,74,38,12,81,54,53,50,87,79,87,84,0,0,0,0,[]
85,16,18,37,64,48,49,81,87,79,82,30,18,78,50,53,50,86,81,89,82,0,0,0,0,[]
86,15,18,31,54,47,51,80,86,82,86,26,23,72,42,52,48,86,79,90,81,0,0,0,0,[]
87,18,21,32,43,47,50,81,87,82,87,18,24,70,40,54,47,85,81,89,82,0,0,0,0,[]
88,16,17,31,38,47,51,82,88,82,87,22,13,68,40,53,48,83,81,87,83,0,0,0,0,[]
89,14,15,39,37,49,51,76,89,76,87,26,11,62,36,52,47,80,82,84,87,0,0,0,0,[]
90,16,14,50,34,52,46,80,90,78,87,25,10,56,31,53,46,80,79,85,84,0,0,0,0,[]
91,22,12,56,45,51,46,76,89,77,88,25,9,59,35,60,43,79,78,83,86,0,0,0,0,[]
92,24,12,62,42,54,48,78,89,82,90,28,8,60,41,60,43,83,84,84,89,0,0,0,0,[]
93,24,12,62,42,50,48,77,88,79,87,28,8,60,42,60,43,83,88,84,88,0,0,0,0,[]
94,27,17,62,42,51,49,77,89,77,87,26,6,56,43,60,43,85,86,83,87,0,0,0,0,[]
95,29,21,2,96,54,45,72,89,71,89,28,9,59,36,60,43,80,83,81,85,0,0,0,0,[]
96,29,21,11,80,51,47,71,91,71,90,26,8,51,26,92,5,79,75,78,75,0,0,0,0,[]
97,4,85,16,69,49,48,73,90,76,89,25,10,58,34,81,13,79,75,78,75,0,0,0,0,[]
98,6,72,17,56,47,50,71,85,84,88,21,10,58,42,66,32,93,7,94,6,0,0,0,0,[]
99,7,58,18,46,2,96,81,87,83,85,21,12,57,34,60,44,94,16,89,16,0,0,0,0,[]
100,8,45,18,46,5,91,80,86,82,89,20,12,47,25,53,48,93,27,79,24,0,0,0,0,[]
101,10,33,20,49,10,83,82,87,82,89,17,13,47,23,45,53,92,37,70,32,0,0,0,0,[]
102,12,21,25,57,19,76,82,87,4,96,14,16,50,21,44,53,91,48,67,43,0,0,0,0,[]
103,8,23,27,59,28,69,6,96,16,88,14,21,42,17,47,52,90,62,66,54,0,0,0,0,[]
104,9,21,31,60,35,60,14,95,24,79,14,20,44,16,39,42,87,70,57,60,0,0,0,0,[]
105,10,22,40,65,41,56,26,93,33,74,9,21,43,16,33,38,87,74,58,66,0,0,0,0,[]
106,10,23,47,65,41,57,41,92,42,70,7,19,45,15,30,38,86,75,67,66,0,0,0,0,[]
107,8,27,47,65,42,46,53,91,54,67,12,22,45,14,23,29,88,74,78,74,0,0,0,0,[]
108,8,27,49,65,48,50,66,88,57,67,10,20,95,4,36,36,86,75,87,80,0,0,0,0,[]
109,7,24,61,62,47,50,78,86,63,62,11,21,89,15,53,44,86,80,88,80,0,0,0,0,[]
110,10,23,66,52,50,54,83,85,72,69,12,22,79,19,52,47,84,78,89,80,0,0,0,0,[]
111,9,26,74,57,60,59,83,84,78,78,11,22,66,20,55,46,85,78,87,81,0,0,0,0,[]
112,9,24,74,58,68,55,83,85,81,82,12,23,57,28,53,47,86,79,87,81,0,0,0,0,[]
113,10,25,73,63,75,58,80,87,80,85,13,22,53,34,45,51,83,79,86,81,0,0,0,0,[]
114,8,26,74,71,68,62,78,85,81,88,17,22,58,34,47,50,80,76,84,81,0,0,0,0,[]
115,8,25,77,75,58,59,78,83,82,83,18,24,59,46,42,54,82,78,84,80,0,0,0,0,[]
116,10,27,78,76,46,54,82,84,80,77,18,17,66,53,42,53,89,77,88,80,0,0,0,0,[]
117,11,19,66,78,41,57,80,86,79,84,15,18,67,49,50,46,87,84,85,81,0,0,0,0,[]
118,10,19,54,79,49,59,79,87,79,87,15,18,68,57,57,48,86,84,83,81,0,0,0,0,[]
119,8,23,58,83,54,63,79,86,79,87,8,20,68,63,66,54,83,83,82,80,0,0,0,0,[]
120,10,21,59,84,58,59,79,88,83,86,11,18,64,61,65,57,80,75,75,72,0,0,0,0,[]
121,10,21,58,83,48,51,77,89,79,89,17,19,72,63,59,51,75,76,77,76,0,0,0,0,[]
122,9,20,56,83,47,50,72,83,82,87,19,24,76,53,53,48,79,79,86,81,0,0,0,0,[]
123,9,20,56,83,41,51,77,86,82,88,19,24,75,66,53,49,83,81,87,83,0,0,0,0,[]
124,11,20,4,94,40,50,81,88,83,89,89,5,78,74,51,50,82,81,87,84,0,0,0,0,[]
125,11,18,12,78,2,96,81,86,84,85,73,5,78,74,47,52,81,79,82,83,0,0,0,0,[]
126,11,18,17,67,2,96,80,90,82,88,62,6,78,75,48,52,79,82,82,83,0,0,0,0,[]
127,16,13,18,54,44,53,74,92,71,88,51,7,77,86,54,51,79,85,80,89,0,0,0,0,[]
128,17,14,24,43,47,56,75,91,66,91,40,8,74,77,64,53,79,84,82,87,0,0,0,0,[]
129,18,17,31,31,52,64,72,93,66,93,29,9,68,79,64,57,78,83,74,78,0,0,0,0,[]
130,22,28,32,30,55,64,70,94,62,94,29,8,63,73,66,62,71,76,70,69,0,0,0,0,[]
131,29,32,32,30,48,57,71,91,62,94,27,9,66,71,66,66,68,67,61,60,0,0,0,0,[]
132,28,32,32,29,47,50,67,89,7,93,26,11,66,68,64,64,71,67,52,52,0,0,0,0,[]
133,30,32,31,31,47,50,77,87,12,78,26,14,59,59,56,56,79,74,48,42,0,0,0,0,[]
134,25,34,30,33,38,43,80,87,17,64,26,24,49,51,52,50,83,80,45,34,0,0,0,0,[]
135,21,41,23,41,29,45,81,88,19,51,22,38,39,43,44,46,83,81,35,38,0,0,0,0,[]
136,23,37,23,38,30,43,74,92,28,37,25,37,29,38,35,40,79,83,26,37,0,0,0,0,[]
137,22,39,22,38,26,37,74,91,22,39,24,39,21,37,27,37,77,80,24,37,0,0,0,0,[]
138,24,39,22,38,20,38,71,91,23,40,24,39,25,36,25,37,24,44,23,37,0,0,0,0,[]
139,23,33,22,38,24,31,81,85,17,32,24,39,34,29,34,37,25,50,22,24,0,0,0,0,[]
140,18,21,22,38,20,19,83,82,16,42,24,39,43,17,44,44,32,44,21,13,0,0,0,0,[]
141,16,15,22,38,17,11,83,83,14,36,24,39,46,14,47,50,32,44,20,11,0,0,0,0,[]
142,12,13,22,38,16,10,86,79,14,36,24,39,46,14,45,55,94,7,20,11,0,0,0,0,[]
143,12,13,10,93,3,95,89,72,6,96,95,4,47,16,43,56,94,12,20,11,0,0,0,0,[]
144,2,95,24,83,11,83,91,67,19,89,27,8,47,11,45,55,93,26,94,7,0,0,0,0,[]
145,5,84,36,76,20,75,89,72,31,81,22,10,47,11,53,46,92,36,88,16,0,0,0,0,[]
146,6,70,46,71,29,67,87,75,45,75,18,14,91,5,55,45,91,50,81,25,0,0,0,0,[]
147,7,57,47,73,39,60,89,75,54,76,15,14,89,6,95,4,90,62,81,38,0,0,0,0,[]
148,8,44,47,70,49,54,88,79,67,79,15,14,78,11,93,5,89,70,79,50,0,0,0,0,[]
149,7,31,47,65,53,46,88,84,77,88,20,25,67,19,85,11,86,76,74,61,0,0,0,0,[]
150,8,27,51,63,55,48,87,85,84,88,30,32,57,28,74,21,85,79,69,64,0,0,0,0,[]
151,11,27,60,73,55,49,81,87,84,87,35,37,53,41,66,30,83,80,67,62,0,0,0,0,[]
152,9,28,59,67,57,63,79,89,77,91,43,45,56,58,64,36,84,80,57,58,0,0,0,0,[]
153,10,31,57,71,59,70,71,85,65,78,53,56,57,68,60,67,81,81,57,64,0,0,0,0,[]
154,57,64,57,65,57,66,63,76,61,62,64,61,63,59,58,58,73,72,62,61,0,0,0,0,[]
155,63,60,62,61,62,61,57,65,60,57,64,59,65,56,58,55,67,64,63,61,0,0,0,0,[]
156,61,60,61,61,58,63,56,62,53,61,64,58,61,58,57,57,63,63,63,61,0,0,0,0,[]
157,58,61,61,61,56,57,55,65,55,62,60,61,59,62,56,55,62,63,63,61,0,0,0,0,[]
158,58,60,61,61,54,54,58,61,53,61,63,58,59,62,55,51,62,63,63,61,0,0,0,0,[]
159,62,59,61,61,55,51,59,60,55,62,63,59,59,62,57,45,66,62,90,12,0,0,0,0,[]
160,69,61,61,61,65,59,63,61,64,64,73,63,59,62,63,53,73,63,83,22,0,0,0,0,[]
161,77,54,2,96,67,53,73,62,77,54,73,63,59,62,59,48,79,49,81,34,0,0,0,0,[]
162,78,55,12,82,59,50,75,57,77,54,73,63,94,4,50,48,79,48,85,37,0,0,0,0,[]
163,66,53,24,71,53,45,75,57,75,59,73,63,79,8,54,42,79,48,87,48,0,0,0,0,[]
164,54,48,35,62,51,48,2,96,73,63,73,63,68,17,57,41,79,48,87,60,0,0,0,0,[]
165,57,42,46,52,55,46,82,83,66,59,73,63,59,26,62,37,79,48,80,69,0,0,0,0,[]
166,52,44,52,47,53,47,85,82,66,48,73,63,56,32,63,36,79,48,75,62,0,0,0,0,[]
167,53,44,53,45,53,44,89,73,55,47,79,5,52,36,63,36,95,4,66,57,0,0,0,0,[]
168,58,45,54,47,57,45,89,72,58,45,66,7,59,40,89,4,94,18,63,50,0,0,0,0,[]
169,52,49,43,44,46,52,89,73,51,48,54,8,54,32,70,25,93,30,68,51,0,1,0,0,[]
170,46,54,32,38,44,53,84,79,39,59,37,11,53,31,61,35,92,44,66,55,0,1,0,0,[]
171,46,54,23,43,2,96,82,82,36,61,25,10,48,26,60,37,91,56,64,60,0,1,0,0,[]
172,4,88,15,44,5,91,70,88,2,96,22,10,48,24,51,48,91,66,64,62,0,1,0,0,[]
173,5,75,16,45,11,82,59,85,12,92,19,16,47,17,45,53,88,73,73,70,0,1,0,0,[]
174,6,61,22,54,22,74,60,85,23,80,15,21,42,17,45,54,84,82,76,79,0,1,0,0,[]
175,7,49,27,59,32,66,60,85,32,69,11,23,41,16,41,54,81,87,78,86,0,1,0,0,[]
176,7,36,25,58,41,55,60,86,45,67,9,21,43,15,45,51,79,86,79,87,0,1,0,0,[]
177,9,25,22,47,40,52,64,88,57,67,12,23,43,15,40,42,77,86,78,81,0,1,0,0,[]
178,9,26,23,47,32,49,66,92,58,69,14,19,93,10,38,37,73,89,77,89,0,1,0,0,[]
179,9,25,22,47,23,47,67,92,68,80,16,12,87,21,48,39,74,90,74,88,0,1,0,0,[]
180,11,32,22,47,29,50,68,90,70,81,11,13,81,33,50,50,76,91,77,87,0,1,0,0,[]
181,16,32,8,94,40,54,73,89,71,78,14,13,75,44,60,49,80,88,81,85,0,1,0,0,[]
182,15,33,23,82,43,55,75,89,73,85,13,17,77,47,73,50,83,88,82,85,0,1,0,0,[]
183,12,25,18,69,54,49,72,91,69,82,14,15,77,52,78,52,85,83,79,75,0,1,0,0,[]
184,13,17,30,66,65,50,71,89,77,88,20,22,84,58,77,50,86,82,85,85,0,1,0,0,[]
185,17,21,46,67,66,45,72,84,71,82,25,23,82,55,69,40,83,89,81,84,0,1,0,0,[]
186,20,26,47,64,60,50,73,85,79,74,29,18,76,59,63,35,82,90,80,84,0,1,0,0,[]
187,15,16,49,65,52,53,78,87,78,73,23,13,77,50,59,39,86,84,82,78,0,1,0,0,[]
188,15,13,62,62,62,58,79,85,83,78,21,12,67,48,56,44,88,83,87,80,0,1,0,0,[]
189,16,17,69,62,62,61,80,88,79,82,22,12,63,39,45,39,86,83,84,80,0,1,0,0,[]
190,23,28,69,64,53,56,79,88,78,84,26,11,52,41,34,39,85,82,82,79,0,1,0,0,[]
191,29,38,66,71,53,48,81,88,79,83,26,10,40,39,34,39,86,81,87,81,0,1,0,0,[]
192,18,34,64,70,54,46,80,85,83,88,23,9,27,37,21,38,87,74,88,75,0,1,0,0,[]
193,9,41,64,72,63,51,87,83,89,82,16,18,12,37,12,37,88,64,86,64,0,1,0,0,[]
194,9,41,65,71,76,50,87,81,88,78,16,17,17,33,14,36,89,52,88,52,0,1,0,0,[]
195,9,41,64,71,71,49,88,76,89,77,15,16,19,36,9,43,87,46,87,46,0,1,0,0,[]
196,9,41,67,67,61,50,90,72,90,71,8,27,8,29,9,34,67,35,74,35,0,1,0,0,[]
197,9,41,64,57,54,45,91,66,90,67,7,30,8,30,8,33,59,35,95,4,0,2,0,0,[]
198,9,41,64,57,53,46,90,68,89,64,7,31,10,32,8,36,58,38,90,9,0,2,0,1,[]
199,9,41,4,92,57,54,89,67,88,63,11,33,20,36,9,28,58,39,79,16,0,2,0,1,[]
200,2,96,18,77,57,54,88,67,84,58,21,38,32,38,9,28,59,36,71,25,0,2,0,1,[]
201,5,82,29,66,3,94,87,67,84,58,24,37,30,36,95,4,63,31,62,34,0,2,0,1,[]
202,5,67,31,52,12,81,2,96,2,96,95,4,29,35,92,18,63,31,59,41,0,2,0,1,[]
203,5,52,34,41,23,72,8,95,12,90,83,10,43,35,91,31,92,5,51,43,0,2,0,1,[]
204,6,46,29,44,35,65,15,88,23,79,70,10,53,34,91,43,90,7,49,42,0,2,0,1,[]
205,8,34,17,45,49,67,25,77,32,67,58,9,51,25,88,49,80,15,57,48,0,2,0,1,[]
206,10,25,18,45,60,62,33,66,31,52,40,11,44,16,78,52,73,24,66,55,0,2,0,1,[]
207,11,24,28,44,61,62,43,57,39,42,28,12,41,16,83,59,63,35,66,50,0,2,0,1,[]
208,23,22,43,43,69,66,50,48,41,38,24,11,41,15,90,62,55,44,66,48,0,2,0,1,[]
209,26,17,41,28,78,71,47,51,43,25,27,9,46,12,90,53,56,46,94,4,0,2,0,1,[]
210,27,11,41,24,88,74,49,50,51,26,34,6,47,9,86,52,58,43,88,16,0,2,0,1,[]
211,25,12,32,20,87,79,50,51,41,29,51,8,47,9,88,65,57,43,78,24,0,2,0,1,[]
212,23,11,30,19,83,82,47,47,43,44,57,14,88,16,88,75,60,41,68,33,0,2,0,1,[]
213,27,8,30,19,76,76,53,52,54,51,48,7,81,27,88,72,60,42,59,41,0,2,0,1,[]
214,27,8,38,26,68,80,54,55,56,55,44,13,78,39,82,66,56,43,56,43,0,2,0,1,[]
215,33,12,41,41,74,78,51,49,57,56,41,15,75,44,77,59,57,33,59,41,0,3,0,1,[]
216,36,10,41,55,80,90,48,50,57,55,42,7,77,48,78,51,58,39,57,43,0,3,0,1,[]
217,24,11,46,70,83,86,48,51,62,62,42,9,77,54,80,54,54,43,56,44,0,3,0,1,[]
218,17,9,49,75,82,84,55,58,73,69,50,8,80,66,82,59,53,42,52,45,0,3,0,1,[]
219,17,9,51,75,75,78,53,60,73,70,45,12,76,56,89,57,46,37,47,42,0,3,0,1,[]
