,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,V5Mole, ,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
56,24,14,50,65,48,65,56,64,53,65,31,7,52,61,47,63,76,58,49,67,0,0,0,0,"['4:36 FPXTian(°µÒá½£Ä§) »÷É±ÁË V5Ben4(¾ÆÍ°)', '4:40 FPXTian(°µÒá½£Ä§) »÷É±ÁË V5Max(¶éÂäÌìÊ¹)']"
57,16,16,47,57,49,60,48,57,55,58,31,7,52,61,44,51,95,4,49,67,0,0,0,0,[]
58,18,16,46,46,47,53,47,62,50,45,28,8,90,10,42,40,83,81,49,67,0,0,0,0,[]
59,27,21,41,34,51,45,47,62,42,32,28,8,85,23,41,27,86,81,91,14,0,0,0,0,[]
60,32,22,42,25,53,45,2,96,43,25,28,8,81,33,47,24,87,81,82,18,0,0,0,0,[]
61,40,24,41,27,54,46,2,96,43,25,27,6,78,40,54,30,84,81,80,29,0,0,0,0,[]
62,40,24,39,37,46,46,81,83,5,96,27,6,74,44,59,37,86,83,80,40,0,0,0,0,[]
63,4,93,30,43,42,45,79,88,21,94,92,5,75,43,54,44,84,83,79,50,0,0,0,0,[]
64,4,91,19,45,42,53,78,89,36,93,90,5,78,47,57,44,82,83,76,60,0,0,0,0,[]
65,4,91,15,43,42,53,76,88,50,91,80,6,82,56,57,44,82,85,76,71,0,0,0,0,[]
66,5,82,16,44,46,50,70,90,64,89,69,7,81,55,93,5,79,89,75,78,0,0,0,0,[]
67,8,72,19,48,49,48,73,89,75,89,58,8,79,53,85,12,84,87,82,86,0,0,0,0,[]
68,8,60,22,55,49,48,77,88,82,91,46,9,74,44,77,20,82,83,83,84,0,0,0,0,[]
69,9,48,26,59,43,53,77,90,82,90,35,10,65,37,70,28,82,83,84,85,0,0,0,0,[]
70,10,36,29,60,41,56,79,87,84,89,24,12,56,32,62,37,83,82,85,83,0,0,0,0,[]
71,12,25,29,60,3,94,79,89,80,90,19,12,52,33,56,42,82,84,84,85,0,0,0,0,[]
72,16,17,3,96,4,91,77,88,77,89,17,10,52,35,55,45,82,86,81,86,0,0,0,0,[]
73,15,17,15,95,13,82,82,86,87,85,26,15,53,33,54,44,86,78,86,79,0,0,0,0,[]
74,14,18,27,93,22,74,84,82,87,80,21,12,50,25,54,44,87,83,85,80,0,0,0,0,[]
75,10,18,39,91,33,66,83,83,83,80,18,15,46,24,54,44,86,82,89,77,0,0,0,0,['6:11 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5y4(ÄæÓð)']
76,11,18,50,89,40,60,88,81,78,73,19,12,46,23,55,43,86,82,89,74,0,0,0,0,[]
77,18,24,55,84,49,52,81,81,66,65,23,12,48,19,55,45,95,7,90,72,0,0,0,0,[]
78,26,22,61,83,50,50,81,81,62,62,29,10,42,17,52,44,94,18,91,68,0,0,0,0,[]
79,25,24,70,76,45,53,4,96,63,62,25,11,43,17,53,45,93,29,91,71,0,0,0,0,[]
80,29,35,71,68,44,53,8,95,65,63,25,14,44,16,51,47,92,40,90,69,0,0,0,0,[]
81,26,33,67,62,50,51,18,94,66,52,20,14,43,16,51,46,90,50,90,69,0,0,0,0,[]
82,19,25,59,56,50,49,29,93,63,53,21,13,46,15,52,45,93,61,91,13,0,0,0,0,[]
83,16,16,55,54,50,51,40,92,55,50,21,11,46,22,55,43,92,71,84,22,0,0,0,0,[]
84,17,17,57,55,51,46,51,90,54,47,18,10,37,27,57,43,88,78,81,33,0,0,0,0,[]
85,13,19,62,57,51,47,62,89,53,49,15,12,25,33,57,43,87,79,81,44,0,0,0,0,[]
86,12,20,69,50,57,49,73,87,59,56,10,14,22,38,59,41,85,80,79,54,0,0,0,0,[]
87,11,21,73,53,68,50,83,86,70,61,10,14,18,33,60,40,87,79,84,64,0,0,0,0,[]
88,8,18,74,55,74,56,81,84,76,57,15,13,17,43,57,43,87,79,82,66,0,0,0,0,[]
89,9,18,76,62,76,61,85,80,82,65,18,15,20,52,57,46,89,77,83,62,0,0,0,0,[]
90,11,16,84,65,85,65,88,77,87,64,19,13,20,52,54,49,92,72,92,67,0,0,0,0,['7:28 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5y4(ÄæÓð)']
91,11,26,89,62,88,64,87,81,90,62,19,12,94,8,51,47,92,72,89,72,0,0,0,0,[]
92,14,37,87,65,87,65,88,75,87,66,17,16,93,20,47,53,92,72,91,71,0,0,0,0,[]
93,15,38,92,66,89,65,91,73,89,68,15,17,93,32,57,57,95,9,93,69,0,0,0,0,[]
94,6,34,89,70,84,65,93,69,90,71,17,20,91,44,62,57,94,19,93,69,0,0,0,0,['7:46 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5Max(¶éÂäÌìÊ¹)']
95,7,28,83,78,84,65,92,74,89,81,21,29,91,55,54,53,93,30,93,69,0,0,0,0,[]
96,8,25,83,78,4,92,87,84,89,81,14,22,90,67,48,51,92,41,93,7,0,0,0,0,[]
97,9,25,3,96,12,82,83,89,3,94,10,23,90,73,47,52,91,52,90,18,0,0,0,0,[]
98,8,24,15,92,20,75,83,89,10,80,10,20,84,64,44,53,90,62,88,29,0,0,0,0,[]
99,11,18,25,86,30,65,8,96,17,66,15,18,82,59,42,45,87,73,86,37,0,0,0,0,[]
100,14,19,34,78,41,57,14,95,19,52,24,11,81,55,42,45,87,78,79,40,0,0,0,0,[]
101,14,17,42,70,44,53,25,94,33,49,30,7,80,53,91,6,87,80,80,52,0,0,0,0,[]
102,11,13,46,65,50,47,36,93,44,57,30,7,78,49,83,15,88,78,82,59,0,0,0,0,[]
103,14,11,49,74,51,46,47,91,57,68,94,4,74,43,73,27,86,79,87,71,0,0,0,0,[]
104,20,11,53,76,44,44,60,89,67,78,84,5,74,44,64,36,86,80,87,78,0,0,0,0,[]
105,21,10,61,73,42,36,71,88,79,74,73,6,77,48,59,41,87,81,87,80,0,0,0,0,[]
106,17,11,72,69,44,45,80,84,79,75,62,7,82,59,56,43,86,81,88,85,0,0,0,0,[]
107,12,12,80,77,47,56,82,83,82,78,50,7,88,69,55,47,87,84,86,86,0,0,0,0,[]
108,22,8,82,83,55,64,83,86,88,84,39,8,89,78,49,50,89,83,88,85,0,0,0,0,[]
109,24,7,82,88,47,58,81,88,89,81,29,8,86,76,47,51,86,82,87,85,0,0,0,0,['9:1 V5Ben4(¾ÆÍ°) »÷É±ÁË FPXCrisp(Ñª¸Û¹íÓ°)']
110,16,12,76,89,43,56,75,89,89,81,22,11,81,84,45,54,83,84,83,88,0,0,0,0,[]
111,11,14,70,79,39,55,74,88,89,81,19,14,79,78,56,55,82,85,80,87,0,0,0,0,[]
112,8,17,69,78,44,56,70,90,18,87,18,13,72,69,65,62,79,75,75,78,0,0,0,0,[]
113,7,18,72,76,54,61,72,87,31,81,17,17,69,64,68,62,77,70,75,72,0,0,0,0,[]
114,9,19,73,71,61,63,78,82,41,70,16,22,74,62,60,63,74,66,72,64,0,0,0,0,[]
115,14,21,66,67,56,67,73,72,54,63,18,23,68,61,57,63,69,62,64,59,0,0,0,0,[]
116,10,22,57,64,54,66,68,64,52,64,17,19,59,59,49,59,60,56,57,57,0,0,0,0,[]
117,12,23,56,58,50,60,59,58,55,57,19,20,52,50,50,47,53,50,57,50,0,0,0,0,[]
118,6,25,58,66,41,59,66,66,56,60,10,22,53,37,50,47,58,44,60,44,0,0,0,0,[]
119,9,24,64,69,41,58,68,71,60,73,14,20,51,34,52,44,48,40,60,44,0,0,0,0,[]
120,7,30,63,70,41,58,67,70,70,77,14,16,47,34,50,50,41,33,93,5,0,0,0,0,[]
121,6,29,63,70,2,96,74,72,83,81,8,18,47,34,48,52,41,30,86,7,0,0,0,0,[]
122,9,26,56,68,46,54,84,81,88,80,8,18,91,5,50,48,34,23,73,14,0,0,0,0,['10:7 FPX »÷É±ÁË·çÁú']
123,10,19,44,67,46,51,86,81,85,79,7,19,78,11,49,42,24,24,62,23,0,0,0,0,[]
124,7,20,33,61,45,51,89,79,87,78,6,22,65,21,49,43,14,22,48,22,0,0,0,0,[]
125,7,28,24,56,46,52,92,73,91,70,7,22,53,31,53,46,11,23,34,23,0,0,0,0,['10:24 V5Mole(·ûÎÄ·¨Ê¦) »÷É±ÁË FPXGimGoon(ÌìÆôÕß)']
126,7,28,22,52,46,51,92,72,90,69,7,19,41,40,51,48,11,19,25,30,0,0,0,0,[]
127,7,28,21,48,41,56,91,72,90,69,7,19,36,42,47,52,12,17,32,42,0,0,0,0,[]
128,7,28,22,48,45,52,91,72,84,66,95,6,31,37,55,48,15,16,32,43,0,0,0,0,[]
129,7,28,21,48,36,50,91,73,82,66,94,17,23,42,52,48,16,17,23,39,0,0,0,0,[]
130,7,28,21,48,34,49,92,73,67,61,94,29,24,39,44,44,9,27,25,37,0,0,0,0,[]
131,6,87,16,44,32,46,92,73,53,62,93,40,21,41,46,45,9,28,21,40,0,0,0,0,[]
132,12,77,15,44,43,51,90,68,40,66,93,52,17,44,38,42,9,27,18,44,0,0,0,0,['10:59 V5Max(¶éÂäÌìÊ¹) »÷É±ÁË FPXTian(°µÒá½£Ä§)']
133,20,66,15,44,49,49,90,70,38,55,93,54,25,37,42,39,9,26,23,40,0,1,0,0,"['11:2 FPX »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
134,32,62,15,44,51,44,89,73,46,49,93,54,34,30,51,42,10,24,33,35,0,1,0,0,[]
135,42,55,15,44,52,46,89,73,53,42,93,54,33,32,55,45,20,25,45,39,0,1,0,0,[]
136,50,49,15,44,47,48,2,96,49,50,92,56,30,32,55,43,23,28,48,41,0,1,0,0,[]
137,51,48,8,85,47,49,2,96,37,42,91,62,32,31,58,40,26,32,38,37,0,1,0,0,[]
138,43,44,14,72,38,41,14,33,33,37,83,65,32,31,52,46,24,30,29,33,0,1,0,0,[]
139,35,37,18,60,30,34,24,30,27,35,75,65,31,31,43,44,25,25,29,34,0,1,0,0,[]
140,30,35,23,50,31,34,28,31,31,32,80,76,31,33,43,43,33,17,28,35,0,1,0,0,"['11:36 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5Max(¶éÂäÌìÊ¹)', '11:40 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5Ben4(¾ÆÍ°)']"
141,36,40,36,50,40,41,29,21,20,25,85,80,31,33,50,49,39,15,28,35,0,1,0,0,[]
142,44,47,43,55,49,48,38,15,19,24,82,82,31,33,58,42,45,13,28,35,0,1,0,0,['11:49 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5y4(ÄæÓð)']
143,50,58,46,64,52,45,25,14,16,15,75,89,31,33,70,42,45,13,95,3,0,1,0,0,[]
144,57,68,51,66,53,46,24,12,20,11,70,90,31,33,58,41,45,13,94,4,0,1,0,0,[]
145,65,77,62,75,53,49,26,12,24,9,71,91,31,33,56,42,45,13,92,5,0,1,0,0,[]
146,73,86,74,78,55,56,25,7,28,8,75,91,90,8,60,41,45,13,79,10,0,1,0,0,[]
147,76,89,77,88,55,56,25,7,28,8,76,91,87,20,58,43,81,5,79,23,0,1,0,0,[]
148,80,87,70,84,4,92,24,7,28,8,76,90,81,34,58,43,69,6,64,25,0,1,0,0,['12:16 FPXGimGoon(ÌìÆôÕß) »÷É±ÁË V5Mole(·ûÎÄ·¨Ê¦)']
149,82,83,73,74,5,90,24,8,27,9,76,90,80,46,88,8,56,8,58,31,0,1,0,0,[]
150,88,73,71,66,14,80,25,9,26,9,76,90,77,52,78,17,46,12,67,42,0,1,0,0,[]
151,89,72,73,70,25,72,26,9,26,8,76,90,77,52,70,28,45,14,77,49,0,1,0,0,[]
152,87,74,67,80,36,64,22,9,17,9,76,90,79,52,62,38,45,13,81,51,0,1,0,0,[]
153,2,96,58,83,45,55,25,7,17,9,76,90,81,54,51,49,46,12,88,53,0,1,0,0,[]
154,13,90,54,83,44,54,20,7,5,96,94,13,79,51,51,48,45,8,93,53,0,2,0,0,['12:46 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
155,24,83,51,84,43,54,20,7,15,88,94,25,74,43,47,37,44,6,87,51,0,2,0,0,[]
156,36,75,54,83,44,52,2,96,26,76,93,37,70,40,49,34,41,7,81,49,0,2,0,0,[]
157,47,67,57,73,47,51,11,93,39,72,92,49,59,35,50,26,37,9,72,42,0,2,0,0,[]
158,56,58,59,61,48,50,20,83,52,64,92,60,52,27,54,30,25,10,60,35,0,2,0,0,[]
159,60,50,66,53,51,45,28,71,54,52,91,66,52,30,58,40,23,11,47,32,0,2,0,0,[]
160,58,46,66,46,57,43,37,60,59,44,87,67,57,35,60,39,21,10,55,32,0,2,0,0,[]
161,54,52,76,49,52,48,48,53,53,51,87,69,57,42,56,42,27,12,59,40,0,2,0,0,[]
162,56,53,75,49,53,46,54,48,68,52,88,79,59,44,58,41,27,12,64,41,0,2,0,0,[]
163,60,58,74,51,55,53,54,50,70,62,84,86,57,44,58,44,32,21,58,41,0,2,0,0,[]
164,72,69,83,61,48,50,44,53,80,77,80,91,55,45,58,42,40,29,48,42,0,2,0,0,[]
165,71,80,87,74,36,49,39,57,78,85,76,90,44,39,47,41,36,37,37,40,0,2,0,0,[]
166,77,90,81,85,31,54,31,59,74,90,78,92,32,38,50,45,27,33,31,47,0,2,0,0,[]
167,77,88,76,89,40,57,44,58,74,89,77,92,20,37,47,52,18,24,26,37,0,2,0,0,['13:53 FPXCrisp(Ñª¸Û¹íÓ°) »÷É±ÁË V5Mole(·ûÎÄ·¨Ê¦)']
168,84,78,65,78,48,49,50,53,65,77,77,92,14,32,54,45,10,25,29,37,0,2,0,0,[]
169,90,70,54,76,51,45,54,50,57,64,77,92,23,33,58,42,9,24,43,38,0,2,0,0,[]
170,90,65,50,74,59,41,59,45,56,49,77,92,35,37,61,41,9,26,56,33,0,2,0,0,[]
171,87,55,47,71,63,40,65,39,51,45,77,92,47,40,56,43,8,27,61,39,0,2,0,0,[]
172,75,49,56,62,63,40,67,40,60,50,77,92,57,43,68,40,8,29,62,40,0,2,0,1,"['14:17 V5y4(ÄæÓð) »÷ÆÆÁË·ÀÓùËþ', '14:16 V5Max(¶éÂäÌìÊ¹) »÷É±ÁË FPXDoinb(Éîº£Ì©Ì¹)']"
173,69,47,66,54,63,40,67,45,65,46,77,92,67,43,66,46,8,41,68,40,0,2,0,1,"['14:25 V5Windy(¼²·ç½£ºÀ) »÷É±ÁË FPXLwx(Ê¥Ç¹ÓÎÏÀ)', '14:25 FPXCrisp(Ñª¸Û¹íÓ°) »÷É±ÁË V5Windy(¼²·ç½£ºÀ)']"
174,67,48,66,47,63,40,67,45,69,49,66,46,67,44,66,47,8,45,76,45,0,2,0,1,[]
175,67,45,67,42,63,40,67,45,72,49,68,41,64,40,66,47,11,46,71,39,0,2,0,1,[]
176,73,42,73,40,63,40,67,45,74,44,66,39,64,40,66,47,71,44,69,35,0,2,0,1,[]
177,75,44,71,41,63,40,67,45,73,48,67,42,66,47,66,47,70,41,66,39,0,2,0,1,['14:42 FPXTian(°µÒá½£Ä§) »÷É±ÁË V5Mole(·ûÎÄ·¨Ê¦)']
178,75,44,72,42,6,91,67,45,76,57,67,42,69,50,66,47,76,46,67,45,0,2,0,1,"['14:46 V5y4(ÄæÓð) »÷É±ÁË FPXTian(°µÒá½£Ä§)', '14:47 V5Max(¶éÂäÌìÊ¹) »÷É±ÁË FPXGimGoon(ÌìÆôÕß)']"
179,75,44,72,42,8,82,3,96,77,71,67,42,70,64,66,47,82,51,66,49,0,2,0,1,[]
180,75,44,72,42,10,67,14,89,76,86,67,42,61,60,91,6,90,58,66,55,0,2,0,1,[]
181,75,44,72,42,8,54,24,79,71,89,67,42,52,47,82,15,91,60,61,59,0,2,0,1,[]
182,75,44,72,42,15,50,33,69,2,96,67,42,50,46,72,24,92,64,66,48,0,2,0,1,[]
183,75,44,72,42,28,50,42,58,10,84,94,4,44,43,64,34,91,69,65,40,0,2,0,1,[]
184,2,96,11,92,31,39,46,62,23,74,83,5,47,35,57,42,91,68,65,40,0,2,0,1,[]
185,8,95,23,84,28,36,50,65,34,63,71,7,50,24,59,48,93,56,95,4,0,2,0,1,[]
186,19,94,35,77,24,35,49,58,41,56,59,8,44,17,49,48,93,56,95,4,0,2,0,1,[]
187,34,93,50,81,14,34,45,55,44,53,47,11,43,16,52,46,94,4,87,8,0,2,0,1,[]
188,49,92,57,83,9,41,49,51,47,57,36,10,43,15,56,44,90,5,76,17,0,2,0,1,[]
189,63,90,52,84,11,45,42,58,48,59,33,12,47,17,55,47,82,13,67,26,0,2,0,1,[]
190,73,89,55,82,20,50,41,59,52,66,30,18,51,28,48,39,74,23,55,30,0,2,0,1,[]
191,75,89,58,70,32,49,50,60,59,61,24,28,51,34,49,39,67,33,46,35,0,2,0,1,[]
192,73,89,58,58,45,53,49,52,57,55,30,22,54,32,54,44,56,42,50,41,0,2,0,1,[]
193,85,85,63,62,58,57,55,57,64,58,40,30,66,39,55,43,55,43,58,42,0,2,0,1,[]
194,87,78,64,68,66,66,49,58,54,57,31,31,72,42,64,41,55,42,49,47,0,2,0,1,[]
195,83,78,63,71,66,66,44,55,48,53,21,38,75,44,72,42,65,41,58,44,0,2,0,1,[]
196,74,71,64,71,66,65,31,59,54,57,13,36,85,50,83,50,58,40,58,40,0,2,0,1,[]
197,65,64,62,71,2,96,29,59,54,57,9,41,87,47,91,56,53,43,59,49,0,2,0,1,['16:25 FPX »÷É±ÁË·çÁú']
198,57,67,62,71,6,84,38,58,8,83,9,40,86,53,89,61,49,48,48,53,0,2,0,1,[]
199,64,78,3,96,7,69,42,56,16,69,15,39,80,53,87,54,47,51,49,52,0,2,0,1,[]
200,74,87,10,83,8,55,38,60,18,53,16,36,78,53,75,49,48,41,59,50,0,2,0,1,[]
201,87,85,16,69,9,46,42,54,35,49,21,41,73,55,62,50,47,39,66,54,0,2,0,1,[]
