,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,V5Mole, ,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
232,45,58,83,57,77,61,47,69,66,56,92,49,57,44,58,41,59,37,95,4,0,2,0,1,[]
233,29,59,83,60,70,62,48,58,53,57,93,49,50,48,51,45,90,5,85,12,0,2,0,1,[]
234,24,57,83,62,78,63,48,52,50,51,93,44,54,44,55,43,83,15,77,24,0,2,0,1,[]
235,20,51,83,64,87,67,46,55,50,53,93,44,55,44,52,46,74,23,68,35,0,2,0,1,[]
236,15,38,3,96,90,71,51,59,49,57,93,6,60,44,54,47,64,35,66,45,0,2,0,1,[]
237,9,25,11,79,87,72,51,59,2,96,91,6,60,44,66,36,55,42,65,41,0,2,0,1,[]
238,9,21,17,65,79,76,9,93,16,84,79,7,90,7,79,36,57,40,52,45,0,2,0,1,[]
239,14,21,18,50,66,77,21,82,27,72,67,7,78,16,90,42,51,42,43,33,0,2,0,1,[]
240,19,18,17,44,52,72,30,70,31,58,54,7,67,19,91,53,50,46,50,32,0,2,0,1,[]
241,19,12,21,44,51,66,40,61,33,43,43,11,58,28,90,54,48,49,39,29,0,2,0,1,[]
242,19,15,29,34,46,53,44,50,37,37,42,10,47,33,87,42,49,40,44,35,0,2,0,1,[]
243,19,15,40,36,42,41,43,41,41,34,44,7,47,34,78,35,55,44,49,34,0,2,0,1,[]
244,2,96,41,35,37,36,50,48,39,24,47,9,51,34,65,34,57,42,48,34,0,2,0,1,[]
245,36,30,37,39,27,31,51,47,30,21,50,19,51,35,55,41,57,45,52,33,0,2,0,1,[]
246,35,41,35,42,18,21,42,51,40,33,50,26,46,40,46,51,54,47,52,33,0,2,0,1,[]
247,34,39,34,43,19,14,38,51,33,40,51,28,45,36,49,44,53,43,43,33,0,2,0,1,[]
248,35,39,34,47,20,14,38,50,33,43,47,39,45,43,44,43,46,40,41,39,0,2,0,1,[]
249,32,49,32,56,20,23,37,58,32,44,49,43,41,46,41,45,50,45,41,45,0,2,0,1,[]
250,35,58,32,56,20,25,38,56,3,96,48,43,42,45,41,45,46,47,44,43,0,2,0,1,[]
251,41,59,42,61,3,96,41,57,21,82,51,43,46,49,48,51,48,49,46,47,0,2,0,1,[]
252,42,57,46,58,18,86,43,55,31,68,61,50,49,43,51,47,53,47,54,42,0,2,0,1,[]
253,55,61,57,58,29,74,49,59,44,58,74,49,43,33,47,36,63,41,57,38,0,2,0,1,[]
254,65,64,69,64,39,63,50,65,45,51,82,51,43,32,55,32,59,41,57,38,0,2,0,1,[]
255,70,65,68,64,50,54,54,65,52,54,91,59,52,35,53,32,59,35,87,17,0,2,0,1,[]
256,64,61,63,60,59,56,53,55,52,52,91,59,52,28,49,21,60,39,74,27,0,2,0,1,[]
257,70,67,67,67,68,66,51,48,53,49,81,51,57,33,48,9,58,41,64,38,0,2,0,1,[]
258,70,68,65,71,67,69,54,51,58,50,76,45,67,40,45,15,55,42,57,42,0,2,0,1,[]
259,67,66,63,70,73,71,53,54,65,56,68,43,68,44,41,17,59,41,59,45,0,2,0,1,[]
260,65,65,64,69,82,82,39,50,50,54,57,41,67,41,39,15,57,41,48,41,0,2,0,1,['21:40 FPX »÷É±ÁË»ðÁú']
261,53,60,57,76,80,85,42,52,38,49,54,41,64,41,27,9,51,41,45,40,0,2,0,1,[]
262,40,52,55,82,84,79,47,55,34,40,56,41,94,4,19,10,51,41,44,39,0,2,0,1,[]
263,25,50,52,84,88,67,49,51,38,43,68,41,94,3,17,9,58,42,45,36,0,2,0,1,[]
264,15,39,55,82,90,62,52,50,42,40,77,47,83,10,17,9,57,43,40,28,0,2,0,1,[]
265,10,27,56,76,87,67,44,52,30,32,89,52,73,22,85,15,61,37,51,33,0,2,0,1,[]
266,10,26,56,76,87,67,35,58,35,38,91,49,64,31,74,26,58,40,58,34,0,2,0,1,[]
267,11,30,10,81,5,91,35,58,35,38,93,53,56,40,64,35,57,44,58,34,0,2,0,1,[]
268,17,43,17,67,12,77,2,96,10,92,92,51,54,44,59,39,55,44,85,12,0,2,0,1,[]
269,23,55,24,58,17,63,42,53,22,75,94,53,52,47,52,47,51,48,73,23,0,2,0,1,[]
270,34,59,30,52,21,48,44,52,34,64,94,53,52,42,53,46,51,47,64,34,0,2,0,1,[]
271,44,51,29,49,24,45,45,50,46,53,92,6,55,40,56,42,59,38,57,40,0,2,0,1,[]
272,40,39,34,39,24,35,43,43,41,39,82,17,57,38,57,42,59,38,58,41,0,2,0,1,[]
273,39,31,39,30,27,21,48,49,40,28,73,26,54,32,58,41,95,4,56,34,0,2,0,1,[]
274,42,38,37,26,27,11,46,46,34,27,66,35,48,34,59,40,81,8,50,32,0,2,0,1,[]
275,42,42,41,32,33,17,49,49,34,31,69,47,54,43,56,46,66,9,59,35,0,2,0,1,[]
276,45,47,45,43,38,9,49,48,42,43,65,51,54,44,55,48,54,9,55,47,0,2,0,1,[]
277,43,43,43,38,36,15,46,49,47,45,66,56,56,41,56,46,47,7,56,42,0,2,0,1,[]
278,41,32,41,32,36,15,44,47,42,38,59,56,55,32,59,36,54,10,56,33,0,2,0,1,[]
279,37,36,41,33,2,96,36,38,41,31,54,49,43,24,54,31,53,19,46,24,0,2,0,1,[]
280,42,40,43,34,47,46,46,45,45,34,50,43,45,27,52,36,46,12,45,27,0,2,0,1,[]
281,51,46,49,39,53,43,51,45,45,36,52,41,51,27,53,35,48,18,52,28,0,2,0,1,['23:23 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5Mole(·ûÎÄ·¨Ê¦)']
282,58,46,59,44,56,43,59,44,58,44,52,41,55,32,63,36,53,21,64,34,0,3,0,1,['23:30 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
283,46,44,46,40,45,39,46,40,45,40,52,41,55,32,59,40,58,31,60,36,0,3,0,1,[]
284,34,37,35,37,33,32,32,33,35,37,52,41,48,34,54,32,51,30,51,33,0,3,0,1,[]
285,31,33,32,31,33,32,32,28,35,38,52,41,41,32,43,32,44,33,40,31,0,3,0,1,[]
286,37,38,32,35,40,37,36,36,43,39,52,41,44,33,41,28,41,28,44,34,0,3,0,1,[]
287,47,36,44,33,48,32,47,34,50,35,52,41,50,31,50,27,48,25,52,27,0,3,0,1,[]
288,48,32,47,29,49,35,48,33,50,31,52,41,50,31,43,24,48,25,51,24,0,3,0,1,['23:56 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5Ben4(¾ÆÍ°)']
289,45,35,41,36,41,32,45,33,47,33,93,5,50,31,43,24,51,26,52,27,0,3,0,1,[]
290,37,37,33,35,41,33,34,32,35,36,77,14,50,31,43,24,50,34,49,33,0,3,0,1,[]
291,33,37,33,33,34,39,32,34,40,40,67,20,50,31,39,23,56,33,56,33,0,3,0,1,[]
292,31,33,31,31,32,34,31,28,34,39,58,28,50,31,37,25,54,41,49,35,0,3,0,1,[]
293,30,32,31,29,32,31,30,29,35,39,47,34,50,31,41,30,49,49,42,35,0,3,0,1,[]
294,30,32,30,28,32,31,33,28,28,35,36,37,50,31,36,40,40,43,36,40,0,3,0,1,[]
295,30,28,35,28,31,30,34,28,24,33,33,35,50,31,32,34,30,37,30,37,0,3,0,1,[]
296,32,29,34,30,31,30,39,29,25,27,32,32,81,10,32,30,26,32,32,31,0,3,0,1,"['24:37 V5y4(ÄæÓð) »÷É±ÁË FPXDoinb(Éîº£Ì©Ì¹)', '24:38 FPX »÷É±ÁË´óÁú']"
297,27,17,34,30,31,30,43,24,24,24,33,28,66,20,34,27,29,22,29,29,0,3,0,1,"['24:41 V5Windy(¼²·ç½£ºÀ) »÷É±ÁË FPXTian(°µÒá½£Ä§)', '24:43 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5Windy(¼²·ç½£ºÀ)']"
298,17,9,34,30,31,30,40,23,31,22,41,26,51,21,34,27,36,17,40,25,0,3,0,1,['24:49 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5Mole(·ûÎÄ·¨Ê¦)']
299,2,96,34,30,31,30,42,22,41,27,41,26,41,26,34,27,44,16,44,23,0,3,0,1,"['24:52 FPXCrisp(Ñª¸Û¹íÓ°) »÷É±ÁË V5Max(¶éÂäÌìÊ¹)', '24:52 V5Ben4(¾ÆÍ°) »÷É±ÁË FPXLwx(Ê¥Ç¹ÓÎÏÀ)']"
300,10,84,34,30,31,30,42,22,41,39,41,26,41,36,34,27,47,15,44,23,0,3,0,1,[]
301,23,72,34,30,31,30,42,22,37,44,41,26,40,44,34,27,50,20,44,23,0,3,0,1,['25:5 V5Ben4(¾ÆÍ°) »÷É±ÁË FPXCrisp(Ñª¸Û¹íÓ°)']
302,35,62,34,30,31,30,42,22,37,44,41,26,47,52,34,27,54,31,44,23,0,3,0,1,[]
303,39,65,34,30,31,30,42,22,37,44,41,26,51,50,34,27,56,40,44,23,0,3,0,1,[]
304,46,67,34,30,31,30,42,22,37,44,41,26,59,50,34,27,48,49,44,23,0,3,0,1,[]
305,42,59,5,95,5,90,42,22,37,44,41,26,72,53,34,27,48,50,44,23,0,3,0,1,[]
306,44,54,22,85,11,74,42,22,37,44,95,3,75,52,95,3,55,45,95,4,0,3,0,1,[]
307,44,53,28,70,11,58,42,22,37,44,94,22,83,56,93,4,64,38,95,4,0,3,0,1,[]
308,34,48,26,59,11,43,7,94,37,44,93,36,81,54,81,18,64,38,81,16,0,3,0,1,[]
309,34,48,29,59,8,30,19,89,10,91,93,49,78,49,72,28,94,4,70,28,0,3,0,1,[]
310,42,56,43,58,15,21,31,81,25,76,91,59,73,42,65,34,81,16,60,37,0,3,0,1,[]
311,45,55,55,67,22,26,44,73,39,73,93,58,67,36,58,30,71,27,67,42,0,3,0,1,[]
312,47,51,56,61,25,33,49,67,51,63,84,51,67,36,54,17,62,34,55,33,0,3,0,1,[]
313,53,47,53,48,37,39,56,58,55,52,79,39,93,4,55,22,63,34,46,32,0,3,0,1,[]
314,61,43,61,49,43,44,59,45,66,50,69,34,85,9,54,31,66,32,60,33,0,3,0,1,[]
315,64,39,66,40,54,43,63,39,66,45,65,30,75,22,54,30,68,30,69,31,0,3,0,1,[]
316,62,40,69,39,63,38,65,40,64,40,64,31,66,30,59,29,67,29,67,31,0,3,0,1,[]
317,63,41,70,38,62,40,61,41,67,41,65,31,63,32,60,33,68,31,64,31,0,3,0,1,[]
318,63,39,69,39,64,39,62,39,65,40,65,27,65,31,65,30,67,29,71,33,0,3,0,1,[]
319,66,36,66,35,65,33,65,35,69,34,70,26,69,26,74,27,71,26,74,28,0,4,0,1,['26:34 FPXDoinb(Éîº£Ì©Ì¹) »÷ÆÆÁË·ÀÓùËþ']
320,69,33,73,33,67,27,69,29,76,32,75,24,75,26,74,24,71,23,76,24,0,4,0,1,[]
321,67,32,70,31,66,30,68,30,70,33,70,23,73,26,69,28,70,25,72,24,0,4,0,1,[]
322,65,36,66,38,67,42,69,34,69,35,69,29,79,29,77,24,74,24,72,29,0,4,0,1,[]
323,64,37,67,39,66,47,66,39,62,36,72,30,73,30,77,24,72,24,73,29,0,4,0,1,[]
324,58,46,75,52,66,47,73,53,59,42,81,23,69,29,94,4,64,16,68,28,0,4,0,1,[]
325,9,95,72,63,4,93,68,67,59,42,89,14,58,27,85,19,51,8,58,27,0,4,0,1,[]
326,28,93,66,69,14,75,68,71,26,85,93,15,52,34,72,27,43,9,57,34,0,4,0,1,[]
327,47,91,74,73,17,61,66,72,39,73,92,27,49,35,67,31,44,10,47,37,0,4,0,1,['27:12 FPX »÷É±ÁË·çÁú']
328,56,84,79,82,20,47,66,72,51,63,92,40,51,34,60,41,31,10,45,34,0,4,0,1,[]
329,69,84,79,86,26,37,4,95,56,48,94,52,51,34,60,40,19,14,36,24,0,4,0,1,[]
330,82,82,77,86,23,39,15,89,47,46,94,53,46,40,70,40,19,26,25,26,0,4,0,1,[]
331,84,82,77,86,18,45,27,76,47,52,93,55,44,39,60,42,19,26,20,25,0,4,0,1,[]
332,81,77,15,88,19,48,35,63,41,57,94,54,42,32,53,46,18,24,19,25,0,4,0,1,[]
333,75,63,28,75,20,48,46,54,37,48,94,54,42,18,60,43,16,18,23,23,0,4,0,1,[]
334,82,58,37,66,19,48,54,48,53,55,93,51,41,16,58,33,21,14,34,16,0,4,0,1,[]
335,89,57,49,55,11,46,56,47,66,56,93,50,44,15,58,34,21,14,36,15,0,4,0,1,[]
336,89,57,47,63,9,36,56,50,66,57,92,43,46,11,65,35,88,15,95,4,0,4,0,1,[]
337,87,70,47,58,10,26,48,53,5,95,93,54,54,20,69,30,76,26,84,11,0,4,0,1,[]
338,3,94,42,44,10,22,50,47,24,78,93,56,64,26,66,27,73,28,72,24,0,4,0,1,[]
339,8,86,41,29,19,23,52,44,34,65,91,52,63,33,62,24,67,31,71,33,0,4,0,1,[]
340,17,77,42,25,32,22,56,45,44,51,93,55,57,26,57,15,60,24,65,27,0,4,0,1,[]
341,41,38,43,23,42,32,54,43,45,36,84,63,56,16,50,9,62,25,57,23,0,4,0,1,[]
342,49,34,46,24,51,32,47,35,53,32,83,62,45,13,47,9,65,35,64,26,0,4,0,1,[]
343,50,23,48,18,57,26,49,22,49,19,87,71,42,9,50,9,69,31,65,30,0,4,0,1,[]
344,45,9,47,7,49,16,45,10,42,8,84,81,52,6,53,7,68,20,65,18,0,4,0,1,[]
345,40,11,46,14,45,13,39,10,46,16,84,87,48,6,52,11,59,11,57,12,0,4,0,1,[]
346,44,6,48,16,46,11,45,8,52,20,84,87,51,7,54,9,53,8,54,8,0,4,0,1,[]
347,43,9,50,18,51,18,46,15,55,21,85,5,48,6,50,9,53,8,51,7,0,4,0,1,[]
348,45,14,58,28,59,27,48,18,59,27,71,14,55,10,56,10,59,11,55,10,0,4,0,1,[]
349,43,25,57,41,57,39,39,24,54,32,67,17,61,12,57,10,54,8,57,7,0,4,0,1,[]
350,39,25,48,42,52,46,39,24,53,31,63,22,59,12,51,9,62,13,62,13,0,4,0,1,[]
351,40,26,41,29,60,37,38,14,53,29,65,21,65,19,51,9,70,24,67,20,0,4,0,1,[]
352,41,41,41,31,66,36,27,22,3,95,61,12,69,20,54,10,71,28,72,28,0,4,0,1,[]
353,51,54,41,31,64,37,20,21,19,75,66,18,69,22,64,16,68,29,71,25,0,4,0,1,[]
354,58,68,6,89,55,46,22,10,32,64,62,13,69,22,72,26,70,24,74,24,0,4,0,1,[]
355,69,81,14,72,54,58,19,17,45,54,52,6,93,4,68,31,71,25,70,28,0,4,0,1,[]
356,80,84,22,58,54,58,25,31,58,41,54,7,77,14,68,30,70,21,68,32,0,4,0,1,[]
357,81,85,22,54,6,88,37,40,63,37,52,8,70,25,74,21,70,21,73,21,0,4,0,1,[]
358,83,79,32,42,19,76,44,37,50,46,52,6,63,35,67,32,82,13,64,31,0,4,0,1,[]
359,72,67,43,37,32,64,47,39,47,45,53,6,54,31,66,39,72,25,56,31,0,4,0,1,[]
360,62,58,39,37,39,55,49,51,51,48,42,10,63,36,74,43,63,35,50,22,0,4,0,1,[]
361,52,47,35,37,40,44,51,46,59,42,54,11,66,38,83,51,65,34,52,20,0,4,0,1,[]
362,41,39,34,37,31,37,46,46,51,50,63,15,67,33,90,62,66,32,58,25,0,4,0,1,[]
363,35,38,25,28,28,33,46,49,51,50,58,23,60,24,91,52,59,23,52,21,0,4,0,1,[]
364,35,38,20,15,20,44,53,47,14,80,51,21,53,21,89,43,65,30,46,23,0,4,0,1,[]
365,4,94,20,22,16,44,51,47,28,67,54,21,53,21,89,43,56,34,51,21,0,4,0,1,[]
366,4,94,19,20,20,44,43,52,31,52,54,21,91,5,90,6,62,36,51,21,0,4,0,1,[]
367,3,94,22,12,25,32,48,59,32,36,91,12,74,13,74,16,62,34,80,9,0,4,0,1,[]
368,15,80,23,9,31,38,47,66,33,35,83,28,61,23,62,24,64,26,66,18,0,4,0,1,[]
369,3,93,21,22,38,43,53,77,42,42,80,40,45,23,50,22,50,20,54,21,0,4,0,1,[]
370,13,81,30,29,47,46,53,85,39,39,77,50,42,19,47,9,53,30,42,23,0,4,0,1,[]
371,26,69,37,37,54,45,50,81,41,33,81,57,46,16,43,17,62,36,42,25,0,4,0,1,[]
372,40,54,38,36,53,45,49,75,46,38,87,68,51,22,47,17,62,37,48,25,0,4,0,1,[]
373,40,41,39,28,45,43,49,75,36,28,87,76,57,28,54,21,61,36,56,32,0,4,0,1,[]
374,34,36,38,32,45,43,2,96,35,38,83,80,53,28,52,21,54,31,53,29,0,4,0,1,[]
375,35,29,41,31,2,96,42,54,40,30,82,90,43,25,41,23,48,25,43,23,0,4,0,1,[]
376,32,34,41,29,40,25,40,37,47,32,77,91,46,24,47,22,50,22,48,24,0,4,0,1,[]
377,33,32,34,29,41,34,35,31,41,31,69,91,51,32,53,28,55,32,46,24,0,4,0,1,[]
378,32,33,35,31,34,35,36,29,41,36,69,91,45,33,47,34,53,41,42,24,0,4,0,1,[]
379,32,35,40,29,38,37,39,25,43,37,69,91,43,37,42,38,42,39,48,26,0,4,0,2,"['31:33 V5Mole(·ûÎÄ·¨Ê¦) »÷ÆÆÁË·ÀÓùËþ', '31:34 V5Windy(¼²·ç½£ºÀ) »÷É±ÁË FPXCrisp(Ñª¸Û¹íÓ°)']"
380,40,37,43,42,39,43,43,34,43,37,47,24,44,39,45,43,47,41,49,34,0,4,0,2,[]
381,41,41,42,42,42,45,43,37,43,37,45,36,44,38,41,43,47,40,52,32,0,4,0,2,"['31:43 FPXGimGoon(ÌìÆôÕß) »÷É±ÁË V5Windy(¼²·ç½£ºÀ)', '31:45 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5Ben4(¾ÆÍ°)']"
382,47,36,46,33,43,33,43,37,43,37,44,34,44,38,41,43,47,38,54,31,0,4,0,2,"['31:46 V5y4(ÄæÓð) »÷É±ÁË FPXLwx(Ê¥Ç¹ÓÎÏÀ)', '31:47 FPXTian(°µÒá½£Ä§) »÷É±ÁË V5y4(ÄæÓð)']"
383,41,35,39,30,41,34,43,37,43,37,43,34,44,38,41,43,47,38,59,25,0,4,0,2,['31:54 FPXTian(°µÒá½£Ä§) »÷É±ÁË V5Mole(·ûÎÄ·¨Ê¦)']
384,31,33,34,30,32,33,43,37,43,37,43,34,44,38,41,43,47,38,61,24,0,4,0,2,[]
385,31,30,34,30,32,32,43,37,43,37,43,34,44,38,41,43,47,38,55,22,0,4,0,2,[]
386,36,30,35,30,32,31,43,37,43,37,43,34,44,38,41,43,47,38,42,17,0,4,0,2,[]
387,35,30,34,32,32,31,43,37,43,37,43,34,44,38,41,43,47,38,31,18,0,4,0,2,[]
388,34,31,31,31,30,33,43,37,22,94,43,34,44,38,41,43,47,38,29,23,0,4,0,2,[]
389,32,33,34,31,31,31,43,37,27,76,43,34,44,38,41,43,47,38,34,18,0,4,0,2,[]
390,31,37,34,38,20,37,43,37,31,71,43,34,44,38,41,43,47,38,46,11,0,4,0,2,['32:26 FPX »÷É±ÁË´óÁú']
391,6,95,4,96,9,39,43,37,17,92,43,34,95,4,41,43,47,38,48,5,0,4,0,2,[]
392,28,93,16,85,7,38,43,37,34,85,43,34,83,12,87,9,89,7,48,5,0,4,0,2,[]
393,45,92,18,68,7,38,19,87,41,70,43,34,77,26,74,22,75,20,92,6,0,4,0,2,[]
394,57,90,24,58,7,38,21,74,55,65,82,13,75,33,72,29,72,25,76,20,0,4,0,2,[]
395,65,90,31,55,2,95,20,61,55,57,81,28,67,37,63,33,81,16,68,33,0,4,0,2,[]
396,70,91,31,41,13,82,25,51,53,58,80,41,68,46,53,37,91,6,65,41,0,4,0,2,[]
397,2,96,39,41,25,70,39,51,58,55,80,51,63,39,61,33,83,15,66,33,0,4,0,2,[]
398,5,95,53,42,34,62,52,46,59,45,79,52,63,37,66,35,74,28,58,32,0,4,0,2,[]
399,20,83,57,37,48,52,60,42,66,46,80,50,71,34,68,32,68,30,61,23,0,4,0,2,[]
400,31,68,55,32,56,47,60,37,67,43,79,48,70,34,70,31,68,32,67,30,0,4,0,2,[]
401,43,57,53,26,66,39,61,36,66,38,80,41,75,33,76,28,70,27,70,30,0,4,0,2,[]
402,55,46,55,33,62,34,59,34,62,36,73,31,71,28,76,27,71,26,68,26,0,4,0,2,[]
403,66,35,66,29,67,31,67,31,72,34,74,26,66,20,73,26,74,26,73,23,0,4,0,2,[]
404,70,32,73,32,67,25,68,31,72,29,73,22,70,21,74,24,77,24,75,22,0,4,0,2,[]
405,72,33,74,31,70,27,70,30,76,33,75,27,75,26,73,30,75,28,75,27,0,4,0,2,[]
406,70,34,72,31,72,28,73,31,82,25,75,26,72,27,79,25,78,28,71,26,0,4,0,2,['33:49 FPXCrisp(Ñª¸Û¹íÓ°) »÷É±ÁË V5Windy(¼²·ç½£ºÀ)']
407,74,28,77,24,68,27,78,26,76,24,77,23,73,26,79,25,80,25,73,23,0,4,0,2,"['33:53 FPXCrisp(Ñª¸Û¹íÓ°) »÷É±ÁË V5Max(¶éÂäÌìÊ¹)', '33:53 FPXDoinb(Éîº£Ì©Ì¹) »÷É±ÁË V5Ben4(¾ÆÍ°)', '33:55 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5y4(ÄæÓð)']"
408,79,23,78,23,77,24,80,24,77,23,77,23,73,26,79,25,80,25,73,23,0,5,0,2,"['33:57 FPXTian(°µÒá½£Ä§) »÷ÆÆÁË·ÀÓùËþ', '33:56 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË V5Mole(·ûÎÄ·¨Ê¦)']"
409,87,17,87,14,85,16,88,17,86,16,77,23,73,26,79,25,80,25,73,23,0,5,0,2,[]
410,87,15,86,13,85,14,86,15,83,12,77,23,73,26,79,25,80,25,73,23,0,6,0,2,['34:9 FPXDoinb(Éîº£Ì©Ì¹) »÷ÆÆÁË·ÀÓùËþ']
411,85,11,85,9,85,14,85,10,85,10,77,23,73,26,79,25,80,25,73,23,0,7,0,2,['34:12 FPXCrisp(Ñª¸Û¹íÓ°) »÷ÆÆÁË·ÀÓùËþ']
412,86,9,88,9,85,14,86,9,85,9,77,23,73,26,79,25,80,25,73,23,0,7,0,2,[]
413,86,9,88,9,85,14,86,9,85,9,77,23,73,26,79,25,80,25,73,23,0,7,0,2,['34:25 FPX »ñÊ¤']
